r_points,r_text,place
40,"Great collection of paintings and artifacts from the Leventis family, a famous Cypriot trading family - mainly Africa.",A G Leventis Gallery
50,"This is a relatively new gallery of one man's collection of paintings in 3 categories, Cypriot, Greek and International (mainly French and Italian). Many of the names you know are there eg Monet, Renoir, El Greco, Canaletto, Chagal, Pissaro, Sisley etc. Recently a new gallery of gold coins from antiquity to modern times has been added.The paintings were well laid out and the place is air conditioned.",A G Leventis Gallery
40,First time that I have been extremely impressed with the write up but much less so with the collection itself. Found only a few of the paintings to be outstanding work by the artists or particularly moving: the Cypriot section being a notable exception. The descriptive material was informative and easily understandable. Building itself is beautiful- but relatively small exhibit space. 5 euro ( 4 for seniors ) admission admission seemed excessive,A G Leventis Gallery
50,"Very new museum, artefacts range from Medieval to impressionism, from France to Greece. An interesting and quiet oasis in the middle of the noisy town.",A G Leventis Gallery
50,"Ecellent vernisage of belgian Painters, with many i did not know before. Great quality of event, with interesting lectures from organizers.",A G Leventis Gallery
50,"Its a beautiful modern building where the 3 first floors are full of paintings from cypriots,greek,french,italians and many more painters.",A G Leventis Gallery
40,"Right in the centre of modern Nicosia, the aim of the gallery is to highlight the work of Cypriot artists, which it does well. The paintings help to illustrate the history of Cyprus and do so much better than some of the politically -charged History books that are available in the shops. There is a tendency to over-glorify the founder, but if one ignores that then you will learn and enjoy much from this visit",A G Leventis Gallery
50,"not only the newest galery / museum in town but also one of the best coffee/restaurants in Nicosia. the staff is very helpful, the food we tried (the burger, rocket salad ) were all too delicious",A G Leventis Gallery
50,Big collection of paintings and artefacts from European and local artists. The collection is impressive and is of the same level as other main european galleries,A G Leventis Gallery
40,"We want something special for christmas presents, after a good thought we have visited the museum.The result was to have high quality purchases of low and high cost. Excellent choises .",A G Leventis Gallery
50,"It is a ""small"" museum but veeery interesting. Graphic, modern and comfortable, you can quickly and easily enjoy all its exhibits and learn about the history of Cyprus. Strongly recommended.",A G Leventis Gallery
50,"in the heart of the city where u can enjoy renounced local and foreign artists,my absolute favorite painting of Diamantis The world of Cyprus is a reminder of the life in Cyprus back in the old days and the smaller version across depicts the shock and devastation after the invasion of Turkeytheir bar/restaurant is quite nice and a nice place to recollect after the visit",A G Leventis Gallery
50,"A really beautiful place, very well thought and organised! The architecture surprises you! You walk through an old door to a very modern design ready to display various exhibitions! Worth a visit !",A G Leventis Gallery
50,"We really enjoyed the Cypriot collection and were keen to view. The Greek art too was very interesting. The Leventi also has a European collection of art with many impressionist paintingsThe gallery is a beautiful modern space down town. We had a coffee but would love to had dinner in their restaurant But night it was not open todayThe location is down town and easy to get to, we walked from our hotel.We also visited the Leventi museum a 5 min walk away in the old town",A G Leventis Gallery
50,Visited the gallery on recommendation by a local friend. Worth the three hours I spent there. The collection is varied with paintings from different periods. On exhibit is also a collection of period pieces of porcelain.,A G Leventis Gallery
50,"The Leventis Gallery was a highlight of our visit to Nicosia. The Gallery's Greek, Paris and Cyprus Collections have excellent old-master paintings, modern paintings and other art works. The Gallery's notes on the artworks are well written and informative.",A G Leventis Gallery
50,Greek contemporary art collection on the top floor. Superb french impressionist paintings on the first floor and a mixed old master's collection of great quality. Cypriot art and elegant cafe on the ground floor. The museum is only 5 years old and features the art collection of A:G. Leventis. The curators are truly knowlegable according to the informative text their added to the exhibited artworks.,A G Leventis Gallery
50,Very impressive art gallery.The building is very nice with interesting exhibitions.The staff is helpful .Worth the visit.,A G Leventis Gallery
30,"Nice atmosphere, clean, not crowded, friendly and helpful staff, food average, free underground parking.",A G Leventis Gallery
50,The special show right now features gold coins and is fascinating. But the whole collection is very interesting. And the building is very impressive. Worth the visit if you are interested in Cypriot and Greek art.,A G Leventis Gallery
50,"We went to the restaurant in the building a couple of weeks ago to eat lunch and didn’t realize it was part of the gallery so we went back another day to visit. It is exceptional. They have theee levels which include Cypriot art, a private collection and Greek art. I especially liked the Cypriot art rooms because I didn’t know much about it beforehand. I would strongly advise getting the audio guide because it includes a lot of useful background information. There was also a special exhibit of gold coins which were a lot more interesting than I thought they would be. They also have workshops and educational programs for children.",A G Leventis Gallery
50,"The gallery is situated in a contemporary building featuring stylish decor with a luxurious touch. It houses interesting permanent collections and temporary thematic exhibitions. The organisers show great care for their audience by running special occasions, such as lectures, exhibition inaugurations, etc. The souvenir shop is worth visiting as there are some nice unusual items sold there.",A G Leventis Gallery
50,"This is a must-visit for anyone visiting Nicosia, especially since its collection of artwork in unrivaled in the capital city (and in the whole of Cyprus). A beacon of culture since it opened. The cafe/restaurant in it is also recommended",A G Leventis Gallery
50,"A beautiful gallery with many famous paintings but also a glimpse of how Cyprus art evolved. Well worth a visit. Also worth a visit is their coffee shop/restuarant. Ordered two cappuchino coffees, nice and strong, but a nice surprise - they both came with complimentary chocolate mousses, very nice.",A G Leventis Gallery
40,A more fresh approach to exhibiting art that what Cyprus was used to so far. A notable Gallery showing events and artists unprecedented by past exhibitions.,A G Leventis Gallery
50,an unexpected find in Nicosia. Many beautiful french impressionist paintings. and an exhibition dedicated to adamantios diamantis that also had el Greco and Marc Chagall. totally worth the visit!,A G Leventis Gallery
50,"All the pieces in the museum are arranged to made your mind to be curious, finnest art snd good choice for free time",A G Leventis Gallery
50,"Great modern space. The lighting and layout is fantastic. This gallery , in addition to fantastic canvases from major artists, has a good number of exquisite European porcelain as well as some worthy pieces of furniture. The three floors house Greek and French art. There is also space that shows temporary exhibitions. Thoroughly enjoyable.",A G Leventis Gallery
50,"A fabulous museum, both the building and the collection. Some lovely modern pieces and some old masters. I enjoyed the 17 metre long Cypriot painting, a study in daily life!",A G Leventis Gallery
50,"If you are a lover of art, you will enjoy every piece of art from local and international artists.A must go place in Nicosia",A G Leventis Gallery
40,"Strongly recommended everyone who interested in art. Stop being a typical tourist and discover the cyprian art. Believe me, won't hurt at all. Adamantios Diamantis was an exceptional painter.",A G Leventis Gallery
40,"we visited this galery with my family. you have the chance to know Cypriot artists. you can also see paintings from famous european painters, and a great collection of the personal belongings Leventis.",A G Leventis Gallery
50,"The museum is a shining example of what one man can accomplish. Much like the Lobkowicz museum offering in Prague, the art is noteworthy and allows one to embellish themselves in the national art. Cypriot art is refreshing and symbolic of these wonderful people. A nice gift shop and cafe solidifies a wonderful time at a fair price. So, when you need refuge from the heat, walk to the end of Ledrus turn right and it is just across the bus station. A real value while visiting Picasso, Renoir, and Chagall. Leventis was a true philanthropic man.",A G Leventis Gallery
30,Great place to stop if you are nearby visiting the Cyprus museum. Modern Cypriot art in several themed exhibits. Not sure why there is a French area and a Greek area.,A G Leventis Gallery
40,Would have chosen a different gallery but it was closed on a Monday so visited this one. Interesting exhibition with Henry Moore overtones. Good for a couple of hours.,A G Leventis Gallery
50,"A place of selective character,quality of its kind as its was the inspiration of the founder LEVENTIS.There are 3 floors and On each floor you will find its own theme of collection with unique and very valuable pieces.",A G Leventis Gallery
50,"The place is excellent.Arranged in a way ""user friendly ""Easy access.Organised and well maintained",A G Leventis Gallery
50,"A very interesting place, many good exhibits to see and admire, three floors full of history, a great collection in general..",A G Leventis Gallery
50,"A wonderful collection of Masters, fantastic addition for our little island. Visited an exhibition of handmade handbags in the old style that was incredible. Do stop by and spend some time wandering around. Helpful staff",A G Leventis Gallery
50,"A great collection of Cypriot as well as international works of art. The special exhibition on Venus was definitely a highlight of our visit!Wonderful building too, light and very elegant.",A G Leventis Gallery
50,"The building is very elegant, the rooms and light allow a tranquil visit. The temporary exhibitions can be fascinating.",A G Leventis Gallery
40,"What a great art gallery boasting art by Renoir, Pissarro, El Greco, Monet and others. A wonderful collection for a small island! Well worth a visit if you are in Cyprus, housed in a modern new building. A lovely cafe on the ground floor.",A G Leventis Gallery
40,"Visited in September and were the only people in the gallery. It meant we had a guard each as we walked around - they were very attentive!! Good selection across 3 floors, Cypriot art is worth seeing as it is not often you see it. Lovely building also.",A G Leventis Gallery
50,"The building is nice, visitor friendly and elegant. The collections are amazing, really improbable for the size of the island. Alongside many world class master like Manet, Chagal et al you find the most amazing presentation of Cypriot artists crowned with the magnificent ""World of Cyprus"" at Ground floor. A magical afternoon spent there. Not to be missed.",A G Leventis Gallery
40,I spent a quiet morning browsing the gallery. It is well lit but my only criticism was that there were no benches. Sometimes I like to sit and just study the art. The staff were helpful and it wasnt crowded at all.,A G Leventis Gallery
50,"place filled with culture and history , several events take place like presentations and awards, nice decor, nice catering",A G Leventis Gallery
50,The Leventis Gallery is a must see for every art lover visiting Nicosia. Expect to spend 2-3 hours inside the gallery.,A G Leventis Gallery
50,"This is a gallery I would like to visit again. It is home to over 800 paintings, many by famous painters, including El Greco, and the whole layout is excellent. Do not miss the monumental painting ""The World of Cyprus"" by Adamantios Diamantis, nor the wood-panelled room, from the collector's apartment, which was transported and re-erected in the Gallery.",A G Leventis Gallery
50,"A rather recently built museum, beautiful painting of Cypriot and Greek artists.One of the best museums in town!",A G Leventis Gallery
50,"If you are in Nicosia and an art lover, you MUST visit this place. The entrance fee is ok, for the art selection you are seeing.",A G Leventis Gallery
40,"We visited on a very hot day, July23rd and it was very quiet. There is some work going on a the front of the building and the cafe is closed. There is also no temporary exhibition at the moment but there is an exhibition of Cypriot painters such as Adamantis Diamantis whose 'The World Of Cyprus' is shown here. A very long piece of art depicting life in a Cypriot village.The other artists and paintings are all very interesting.On the first floor is the Paris collection, mostly European art gathered by Leventis himself which wasn't as interesting to us.However,on the second floor there is an exhibition by Greek artists which again was very interesting.So, a mixed bag for us but overall, very good.",A G Leventis Gallery
20,I was the only person in the gallery and was followed around non stop by the security which made it difficult to enjoy the art. I know art is very subjective but I was expecting more Cypriot works rather than the usual French paintings I could see anywhere. On the other hand the building alone is worth 5euros to look around.,A G Leventis Gallery
50,A.G. Leventis Gallery is located within walking distance from the center of Nicosia. There is a always an exhibition running and the gallery provides a café as well.There are guided tours for people interested finding out more.,A G Leventis Gallery
40,"I had a couple of hours to spare on one of our days in Nicosia, and so I visited this attractively designed gallery with a broad collection of Cypriot work and a more modest but good collection of European works. Various leaflets and an audio guide are available to inform your visit. There is also a small exhibition on the Leventis family who founded the gallery. Having a modest rather than a strong interest in art, I mainly focussed upon the Cypriot works that were new to me. If you have strong interest in art you would regard the gallery as a little gem. An enjoyable visit.",A G Leventis Gallery
40,"This is a beautifully arranged art gallery in architecturally nicely designed modern building, hosting the rich collection of A.G. Leventis. It is divided into Cypriot, Greek and European art galleries with paintings and other decorative art pieces. It provides a very representative view especially of Cypriot and Greek painting in the last 2 centuries, and you can walk through the exhibits in a couple of hours. Very educational also for children. Ask for their workshops for children.",A G Leventis Gallery
40,"I believe it is the best collection of Cypriot artists in Cyprus. Nice and easy to visit if you have 2-3 of hours to spare in Nicosia. The original Adamantios Diamantis work of art that describes in detail how Cyprus was 40-50 years ago is found in the ground floor. There is a nice cafeteria in the ground floor,",A G Leventis Gallery
40,"If you're into art, then this is a little gem to visit while in Nicosia.It is an art gallery with European and Cypriot paintings and artefacts, mainly exquisite porcelain (not my taste, but I see the value...). It is a purpose-built museum, which doesn't take long to see. Also a good way to get out of the summer heat or winter rain!Before visiting check to see if they have either a special exhibition or an event there, usually presentations by experts.",A G Leventis Gallery
50,"A cultural, spiritual and mouth-watering experience. The first time I visited the gallery was one of the first weeks that opened and I had a blast. Some of El Greco's works were there and the most amazing paintings were the ones from Cypriot artist, depicting the life on the island 50 years ago. The second time I visited was exclusively for the restaurant. Amazing food, great service and a spectacular feeling to dine at the best gallery Cyprus has had",A G Leventis Gallery
50,If you want to have a taste of Cypriot and Greek culture you must visit this lovely Gallery! It is worth it!! It won;t take long and it will offer you a nice fresh artfull rest if you are visiting in a warm month. Rigth in the center of Nicosia ! The parking is free for visitors !,A G Leventis Gallery
40,"This museum is in old town Nicosia along the main shopping areas. It is open every day from 10am - 5pm except Tuesdays and National holidays. There is no entry fee. Levants Gallery has four floors. The top floor is dedicated mostly to an exhibit of wedding dresses, which may not interest everyone (Nicosia is a popular wedding location). The other floors have exhibits with a scattering of maps, artifacts, photos videos and other items representing the various time periods of the island's history and development. There is a small gift shop and one can either take the elevator or stairs to each floor. There is one small area with children's activities and there is an interactive video with interesting film clips and photos documenting the island's history. The Leventis Gallery would be a great place to tuck into to wait out a storm, in either really hot or really cold weather, or before/after a meal at a local restaurant.",A G Leventis Gallery
50,"What an absolute pleasant surprise to find such a world class museum here in Nicosia. The private collection is stunning. The architecture, flow, and breadth of the collection are ideal for a morning tour.Currently they have a temporary exhibit of the friendship between two painters (one Greek, one English) and an English author that transports one into their magical past as they lounge about the Greek islands creating their art. Charmed lives indeed.The only thing mildly off-putting about the place is having security trail your every literal step like you're a cat burglar in waiting. But I'll pay that price to have a museum of this hidden quality mostly to myself.",A G Leventis Gallery
