r_points,r_text,place
40,"The palace is nice, built in mixture of Bizantine and Venetian style. The building itself is nice and the complex around it is one of the most beautiful parts of Nicosia",Archbishop's Palace
30,"Every now and then you get to a place to look at and wonder why? Because you can't get close nor inside (at least not when we visited) all you see is a fine building. It is a place of historical interest if you know the story of one of it's most notable residents - Archbishop Makarios. There are two vintage state cars behind glass and some important statues. However next door is Agios Ionnas Cathedral which is worth a visit. It is not known to TripAdvisor so I will tell you why in this review. Very small and ordinary looking from outside but go inside. Very colourful, full of gold leaf panels and religious items. Also floor to ceiling frescoes of life of Christ. Unfortunately you can't take photos inside but I have attached one of the building, one of statues and the limos.",Archbishop's Palace
30,"Although the Archbishop is an important figure in Cyprus who has religious and political clout, the palace is just another building which is out of bounds to the public. An interesting Cadillac and MBenz are shown off in a glass garage for those car enthusiasts.",Archbishop's Palace
20,Not open to the public! Looks interesting from the outside but unless you're passing I would not bother as you cannot get up close or inside. I would not class it anything better than ordinary. Next to the small but quaint St John's Cathedral & the Byzantine museum.,Archbishop's Palace
40,"Very nice building, seat of the archbishop. Building started still during the colonial period (1956). Only 5 years later it became ecclesiastical seat of the president (Macharios III). It cannot be visited. Next to it: St. Johns cathedral. A must.",Archbishop's Palace
40,"Although not much to see, I recommend to take a look at the museum and the small church near by. Do not miss to visit the museum Agonos - which is next door to the Archibishop's palace.",Archbishop's Palace
30,"This place can only be admired from outside the gates and I wish more people wrote this here as I was under the impression we could visit it.Also it is difficult to find as there are no directions given coming from Ledra street, so basically you have to ask the locals in Greek 'signomy, pou ine Arhiepiscopi?'The structure of the building is not bad, but whoever said it reminds St Mark's square in Venice needs to go again there to check the difference. Fortunately, since the gates are always close you can visit round the corner the Folk Art Museum and the Byzantine Museum.",Archbishop's Palace
30,Many parts of this have been blocked off to the public. You can still get a reasonable photo if you walk around.,Archbishop's Palace
30,"Not half as beautiful as the former building to the right of the cathedral. Also it had to be rebuilt as a result of the Turkish attack on the building. Nothing of great interest except for the two cars, one given by JF Kennedy.",Archbishop's Palace
30,"This is an impressively large building being the official residence of the Archbishop of Cyprus. Built in neb-byzantine style, the building is beautiful to look at.Unfortunately the palace is not open to the public. So don't go out of your way to visit.",Archbishop's Palace
40,"This is a wonderful looking building is different from many of the other sandstone style architectural buildings and is styled using many types of pastel colouring. Unfortunately it can only be seen from the outside as it's not open to the public. However, you have to take photos from across the street as the building is so wide and close ups can be done by pushing your camera through the large fronted black gates.",Archbishop's Palace
30,"This is a modern palace of little interest since one cannot go inside. However, the replica of JFK's official car was nice to see since they don't make cars like that anymore.",Archbishop's Palace
