r_points,r_text,place
50,I love buyuk han because it’s beautiful and full of history of our world.Very old building dependent to ottomans. Now it’s touristic leisure and shopping area. I advise you to visit Tekman Art Shop in the building if you wanna buy cheap souvenirs,Buyuk Han
50,"It is best to visit early in the morning when the tourist streams are not yet there. Unfortunately we were at noon. Absolutely worth a trip, very impressive building with souvenir shops and cafes that invite you for a walk. A nice place to spend your time.",Buyuk Han
50,Same as Kozahan in Bursa Turkey. I loved the ambiance. People are friendly and they know English so you will not have any communication problems. Prices are high BTW.,Buyuk Han
50,Interesting just to look at and fun to walk around. It is full of little shops selling tourist trap souvenirs and trinkets.,Buyuk Han
40,"The whole Buyuk Han is very nice to visit, but what stood out to us were various little shops selling handmade products, homemade food items such as jams, spices etc. and much more. We originally planned to be there for half an hour, in the end we spent 2 hours browsing all the different things on sale. And since it was Sunday, not all of them were open! After shopping, we ate at a restaurant on the ground floor which was very cheap, and the food was tasty.",Buyuk Han
40,This former karavanserai is now transformed into a shopping place with tiny little stalls that sell handycrafts. A beautifull place to visit and to take nice pictures.Off course you can also find some explanation on thehistory and some old photographs.,Buyuk Han
50,"The Great Inn, Ottoman caravanseray is one of the most interesting spots in northern part of the capital.Now, it consists of many interesting art shops, restaurants and souvenirs.A must see place.",Buyuk Han
40,Beautiful old building in the Turkish quarter. It has been sympathetically restored and has high. Quality tourist shops.,Buyuk Han
40,i went there once and i was served an ottoman dish that tasted average but was served in a lovely ornamental pot,Buyuk Han
50,"Had a nice lunch and coffee there, bought some souvenirs and looked around this old square. It is good for a short stop.",Buyuk Han
40,"Well worth a visit, just to sit ant take in the atmosphere.Café and restaurant bars inside as well as craft shops and touristy stalls.",Buyuk Han
50,"We where visiting Nicosia and went on the Turkish side, walking through the streets to find a place to eat. So we see this big gate and went in, a really nice piazza was there. Overall we had the best lunch ever. The staff was great and we did not wait for the food even though the place was full. The prices are very reasonable, but the taste....yumm yumm",Buyuk Han
40,"This han is an example of how the medieval Turkish people were living in this area. Even though there are many new restaurants, the building is well preserved and give an idea of those times.In fact all the surrounding area, consisting of the han, the mosque and the bazaar is original and picturesque.You shoul visit this when in Nicosia",Buyuk Han
50,Buyuk han is very very historical place.You can drink coffee and you can eat something.You can buy something. There is hade made accessories naturel soup and other naturel items.,Buyuk Han
50,"This old caravansary is amazing to visit, it has kept its charm very well after all these years. It is an beautiful place to visit, I am sure it would be romantic to visit in a warm summer night for dinner or cocktail",Buyuk Han
40,A nice place to visit. Old and beautiful han which has many handicraft shops . You can bargain for better prices and it acts like a market,Buyuk Han
50,A historical building where rooms have been made into shops. There is an excellent restaurant within the fort. Well worth a visit and only a short stroll through the bazaars from the border crossing at Ledra Street.,Buyuk Han
50,"Lovely place to visit. Historical, traditional with plenty of shops selling traditional goods as well as nice places to eat. Well worth a.visit when over the border",Buyuk Han
40,"You don’t need much time at this site however it is worth visiting. I so enjoyed looking around the little shops selling handicrafts made by the local people. It doesn’t matter if you don’t buy anything, they aren’t pushy but it is very interesting to see the range of talents on display.The little cafe in the centre is a perfect place to enjoy a Turkish coffee and watch the world go by.",Buyuk Han
50,"A lovely 16th century construction , originally a caravanserai , that has been a prison and a sort of workhouse in its time but now attracts tourists and locals alike to the many restaurants , coffee house and craft shops that are now contained within its walls since the late 20th century restoration . In the middle of the courtyard there is a mini mosque . Here you can eat and drink or wander around the shops , and find some shade .",Buyuk Han
40,We strolled around the courtyard and had coffee in one of the busy cafes..The craft shops were lovely and full of gift ideas.,Buyuk Han
50,Came across this building as we were wandering the streets of Nicosia. Was lovely looking around and reading the history of what it would traditionally have been used for.,Buyuk Han
40,"tavernas, coffee shops, art/craft shops in a medieval courtyard setting. Can't help but relax... Enjoy!",Buyuk Han
50,"Buyuk Han is an interesting and really nice place to visit. When we went, we had the feeling that time has stopped there.We didn't try the food, as it doesn't offer much choice for vigitarians but we were happy to browse the little craft shops and speak w ijth people there. Everyone is really nice and friendly and there wasn't that annoying persuasion from their side to make us buy their stuff.The prices of the items are really reasonable and you can pay in Turkish lira and in Euro as well.This is a different world and see definitely you need to visit it when i n Nicosia.",Buyuk Han
30,Been to seeing this place only to be disappointed. Wasn't even in there for more than 5 minutes. Won't be going again,Buyuk Han
50,... and it is a wonderful courtyard with shops and cafe. Well worth a look. We had a refreshing drink and traditional pastry snack in the cafe to right as you go in - tasty,Buyuk Han
50,This is a small enclosed square on the Turkish side of the border in Nicosia. You can sit and have a meal or drinks in the small restaurant or just browse at the stalls selling craft goods .,Buyuk Han
50,"Beautiful place with a nice history. Small mosque in the middle of the square and upstairs there are a lot of small craft shops with handmade crafts.Down is a beautiful restaurant with quick service, lovely food with very acceptable prices..Whenever we cross the borders ad Lydra, we can't avoid a break at the Bujuk.",Buyuk Han
50,"Very beautiful building. One restaurant on the bottom and the rest is filled with shops with spices, old books, handcraft, scarves, etc. Among sites on the northern part of Nicosia, probably the best one.",Buyuk Han
40,This is a must visit place when touring North Cyprus. Good escape from the heat and restaurants and tourist shops can be found inside,Buyuk Han
40,"definitely worth to visit because of its history, its unique architecture and the many nice little shops and restaurants.",Buyuk Han
40,Magical building. Good restaurant. It’s best if someone goes at noon. It closes early. It’s at a really good spot. One can walk there through the market or park behind it of one goes by car.,Buyuk Han
50,We went for a short walk & visit to the occupied side of Nicosia and found this beautiful building full of shops & coffee bars!!! Perfect place to watch the world go by!!!,Buyuk Han
50,"The place still feels like a resting spot in the hot and busy city, once you have gone through the entrance. Look for it on the map because you easily might walk just by. In the old resting rooms there are many small shops of surprisingly good handicrafts. Not expensive, nice salespeople.",Buyuk Han
50,It was a fascinating place and well worth the visit. We had a lovely brunch there like nothing I have ever had before and were surrounded by such architecture. It was AMAZING.,Buyuk Han
40,"This place is great to visit especially if you are interested in the architecture/historical aspects of the building. The building is full of local vendors selling their wares, mostly ""ethnic"" or ""artsy"" types. Very nice for an outing. The wares seemed a bit expensive.It's located on the north side of Nicosia, the area still under the occupation of the Turkish forces. You have to cross the ""Green Line"" at Ledra street to cross over.",Buyuk Han
40,We thought the Han was lovely and peaceful. There are a few restaurants and shops there but it was quiet and cool.,Buyuk Han
50,Definitely a must visit place if you venture North of the border. Nice craft stalls with local sellers in an amazing setting.,Buyuk Han
50,Buyuk Ham (Great Inn) is a beautiful old traveller’s stopover which has been well preserved. The inner courtyard and first floor contain craft shops. Very enchanting.,Buyuk Han
50,"We've been there from 3 years before, maybe more than 5 times per year. Very good drinks and traditional food.",Buyuk Han
50,"In my view the Büyük Han is Lefkoşa’s loveliest attraction, and should be included on any visit to the northern quarter of the divided city of Nicosia. It’s an impressive piece of Ottoman architecture, built in 1572 on the orders of the first Ottoman governor general of Cyprus, Mustafa Pasa. It’s an elegant, balanced and harmonious structure, built as lodgings (a motel, of sorts) for travelling salesmen and merchants, rather than for religious purposes.On entry, either from the west or the east, you’ll pass through huge doors, large enough to allow a fully-laden camel into the inner open courtyard.The almost square building has two floors; there were rooms on the lower floor available for various commercial activities, and rooms on the upper floor available as lodgings. These rooms had fireplaces for comfort and warmth; if you enter via the east doors you’ll certainly notice the curious hexagonal or octagonal chimney stacks on the roof line. The rooms on both floors were accessed by lovely vaulted galleries (verandahs) overlooking the courtyard.These days it’s not a hotel, but an arts and crafts centre. Various small retailers sell souvenirs, lace, pottery, postcards, jewellery and an assortment of other goods of interest to the tourist. There’s also a couple of cafes on the ground floor floor for meals and refreshments, and washroom facilities (with a charge).In the middle of the courtyard is a small domed mosque, with a fountain for pre-prayer ablutions. On the east side of the building (adjoining but separate) is a beautiful colonnaded arcade with ten or so more shops.It’s a beautiful spot to wander, to purchase some souvenirs, to photograph, and to sit in the shade and have some refreshments. I was really drawn to it, and returned a number of times to see it in different light. It was peaceful, and gave a great insight into the life of people during the city’s Ottoman period.Make sure you include it on your visit to Lefkoşa. It’s just off Arasta Sokak, the narrow main street that takes you from the Ledra Street Crossing (entry point into Lefkoşa from the south) towards the main mosque.",Buyuk Han
40,"We didn't spend a long time in the Han, but a quick look around found plenty of independent shops selling clothes and souvenirs, and places to eat in pleasant surroundings.",Buyuk Han
40,Was a nice experience to see 2 cultures and a peace of no mans land in a small area. Good to go shopping and a bit of culture.,Buyuk Han
50,The old centre of Nicosia is quite intetesting to see. Small shops and cafees are now located at the place. Take a tour around and feel the historical sentiment. We can recommend it.,Buyuk Han
40,Interesting marketplace with an old history. It was built to attract trade to Nicosia and it succeeded. Still today it contains small art and handicraft shops.,Buyuk Han
40,"Buyuk Han is a lovely old preserved building with courtyard which used to be a place to stay years ago. Now there is a gallery with lots of art and craft shops. Friendly atmosphere. Good place to sit down away from the tourists crowd, have a drink or meal.",Buyuk Han
10,"Very old and interesting Temple but, there were many flies and we had a hard time eating a little. They have to do something for this issue",Buyuk Han
40,Arrived at Kyrenia gate and got an excellent walking Map from the Tourist Information office at the gate who noted the musts and the optional of the various places of interest. Whilst part of the tour it has a Central location with good western toilets (you need 50Cents). Lots or nice craft stalls and excellent cafes. Nice atmosphere. We had a drink and then returned for lunch. Nice and central to the other places of interest or for crossing into the South (don't forget your passports) let alone the shops. Interesting to compare the Euro south and the Turkish north which was so much more interesting and not so commercial. Take your time and enjoy the walking tour.,Buyuk Han
30,This fortress is filled with lots of souvenir shops and restaurants. Great history with the same ancient atmosphere like all old monuments.,Buyuk Han
40,The building itself is breathtaking architecture a few hundred years old. The restaurants inside let it down. Tourist oriented and of average quality. Some really good quirky shops on the upper floors and around it make any visit worthwhile,Buyuk Han
50,Love this place its a real picture opp as well try your best to make it here and have a little snack lemonade or beer as well in the restaurant inside there’s crafts and other things to look through it’s truly like stepping back in Cypriot time,Buyuk Han
40,"What a fantastic building. Originally a stopping point for traders, a room for the night!! Restored to its former glory with craftspeople occupying the individual rooms over two floors. A cafe/restaurant on one side of the courtyard gave us a welcome break from the heat of the day. Something the early travellers would have been glad to make use of I’ sure.",Buyuk Han
50,A very nice place in the Turkish area of Nicosia with good restaurants inside and many souvenirs shops at the first floor.,Buyuk Han
