r_points,r_text,place
20,"It takes a lot of effort to get there and not much to see in Nicosia anyway - internet and Tripadvisor state it’s open, the security man says to Ring the bell and then someone comes out saying it’s closed just like that ... comes across as they just don’t care and are just not in the mood of opening .... shocking lack of respect - they have the obligation to update page in order to ensure this doesn’t happenUtterly lack of respect",Byzantine Museum
40,"Interesting museum containing beautiful icons and mosaics, some going back to the 6th century, as well as 13th centuries icons including The Incredulity of Thomas. This museum had special significance to me as I recently completed reading The Icon Hunter by Tasoula Hadjitofi which chronicles her amazing twenty some odd year effort to repatriate icons that were stolen from nothern Cyprus and trafficked into Europe. I recommend reading this book to enhance your visit and also strongly recommend getting the audio headset. By the way, the museum is a long walk from Ledra Street and no street taxis were spotted outside the museum.",Byzantine Museum
30,"I went on my last full day in Larnaka on a day trip to Nicosia so I didnt leave country with not visiting the capital of Cyprus. I dont know if I ever have more bad plan before in my life. But I have been there and walked around after a not to good map for 2 hours. I passed this on may way and registrated the church the rest of buildings with not thinking so much over it. I don't now eather if I have been in a town or place where it was so little people everywhere. I tried to find the border cross that they calling it but no sucess. I write this most for having the town registrated in my system for where I have been in Europe. Temperature was so high after a time that I could not fix to go more around, left the town faster then no one before me in the history maybe. If I shall guess something about the town it most be a new and a old part. And then the town are splitted up in two by the turkey on one side and the rest in the other. Since I didnt see no one go inside here I didnt did it myself only took a lot of photo and then walked away.",Byzantine Museum
40,"An interesting museum but at €4 each I expected it to be a bit bigger. I guess it felt a bit smaller, 25% smaller to be exact, as a quarter of it wasn’t even open. Would’ve felt that €2 each would’ve been a very fair price. The art exhibition were excellent though and of great interest if you’re into art.",Byzantine Museum
40,Ground floor features an extensive collection of byzantine religious art and icons primarily from Cypriot churches.Next floor contains various WesternEuropean paintings from the 15th to nineteenth centuries and the top floor displays maps and paitings by Greek artists.,Byzantine Museum
40,Visited her on a Coach tour. Very interesting and very hot.pretty. Pretty church although I don’t really do churches as Religion does nothing for me. Still the history was interesting.,Byzantine Museum
50,Excellent collection of icons and other religious art. All well signed and lit. A manageable collection for a mornings break from the heat. Well worth a visit if you like icons.,Byzantine Museum
50,"Anyone who visits Nicosia, this is a ""MUST SEE"", just STUNNING, AMAZING, BEAUTIFUL.Sadly, it's NOT ALLOWED to take out pics inside.",Byzantine Museum
30,"We arrived here on what was Museum Day at all the other locations on the island therefore no one paid anything. Yet here we were told the following day was going to be the Museum day. We were not even offered the audio guide and no much information was written.Also we were not told we could visit the upstairs where apparently more exhibits were.The ground floor had a multitude of icons and some religious items, similar to what we have seen in different islands in Greece and which I grew up with therefore not as interesting as paintings for example, which I really like studying.Also, no directions on how to reach this place in the scorching sun, so we had to keep asking the locals as we came from Ledra street, several hundreds of metres away.No pictures of filming allowed inside, thus you cannot promote what is dear to Cypriots' heart.Good architecture outside though.",Byzantine Museum
50,Very good Byzantine Museum for understanding the history of this country. The old icons are lovely and they will teach you the basics of Orthodoxy!,Byzantine Museum
