r_points,r_text,place
50,"A wonderful collection of ethnographic pieces, including furniture, tableware, clothes and costumes, embroidery. The museum exhibits fully furnished (traditionally) rooms. Very helpful guide at reception.",Cyprus Folk Art Museum
40,The place is nice and in my opinion it worth to be visited especially from outside. There are interesting things inside for those that are looking for these kind of art.,Cyprus Folk Art Museum
50,"This Museum is relatively small and nicely kept . It includes exhibitions on traditional professions, clothes, handicrafts and artifacts relating the history of Cyprus. It also has very nice rooms with original furniture and paintings. I enjoyed it.",Cyprus Folk Art Museum
50,"Very interesting exposition, well maintained. I only regret it wasn't bigger. Absolutely worth seeing. Especially that it's a great starting point to continue sightseeing, many other facilities are really close in a stroll distance.",Cyprus Folk Art Museum
30,"This museum houses a plethora of old furniture, costumes and equipment for making handicrafts sourced over the years from around the island. Essentially one long room with a few smaller rooms, it doesn’t take too long to view the items on show.",Cyprus Folk Art Museum
50,"Small one story museum, but cool in both temperature and exhibits, off very quite square, next door to Byzantine Museum and art gallery.",Cyprus Folk Art Museum
40,We went to the Cyprus Folk Art Museum. It was very hot and humid so we took with us cold drinking water. Nice outing.,Cyprus Folk Art Museum
30,"It is inside a church like building. If you have ever been to a similar a Greek museum, you don't have to go unless you want to do a comparison. No photo is allowed in this place.",Cyprus Folk Art Museum
50,"We planned to visit this place and everything in this area but it was so difficult to find as there are no directions coming from Ledra street, so we had to ask the locals for directions.This museum is housed in the same courtyard with another museum (which did not prove that interesting and still had to pay the entrance despite being Museum day where other museums did not charge anything).",Cyprus Folk Art Museum
40,"This is a very quaint museum that gives you a brief history of the folk art of Cyprus. We were amazed at the art work done with silk cocoons and the lace and silver work done here. This was our first stop before going to the markets, so we were more informed at what we were looking at once we did go shopping.",Cyprus Folk Art Museum
40,"Located near the Archbishop's Palace and the National Struggle Museum, this is a wonderful museum for those interested in the folk art of Cyprus. Plan to spend at least an hour here.Byzantine art museum located next door.",Cyprus Folk Art Museum
40,A well curated collection well laid out over several floors. Covers art works as well as artefacts and several areas have hidden items in drawersIn house cafeteria available and a small gift shop.A calm oasis in a hot climate.,Cyprus Folk Art Museum
40,Lovely to look around and see some of the preserved methods of Cypriot arts and crafts- important to keep these traditions alve for future generations,Cyprus Folk Art Museum
30,This Museum is a two flour structure with a wide balcony on the top floor. Located within the historical neighborhood of Nicosia. It is also next to the Archbishop palace and the Byzantine Museum.,Cyprus Folk Art Museum
50,"This is a fascinating place with an interesting collection. The building is interesting in itself, being the old Archbhishop's Residence and before that a Benedictine Monastery. The buildings nearby are important and not visited very much.",Cyprus Folk Art Museum
