r_points,r_text,place
50,The Cyprus museum offers such a nice variety of Cypriot treasures and history. Some of them quite ancient.,Cyprus Museum
40,A good collection of ancient artifacts. Visitors would benefit from a greater amount of information about the collection.,Cyprus Museum
40,"Great little museum in central Nicosia. The entry fee is 4.5 Euro for an adult. The museum has a fine collection of antiques going back close to 3000 years ago. Highligts include a large bronze statue, beautifully decorated vases and jugs and many marble statues of different sizes. I enjoyed looking at the wide rage of ways to decorated the clay Potter, from simple patterns to precise figures and animals full of emotions. A good way to spend an hour if the weather is too rainy- or hot. It has a small souvenir shop too with a good selection and fair prices.",Cyprus Museum
50,"It was pleasure to explore this hidden gem of couture in Nicosia. It was tide, clean, the staff was kind and helpful for me to explore and learn about the history of Cyprus. There is a lot of old things here",Cyprus Museum
50,"There is so much in this museum and it is so well presented, including narratives on the exhibits. Fortunately, the museum is not swamped with visitors so you have plenty of time to absorb what you are seeing and to spend time by your favourite items - I particularly liked their own version of the terracotta army (a lot more variety in their characters).",Cyprus Museum
50,"interested in Cypriot history?in this museum a very nice collection is exhibited with masterpieces from the Cypriot history, including images of Aphrodite and earlier coinsyou can also see jugs, jars in all sizes from very small to very large",Cyprus Museum
50,"A big and modern archeological museum located very closed to Nicosia city center. It has a very large collection of archeological findings of early inhabitant times of the island and you can learn many things about the history of the island.Ticket price: €4,50 pp",Cyprus Museum
50,Small but loaded with pure Cyprus artifacts .Lacks information but it was so worth the visitMy main interest here are the old sites so I was very happyWith this museum,Cyprus Museum
40,"There are plenty of museums in nicosia, but if you have to choose one, make it the cyprus museum.It is packed with interesting objects and artefacts taken from the various sites in Cyprus. If you already visited one or more of these archeological sites, this is a plus.We didn't read all tne information boards as we already read a lot in our guides, but focused on the pieces that really interested us.Overall a pleasant visit and worth taking a little detour outside the old city walls.",Cyprus Museum
50,"Not very big, and no new insights in prehistoric and historic developments. What makes it worth visiting is the quality of several exhibits.",Cyprus Museum
50,Small museum with extraordinary collection. I am a frequent Archeology and ancient history museum goer but I have never seen anything like some of the oldest and unique pieces I saw here. Collection is labeled ( including in English) but I am sorry that I had not visited at the times when there was a Tour.In addition there is bronze bigger than life sized statue of the first African born Roman Emperor that is worth admission by itself,Cyprus Museum
50,This place is historical place and anywhere didn't change.Bloods and hole(with gun) in the wall it is horrible but it is history and reality,Cyprus Museum
40,Small but well arranged and full of surprises. Spend sometime to study 5he exhibits. Well worth the visit.,Cyprus Museum
50,"Plenty to see here if you are into archaeology , The museum , in the Greek half of Nicosia , is house in a neo -classical building and it is mainly thanks to the British that these artifacts were saved for posterity . Sometimes there are cases full of similar objects but some are outstanding ; amongst the artifacts that span the neolithic age to 250 AD the most noteworthy are the collection of votive figurines , a bronze age pyxis and the statue of Roman Emperor Septimus Severus .......and lots more .",Cyprus Museum
50,"The Cyprus Museum exhibits many antiquities related to the history of the island. These are statues, gold jewelry, weapons, helmets, household utensils. And of course there are many images of the symbol of the Cypriot republic the Pomos idol, which is depicted on the Cypriot coins of 1 and 2 euros. Many items are exceptionally elegant and beautiful. The museum is located in a beautiful mansion in the center of Nicosia.",Cyprus Museum
50,"The most amazing collection of very early pots, plus a superb display of human figures, some life size, found at one site.",Cyprus Museum
50,Amazing artefacts - some of them goint back to the neolithic age and earlier. All of them in very good shape and there are many many of them. Not all of them with English (or Greek) labels. If you are not familiar with the history of Cyprus you should get a small broshure on it.,Cyprus Museum
40,A nice collection shown and preserved in a tragic way... Bad air heat and humidity conditions and old fashioned without any safe displays...,Cyprus Museum
40,"€4.50 entry. There are lots of historical artefacts to see. It is worth a visit. Staff are helpful, you can also take photos",Cyprus Museum
50,"A really nice museum full of middle easten history. The exhibition is in chronological order and thats really important, I definitely recommend it . Cant wait to visit the new museum of Cyprus in 3 years",Cyprus Museum
50,Quite interesting. Well preserved objects displayed in chronological order. Close to a must-see if you're in Nicosia and interested in history.,Cyprus Museum
50,"A short walk outside the ancient city walls takes you a great museum highlighting the classical history of Cyprus. Artifacts representing the Phoenician, Persian, Greek and Roman civilizatgions on Cyprus are contained within the museum. Highlights of the museum include a large collection of statues uncovered by a Swedish archaeology team (displayed in the manner in which they were found), funerary objects including large sphinxes, and a huge bronze statue of a man (uncovered by a farmer plowing his fields). The Swedish collection may be Cyprus's answer to China's Terracotta Warriors and this exhibit is reason enough to visit this museum.",Cyprus Museum
50,"I was amazed at all the displays, The ceramics are excellent and beautifully displayed so much history it was well worth the visit.",Cyprus Museum
50,The displays are well arranged and progress from earliest times 7000-10000BC to the Roman period. The ceramics and terracotta displays are excellent. We learnt a lot about early Cypriot history.A must see place to visit.,Cyprus Museum
50,I was amazed at the sheer number of artifacts of Cyprus and their beauty. The Picasso ceramics were undeniably breathtaking! In the Museum shop I found some English language books.,Cyprus Museum
50,the museum building is a site itself..... the exhibits are so many and so well displayed... very pleasant and educational visit...will definitely keep going back,Cyprus Museum
30,Not very big but with great collections from all over Cyprus through the years. Visit it and wont miss... you need about 2 hrs into the museum,Cyprus Museum
50,"The museum is compact but tells and offers great stories about the history. What treasures Cyprus has to offer! Especially the rooms with Neolithic figurines is remarkable. During our visit there was a small but perfect exhibition with ceramics by Picasso inspired by Cypriot pottery. Well done, and it proves this is not a dull place where nothing ever changes. All of the objects are first rate and can be enjoyed even if you are not a trained art historian.",Cyprus Museum
40,Fine collection of ancient Greek artefacts in this classical museum! Worth a visit when you are in Nicosia.,Cyprus Museum
40,"Great museum to understand the history of the Island, it has loads of interesting artifacts from all the eras of Cyprus.",Cyprus Museum
