r_points,r_text,place
50,"I went on Cyprus national day big mistake in a way but in the other hand I was able to se the green line and now one around, the street was practically empty. Was able to get some interesting pictures.A must visit place definitely, be street smart at day or at night.",Ledras
40,"Great place to go to Northern Cyprus or vice versa! Actually you only show the pass in front and on the other side again and you are in a different country. Above all, I was very surprised that there is a completely different flair on the ""Turkish"" side. Make absolutely.",Ledras
40,"Due to covid19 the street was almost deserted and all shops, stores and restaurants closed. So calm and peaceful... normally is crowded mainly during the week end and unfortunately this time it was not !!",Ledras
40,"If you fancy a change of scenery it’s worth popping over for a day visit. The crossing doesn’t take long unless you happen to get stuck behind a bus load of tourists. You will need to show your passport on both sides and be aware of what you can bring back, they have a sign explaining this. You can pay with euros or local currency and most items are cheaper especially food.",Ledras
30,This is a pedestrian crossing point in Central Nicosia at the end of Ledra street. It is a functional place rather than a tourist attraction. When I visited at the end of Fen 2020 the place was closed due to Corona Virus.,Ledras
50,"The world’s last divided city, a must do when you are in Nicosia. There is no love list between the two sides, a map obtained in the southern side of the city does not have any markings of anything on the north side, and visa versa. I found the northern side more interesting but both sides of the old city are an enjoyable stroll. The northern side of the crossing seemed more through about our documents than the southern side.",Ledras
50,"You can see a wall, a big wagon and some army people. But you can still feel the tension between the 2 countries and it is easy for you to access to the North of you have a passport. Only will you feel like you left Europe for a different kind of countries if you go to the other border.",Ledras
30,This is not a tourist attraction but a symbol of division with the ‘green line’ separating the south and the occupied northern part of the island; and with Nicosia being the only divided capital city in the world and with this part of Ledra Street facilitating an easy crossing point between North and South Cyprus. There is actually really nothing more to say!!,Ledras
50,"The only remaining divided European Capital. Crossing the ""border"" is an historic and iconic experience that has to be done.It's very easy to pass and just have to show your ID or passport.",Ledras
20,"If I could advise you I would suggest you don’t bother to cross into the Turkish side at all it’s a waste of time,the whole area both Greek and Turkish are grimyHowever the historical interest may appeal to some and it’s always educationalThis is my second visit and it seems to have got worsePassports are necessary you have to present them twice, to the Greek authorities and then the TurkishThen the same coming back,surly passport office staff don’t make it any more pleasant",Ledras
30,"Once popular place in Nicosia, now, is crossing point, only by foot, between Greek and Turkish part of the capitol of Cyprus. Surrounding buildings in the buffer zone are still deserted and partly ruined as speechless witnesses of clashes that has happened few decades ago. Passports are obligatory here, clerks are very polite at the both sides and there very few people crossing at this checkpoint. If you want to visit Turkish part as a tourist, like we did, I recommend you to cross the green line in the center of the Old bazaar of Nicosia.",Ledras
40,"First of all: don't forget your passport! Now, in low season, we didn't have to wait very long to cross from the Greek to the Turkish part (and back). Once we arrived in the Turkisch part, we noticed the stores with fake items. Be careful with this as it is illegal to bring them to the Greek part.On the Turkish side there are a lot of interesting buildings to see, like a church that was changed into a mosque or the buyuk han and other buildings. Take your time to stroll around.",Ledras
50,"Due to unfortunate events, the island and its capital are divided, but the pedestrian crossing in Ledras street is very decent. No delays and easy crossing on both sides.DO NOT FORGET YOUR PASSPORTS.",Ledras
40,"Packed. Great coffee and cakes. Full of locals. It feels a bit tense being on the crossing point to trnc, which is a sore issue for the Greek side, yet here we are with all these locals. I like it.",Ledras
30,"Ledra Street Crossing is a gateway between two cultures. One side Greek Cyp riot and the other Turkish. Have your passport and don't fear for it is easy to circumvent. A word of warning for travelers is that the Greek side will check your purchases and confescate what you buy if they determine them counterfeit. The Turkish side is friendly with many opportunities for good buys, I am not a professional buyer and do not determine fashion wars but look at the quality of merchandise. Trust me there are bargains on the Turkish side. Always though when purchasing to not over due it and draw attention to your spoils. You are safe on either side. One highlight on the Turkish side is the Turkish ice creme man. He is funny and delightful. He alone is worth the trip. Nice restaurants are plentiful on both sides. I recommend at least four hours and have fun in Buyuk Han.",Ledras
50,If visiting Nicosia - this a quick and easy pedestrian crossing between the North and South of the island,Ledras
40,Very quick and easy to pass back and forth. We crossed 3 times and had to wait 5 minutes once. You need your passport,Ledras
40,"I travelled here for the day from Paphos and attempted to cross the border but forgot my passport. Apart from that, it seemed pretty simple for those who were prepared to get across the border. The crossing itself was not too busy and people were moving along nicely.On a note of caution, some of the car park attendants in Nicosia are a bit cheeky. Most charged €3 for the day but the gentleman who took my money tried to get €3 per hour. He was politely advised where to go.",Ledras
50,Very easy to walk across and a pleasure to wander around the old town. Very quiet and peaceful. had a nice Turkish lunch in a courtyard. You can pay in euros for most things and prices are reasoanble. Just a pity that the city is divided.,Ledras
30,"We wondered if it is easy for Australians to cross the border - the answer is that it is. You need a passport but it is fairly laidback. Inside the Turkish quarter the mosque is very close and interesting - (dress politely). There are many markets inside the Turkish sector with clothes, shoes, rugs, etc. Bring small denomination Euro as 50 euro notes are not easy to change. We only moved around a kilometre from the crossing. Greek Nicosia is nothing spectacular to see if you have been in other European centres",Ledras
40,"I'm an American. Per the USA State Department I could not cross here. I could fly into the Turkish side and fly out and then fly into the Greek side.It took be less than 5 minutes to move across the Green Line. When I ask souvenir shop owners about North Nicosia & South Nicosia souvenirs. Both sides stated this is ""Cyprus"".",Ledras
40,Crossed over today from Cyprus to the Occupied NorthI must say Both the Turkish and the Cypriot checkpoints have very bad attitudesIt's well worth a visit and is very safe.Check what you are allowed to bring back as the Cypriot Guards take pleasure in seizing items purchased,Ledras
40,It's a bad feeling to see the island cutting in half and the Cypriots separate in two countries . The passing was fast and with no delays,Ledras
40,"I visited as part of an organised day trip to Nicosia. It was quite surreal walking along a pedestrianised shopping street into a border crossing. The actual crossing took less than ten minutes and stepping through to the Turkish area was a totally different culture.The history is sad but, for me, it was a unique chance to visit the World's last divided Capital.Don't forget your passport!",Ledras
40,"Was in Nicosia for the Cyprus v Scotland football match, and had a few hours to kill, and for months I decided that I would cross the border from Cyprus into northern Nicosia and the ""Turkish Republic of Northern Turkey"".This is the only crossing point in the city that I am aware of, and all in all pretty easy to get across, and unlike in Turkey, no visa is required or payment.Main thing to remember though is that A VALID PASSPORT IS A MUST!!!!! As no passport, no crossing!When on the Cyprus side, I was just waved through before I had even got my passport out, then when in ""no mans land"" which is effectively a wooden shed making up a tunnel that takes you to the Turkish side, you will wait a good 10 minutes, as they do check your passport (though do not stamp it, they put your details into the computer).Pretty surreal, as for only a few yards, the difference is night and day! On the Greek Cyprus Side its pretty much the feel of the rest of Cyprus, but as soon as you pass the Turkish passport check, you suddenly get a VERY Turkish feel to the place.Seems to be that getting from Cyprus to the Turkish Republic of Northern Cyprus takes a lot longer than on the way back, as did the return journey in just a minute or so.All in all, not as off putting as it may sound/look, and the northern quarter does have a nice charm to it and good to walk around.Watch out for customs on the way back, as I heard stories at the football match later in the day of people getting stung for import tax for taking cigarettes across the border.",Ledras
