r_points,r_text,place
50,An excellent and small museum worth to visit it in Nicosia city center. Certainly you have to plan a visit and you will like it!,Leventis Municipal Museum of Nicosia
50,"A small but comprehensive museum that covers the complete timeline of the history of Cyprus. A diverse museum with artefacts, clothing, antiquities, stories... one that makes the visit very educational and rewarding. A must visit to understnd the journey of Cyprus in History.",Leventis Municipal Museum of Nicosia
50,"This is how a history museum should be. Three floors with interesting objects, great wall texts and even a childrens area. Superb is the video animation where you can walk through the old city and get glimpses of real life though well acted semi-ancient filmfragments.The museum deserves its award. And it is free! Not far from Ledra street in the heart of the Greek city.The shop has interesting objects for sale.",Leventis Municipal Museum of Nicosia
50,"This is a very interesting museum, giving a taste of the recent history of Cyprus and way of life. Some lovely pieces to admire.",Leventis Municipal Museum of Nicosia
50,"Leventis museum was visited accidentally, we were on the our way to the art gallery and we were delighted with our errorThis free museum is housed in a beautiful building in the old townThe short potted history is beautifully laid out -easy and engaging to visit. This was a terrific visit",Leventis Municipal Museum of Nicosia
50,"When in Nicosia don't miss this award winning museum. It covers the history of the area from the Palaeolithic period to the British occupation. There is a great amount of information here, with interactive and educational areas for children. There is English labelling too. My favourite artefacts were the huge belt buckles and the medieval music score.",Leventis Municipal Museum of Nicosia
40,"We visited this museum while in Nicosia. It is well laid out, informative, and best of all free. Definitely a must see while in Nicosia",Leventis Municipal Museum of Nicosia
50,"This is a fantastic little museum, hidden away in a corner of the old town. It outlines the history of Cyprus and its conflicts, and has lots of interesting artefacts and exhibits. Our children loved the interactive maps and the children's area with colouring activities and dressing up clothes. Admission is free but there is a donation jar by the door. Highly recommended!",Leventis Municipal Museum of Nicosia
50,"One hour in the Leventis Museum is the perfect introduction to the old city as you start your walking tour. I had no idea the many layers of history and empire in Cyprus, including a British royal wedding 1,000 years ago. Good use of technology, household items, music, and a scavenger hunt for kids.",Leventis Municipal Museum of Nicosia
40,"Nice museum with a lot exhibits to see, you gonna need aproximately 1 1/2 - 2 hrs to the museum. I think on Mondays is closed",Leventis Municipal Museum of Nicosia
50,This museum - located in the old part of Nicosia - is a great way to learn about the history of Nicosia itself - going back thousands of years to more recent times. The museum has an excellent collection which is enhanced by well produced interactives and virtual tours. Best of all it is free. A must see.,Leventis Municipal Museum of Nicosia
