r_points,r_text,place
40,Nice monument that symbolizes the long struggle of Cypriot people for freedom. It is the best place to start your visit of walled town as it is placed at Podocatoro bastion.,Liberty Monument
40,"No much of an inscription - one has to know about the history of the island, then the monument makes sense.",Liberty Monument
40,This is a lovely monument commemorating heroes of independence from British rule. It’s well worth taking a little time to look at the details and understand the history behind it and when it will be officially unveiled.,Liberty Monument
50,It's a monument in Nicosia city center with statues and small exhibition in the basement room. You can easy see it driving from that area.,Liberty Monument
40,"A perfect Instagram Photo Op and keep your friends guessing.. its a well maintained and easily accessible monument in Old Town Nicosia. Worth a look .The Liberty Monument was erected in 1973 to honor the anti-British EOKA fighters of the Cyprus Emergency of 1955–1959. It is located at the Podocattaro Bastion of the Venetian walls.The large monument contains several statues. Atop the structure, a statue representing liberty watches over two heroic EOKA fighters pulling chains to open a prison gate, allowing Greek Cypriot prisoners, peasants and clergy to escape British rule",Liberty Monument
40,we had this monument pointed out to us after we had been to visit the monastry our tour guide said it was 3 different meanings with liberty on the top,Liberty Monument
50,"The statue symbolism the heroe struggle The fighting spirit inprisoning ,handking and hard fighting of the Greek community for independence of Cyprus from the English roulers between 1955-1959.",Liberty Monument
40,This monument dramatically symbolises the successful Cypriot struggle for independence from Britain 1955-1959.Well worth seeing.,Liberty Monument
50,"The monument is of great importance to Cyprus recent history, but as it looks locals do not appreciate its value.",Liberty Monument
50,"Nice mini liberty statue in the center of Nicosia. It was a very hot and humid day, was with friends.",Liberty Monument
40,This is an easy sight and a must for tourists in Nicosia! It symbolizes the freedom from the British. Real life statues.,Liberty Monument
40,"The monument is a bit further away from the centre of the main sites in south Nicosia, although it is easy to get to. Worth a visit if you are around the area, you also get a good view of the medieval walls near this site.",Liberty Monument
50,An amazing monument with a great history and absolutely fantastic details.Very well kept and not too far from the city center where if you go exploring you'll find many more :D,Liberty Monument
40,"The monument was erected in 1973 to commemorate the anti-british struggle during 1955-59, leading up to Independence in 1960. The symbolism of a gate opening to let prisoners out is quite clear. However, some on-site interpretation in English and other languages would have been helpful.",Liberty Monument
30,"Important for local history although leaving out the Turkish Cypriots in the monument is rather unfair. Still it is good to remember how hard it was to gain independence,",Liberty Monument
40,We weren't quite sure what type of Liberty this was celebrating but its impressive in its own way. Worth a look.,Liberty Monument
30,"This is a monument erected near the Famagusta gate. Due to the fact that it is newer, after the city has been split, you have something to take pictures of, unlike older monuments in the area.It is a short distance from several museums on the Greek side of Nicosia, but pretty far away from any crossing point.Easy ride if you have a car as you can park it at the Famagusta gate.It represents the liberation of greek cypriots from the british oppressors.",Liberty Monument
10,"Another erection, that could have been treated with some more attitude, than just dropped between the walls. I even didn't see a sighn what it reffers to.",Liberty Monument
50,"This statue is above the Venetian Walls of Nicosia. It symbols the liberation of Cypriot people through out the centuries, but mainly from the Great Britain in 1960. But in 1974 Turkey invade Cyprus killing in cold blood, plunder, raping and forcing 200,000 people live their homes and up to today, never go back. So this statues is more than a hope that one we are liberate by the Turks.",Liberty Monument
50,This monument is a tribute to the EOKA organisation than for for the independence of Cyprus and dedicated to every person that was involved in the EOKA fight. The statues are truly stunning to look at as a whole and the sole polished statue in the centre gives the monument a particularly poignant expression.,Liberty Monument
30,Monument is quite nice to see but church was more impressive to see even though small.Depiction of the gate is quite good. Lots of flies around,Liberty Monument
50,"A monument that is rapped up in the Turmoil of Cypriot History. It was erected in 1973 to commemorate the release from prison in 1959 of EOKA fighters. It shows a statue of liberty overseeing two EOKA heroes tugging on chains in order to open prison gates and release Greek Cypriot prisoners, peasants and clergy, from British colonial rule.You will notice that there are no Turkish Cypriot prisoners being released, as they were considered to have been allies of the British during colonial times. Remember, this is 1973, and Turkish Cypriots had by then, to all intents and purposes, become non-citizens. This adds to the interest and controversy. The statues themselves are very well defined and realistic. Overall a very well executed monument albeit one that causes some debate.",Liberty Monument
40,Situated near The Famagusta gate across the road from remains of the Aqua duct which once brought water in to Nicosia. Well worth a visit to reflect upon yet more Nicosian history . The struggle to wrestle power from the british who had a hold on this city like many before them.,Liberty Monument
30,Liked the bronzes. Excellent life-size figures. Sadly we didn't know who they were supposed to be. Were they actual EOKA figures or representations of typical supporters as it were? And who is the lady on top of the pillar? Aphrodite perhaps? Minerva? Would have been so much more interesting with a board or a plaque telling us what we were looking at.,Liberty Monument
50,This statue is just before the Archbishop's Palace. An everyday reminder of the struggles of the people of the island and what it means to be FREE.,Liberty Monument
50,This beautiful monument has a particular poignant meaning to the Greeks and is shaped in white stone with contrasting black figures. It is a little out of the way but well worth the effort to go and see.,Liberty Monument
30,"It's not worth a detour to see this but on a tour of the city, it's likely to be visited. I did not find this relatively modern monument particularly interesting in a city with a lot of interesting sights.",Liberty Monument
30,"A nice monument, but no signs, explanations or translations to make it more relevant for tourists...",Liberty Monument
40,"This monument is quite a distance from Nicosia Business district. Anyway, It is close to several major attractions.",Liberty Monument
50,"Beautiful monument, dedicated to the liberty of the Cypriot people from the British (I think). Within the Venetian walls, it consists of a white ""table"" with grey statues coming out of a cell and up the stairs, symbolising the Cyrpiot population. There is also a big statue at the top pointing to the sky, and two soldiers that are opening the gate for the prisoners. The idea and symbols are wonderful, very poetic, and the detail of the people still in the cell, and their faces and expressions are absolutely fantastic. Wonderful artwork, worth going to see!",Liberty Monument
50,"Even though we did not have time to stop and take a good look at it, it was nice to see it from the car in sundown when the sun provides a special lovely light. I have visited several countries in the last 6 months and for me it is mind blowing how we (people) make monuments to remember fights, the dead and holocousts... We should start making monuments for Peace Treaties, artists, cultural issues and so to remind ourselves and visitors of the Great things in life!",Liberty Monument
40,There are no comments for a place which shows the latest story and drama of this beautifull island the sculptures looks like alives and all this scene is like comming alive from them past,Liberty Monument
50,Went there with my ex. Got freaky without anyone noticing. Good times indeed. Go very late to avoid the possibility of having an unexpected visit hah,Liberty Monument
30,"It is a pity that they don't have an English sign to tell the story of this park, so not knowing the history you can just guess it from itself. Go for quick glance if you have time.",Liberty Monument
40,"It is a monument which shows how people were evacuated from prison, really descriptive and a place to worth it",Liberty Monument
50,"On the way to Famagusta gate, if you walk along the Venetian wall you will see the imposing marble and bronze monument.Take a few minutes and check out the bronze figures of the soldiers and the liberated Cypriot people.I would add that the monument is not that well kept there are broken marble plates and grass growing between the tiles.",Liberty Monument
30,Worth a quick viewing but little to see really. A walk along the old city walls nearby is probably more interesting.,Liberty Monument
40,"We stumbled across this monument by coincidence while walking around the city, but it made quite an impression on us. It clearly shows some of the feelings that excited around the fight for independence from Britain, and the bullet holes in the monument say a lot about Cypriot history.",Liberty Monument
30,More than just a typical pillar /tower of a monument...it's worth a quick stop as you're walking along the walls to admire the statues surrounding the monument...,Liberty Monument
50,"This is art that comes alive once you are amongst the statues. Even though it symbolizes the Cypriots' freedom from the British, it is quite symbolic for any kind of freedom. Easy access, free and worth visiting",Liberty Monument
40,"This is a monument for <Liberty>, in memory of the fighting made by Cypriots in 1955, against Great Britain (united kingdom) who was the conqueror of the Island,to get their freedom.Is in the historical centre at the old part of Nicosia near Archbisho's Palace.",Liberty Monument
40,Went to the Byzantine museum and on the way back stopped and saw the statue. It's okay to visit it if one has plenty of time and nothing to do. One can also walk to the Famagusta Gate which is close by.,Liberty Monument
30,This is just a small monument in the middle of nowhere. So I would not plan this... sorry to say I did some reading of others and can not understand why a tourist has to travel there...,Liberty Monument
50,"It's impressive, not because of it's size, but due to the ideas it symbolises the struggle for freedom of every member of society. It's even more amazing at night.",Liberty Monument
50,"This monument is very important and famous for the Cypriot, it explains the liberation of the Cypriot after the occupation by the English, it was built in 1973.",Liberty Monument
50,We came across this by accident and spent 15 minutes taking photos. it is a quick stop or a blink and you will miss it type of attraction.,Liberty Monument
50,"I really liked it, it is not on a popular zone but it is a very powerful statement, the statues are so beautiful, the expressions are incredibly achieved and it sends a nice message. Great for photo opportunities but be aware you may need to wait as people climb it to have their picture taken with the life-size statues!!",Liberty Monument
40,"it's about a small square with many statues honoring the cypriot struggle against the british formal occupation , it's not worth a dedicated visit but it's a good place to see and take photos at while on tour in nicosia.",Liberty Monument
30,This rather overworked tableau sculpture to liberty is to be only viewed at night as during the day it can be seen to be a bit of a social realist cliche. Lit up it can actually be quite dramatic.,Liberty Monument
40,"This was a nice thing to see when you enter the city. If you went with the bus from the hotel, this could be the checkpoint. Nice story was told us about the monument. It is made for the people who freed Cyprus from the Turks. Nice to take a picture with as cou can stand between the statues.",Liberty Monument
30,"A small monument, but it is worth to see it and take a few pictures.The monument was built in 1973 to honor the ones who fought against the British during 1955 – 1959. The description is in Greek, which is not helpful.",Liberty Monument
40,The truth is it may be a large monument to the liberty of cyprus.But once you look and take your pictures their is really not a lot to see.,Liberty Monument
40,"It's a striking monument, with a group of statues that seem to move, getting out to freedom and light from a somber prison.",Liberty Monument
30,"Not a lot to see - detour if you are walking by but that is about it. Only description is in greek, no english.",Liberty Monument
