r_points,r_text,place
50,"I went to early by myself but I had a great opportunity to see the sunrise by the hills. The drive through the forest was nice. You can get some nice pictures and over The Valley.The monastery looks interesting but you need to be there by 930am if you want to get in, men should we’re pants, no shorts and women should dress accordingly. At the you need to show respect.",Machairas Monastery
50,This monastery is an integral part of Cyprus's modern history and located in an idyllic location overlooking the valley. I set it as my half-way point while cycling the gorgeous and quiet hilly roads of Machairas and it was an uplifting place to visit.,Machairas Monastery
50,amazingly beautiful authentic and historically beautiful monastery and church in a rustic villagealso take a look at the surrounding spaces and be amazed by the beauty,Machairas Monastery
50,"A lovely relaxing place to visit, well off the beaten track but beautifully kept, it doesn't feel as busy or commercial as some other monastries in Cyprus",Machairas Monastery
40,"For the Greek-Orthodox this is one, of the life time pilgrimages. The old church in the inner court of the Monastery is really worth visiting and does hold the aura and a lot of religious treasures. Access is very easy .Recently a new church has been built on the outer courtyard for the many pilgrims. It is nice but not the same. vhere is a small shop in the entrance. Nearby is a place with historical significance to Cypriots (1950s). the ""hideout"" of Gregoris Afxentiou . A bronze statue marks the place. It used to be a long walk from the Monastery but i cannot tell how it has been transformed with the recent changes. Nearby is a camping site with Barbeque faciities.Like in most Greek Orthodox churches and monasteries, it is recommended that women wearing shorts, have at hand a wrap over skirt and a scarf to cover their legs and shoulders.",Machairas Monastery
40,"If you are interested in Historic museums, you should visit. It is located inside the Monastery. The History of the Monastery and",Machairas Monastery
50,Excellent place to be . Very quite nice clean and relaxing atmosphere with historically interest . With small shop selling religious article and home made sweets,Machairas Monastery
50,Its a really nice monastery in the mountains of Cyprus. I totally recommend it especially if you like churches,Machairas Monastery
50,A place quiet yet worthing visiting.Not only the monastery is unique but also the trip to Macheras is very nice!!!,Machairas Monastery
50,"A beautiful monastery with a rich history, tucked away into the Machairas forest. A must-see for anyone seeking to learn more about the culture and history of Cyprus.",Machairas Monastery
50,"This peaceful and tranquil monastery offers a nice excursion through the beautiful mountains and though over an hour and a half from Limassol, it really worth the visit. The church and the premises are well maintained and the shop offers a wide variety of fine products.",Machairas Monastery
50,"one of the most historic Monasteries in Cyprus, the museum is compact but rich with history. be sure to stop by the shop and try the local delicacies especially the almond sweet either a lemonade or a Cyprus coffee with a glass of cold water",Machairas Monastery
50,We visited this Monastery set high in the Troodos Mountains. It's beautiful and so tranquil. The interior of the main church is most impressive but as there was a service on at the time we visited we couldn't wander round. However watching and listening to the service was a lovely experience.There are some rather fine mosaics decorating the entrance area and there's a good shop which sells the usual trinkets but also some good quality beeswax skincare products.,Machairas Monastery
50,"Machairas Monastery is one of the most ancient , still inhabited by monks monasteries in Cyprus. It contains religious icons of significant religious and artistic value . The monastery is situated in the Troodos mountains in a beautiful area among pine covered mountains. The road leading to it is quite good and it is only around 45 minutes from Nicosia.",Machairas Monastery
40,"It is worthwhilke to do this nice trip from Nicosia. The interior of the church is gorgeous, but maybe somewhat overcharged with gold. A good example for an orthodox church. If you want to see older paintings : don't miss Asiunou !",Machairas Monastery
50,"Discover the peaceful atmosphere of this unique monastery. A fresh place in the hot Cyprus summer, well worth the driving.",Machairas Monastery
50,"Machairas Monastery, not far from Nicosia, makes a lovely short day trip any time of the year. The stone-built monastery, still an active holy place, is peaceful and extremely well kept. The church, open to visitors, is small and as most Cypriot churches full of icons.It is in a forest so you have wonderful views overlooking the mountains and can go for a walk.They monks have a small shop there where you can buy anything you may think of, from books and bracelets to organic oil and beauty products.",Machairas Monastery
