r_points,r_text,place
50,"This is one of a number of painted churches in the Troodos Mountains, all of which are very attractive. Telling the story of the gospels to help a population who were unable to read. Unable to take photos inside, because of the potential impact on these paintings. In February, it was so quiet that our guide had to phone to get the churches opened for us. Surrounded by beautiful scenery.",Panagia Asinou Church
50,The church is located in the woods and the drive to the church is really scenic. It has amazing frescoes very well preserved. A book is on sale which offers full details. No audio guide. There is no artificial light inorder to preserve the frescoes.Wear comfortable shoes as the path to the church is cobblestone but access is not difficult.Can combine the visit here with lunch to one of the restaurants in the vicinity.,Panagia Asinou Church
50,The Church is an important landmark to view byzantine wall paintings. A true WORLD HERITAGE SITE. Best to visit in uncrowded days so that one can absorb and feel the atmosphere of the place.,Panagia Asinou Church
50,"A World Heritage Site since 1985, the iconic Panagia Asinou church contains some of the finest Byzantine wall paintings I've seen, dating from the 12th to the 14th century. Well worth a visit",Panagia Asinou Church
50,Asinou church is located in a forested area around 40 km from Nicosia. The church has some amazing icons and wall paintings that are hundreds of years old and among the finest in Cyprus. The church is what is left from a village that was deserted many years ago. There are a couple of traditional Cypriot restaurants nearby serving traditional charcoal cooked lamb and many other dishes at very reasonable prices as well a picnic area .,Panagia Asinou Church
50,We have visited the place on day trip. The buildings are fantastica and the area magnetic. It is a place that you do not want to leave.,Panagia Asinou Church
50,For me the best frescos in Cyprus chapels ! It is really worth a trip from Nicosia. Don't miss the nearby Troodos mountains. In spring you can find plenty of orchids there.,Panagia Asinou Church
50,"I hadn't visited Asinou church for many years so couldn't really remember it. Therefore, I was totally amazed when we arrived at the Byzantine church, included in the UNESCO world heritage list. It is small, in the middle of a forest, at the foothill of the Troodos mountain range, and covered with amazing Byzantine icons. There is a church keeper, so do look out for the opening times.There are restaurants near the church, one actually looking towards it, so you can make a nice stop for coffee or food.",Panagia Asinou Church
50,One of the best places to see a very old church with beautiful paintings on all the wall's a beautiful place in the forest the way there is so beautiful driving through the forest and beautiful small villages the food at the restaurants around is perfect Cyprus menus and the prices are OK not expensive I strongly recommend you go see the place,Panagia Asinou Church
50,"Half an hour from Nicosia, in the pine forest outside Nikitari village, you have to visit it. Small and fantastic with interior wall pictures. Very picturesque area. Two nice resaurants opposite the church.",Panagia Asinou Church
50,"The famous Byzantine church of Asinou, a UNESCO World Heritage site, has some of the finest examples of Byzantine wall painting on the island. No matter how many times I visit this specific church, I always want to return if in the round area. The church dates to the early 12th century and the murals inside date from the 12th century to the 17th century. Visitors should ask for the priest of Nikitari village to escort them otherwise might find it closed.",Panagia Asinou Church
