r_points,r_text,place
50,"Large selection of their own brews, good food. Live music too (with good sound) occasionally. Worth looking up!",Pivo brewery
50,Brilliant microbrewery hidden awAy near leora street. Great food amazing beer. Don’t visit Nicosia without trying.,Pivo brewery
50,"I just had dinner here. The beers were great. I had a dark Czech, strong Saison and a smoked lager. Each one was top notch. I also had a dinner salad with chicken that was very good. Service was friendly, quick and professional. I go to a lot of brewpubs and I thought this one was outstanding.",Pivo brewery
50,"Really nice bar, loads of different beers (although I must admit I ordered wine - which was very nice!) We had dinner here as well, two vegans in our group had the same pasta dish which was really delicious. The place was clean and comfortable and the staff were friendly and helpful. Would definitely go again when next in Cyprus.",Pivo brewery
50,Just off the main area this is hidden away and a little gem. Lovely micro brewery with great food as well at a reasonable price. Very quiet when we went early evening but worth booking a table as does get busy.,Pivo brewery
50,"A nicely renovated house in the old part of Nicosia that has been converted to a brewery. They produce 4 beers all year long and they offer some others seasonally.Great service, helpful stuff and reasonable prices for the quality. Beer about 5 euro per pint and each plate about 13 euro.Highly Recommend, we will visit it again soon!!!",Pivo brewery
50,Probably the only place on Cyprus with a great beer! Guys really love the job they do ;) my special advice - try the ribs!,Pivo brewery
50,"PIVO, a place you should visit in NicosiaThe ambience is perfectThe menu is just what you needTheir custom made brewed beers, just perfect ...try the <<blondie>>",Pivo brewery
50,Excellent craft beer. A family-owned business. A beautiful renovated old house and garden in the centre of Nicosia. Their craft beers won in several beer competitions in Europe! A very nice food menu to choose from. Beautiful patio to enjoy the Nicosia sky.,Pivo brewery
50,Great beer worth a visit if your a real ale enthusiast it’s a must. I would certainly go again great day.,Pivo brewery
40,"The PIVO Microbrewery close to Ledra Street/Center in a small, plain back-alley opens up into a beautiful old building in a modern industrial look.They serve a variety of craft beers - all I have tried so far very tasty.The food menu could be more comprehensive but nobody will go home starving.Anything craft and made with love is not exactly budget-friendly but worth to pay a bit more. Your tastbuds will appreciate it.The staff is friendly and attentive, for questions about the beers and production processes you better talk to one of the co-owners.You're better off reserving a table as this place can get very crowded or arrive before 7pm.One of the extra questions below concerns wheelchair accessible: The downstairs restaurant and bar area is suitable for wheelchairs however the restrooms are upstairs and I didn't notice an elevator. Maybe ask the english speaking staff ahead of your visit.",Pivo brewery
50,"This has become our regular place to dine in. We love the decor and ambiance, service is fast and efficient and of course the food is excellent. It’s always full so these guys must be doing something good.",Pivo brewery
40,"Within the old town of Nicosia, friendly staff, nice atmosphere, nice food, very good freshly brewed beer, nearby underground parking.",Pivo brewery
50,"Very nice place indoors and outdoors. Excellent fresh beer, very good food even though portions are little small.Polite staff",Pivo brewery
40,"A lovely interior in an old restaured hugh house in the Old Town of Nicosia. Very friendly and welcoming owners (studied brewery science in Czech Republic) and very friendly staff. All beers freshly produced in-house, you can see the copper kettles etc.5 or 6 beers on the permanent menu and 2 to 3 special seasonal beers on offer. All of them are simply delicious!The only reason that I give 4 instead of 5 points is that they recently reduced their food menu, making it easier for the kitchen. The previous menu was really better, although the new one is not bad.Closed on Monday, opens every evening at 7pm.",Pivo brewery
50,Every selection of either beer or food is very tasty. It is a very good option for a night with a very good company.,Pivo brewery
50,"A lovely set-up in the old part of Nicosia,a renovated house with a hidden inner yard.Excellent selection of beers and great food!!",Pivo brewery
50,"It's a real pleasure to visit this place. Great beer (something for every taste), plus some pretty decent food. The staff is very friendly and helpful in case you're not sure about what to order. The prices are admittedly not the lowest, but the beer is just amazing.",Pivo brewery
