r_points,r_text,place
40,"This used to be the Roman Catholic cathedral - St Sophia Cathedral. It was converted during the Ottomon takeover to a Mosque but, interestingly, they retained a lot of the christian features, such as the popes and saints on the arch over the doorway. The mosque is beautiful and requires time to appreciate and absorb. The Koran is alos very lovely, although a relatively modern one. Northern Cyprus has many such conversions of the old churches, but this is one of the best.",Selimiye Mosque
30,"Very strange construction. If you look at tho bottom, you expect to see a common church, but the towers are replaced by minarets. Very strange. If you take off your shoos, you can go inside. If you were already in a mosque, you know there is not much to see on the inside besides a huge carpet, so I didn't bother to go in.",Selimiye Mosque
50,Amazing gothic Cathedral of Saint Sofia turned into a mosque. It is very unususal to see such interior with islamic decorations under gothic roofs.Architectural masterpiece which dominates the city.,Selimiye Mosque
40,The mosque is a former christian church transformed by the Turkish but still preserving the architecture.It is big and very beautiful and nicely complete the old Turkish town of Nicosia.It worth visiting along with buyuc han and bazaar.,Selimiye Mosque
40,"The cathedral was built centuries ago, but the architecture is amazing. Even though it was converted into a mosque, it remains breathtaking!Need to remove your shoes to enter but well worth it if you’re visiting Nicosia",Selimiye Mosque
50,if you are on the island this site and surroundings are one of the top three places to visit. the mosque converted from a church built 1293 is amazing. The conversion work was done in 1571. The general area has many shops and restaurants and bars walking around you will have many places to sit down and rest and also good for shopping. The mosque is named after the sultan Selim who was in the throne after the infamous Sultan Suleyman.Selim who loved wine and heard that the island of Cyprus has some of the best grapes for winemaking then he decides to conquer and send all Venetians off the island. It is a historical fact that the Venetians managed to be on the better side of the Ottoman Sultans so they were allowed to continue to control the island. after all 16th century the Mediterranean was a Ottoman lake but but Cyprus survived until Sultan Selim decides to drink better wine!Selim mosque and surrounding area is a must seeSent from my iPhone,Selimiye Mosque
50,We had passed over the border & decided to pay a visit and we are glad that we did. It once was Catholic but now a mosque and you can visit ( ladies please remember to dress appropriately - but there are headscarves you can borrow to cover your head) It's a beautiful building and very welcoming - calming as well inside.,Selimiye Mosque
50,"I really enjoyed my trip here. I attended during prayer time and was able to enter, even as a woman. I covered my head and removed my shoes and sat in the area reserved for women and enjoyed the whole atmosphere and the chants of the Imam. Very special indeed.",Selimiye Mosque
50,"When in Nokosia, cross the border to turkish side to be amazed with old architecture and time having stopped here decades ago",Selimiye Mosque
40,It was previously a cathedral of ayia Sofia. It is beautifully decorated but needs definitely renovation and also the surroundings.,Selimiye Mosque
30,"before this beautiful cathedral was destroyed it was impressive to see..now its rather empty and all ornaments have been cut out...a pity, yet it shows how things can change overnight...",Selimiye Mosque
