r_points,r_text,place
40,Shacolas Tower is one of the highest building in Nicosia. You can see panoramic view to whole city and also there is a nice view to Turkish flag which is located in the mountains. Staff of the museum is really nice and helpful. You can also read there some interesting facts about Nicosia.,Shacolas Tower
50,"Great panoramic views of the entire city, including the northern part. Views across to the surrounding country and mountains. Within the observatory, there are photos with descriptions of what you can see looking straight out in that direction. You can clearly see the green line between the north and the south. Very small admission fee. Spend a bit of time to watch the video.",Shacolas Tower
40,"If you are in the area, I would definitely go and see the Shacolas tower, being the highest building there you get to have 360 degree views of the whole of Nicosia, lots of interesting facts when you are at the top of the building as well. I really enjoyed my visit.",Shacolas Tower
50,You can see panoramic views of all. The free and also the occupied part. There is also a video that shows the history of the city.,Shacolas Tower
40,"2.5€ to see Nicosia from above. Very interesting. You won’t see anything that stands out too much, no real visible divide, but you can see both parts of Nicosia. Don’t have too high expectations and embrace what you can see.Windows are a bit dirty but whoever cleans them is a brave person, I wouldn’t want to do it every morning, you can see through them fine.Toilets were a disgrace when I went there but they weren’t the reason I went and it was free so can’t knock it too much.",Shacolas Tower
50,Fast lifts take you up go the eleventh floor for panoramic views across the Old City to the mountains.There is a short video presentation and information detailing Nicosia's history and touch-point diagrams identifying important buildingsEntry is 2.5 euros and the tower is easily located in the H and M building just off Ledra Street.,Shacolas Tower
50,Amazing building where you can see nicosia from above. You can see the beautiful mountain of Pentadaktylos,Shacolas Tower
50,"Great place to start your first day in Nicosia. Only cost 2,5€. You can see over a large part of the city (including the Turkish side). There are also touch screens where you get info on important buildings in your sight. And some local history.",Shacolas Tower
50,Go down side street of H &M on Ledra Street and take lift to top. For €2.50pp you get a 360 degree view of Nicosia with helpful touch screen guides to sites and a short film of the history. Cyprus has a lot of history both ancient and modern - to 1974.,Shacolas Tower
50,The best place to view and appreciate the layout of the old city. Well presented touch screens to identify significant sites in the city. An informative video presentation of the history of the city.I find this the best place to take friends on their first visit to the city befor heading off on foot to explore,Shacolas Tower
40,"this is the place to go see nicosia from aboveat 11 floor the view is greatgood info grapics when the work, it would be good with some more details on the grene line",Shacolas Tower
50,"You can find this tower at middle of Ledra street, the commercial pedestrian road at the center of the old Nicosia town. At the 11th floor of the building where is H&S shop, you can see a great view of the old Nicosia town.",Shacolas Tower
30,If you visiting the old Nicosia's streets the tower worth a visit.... the entrance fee is low and you can see the entire Nicosia all around....inside there a small photo exhibition,Shacolas Tower
40,Shacolas Tower museum and observatory is located just off Ledra Street on the 11th floor which can be reached by a fast lift. The viewing area gives a 360-degree view of the city and the helpful picture/information guides dotted around the site provide details of what is to be seen. Entrance fee is 2.50 Euro.,Shacolas Tower
50,"The official name of this attraction, the Ledra Museum -Observatory, is a bit misleading. Firstly, you’re inclined to think that the entrance to the observatory is on Ledra Street. It isn’t. It’s on Arsinios Street, just beyond the H and M Store. The entrance to the ShakolasTowere is clearly signed; just head up the stairs and take the lift to the 11th floor. Secondly, it’s hardly a museum. There’s a bit of an exhibition (albeit small) of photographs and descriptions of Old Lefkosia in cooperation with the Leventis Museum of Lefkosia, and an interesting but seriously outdated video screening of some of the history of the city. But don’t let that deter you. It’s really worth seeking out, as you will have a view like no other! Primarily it’s an observation deck, and one that is absolutely worth a visit.The observatory on the 11th floor of the Shakolas Tower, the tallest building within the old walled city. It provides a unique, unobstructed panoramic view of the whole Nicosia (Lefkosia in the south and Lefkoşa in the north. I love city views, but this one is particularly emotive, for you will see a city as it should be, a city which was built to be united, not divided - a city as a whole, not the divided city that it actually is.The view is the best you will get in Nicosia. The day was clear and sunny, and the 360 views were excellent. You could easily make out the various landmarks, and interactive maps in front of the viewing windows will help those not familiar with the layout of the city. You’ll easily find Ledra Street with its sun shades, and then should be able to make out the Green Line. In the west you’ll pick out the Holy Cross Roman Catholic Church which in part lies within the UN buffer zone. As you look across to Lefkoşa in the north, you’ll see the soaring minarets (and the Gothic structure) of the Selimiye Cami Mosque; to the left of that you’ll be able to make out the square shape of the Buyuk Han, with its curious chimneys. Looking beyond that you’ll see the flag of the Turkish Republic of Northern Cyprus emblazoned upon the mountain beyond; it’s a poignant, stark reminder of the reality of this city. As you look south, you’ll see the modern part of Lefkosia sprawling into the distance.Due to the fact that Nicosia is the only divided capital city in the world, the view you have will be unique, and probably evoke some personal feelings. I certainly appreciated the opportunity to visit this landmark, and recommend it highly. It costs the princely sum of €2.50. You can stay as long as you like. There’s a small shop there for local souvenirs, and a fridge from which cool drinks can be purchased. Toilet facilities are located two floors down, on the 9th floor.The observation deck is open from 11:00 to 19:00 daily.",Shacolas Tower
40,Worth a visit for some fantastic views across Nicosia and across the border. Sad to see the flag of the illegal country on the mountains and can’t imagine how those who used to live there feel seeing it. Lots of history to see and read in the tower and it’s well worth the €2.50 entrance fee however you won’t need to be in there for more than half an hour.,Shacolas Tower
50,At first I was skeptical but then I just went for it and took the elevator up to the 11th floor and walked into a place that reminded me of Top of the Mark without a bar/restaurant! The interactive maps are great to use to identify buildings. The short video history is informative and photographs interesting. It’s small and it was empty late in the day when I went up. I think if there were more than 10 or 15 people there it’d not be as great an experience...,Shacolas Tower
40,"Quite good semi-panoramic view on the city from the 11th floor. No need to pay for the entrance, if needed free wc on the 9th floor.",Shacolas Tower
50,Fast lift to the 11th Floor for 360 degree views of the city. Fascinating looking over the roof tops in all directions. Some history boards and a mini souvenir shop.,Shacolas Tower
30,"Our guidebook recommended going up the tower to the 11th floor because it offered great views over the city. It was worth the euro 2.50 on a clear, sunny day to have such great views. I'd avoid it if the weather isn't good..",Shacolas Tower
50,The interactive map and film were informative about the history of the area. A good way to orient oneself in a city of windy rambling streets.,Shacolas Tower
40,"Shacolas Tower is the bigest tower on Ledra Street, there you have a beautiful view of Nicosia, I recommend you to climb.",Shacolas Tower
50,"This is a great way to get a panoramic view of Nicosia. The view from any window is unobstructed. In addition, there are also some interesting virtual tours allowing you to explore some of the main sites. This is particularly useful if you don't cross the border to go north. Furthermore, there is also an interesting film - available in multiple languages - about Nicosia.Be aware that this place is not easy to find - there is no street signage - the tourist map indicated it was in Ledra Street - but it is actually in a street OFF Ledra Street. In 2019 this observatory is behind the H&M store in Ledra Street.",Shacolas Tower
50,"The tower gives superb views of both sides of the border in Nicosia, and is very much worth visiting. We ascended the tower before crossing the border into Northern Cyprus, and it gave us an amazing view from above. An excellent experience.",Shacolas Tower
50,"This is tucked away behind the H&M shop very close to the crossing between the North and South of Nicosia.The viewing platform is on floor 11, but you can only see the South from here unless you pay, but if you go to the toilets on the 9th floor you can get a good view of the North.Compare and contrast the two areas.",Shacolas Tower
50,"Really worth a visit and have a panoramic 360 degrees view of Nicosia, beautiful divided capital. It costs a couple of euros.",Shacolas Tower
50,It really worths visiting it. The visitor is able to see all. Out all Lefkosia from the 11th floor. Also very sad to realize that Lefkosia is the only European capital which remains separated after the Turkish invasion in 1974.,Shacolas Tower
50,"good place for tourists, nice view, an opportunity for people to learn the history of Cyprus and learn about monuments",Shacolas Tower
50,"Must visit place in Nicosia. On Ledra street, easy to find. Great view to all around the Nicosia with explanations with building etc. Worth to visit if there is no time to walk across all streets and check all objects.",Shacolas Tower
40,Located at 11th floor.. this observatory gives an excellent view of the buildings in the TRNC. We walked the long Ledra Street to the very end to see the custom then walked back to find this building. The entrance is not along Ledra Street but you can find it very near to McDonalds.,Shacolas Tower
40,A beautiful stop to get to know the history. The view from the 11th floor is splendid. 2.5 euros per person entry make sure you visit this place. Its located in the building right above H&M store.,Shacolas Tower
40,"I always recommend this observatory to everyone visiting Nicosia for the first time.It gives a quick overview of Nicosia's history, cultural legacy and historical monuments. It offers panoramic views of the city, maps explaining the most important monuments and places, and a descriptive video (albeit oldish and at times of suboptimal quality) briefly explaining the island's history.",Shacolas Tower
40,"The view is amazing. Although not very high, you get a good view of the surrounding area. If you have binoculars, it would be even better experience.",Shacolas Tower
40,Nicosia is not a high-rise city so being on the 11th storey of the observation tower offers a decent view over the city and across the border into Northern Cyprus. You almost get a 360-degree vista if you crane your neck around the southern facing windows. Don’t miss the film in the centre the room behind the curtains.,Shacolas Tower
50,Very good and quite place. In one small room they explain the history of Nicosia and everything about the war and gates,Shacolas Tower
20,"We were very disappointed in this observatory. It is not that high, so you can see only some parts of the city.I would not recommend going.",Shacolas Tower
20,"It's not much of a museum. It is a decent observatory though, espessially if you bring your own equipment! But even then, if you need good quality pictures you won't get them there as thick, often dirty glass will get between you and a usable shot.",Shacolas Tower
50,Great views with a brief insite into Cypriot history with a short film and plenty of information on display. €2.50 entrance fee and lift access.,Shacolas Tower
40,"This tower is not that high, however it gives you a great view over the entire city. Although the view isn't amazingly pretty it does show you all of North Nicosia and you can clearly see the Turkish flag on the mountain opposite and appreciate the scale of the city. There is a nice video also which tells you all about the cities history. 2.50 Euros per adult, under 12's free.",Shacolas Tower
50,"On the 11th floor of what otherwise appears to be an office block this is a very nice point to view the city and look across the border to the giant Northern Cyprus flag. Large windows cover almost every side so it is good to get your bearings but also pick up some post cards, enjoy a respite from the heat and even use the toilets. There is even a short video history and written history boards.",Shacolas Tower
50,Worth a trip up into this modren tower in Nicosia as the small museum and exhibition is interesting and the views are spectacular.Good signage for oruentation and sightseeing.Small 2 eu fee from memory,Shacolas Tower
50,"I would suggest that this be the first start place in the city. With video documentary and view points via window and the information panels, you could have a very good understand the ample information about the city.",Shacolas Tower
30,"From outside it does not look as anything special and you can hardly see the tower from the very busy Ledra street or nearby streets.The same views can be seen from other parts of Nicosia, so I cannot recommend it.",Shacolas Tower
30,"The panoramic view is really nice and I liked that it had a small ""room"" where you can listen to the city's history while watching a video. On the other hand there is no access for people with special needs or parents with strollers. The room was small and I believe that it gonna be easily crowded..",Shacolas Tower
30,"if you are nearby the bazaar you can visit here but in my opinion its not worth it if you just want to see this location , i suggest to visit more cultural location , this place is absolultly missable",Shacolas Tower
50,I recommend you to visit this observatory&museum in order to understand more about Lefkosia. You'll have a 360 degrees views with a map and the main buildings of the city located on it. Also a video documentary presentation of the history of Lefkosia.,Shacolas Tower
40,This was easy to find and entered via a signed entrance at the side of H & M. A lift takes you to the observatory where you pay your €2.50 entrance fee. Nicosia may not have the finest cityscape but you do get an excellent 360 degree view of the city. It is good for getting your bearings and signs help you pick out the main points of interest. There is a small presentation on the history of Nicosia and for us the photographs showing the city over the years were interesting to see.,Shacolas Tower
30,Hardly worth visiting as there really isn't that much to see at such a low level. Its only 2.50 so at this price doesn't really matter if you waste your money. No pram access!,Shacolas Tower
50,This was a great find. Really easy to locate next to the main entrance of H&M. Worth the 2.50 euro entrance fee. Great views of the city below from all 4 sides and a really informative video and info panels,Shacolas Tower
50,"The entrance is just off Ledra Street, in the H&M building. No problem with the lift up to the 11th floor, then you pay your 2.50 euros and enjoy panoramic views over Nicosia with interactive displays informing about various landmarks and a film about the history of Nicosia. It's not a huge space, but well worth the entrance fee.",Shacolas Tower
