r_points,r_text,place
50,"Under the guidance of a local guide, visit this beautifully painted church inside and let the story of the paintings come to you and be amazed. photographing the interior is strictly prohibited",St John Cathedral
50,Small church in the complex of Archiepiscopal Palace. Absolutely not to be missed as it has beautifully painted ceiling. Something like Cyprus version of Sistine chapel.,St John Cathedral
50,"Built in the 14th century, this is awonderful byzanthine gate through the history of Cyprus.As the Sistine Chapel of Voronet, Gura Humorului, Romania this chapel has paintings that shows the influence of painters and of their art over the popular Christian mythological…",St John Cathedral
40,This is a beautiful and very compact cathedral with some wonderful frescoes. Best to visit when it’s not full of a tour party as it’s small and there’s a lot to see and admire.,St John Cathedral
50,The cathedral church is small but very beautiful. It is in the yard of the archiepiscopal palace of Nicosia.,St John Cathedral
40,The place is nice to be visited and it worth a visit because it's very close to the border and very well preserved.,St John Cathedral
40,Small seventeenth century cathedral built of yellow stone with a barrel vaulted roof.Features some superb paintings of biblical scenes including a dramatic depiction of the last judgement.,St John Cathedral
30,The opening time is from 9 to 3. We arrived at 3:30 and missed.The info on TripAdvisor and visitcypus website is wrong,St John Cathedral
50,"Orthodox in Cyprus are very familiar with this church as it have been televised so many times, so many years.Small but interesting.",St John Cathedral
40,"Originally the church of a monastery, now a (small) cathedral. Very beautiful 18th century wall-paintings in vivid colors. Church of the archbishop and luxuary places for the ambassador to Greece, the president and his wife. Very nice golden isonostasos.Always many groups to visit this church.",St John Cathedral
30,"This Orthodox church is in Greek part of Cyprus, looking at the sexiest, very beautiful architecture. What's worse, it's hard to catch you when you do it, and when you do not visit, you do not ask anything. When we were, the church was closed. Monday was the day we came.",St John Cathedral
20,"We had driven 2 hours to Nicosia and went immediately to the Tourist information, asked about which sites to visit and then left to make our plans over a quick drink. Meandered through the shops up ledra street, had lunch and then headed for the this, the Byzantium Museum, Archbishops Palace and Famagusta Gate. Got there at 3.20pm only to find this and most other places closed at 3 and did not open again till the morning. Archbishops Palace did not seem to open at all! Tourist information should have told us this and we could of planned accordingly!!!",St John Cathedral
20,"The Cathedral is small but beautiful. No photos allowed which is fine we understand this as many churches have the same rules. However in all the churches we have ever been in they allow you to buy candles and light them for loved ones lost. We did just this, only 30 seconds later to have a member of staff blow them out and replace them into the box so others can 'buy' them again. This deeply upset us as they were lit for loved ones lost. The church is worth visiting and is free.",St John Cathedral
30,"Very small inside. But outside it looks very unique, beautiful, and historical. Maybe some part was not open to the public.",St John Cathedral
40,Well worth a look. Free to enter .great architecture. Very peaceful . Not far from.the other sites on the free map avalible from tourist info,St John Cathedral
50,"You should see this Orthodox church for praying and meditation. Lovely old paintings and icons. Go early, before it's get crowded. Closed in the evening.",St John Cathedral
30,but only from the 18th century. More interesting ones up in the Troodos mountains. One gets the impression that the officials can be full of themselves. Not a pleasant church atmosphere.,St John Cathedral
50,"Just absolutely stunning art work, beautiful, historic and INTACT iconography. Could have stayed for hours just looking.Downside: Very busy place so we were given an allocated time before the next group which was not long enough. No photos allowed, which is quite understandable, but this really lacks any quality books or postcards which would have been useful. managed to get one postcard of the altar but there was so much more!",St John Cathedral
50,"A true example of how the outside deceives the eye. The inside of this church is MAGNIFICENT! Icons, gold leaf everywhere, statues. It is truly breath taking. Go see it & its free. No photos of the inside allowed.",St John Cathedral
50,"This is an old historic church inside the archbishopric's yard. Altough a small church, it is full of treasures and history. The area is nice, you can visit the museum next door too.",St John Cathedral
50,"The cathedral of Nicosia, situated next to Archbishopric of Cyprus, great architecture and very interesting neighbourhood as well",St John Cathedral
30,"This is sort of the cathedral, really rather small. Like many Greek churches it is heavily decorated with wall paintings. The altar area has the usual screen and icons. Pictures are not allowed and tour groups can provide irritating distraction due to modest space. What struck me is that it was nice and worth a stop, but did not seem special, especially since it was surrounded almost by what seemed to be a n ultralavish Archbishops house (palace?). There seemed to be a disconnect.",St John Cathedral
40,This cathedral is set in some very nice grounds and lovely photos can be taken within or from across the street. It is next door to the palace and consists of the usual sandstone style brickwork and large bell tower. Check times of opening as it was closed when I got there and did not have time to go back another day.,St John Cathedral
40,It gets crowded and it is small for a cathedral but it's still worth a visit. It would be hard to avoid on a tour of Nicosia.,St John Cathedral
40,"This Cathedral is located within the Historical district. walking distance from the Byzantine Museum, Folks Art Museum and The Archbishop's Palace",St John Cathedral
40,very nice old church next to the head office of Archbishop in the old town of Nicosia. Especially nice during Easter,St John Cathedral
40,"Entering the small gate, you walk into a complex of several buildings, St. John's cathedral being to the left. Straight on, there is a sort of exhibition centre, which at the time had a school exhibition on in the basement about Cyprus. The cathedral, to the left, inside, was beautiful; the drawings and frescos on the walls were so vibrant and life-like, and very clear and outlined. My favourite one was a dragon that had a huge tongue with drawings on it. Amazing wall paintings. Unfortunately though we weren't allowed to take photos inside. One could only purchase some postcards from the gift shop, and they didn't even have much of a selection. Other than that, wonderful cathedral!",St John Cathedral
30,"Very small but nice from the outside. Unfortunately we could not get in, as it wasn't open at 16.30 on a weekday.Conserning size, it is very noteworthy that the archbishop's palace is at least 10 times as big as the house of God...There is a very good statue at the back of the church however, really worth having a look at (mother with two children).",St John Cathedral
50,Located right next to the Archbishopric Pallace the church is a jewel of religious history and old paintings and icons,St John Cathedral
50,"Ayios Ioannis is the the seat of the Orthodox Archbishopric in Cyprus. It was a monastery until the 18th century. The church has a modest exterior that was required by Ottoman rule, but an impressive interior with gilded woodwork and crystal chandeliers. Covered in gold leaf, the woodcarving is in the best tradition of 18th century Cypriot craftsmanship, and it remains the only church in Lefkosia in which the whole of the internal Frescoes have survived in their entirety.A must visit!",St John Cathedral
20,"Somehow you expect this to be magnificent - a holy place with recent history; a centre for people to come together, but it is very underwhelming. Inside it is naturally full of icons and images. It has all the trappings but is so small. The Archbishop's Palace next door is huge and magnificent; it feels as if the principles are the wrong way round.Very disappointed when inside for some scruffy jobsworth to come into the cathedral telling everyone no pictures and then going to the place where supplicants have lit their candles, made their offering and prayer and simply pulls out all the lit candles and blows them out before putting them in the bin underneath. Souless and tactless.Finding the place is a challenge in itself as is finding the old town area - poorly signposted.",St John Cathedral
50,Easter is a perfect time to visit this very old churc which is in fact in the Yard of the building of the Archbishopric of Cyprus and next to a number of museums of this area.,St John Cathedral
40,A small but particularly beautiful church. The iconography is stunning and of great historical importance. Well worth a visit.,St John Cathedral
50,"The outside is like so many other churches, but the inside is completely different, and so unexpected. Amazing frescos all over the walls and ceiling. You are not allowed to take photos inside, unfortunately. This church is well worth visiting.",St John Cathedral
