r_points,r_text,place
40,Excellent place. Going there often! Parking place plenty. Very crowdy at times usually on weekends!!!,The Mall of Cyprus
40,This is a typical modern European shopping center. Very well organised place making the shopping experience a pleasure.,The Mall of Cyprus
30,"Stopped by the Mall of Cyprus and Ikea in Nicosia.The mall is small, larger mall is in Limassol. A good selection of stores and restaurants along with cinema and food court.Great for a couple of hours.",The Mall of Cyprus
40,After the renovation of the mall this year the area of the restaurant and cafe totally change...is amazing especially if you sit outside. Also love the kids area with arcades was time for it and Hansel&Gretel.,The Mall of Cyprus
40,"Still my favorite mall in Nicosia. Good variety of shops and restaurants. Nicely renovated, but restrooms can sometimes be dirty and tacky looking. Bulky soap dispensers make it difficult to wash. They too need a renovation now..",The Mall of Cyprus
40,"Finally the renovation of The Mall of Cyprus is now finished. There are a few more shops to choose from and the the food and beverage Village has moved. All the cafes I have also performed a facelift which is very pleasant. There is now also a Paul brasserie which is not only for coffee but has great food as well. But the most important Factor about the renovation is the increased parking space which has been a problem since it was built. I think now with double parking spaces. However it is still not resolved the problem with the congestion. I have not researched it completely but I think there are no new entrances into the parking areas. Also, it would be good to be able to get some piece of paper from each parking spot so that you don't lose it as now they are too big. Still not enough things to do for children which get bored in the cafe.",The Mall of Cyprus
40,Mall of Cyprus has finally achieved the name it should be at.With its amazing renovation it has managed to fit more shops inside and be more roomy-ish. The parking is now huge with 3-4 decks of parking.Great upgrade.,The Mall of Cyprus
40,With renovation done recently is much better. You can find different kind of shops and restaurants. The parking area is larger and most important is that you have accesses from different level now. The cinema should be renovated and upgraded. During hot days is good to visit this mall.,The Mall of Cyprus
40,"Nice place to do some shopping, with lots of dining places and a large food hall to sit. Lots of stores.",The Mall of Cyprus
50,Its a big mall....lots of nice shops....and restaurants with delicious food....there is a good bus connection from Nicosia center to the mall.,The Mall of Cyprus
50,The newly expanded and refurbished mall offers a nice variety of stores to eat and shop at with lots of parking. Cleaner and better run than the newer Nicosia mall in my opinion.,The Mall of Cyprus
40,"We were in this Mall during Easter vacation 2019 and spent half a day there. We found almost everything we wanted: a range of shoe and fashion shops, sport specialists, several national and int'l coffee bars (starbucks is the most expensive), and a supermarket with a good selection of daily needed things, diary, bread, drinks, sweets, hygiene articles etc. (Even some ""made in cyprus"" products). There's a food court with TGI Fridays, McD, KFC, BurgerKing, tacobell, chopstick and Pauls coffee, mainly fast food as usual. The cinema in the upper level offered 2-3 movies in english. Very positive: many clean bathrooms, toilets on every level. Lots of parking space.",The Mall of Cyprus
30,The mall is slightly on the small side - so there isnt that many shops to see.....but it will be expanding shortly so this issue will be overcome. Parking is easy - on site underground parking available free of charge.,The Mall of Cyprus
40,The Mall of Cyprus is an ideal destination if Shopping is on the Menu. With a Good selection of Differing Shops plus Food & Coffee Outlets the whole family can be satisfied. Free Car Parking and WiFi helps with the budget and Air Con keeps the Temperature just right.,The Mall of Cyprus
10,"Disappointing, a few shops under one roof. After walking around decided to have a drink and was absolutely horrified at the state of the outside area. The birds are free to fly in and eat any food left over and make a mess on the tables and chairs...... disgusting.....how difficult can it be to put a mesh up to stop the birds???",The Mall of Cyprus
10,"If you want to sit outside with your food, I wouldn't recommend it. There is bird sh*t on every chair. As we left, I saw a table with leftover KFC being picked over by four birds. Absolutely disgusting. Very disappointed in this since they seem to make little effort to clean and there is absolutely nothing in place to stop birds from scavenging. The shade sails are all torn and falling apart and frankly the whole area needs refurbishment.",The Mall of Cyprus
50,"Went to the Mall and came across the following HighlightsTGI' Friday's was absolutely fantastic had their top burgers with starters beers and desserts for just Under 50 euros , brilliantThen we Went into the Public Multi Media shop found it a bit expensive, used the toilets very clean every thing working ok .Ta Tim Constantinou",The Mall of Cyprus
