r_points,r_text,place
30,"the hotel is under re-makingthe room ( what we get for 150 € per night ) were sort of apartment , very clean , very big, and just brand new ... bed very comfortablethe interior design is ok .. they need to reset the elevator and the floor hall cos is not clean and old... but it is okbreakfast? no sense.. coffe machine for caffe and cappuccino wasn't working..staff : very nice and friendly..",Almond Business Hotel
20,"Hotel has large rooms, old furniture back from Seventies, I had the misfortune to have the room very close to a new building under construction and there was a lot of noise.The reception was kind of ""I-don't-care"" people, not smiling and neither saying hello when we entered in the hotel.Breakfast is very very cheap, not at business level at all.The zone is full of empty shops and very very shabby, far from the center.I don't recommend it for a business trip",Almond Business Hotel
40,"spacious and elegant with all you need for a business apartment but could do with updating. staff very friendly and helpful. location central and within easy reach of restaurants and shops, local supermarket close by",Almond Business Hotel
40,"I have stayed here as I had a very quick 2 day meeting in Nicosia and as such its clean, its convenient, the breakfast options are acceptable and got a good nights sleep. If you are looking for somewhere to spend your days in however then this is probably not for you as the setup is not designed for this type of break.",Almond Business Hotel
50,"I had been staying in that place several years ago. I was definitely happy to be back again. Located in a quiet street, you can enjoy the relaxed atmosphere; even if the aparthotel is fully booked you never find it crowded: neither in the lift, in the breakfast room or in the lobby ! Rooms are very large ... big sleeping room connected to a living room with kitchen. Bathroom with a large shower. Very clean -I appreciated a lot the perfumed towels. Large table where to work. Nice and helpful staff. The only negative side of my stay was the hot water which -considering I was staying at the last floor ( provided that was the real cause of it)- took always a while (some minutes) to arrive. Excellent price/quality ratio.",Almond Business Hotel
40,"Located a regular neighborhood, the hotel is by no mean spectacular on the outside. Once inside, you discover a well kept and comfortable hotel. Everything is spotless and the staff always tries to assist.Rooms are big and comfortable. Although my stay was for business, the hotel is obviously appropriate for families and couples on holiday.Breakfast is basic but more than appropriate.",Almond Business Hotel
30,"This hotel is something of a budget version of Marriott Courtyard properties. I stayed in a 1 BR suite, which has a basic kitchen (small electric stove, sink, mini-fridge). Property was clean, but not particularly luxurious. It's what you pay for - a basic place to sleep. Hot breakfast is nicely done.",Almond Business Hotel
40,"Booked for two nights for a business trip. Looks basic but rooms are large, beds comfortable, AC included, balcony and the breakfast went over my expectations.Everything is very clean, which is what you would want as a first thing on your list of requirements! Am due to return in a few months and will be happy to stay again. Good location.The only things that didn't make me give them a 5stars rating are the reception staff - Not very warm, we booked airport transfers (45€) via Almond Suites and I wasn't told we needed to pay the driver cash, that could have been awkward. I mentioned it was my birthday when booking and no little gestures. They recommended the local Monaco cafe for dinner but they didn't have half the drinks we wanted there although there's a more upbeat place called Aperitivo right opposite the Monaco cafe. No bar at Almonds suite which is a shame when sitting on their terrace outside.",Almond Business Hotel
30,"My travel agent booked this room for me but this was a mistake. This is a hotel for families on holidays – I really do not understand the word “business” in their name. Very spacious suite with a full kitchen BUT an empty fridge, a closed bar in the lobby and an automated vending machine for water and minerals are not what you need if you overnight on a business trip. You should watch it if you expect a normal “business” hotel.",Almond Business Hotel
50,"very nice hotel situated 5 minutes from city center, with big rooms and nice showers, free parking and nice breakfast. Recommended for business travelers and families. There is a kitchen and nice breakfast.",Almond Business Hotel
30,"The hotel is well situated in Nicosia, in a quiet neighboorhood. It is a very functional and clean place, with friendly staff.The reason why I don't give it a higer rating, is that it is a very cold place, with almost no decoration, the room in a plain beige colour, and the corridor to reach the room is like an old school, grey and cold.The breakfast is good. It might be recommendable for families, as the rooms are like appartments with a kitchen and a separate living room, but staying alone in this place didn't make me feel at home.",Almond Business Hotel
