r_points,r_text,place,
40,"The staff were very friendly. The first room that they gave me stank of cigarette smoke but the reception was very quick to change the room. The second room was perfectly clean and sufficient. It is very basic but perfect for my needs. The breakfast was OK, I have had better but what was on offer was fine.",Altius Boutique Hotel,Review 1 Similarity:  0.41602514716892186
40,"I was coming for a three days business trip. The room was correct and clean, and the bed comfortable. The breakfast was not the best I had but honest. The staff was extremely polite and dedicated. For this kind of stay : leaving early and coming back late, the place was perfectly fulfilling my expectations.",Altius Boutique Hotel,Review 2 Similarity:  0.3779644730092272
30,"I stayed here in September 2019. I stayed for one night. The room I had was very simple and dated. It was a pace to sleep and lock up my luggage, but I had a room overlooking two busy streets from the second floor, so it was noisy until late in the evening. Fine seafood dining is available at Pyxida a short 15 minute walk away. make reservations; this excellent restaurant is very busy. Also right across the street is Pantopoleio another excellent and less-pricey restaurant.",Altius Boutique Hotel,Review 3 Similarity:  0.2672612419124244
50,We had a conference here. Nice hotel - simple but clean. The conference facilities were great and food delicious. The staff were helpful and friendly. Breakfast is nice. I was there with a baby and it was comfortable,Altius Boutique Hotel,Review 4 Similarity:  0.0
40,"The staff is amazingly helpful and friendly, always smiling, offering tea, coffee or whatever you need. The food is delicious and diverse. The rooms are clean, just need to be ventilated more if people were smoking in there. Generally, highly recommended 😉 Vilma",Altius Boutique Hotel,Review 5 Similarity:  0.0
50,The staff and facilities were second to none. The location is superb and is within a 10-15 minute walk of the famous Ledra Street. The rooms were spacious with plenty of space for families and couples. I would highly recommend staying here if you have the opportunity to do so. Thanks goes out to everyone at Altius for making my stay in Nicosia unforgettable.,Altius Boutique Hotel,Review 6 Similarity:  0.35355339059327373
40,"The Altius was chosen as the event hotel for a conference I attended. Very good location, within walking distance (20 min) to Central bus station and Old town. Staff are extremely helpful, speak several languages, go out of their way to be helpful booking a minibus, seeking out coach timetables, offering advice on historic sites or attractive beaches. Always ice cold water by Reception to remind you to hydrate! The rooms are a good size, bathroom fairly large as well. Very clean! The street it is in gets noisy after 6 a.m. but shutting the windows and switching A/C on deals with that. Breakfast was very good, with local Cypriot foods along with the expected European fresh and cooked goodies. Highly recommend the Altius!",Altius Boutique Hotel,Review 7 Similarity:  0.2
30,"The people at the Altius are agreeable, helpful and eager to please. The bedrooms are dated and tired. Two examples. 1. Our bathroom had no grab handle or support when getting into/out of the bath/shower (perilous for those with stiff backs) and the floor, while clean, showed wear and tear. 2. The desk has no power points: the nearest one was used by room's standing lamp - at least 3 power points by the desk are needed (more are desirable).",Altius Boutique Hotel,Review 8 Similarity:  0.5
50,"Excellent but a little bit noisy location because of traffic.With a very friendly staff, this hotel is an excellent location to start exploring Nicosia. The rooms are space enough, very comfortable and the breakfast not very varied but very tasty.Certainly in the future we'll stay again in this hotel. Thank's Altius Boutique Hotel and see you soon !",Altius Boutique Hotel,Review 9 Similarity:  0.2
50,A highly recommended hotel in Nicosia. It is close to all amenities and the staff are extremely helpful.Moreover the rooms are always cleaned and the breakfast is really good.It is very reasonably priced and thus if you’re planning to stay in Nicosia for a couple of days I highly recommend you stay at the Altius.,Altius Boutique Hotel,Review 10 Similarity:  0.375
40,The service was very good and the staff was attentive and friendly.The location is OK.The room was also nice but on a noisy street and without dougle glazing windows this can be an issue. We could hear the noisy coming from the restaurant opposite the hotel but luckily at midnight sharp they stopped the music.Breakfast was nice.,Altius Boutique Hotel,Review 11 Similarity:  0.2886751345948129
20,"I have been hosted in a room dedicated for disabled people, without me knowing it ahead of time. When I asked from the reception to change they told me that there is no other room available, it was already 21:00 o clock. Once I had a shower it was not possible to enter to the bath room again, (see picture) unless I take into consideration that I had to get wet shoes and underwear! There is an instant coffee maker (water heater), no sugar, no spoon. The room is at the first floor that is very noisy from the street that is in front of the hotel. There is a nice family feast aura to just across the street, that makes life easier for lunch or dinner. Breakfast I will comment once I get the experience.",Altius Boutique Hotel,Review 12 Similarity:  0.4472135954999579
50,"Arrived with no booking and they sorted us out straight away and provided amazing customer service throughout our trip. Beautiful hotel, decent sized room, very clean and friendly. Would definitely reccomend",Altius Boutique Hotel,Review 13 Similarity:  0.4472135954999579
30,"The first impression was probably the worst. We arrived with a partner at 23:00 and they gave us the wrong room twice! The third time we finally got our room, after we wake up another customer.Breakfast was ok, but service was not up to the expected standard.",Altius Boutique Hotel,Review 14 Similarity:  0.5669467095138407
