r_points,r_text,place
50,"Like having a family in Nicosia. We loved staying at Asty in November will always stay here, we had more reservations last May but due to covid we had to cancel I pray we get back next May. They are everything a hotel should be. Thank you!!",Asty Hotel
50,"OK, it’s a good value 2 star hotel, it is modest and a little old fashioned, but...... a super hotel with comfortable beds, but more importantly with super friendly staff. An enjoyable stay. My only critics was that they provided clean towels every day and took the once used soap away... perhaps they were trying too hard. But I would recommend this hotel unreservedly.",Asty Hotel
50,"Highly recommended hotel, I booked this hotel for my 50th birthday and valentine's day. Arriving the day before valentine's day I was very surprised to be upgraded to one of the Executive rooms, in particular room number 506. The room was clean, well presented, the bed was very comfortable, the room also had a large sofa, nice bathroom with nice shower. The room had a large balcony, tea and coffee facilities, a fridge, television with many channels, a heater which kept the room warm. There is 24 hour access to drinks and snacks in the restaurant area, along with breakfast which has a good choice and selection. The hotel also offers a free shuttle service which was useful to get to and from Solomou Sqaure. As well as the free shuttle service, there is a gym, a games area, crazy golf, access to bicycles. The hotel is also located to a very good bus route with the 259 bus linking Solomou Square which is the main area of Nicosia for transport links to airports, other resorts, and the Nicosia Mall and Cyprus Mall. The staff here are all very friendly, very welcoming and very helpful.",Asty Hotel
50,"Large room. Very clean. Friendly staff. Good breakfast: choice of eggs freshly prepared plus buffet with some cheeses, bacon, potatoes, mushrooms, beans, some breads, juices, fresh fruit and tea and coffee choices. Specially appreciated the snacks available without charge all day: jello, yogurt, rice pudding, coffee, tea, apples and oranges, Turkish delight and some others.Asty is about 1 mile from Nicosia center ( walkable) and there are some restaurants and shops in area. I used their free shuttle to Nicosia provided ( said allowed 2 times each day: do not know charge if request additional times ) on demand. Presumably if hotel is busy there could be waits but I never had to wait.Also there are free bikes available ( helmets and vest said to be provided) but I did not see anyone use them",Asty Hotel
40,"The hotel has a homey feel and is located in a quiet neighborhood at a 10 min drive from the old town. Has a private parking lot. Its rooms are a bit larger than normal (small) European standards, have air conditioning (a little noisy) for heating and cooling, a refrigerator and a TV screen with enough news channels. Breakfast buffet is just ok and includes eggs prepared as you like. They should improve it, by offering for example, more juice choices. WiFi works well everywhere. It offers a free shuttle to downtown twice a day, has bicycles for rent and also a self service laundry for a small price.Its prices are very reasonable. Good place to stay!",Asty Hotel
40,"The Atsy is a little different, a touch dated but well maintained and very well run. The reviews about the great staff are spot on, they were super helpful. The room is a touch on the smaller, sort of Euro sized, but ample. The room I was in didn't really have a desk so for biz travelers, this could be a bit of a difficulty. The wifi was pretty good and since my cell phone didn't work in Cyprus, I pushed that a little. The room was sort of artsy with tiled pieces throughout and colorful tile in the bathroom. The Atsy taxi service doesn't go everywhere but since I was working at the University, they took me two days which was nice. I didn't use the bikes but that is a nice touch also. Breakfast was good and custom made eggs every morning. The price was very reasonable.Next time I'm in Nicosia, there is now doubt where I'm staying,",Asty Hotel
50,I stayed at Asty for a work trip in November. It's a bit quirky but I loved it. The staff were incredibly helpful especially when I locked my hire car key in the boot of the car. On that note there is ample parking available. They have bikes to hire and a free taxi service to the centre of Nicosia.Great breakfast too. I already am looking forward to my return in March 2020.,Asty Hotel
50,"From the second we walked through the door, warm smiles and kind words made us feel immediately that we had made a good decision. Although we had arrived early, we were invited to have a free drink and cake while we waited for our room to be cleaned. Then we were upgraded to one of the three executive rooms- spacious, funky decor, spotlessly clean, warm and inviting, with a fridge, safe, hairdryer, kettle .... fantastic!After a busy day sightseeing, we headed to the small bar and asked for a glass of wine. As I produced my purse, the lady smiled and said it was complementary! Wow! The whole hotel was warm in December and we felt very comfortable.Breakfast was buffet style with a big range of hot and cold food. Eggs were cooked to order and there was everything you could possibly want. We have never, ever, received such warmth and generosity from hoteliers anywhere in the world. We were allowed to leave our car on site until we were ready to leave the city, and when we popped in to say a final farewell, we were once again offered a drink and a snack before we left. Incredible hospitality, yet , thankfully, we didn’t witness anyone taking advantage of this. The family are warm hearted and genuine and it seems the clientele respect this.Just one thing to note: the street has quite long sections with no pavements, so take a torch if you plan to walk out in the evenings. Other than that, just try this little gem for yourselves!",Asty Hotel
50,"My friend and I visited Nicosia and stayed for a week in Asty Hotel in October 2019. Hotel was very clean and felt like home to us,it offers a lot for a great price. We kept asking if stuff there is for free because we couldn't believe that it offers so many great (and free) things haha! 😂All of the employees we met there treated us in a way that made us feel so welcome and good. They helped us every day with some great advice, etc. We sure hope to come back there soon! Greetings from Croatian girls, Dorjana and Amelia! 🤗",Asty Hotel
50,"I have a Cyprus family now. I can not express enough of how this hotel makes you feel welcomed and appreciated. The staff is unsurpassed and the hotel fits like an old pair of jeans. It is clean and warm. The hotel was built in the seventies, of which, coupled with the service will wisp you back when people mattered and comfort was Paramount. The breakfast is complete and suptuous. I was there with my family and we got to select our rooms and traveling with a 10 month old infant, they instantly brought a baby bed to complement our spacious room. We will return to Asty to see our new family members and relish in the warmth of their generousity and warmth. I suggest you do the same!",Asty Hotel
50,The Asty hotel is well worth considering if planning a visit to Nicosia. The rooms are comfortable with tea/ coffee making facilities . There is plenty of space to chill and relax around the reception area. We were made very welcome during our stay and the free shuttle service into the city centre is a bonus.,Asty Hotel
30,"The room was basic, clean and quiet, but the location i did not like, it was a 20 min walk to civilization and not much street lighting, The Bar was not stocked so on arrival i couldnt get a beer, apart from breakfast there was no other meals available. I left after one day and went to Larnaca which was much more inviting",Asty Hotel
40,Asty Hotel is a budget hotel not far from the city center. Free shuttle services to and from the city center are provided and bike rentals are available. The hotel has an own parking lot and offers free parking. The rooms are basic but very spacious and clean. Breakfast is standard but sufficient.I was very impressed by the super friendly service and felt at home right away. Would definitely recommend Asty Hotel for a short stop over in Nicosia!,Asty Hotel
