r_points,r_text,place
50,What a sweet hotel out the way and quite .. came to visit my son and wanted some chill time and that’s what we got after walking all day came back to a warm friendly hotel ..breakfast was great ..Would recommend this hotel to any one .. thank you for a amazing stay ..,Averof Hotel
40,"Stayed two nights at this hotel.Very much liked the balcony in the room and check in was relatively easy.The hotel is dated but has a certain charm about it.A shop and a few restaurants within 10/15min walking distance.25min walk to local museum and art gallery.Breakfast wasn’t great but the effort was made at least. Paid for by work and I wouldn’t have been happy if I had paid for it.The staff were accommodating but communicating to them wasn’t easy.If you want a short and sweet visit, one or two nights, I’d recommend this hotel. But no longer.",Averof Hotel
40,"I was on a business trip and needed a place near the office. This hotel is in a quiet place with AC and a small balcony. Even it's outdated, the place was very very clean. Loved the architecture of the hotel.",Averof Hotel
10,"We booked a twin room for two nights, but when we got there they said they did not have our room, but would put us in a bigger room. We thought great!!. We were given the key and went upstairs to the room. This was a 5 bed dormatory, with an empty fridge on a table and a pokey bathroom...nothing else.We went downstairs and was told i could have one room and my friend a room on another floor!!! We asked for our money back and went somewhere else.You get what you pay for. If you just need a cheap night or two this is for you. Just do not expect comfort as well.",Averof Hotel
50,"HiI visited Nicosia in Oct for two days and have to say is quite interesting city!! The hotel was excellent value for money just about 15-20 min walk from city centre,so from the bus station to the hotel you can see many interesting things and history about Turkish occupation, then you can pass a lovely palms park then cross the road and you are in really nice quite residential area and couples more streets and you are there;))Is quite easy to find, the blond lady on reception probably owner of the hotel was very nice and polite. The check in was from 2pm and my room was ready for collection ;))Is really nice old hotel is looks like chalet in the mountainI have got a very nice massive big room with six single beds ..I was feeling as in the cartoon Snow white and her seven a little men hahaha....It was a really nice clean room with private bathroom.I had a very good sleep quite comfortable bed and then I had a really nice breakfestwhich was included the price.The breakfest was very nice and tasty, good selection of food, quite enough at the morning;))The housekeeping and breakfest staff was excellent !!! They are very polite and with smile on her face help you if you need. Well done and thank you!!!So if you are looking for a really nice not so expensive hotel in Nicosia I really recomended thi hotel.ευχαριστώ !!!Mario ;))",Averof Hotel
50,"Excellent value for money. Comfortable and friendly hotel, with a kind and professional personnel. It looks like a very stylish old inn. Quiet, clean, bright, cosy. Breakfast was luxurious, you could choose among many kinds of food, including fruit, fruit juice and honey. They must be No.1 in Lefkosia!",Averof Hotel
50,"I stayed at hotel Averov for 3 nights (1-4 February 2018). I was really impressed by the friendliness and professionalism of the staff, the cleanliness of the place and the very good breakfast. The hotel is located at Ayios Andreas suburb of Nicosia, a very quite and green area. It is a 10-15 min wall from Nicosia downtown, very close to government and commercial area.The hotel is decorated in a 70's ""country"" style, a little bit aged but very well preserved and maintained. My room was somehow small for my taste, but still comfortable, with a large closet and bathroom. Wi-Fi available everywhere, a bit slow though. Amenities basic, including shampoo and soap only. However hot water needed a few seconds to come through the tap.I would unconditionally suggest it as a place to stay in Nicosia, especially for professionals who need a quite, budget accommodation for their visit in Nicosia. And, certainly it will be my first choice for accommodation every time I visit Nicosia. Excellent value for money.",Averof Hotel
50,"A lovely place, friendly and cosy. Comfortably located in the centre of town, yet not in the middle of tourist attractions. Average prices and very helpful staff. Better if you have a car to move around.",Averof Hotel
40,"stayed here twice and are due to visit a third time .excellent service friendly staff.,Rooms a bit tired but very clean and comfortable location excellent 10 min walk into centre of Nicosia.Would defitnetly recommend this hotel value for money",Averof Hotel
40,Tradition hotel in a more residential area..continental breakfast was fine ..free tee and coffee at any time..nice private balcony and a sitting area by the main entrance..the staff are welcoming and helpful..the hotel rooms are a bit tired as regards decor...but the price is right so can't really complain...I had to move on due to holiday commitments and went to Rimi hotel in old town Nicosia..this was twice the price and not as good...the booking dot com description on Rimi was totally wrong....booking dot com said they go by the descriptions the hotels give them....averof was accurate and value for money.,Averof Hotel
