r_points,r_text,place
30,"Liked: Close to the museum and a walking distance to the shops etc. Clean. Quiet at the rear. Good breakfast. Didn't like: The air-conditioning was noisy - offered another room but smaller so declined, safe not working - offered another that could have been carried away!For the money I thought it was of reasonable value.",Castelli Hotel
20,"Stayed for one night during a business trip, due to lack of rooms in other hotels.The only positive thing is the location, walking distance to Lidras street and the old town.Both receptionists (night - morning) were very kind and helpful.Room needed some basic maintenance or even renovation, it certainly shows it's age. Bathroom was extremely small. Air condition was functional and adjustable.Bed mattress was very soft for my liking.The worst thing was breakfast. Probably the worst breakfast I've encountered in all my travels.. Juice and coffee were terrible, ham and cheese seemed like they were frozen, bread was from a couple of days back, there was a single slice of melon for fruit and not replenished while I was waiting and finally there were ants walking all over the bench and inside the bowl of croissants. Just terrible.",Castelli Hotel
30,"Basic hotel in a central location. Small room, dirty floor, water dripping from the ceiling. Basic breakfast, without variety. Receptionist ok but nothing special. The price is quite high considering the whole service received.",Castelli Hotel
20,"Left my bags around 10.30 am. Got back around 2.30 pm, hot and tired. Room was ready....or was it. No soap, no tea/coffee facilities, no luggage rack. Couldn't find the hair dryer. ""It's in the desk"". Great... the mirror is in the bathroom and the hair dryer is permanently built into the desk. The window is tiny and there's no view.All and all, very diappointing. On the up side, location is ok and the breakfast was good.",Castelli Hotel
50,"The service was very good, very friendly and helpful, they leave you very comfortable. The hotel is well located near the center, The room was very spacious.Excellent cleaning service, well organised.",Castelli Hotel
30,"Prime reason to book this place was the included private parking. Staff was friendly and gave us a better room than booked. Nevertheless the room was a bit run down and the heater very loud. Bathroom has a huge partly transparent window provided for your inconvenience and several essential amenities where missing. Also the shower leaked a lot of water to the floor and waterflow, presure and temperature is very inconsistent.Staff and other guests where quite loud in the morning and also noises from the town make sleeping quite hard.The locations is quite good and everything in the old town is within 20min of walking.Could really use a refurbishment. Prices where very high considering the run down place and breakfast is quite bad.",Castelli Hotel
50,"After a long day driving around we planned to just find a radom hotel to stay the night, and very glad we chose this place. It’s quite and in an amazing location.The young lady on reception couldn’t have been more helpful and despite her warning me our room was a small one we found it lovely and in our opinion not really that small. As it was late she wanted to make sure the room was ready so we left our bag in reception whilst it was checked out. Both my wife and I had a great night sleep and Cam enjoy another lovely day in the capital city. Will come back for sure and hope to book in just before Christmas for some shopping as the location is within walking distance of sightseeing seeing, bars, restaurants, and many places to eat. Thank you",Castelli Hotel
20,It is below 3 star standard. Problem is that is not clean and there is a strange smell in Hotel. Price too high for given quality.Daleko ispod standarda od 3 zvezdice. Nije čisto i svuda u Hotelu se oseća neprijatan miris. Cena je visoka za ponudjeni kvalitet.,Castelli Hotel
30,"Although it needs a renovation a sap, it still provides the basic requirements for a short stay in Nicosia. Clean rooms, nice bed, helpful staff. I would like to see it transformed to a nice boutique hotel some day. Fair price,around 70 euros per night.",Castelli Hotel
50,"The place is excellent and the staff is very kind and helpful..the service was also really good.The location is perfecr because is next downtown,cafes,restaurants so it's pretty beneficial.I really enjoyed my staying there.",Castelli Hotel
20,"My room was clean but others in my party complained they had insects crawling in their room. The decor needs refreshing as it is outdated. The receptionist I dealt with was good: friendly, helpful, polite. All the others just seemed to do the bare minimum they needed to do. I get the feeling this stems from the mico-managing hotel owner: everything has to be done his way or take a hike kind of attitude. The continental breakfast was ok. It was basic but there was a small selection of cereals, breads, and meat. Pleasant.There are better hotels in Nicosia for the same price range.",Castelli Hotel
10,"When you see a message from the management in the elevator like the one attached, you know it’s not looking promising.Guess what, the reviews online are accurate and if some visitors left in an “emotional state” it’s no surprise why. Just a few hints for the management so they can deal with the issues rather than blaming their customers for the bad reviews:* Had to wait 10 minutes at check-in for the receptionist to finish a phone call. Afterwards she told me she was on the phone talking to her manager. Clearly she and her manager have their priorities straight (i.e. not the customer)* Room is in desperate need for refurbishment. Wood panelling on ceiling about to fall down, mattress is bumpy, walls and furniture have stains on them* Staff is not empowered to take any decisions or help customers. If you have a problem you are referred to “the manager” who is never on site* There was a colony of little brown ants having a party overnight in my bathroom and they were all over my toiletries* there is a mini bar in the room. It’s empty* breakfast was very basic and not tasty at all",Castelli Hotel
