r_points,r_text,place
50,"Located in the center of Nicosia very close to the famous Ledra Street, and its shopping, Bars, Restaurants, and Cafes. All the rooms are fully equiped with all the facilities the client needs to ensure his comfort, including fridge, and tea,coffee facility. We found the Staff and Management friendly, and very helpful. I always stay at the Centrum during my stays in Nicosia.",Centrum Hotel
50,"As a repeat customer, i am impressed by the renovation of the rooms and bathrooms. Friendly and great value for money. Very easy access with the contact free check-in. Well prepared measures to practice social distancing.",Centrum Hotel
40,"Nice clean room, helpful staff, nice breakfast with fried, scrambled and boiled eggs, sausage, bacon, beans, Cypriot toast (toasted village bread with olive oil and oregano) and fresh mash tomatoes with eggs and feta cheese (a must) as hot dishes with assorted cold cuts. Fruits, fresh juices and a variety of coffee to choose from. All in all a pleasant experience. The only drawback is the wifi did not reach our room. I had to leave the room to get a connection in the corridor! If they fix this issue I will definitely be back next year.",Centrum Hotel
50,"The hotel is in a great location, the main street is just around the corner. We stayed in the traditional room, it was cozy and beautiful. Inside the hotel has lots of antiques. The breakfast was very good and the staff are very friendly and helpful.",Centrum Hotel
20,The Centrum Hotel is on a pedestrian street in the heart of downtown. The location is very good and the main reason I stayed there. I booked an Executive Room thinking it was a better quality room. It wasn’t. The bedroom and bathroom we’re a step above a dorm room. There was a tv but no English channels. My room was on the 2nd floor and street noise was a constant problem. The noise on Saturday night was particularly bad. It was loud and lasted until 4:00 am. WiFi was very slow. Housekeeping was fine for cleaning the room but failed to replace items. One day they forgot the bottled water. Another day they forgot the instant coffee. Breakfast was above average with a good variety of food. Front desk personnel were not friendly for the most part. The guy from…,Centrum Hotel
40,"I was in Nicosia on business and this hotel had been chosen for us by our company.No complaints really because the rooms were spacious, comfortable and clean. Rather than getting a taxi from the airport I caught a bus and found the hotel without any problem.One morning it was deemed too early for us to have a breakfast and we were given a packed breakfast which frankly wasn't good but then arangements were made for us to enjoy a hotel breakfast for the rest of our stay which is a choice of trad, English and continental so no complaints on that front.I was lucky because my room didn't face the local nightclub which did get noisy in the early hours of the morning: the only disturbance was from a mosque which must be located on the other side of the Green Line when it broadcast prayers early in the morning.Conveniently situated to go shopping / mooching around Nicosia or to walk up to and cross over into the other part of the city. I'd recommend this hotel for any visit to the city.",Centrum Hotel
20,"This hotel is very close to the boarder, and conveniently located to the main street.Other than the location, room and bathroom m are not clean, very rude frontdesk staff, and noisy at night.Not satisfied with this hotel.",Centrum Hotel
10,i went to the hotel lobby asking for check in at 11 pm where the GSA quoted me the price which i didnt accepted as it was cheaper in expedia.com and he badlz behaved with me and asked me to leave the hotel ASAP stranding me alone in the street. Verz bad service and even though location is in central CBD but service is very poor. I will never recommend it to any1.,Centrum Hotel
50,Hotel is well located for walking within central Nicosia. It’s 5 mins to the green line. Literally down the street. Shopping you will be well served. Business or pleasure well worthwhile.Room was spacious. Bathroom fine. Although it did take me s few minutes to work out temperatures in the shower. Room thankfully equipped with air conditioning easy to manage.Breakfast and hospitality with catering was fabulous. They guy remembered my room number. Interesting to see a kalashnikoff rifle strapped to the wall as decoration alongside copious bikes and sewing machines as decor.I would recommend,Centrum Hotel
20,"The only great thing about this place is their staff. All of their staff from front desk to house keepers to kitchen staff are GREAT. The hotel itself needs a lot of upgrade. Make sure you get a nonsmoking room. Do NOT stay on the first floor. It stnks terribly and you will find ants everywhere. Spend a bit more and reserve an executive room. The executive room is at an old motel 6 standard level and at least cleaner than their standard rooms. When possible check your room first before taking the assigned room. The breakfast is ok, and wished they had better quality cheese. Loved the staff. Ps: the dinning room and lodging room pictures on internet are much prettier than what you will find in real.",Centrum Hotel
10,"The hotel seemed great from the beginning. However, when shifting through the cabinets, I found a set of used syringes/blood on the shower curtains. I question whether or not the room is actually cleaned or not. When approaching management about it, they placed the blame on a diabetic that recently stayed at their hotel. I wouldn’t stay here if you even paid me, and their are plenty of hotels in the area that may not be as centrally located, but at the very least, are clean.",Centrum Hotel
50,"Stayed here 8 to 11 July as I was in Nicosia for business. I was allocated one of the traditional rooms and it was beautiful. Spotless and the bed was so comfortable and the shower was powerful. Breakfast was good quality, with a good choice. The staff were just so friendly and helpful too. It's situated in the old part of the city with so many food quality restaurants near by. I'm so glad I chose to stay here rather than one of the larger hotels which were so isolated from real life. I hope to visit Nicosia again and will definitely try and book Centrum again.",Centrum Hotel
30,"Location was perfect. Reception book in was very good. The bedroom was clean and spacious. On the downside, the advertised restaurant was only open for breakfast. The bar was at best, poor and the staff on the whole were unfriendly.",Centrum Hotel
40,"Centrum hotel offers nice rooms, good facilities, and helpful staff. The breakfast included in the price has all kind of food for all the tastes. It is close to Ledras street where there are all the shops, cafes and restaurants and near Solomon square- the bus station. It has step-free access to the restaurant.",Centrum Hotel
30,"I choose a traditional room, but to my surprise it was a very dark room. It had 2 windows, one was blocked with lots of rubbish and the other one opened for 4 cm maxim and we could hear the neighbors air con all night (The kindly offer another room but it wasn't better).The mini fridge wasn't plunged in, we had to pull it out and plug it and the TV remote had only one battery.Breakfast was good, nice terrace where you can eat,The location is quite poorly (no parking, we paid 10 euro for 2 night) restaurant and shops are very close by, but you should expect a your typical capital.",Centrum Hotel
40,"This hotel was very pleasant and not too busy despite it being the Othodox Easter weekend. Our room was mostly comfortable however despite saying that the hotel has airconditioning this is not the case or at least it has units in the room but they were off centrally. We had temperatures of the high 20s and 30s with the sun streaming in so sleep was very difficult. The staff were very friendly and helpful, breakfast was good, there is no restaurant for evening meals but plenty of others just around the corner. My advice would be to check directly with the hotel if air conditioning is something you require. Being at the top of Ledra Street it is in the perfect position to walk around the old town and explore north of the border",Centrum Hotel
40,"Hotel is right in city center, have traditional rooms and loads of antiques. Breakfast has some traditional foods and very helpfull staff. The only negative is that it was cold in winter, even with full on heating.",Centrum Hotel
40,"This is a lovely central located hotel. The rooms are simply furnished but have everything you need. Staff is friendly & helpful & breakfast is fine. Being a centrally located, it does suffer from noise though. The cafes directly outside are open until 1 ( even on a Tuesday!) then there is nightclub nearby which seems to open just after that. Around 5, the bins get emptied. I had read other review mentioning the noise so had asked for a quiet room which clearly we did not get. The hotel was fully booked so no chance of a room change. Ask fora room facing the inner courtyard & it may be quieter.",Centrum Hotel
30,"This hotel is a little more twisty due to its excellent location in the old walled city of Lefkosia/Nicosia. Our room (the “executive suite with a king and a twin bed) was clean and had its own climate control. There is a bit of night noise from the nearby club, but not too bad. There are so many restaurants, stores (including groceries), and other things to do within walking distance. The Green Line is also nearby and was fairly easy to cross over to the Turkish side.Breakfast was very good and was served in the Byzantino restaurant which is attached to the hotel. The lady helping serve was very nice and helpful, but the man working there was scolding my husband and myself about how we did everything. He didn’t like how we served ourselves and yelled st us about it. He also seemed to be yelling st the other lady working there, but since I don’t speak Greek I don’t know for sure.The rest of the staff were very professional and helpful, and the manager was very apologetic when I mentioned to him about the rude restaurant worker.Overall, a very good price for the location and a nice place to stay.",Centrum Hotel
40,"Our room was nice and big and the beds were very comfortable. Tea, coffee and a fridge were available in the room. Everything was clean. Good choice of food for breakfast. The location was excellent right near Ledra Street and the heart of the city. Bathroom was a little dated.",Centrum Hotel
50,"A 2 minute walk to the main high street and bars and restaurants so close, make sit ideal for a city break. Although the parking is not right next to the hotel it is very cheap for overnight and the hotel distance to the border makes it almost perfect.",Centrum Hotel
40,"Centrum hotel is a nice hotel located in the center of Nicosia, very very close to the main street (Ledras Street).Around the hotel is possible to find some good restaurants and bars opened the whole day.The hotel itself is nice and clean. The furniture is simple.The bathroom looks a bit old maybe.Employees are very polite and smiley.I would recommend this hotel for its location.",Centrum Hotel
50,"My colleague and me stayed at the hotel for 5 days and we would stay there next time if we visited Nicosia. The hotel is centrally located in the historical part of the capital. The central bus station (for city buses and intercity buses) is 5 minutes away. All kinds of eateries-coffee places, snack/beer bars, restaurants as well as shops are within a short walking distance fom the hotel (around 10 minutes). The tourist information centre is sth like 3 minutes from the hotel (we took a free walking tour which usually starts at 10am). The hotel itself and the rooms are very clean. The staff is sociable and helpful. The breakfast is variable (the cheese is top pick!) We stayed in rooms 402 and 403. To get into these, you have to pass a cosy hall which leads only to 3 rooms (401,402 and 403). Rooms 402 and 403 have a big long balcony to share but it was quiet. We felt like at home.",Centrum Hotel
40,"Centrally located, next to shops, restaurants and a bus stop. A typical 3-star boutique hotel, with very clean and cozy (if not big) rooms. There was a kettle, safe and free toiletries. Hot water was available all day as well as a very good free WIFI. Breakfast was basic, but satisfying, and when you enter the dining room you are greeted by a warm smile from the staff. The reception was very nice and helped us change room and extend our stay before check-out. What should be improved? More vegetables and fruit at breakfast, better air conditioners, more channels on TV; All channels were Greek. Other than that it is a very good and recommended hotel.",Centrum Hotel
40,"This hotel is centrally located with spacious rooms with balconies. The room, bed and bathroom were very good and comfortable (not taking into account that the day I was leaving there was no hot water in the shower). Breakfast was awful. The staff were very nice.",Centrum Hotel
30,"The best thing about the hotel is its very central location, however that does mean it can be a bit noisy. The rooms are not very well sound proofed either. The reception area is lovely and very modern but the rooms are a bit shabby and old fashioned. Breakfast is a bit repetitive but staff friendly and helpful and if location is important then this is a great place to stay.",Centrum Hotel
40,Very friendly staff. Clean and comfortable. Decent size rooms. Location is great - full of food and beverage options and all within walking distance. Breakfast spread is also pretty good. Highly recommend. Good value for money.,Centrum Hotel
40,"Clean and comfortable, it has even a small historical cypriot museum inside, that shows old work instruments and photographs of Ancient Cyprus. Breakfast is excellent, in the reastaurant staff there' s an incredible smart and nice guy. In 1' you reach the famous Ledra Street, the commercial center of Nicosia, and in 5' you can get in the turkish part after the check point. Very good place to stay!",Centrum Hotel
40,"Friendly staff welcomed me to this lovely old building in Nicosia. Check in was a breeze, the room was spacious and had a lovely balcony with table and chairs. The AC was noisy and not very effective and the shower was over a bath. It was all basic but perfectly serviceable and everything was clean. Good selection of breakfast and again very friendly staff in the restaurant. Thank you",Centrum Hotel
50,"Very nice hotel, quiet with decent size rooms. Good value for money. Very well located, the street around are full of life (end of June). Great breakfast Cyprus style. A very affable and kind Romanian cook, speaking few languages, helped me with my computer plug with an ingenious solution. Thank you!",Centrum Hotel
50,Just returned from a shopping trip to Nicosia stayed in Centrum hotel which was excellent staff were brilliant Nothing was too much bother room and bed very comfortable breakfast was very good would definitely visit again Yvonne Andrew from Scotland .,Centrum Hotel
30,"This hotel is ideally placed for central Nicosia, the shops and restaurants are on the doorstep. A friendly welcome greets you, and the rooms are fine, basic, with a comfy bed.The breakfast is ok but nothing to write home about.",Centrum Hotel
20,"First of all I had to say that the staff at the hotel were great.Christoforos at the hotel was very helpfull on all 3 nights I was staying at the hotel.He definitely gives 100% for the hotel,However i stayed there for 3 nights.... on the morning after my first night, there was no hot water, needless to say very annoying when you have a meeting an hour later.On the second day, there was an electrical breakdown putting us without electricity for about 20-30 minutes.Due to these things i wouldnt go back, but the staff were excellent.",Centrum Hotel
50,"The location is ideal, in the old centre of Nicosia. One can stroll easily to all the sites one wants to see. The hotel has no parking of its own, but is five minutes walking from large parking lots where one pays 2 Euro per day. For newcomers-- a very helpful tourist information centre is around the corner. The hotel is fairly small and tastefully designed. Most rooms are convenient, but not large. We had a large room for a small extra amount. Very quiet, with a nice balcony. Service is invariably courteous. Breakfast offers anything one would want. The restaurant is not open for lunch and dinner. I see one reviewer's remark: ""Ok but could be better."" I do not know what could be better unless one prefers a large establishment with pool, gym and the like for a lot more money and a fifteen-minute taxi ride away from wherever one wants to go.",Centrum Hotel
30,"Room was basic but clean, although the decoration was a bit random and generally felt a bit cold and generally the hotel is a bit old and needs some TLC. Last day there was issues with the shower. The bed was good. The breakfast was ok but did the job. The hotel is central but can be noisy. Staff were very helpful.",Centrum Hotel
40,"Located so close to Ledra Street and offering a comfortable stay, Centrum Hotel is the ideal place to settle into as you set off to discover the magic of old Nicosia. Get lost in the ambiance, as you peruse the museum of old objects on display in the hotel. Sit back and savour the generous breakfast in a wonderful setting, as you are welcomed by a most gracious and attentive host who appears genuinely pleased to see you. Affordable, clean and stunning, the Centrum is a decision that you will not regret making.",Centrum Hotel
40,"Excellent location in the Old Town. The room was clean, a decent size, relatively modern. Good selection at breakfast, with very enthusiastic service. On the down side, the sleep quality was not great, due to poor soundproofing and bars/live music in the immediate neighbourhood (which continues after-hours, despite the hotel's efforts to report the problem to authorities).",Centrum Hotel
40,"The hotel is very conveniently located in the Old Town.Location is excellent, and the staff have been very helpful throughout.The rooms are clean, albeit a bit tired, we stayed in 401 which was very large. Sound proofing is not existent and if anyone on your floor makes any noise, at any time, you will hear it, loud.Wifi is totally unreliable on the 4th floor, but it is good elsewhere.Breakfast is poor. Selection is very limited and repetition is the main feature.Would return for short visits, but for anything lengthier, breakfast needs to improve.",Centrum Hotel
50,"The location of Centrum Hotel is in the old town. Taxi service is few steps away and bus service is less than 10 minutes. Though the restaurants in Ledra Street are few steps away, yet the food at the Byzantino restaurant (which forms part of the Hotel) is excellent. The range of breakfast for a 3 star Hotel is vast and is also served in the Byzantino restaurant. Staff at the reception and the restaurant are very helpful and willing to answer all queries. Check-in and Check-out were processed quickly. The room was very tidy. I will definitely return to this Hotel next time I will be in Nicosia.",Centrum Hotel
50,"The hotel is located in the old town, very well communicated with the most beautiful places of interest, close to the charming atmoshere of nice restaurants and souvenir shops.The rooms are clean, with all necessary assessories to feel comfortable, like at home. The breakfast is wonderful, including typical dishes for all tastes. The staff is always kind and happy to help you, whatever you may need.",Centrum Hotel
50,"The Centrum is just what a family run, mid-range hotel should be. It is ideally placed to explore the old city on foot, yet once inside the lobby is quiet and unhurried. The rooms are comfortable, newly decorated and airy. Prices are excellent for such a well-located hotel in a European capital city. I will certainly return when next in Nicosia.",Centrum Hotel
30,"Nicosia is a tough city to find a hotel in, and I was really hoping Centrum delivered for me. Sadly, it never really got there for me.The location of the hotel is one of its big pluses. Right by Ledra with tons of restaurant and shops, plus easy access to crossing the border to the Turkish side. You're close to a lot of good food and a lot of tourist sights. Good on that.The hotel itself just didn't work out for me. There was constantly the smell of cigarettes. The walls were quite thing so I constantly heard my neighbors televisions and phone calls. There were mosquitos in my room 2 out of my three nights in town. Staff were polite but not friendly. The bed wasn't very good as I woke up each morning with a sore back.A very average hotel stay for me this time around. Was it terrible? No. Definitely could have been better though and I can't help but think there's a better option somewhere in Nicosia.",Centrum Hotel
50,"we travel 2 coupels and get to nicosia. we look for hotel close to Hamam Emori and find the Centrum hotel. in the middle of the middle. very comfortable. beautiful meuseum inside the hotel. good breakfast good staff. all the restaurants, bars, hamam ect. are around the hotel - but its quiet.jacob",Centrum Hotel
50,"מלון שקט נעים וקרוב למרכז העיר העתיקה, מוקף במסעדות זולות ויקרות טובות וטובות פחות, אך מרגיש שהכל במרחק הליכה ברגל.מומלץ מאוד!A nice hotel; quite, comfortable, and right in the center of the old city. Surrounded by many restaurants, pubs, cafe and bars in walking distance. Seems like it is right in the center of everything. Highly recommended!",Centrum Hotel
50,"Because of my flight time, I arrived early but was allowed an early check-in. My experience at the Centrum was off to a great time. My room was just perfect for my overnight stay. The bed was very comfortable. The hotel's location is perfect for walking to sites around the city. Please there are numerous restaurants and coffee shops close by. Breakfast was included as well and very tasty. Plus internet service was good, someone important for me since I need to be online. I would definitely stay here again on my next visit to Nicosia.",Centrum Hotel
50,Excellent location!as the name suggests... central.Room was large and specious.All staff attentive and friendly.Good breakfast was included in the price. Close to very good restaurants in the immediate vicinity. We loved it!,Centrum Hotel
40,Stayed at the centrum hotel for 1 night. Our room was the traditional room .. very nice and quiet .. bed was nice and the room very clean .. overall a very nice stay .. the hotel location is excellent on ledras street ..,Centrum Hotel
40,"I was attending a conference in Nicosia, and this hotel was listed by the conference organizers at a discounted price, amongst other hotels. I chose this one for the location, and because the internet photos looked good. Upon communicating with the staff via email, I immediately found them to be very helpful (they helped organize an airport transfer for me, also at a discounted price). Upon arriving I found, in terms of location, it was great. Located in the older area of the city, it was literally a 15 minute walk from the conference and situated in a neighborhood filled with cafes, restaurants and bars. My entire trip, I didn't spend one euro on transportation: I walked it all.I liked the room because the furnishing and finishing were of high quality. Unfortunately, in the bathroom, the walls are so thin, I could hear other guests taking a shower on the other side quite loudly. But this didn't disturb me much. Also I could hear a guest speaking loudly on the phone from the next room. At night there was a bit of noise from the streets. But all in all I wasn't disturbed and I slept soundly. The bed was very comfortable, and the room spacious.I really appreciate how nice and helpful the staff were, there were several things I needed and they were cooperative.If I ever go back, I would stay here again.",Centrum Hotel
20,"Stayed here over the New Year with 3 friends – we had 2 rooms with 2 of us in each room.Let’s start with the good – the hotel is well located in the old city. Also, it’s reasonably priced. That’s it.My biggest issue with the hotel was customer service. My friend emailed them in advance to make sure that the beds were separated in the rooms, not pushed together as is standard in European hotels. This wasn’t done by the time we arrived, and it took another couple of hours for them to “do it” – except they didn’t do it. We kept all of our stuff in one room, went to dinner, and when we returned 4 hours later, it still hadn’t been done. Seems like it shouldn’t be that hard to push some beds apart. Even worse was a few nights later when we asked the front desk to simply call a restaurant and see if they were open as it was New Year’s Eve and we weren’t sure things were open. The guy at the desk refused, saying “I don’t call restaurants for people. If I did, that’s all I would spend my time doing.” Um, really? You can’t call a restaurant and ask if they’re open? Doesn’t seem like a day-long exercise to me.The other primary issue was the noise. Our room (108) was directly facing a club that played loud music all night, and also had patrons who enjoyed screaming outside of the club at all hours. Additionally, there was a weird buzzing sound in our room literally all night. It you decided to stay here, don’t get stuck in 108.Beyond the above – breakfast was terrible (but free), the shower stalls were tiny, and the hallways smelled weird.All in all, I can’t recommend.",Centrum Hotel
40,Traditional hotel in the city centre. I had an executive room with a large bathroom and a balcony. Good wifi and friendly reception. The breakfast was ok but fresh fruit and juice were missing. No parking. Taxi may come close by. Plenty of bars and restaurants in teh area. Clean.,Centrum Hotel
40,"If you are looking for a inexpensive, nice hotel within the city walls, this is the place. We stayed in an executive room that was quite large. Nice breakfast in the morning as well. Steps from Ledra Street.",Centrum Hotel
30,"Located on the outskirts of the old town of Nicosia (still within historical city walls), Centrum hotel is conveniently located, close to Solonos street. Facilities and style are a bit of everything, combining business with boutique, having modern and renovated parts combined with old and outdated parts. Yet, always clean, fully functional, and a friendly and efficient service. Room decoration could have been a bit more inspiring. Also, our views were horrible, and a quiet night is disturbed by very noise airconditioning infrastructure outside.All in all, a good choice, with some room for improvement.",Centrum Hotel
30,"At a really nice location with welcoming staff, it's a pity to experience a smelly air conditioning system, a more smelly bathroom and a really low quality of mattress and an even lower quality bed sheets. I think the hotel management must focus on the important phases of the customer experience in the room and not just the entrance and reception.",Centrum Hotel
50,"Hotel is small, my room was small but hotel has a atmosphere. Nice, helpful and friendly staff. Internal is small museum with old tools. Beautiful interior. Very good location - close to old town. It is worth staying here. I will try to book it again when I will be in Nicosia.",Centrum Hotel
40,"not very good views as one room was over looking a brothel and the other a plant space which killed the breathing at night. friendly staff great ornaments of history. no English channels in rooms. nice breakfast all fresh, don't be late though!! 7 - 10am",Centrum Hotel
30,"We slept there two nights. It hasn't been a very good experience, we slept in the new part and the price was not really low for the service (I think the older part is much better, but there are only three rooms).Room a bit unfriendly furnished, the bathroom (see pictures) not nice, little and the shower was working, but it was hold together with a plastic cord!!!The breakfast is a no... there were some stuff but really done without love for the job...At all not bad, you can sleep there, but it is not for a relaxing and comfortable journey.",Centrum Hotel
50,We have stayed at this hotel before and always get a warm welcome. Although this hotel is small it is so comfortable and well designed. The breakfast was good and in nice surrounds if we visit Nicosia again which we will it will be to stay at The Centrum.,Centrum Hotel
30,"Excellent location in the old city - just steps away from Ledra Street, shops, cafes, restaurants, and all the sights. Some street noise at night (inevitable given the location) - but not too much of an issue. Good air con in the summer heat, and a clean, relatively spacious room with a small fridge, tea and coffee supplies, and a small TV. Pleasant, helpful hotel staff. The only negative was breakfast - there was little choice, fruit wasn't ripe enough to eat, baked beans were inedible, cooked food was dreadful. We managed by selecting yoghurt and toast. So if you can get a hotel deal that excludes breakfast, take it - there are so many much nicer places to eat in the vicinity, you're spoilt for choice. Otherwise, the Centrum is a great choice for unbeatable location, and basic but good value accommodation.",Centrum Hotel
50,"We were staying for three nights, in February, on holiday in Cyprus. The girl at check-in was very nice and friendly, and was very tickled that we spoke Greek. Lots of couches and chairs and tables around reception. And there were sweeties there... The ground floor has lots of entrances, easy to get a suitcase in from; To the left up the stairs (or with the lift), one gets to the modern rooms, and if one went to the right, passing the small cocktail bar as well on their way, along a corridor, down a few stairs and along another short corridor with traditional cooking implements hanging up on the wall, one got to another high staircase which led to the traditional rooms. The breakfast area is also this way, at the bottom of the long staircase. The traditional rooms were wonderful, cheaper than the modern ones, and with much more character. Our room, had a very high odd bed, which was very difficult for putting on shoes, but comfy when actually in it. ;) The bathroom was quite small-ish, but not uncomfortable; it had a shower, free toiletries (see pictures) and a bowl-like sink. In the rest of the room, we had a desk, with drawers, in which there was blank paper, hotel information, shoe polish and a laundry bag. There were two bedside tables, the right one having a pen and a notebook on it. There was also wardrobe, with a kettle and free teas and coffees, a tv and a phone. The room was quite well equipped with sockets. The breakfast was very tasty, with a wide selection: jams, honeys, cold meats, sauces, cheeses, vegetables, fruit, fruit salad, bread, and a toaster, hot meals, including eggs, bacon and sausages, fried eggs, Greek toast, biscuits, local sweets, fresh croissants and bread, a coffee machine, fruits juices (not fresh, just sweet) and a very helpful staff member. The area was quite spacious, as it is also a restaurant, stylish, and quite Byzantine, hence the name ""Βυζάντιο"". The staff member was very friendly to me, very eager to help, and very willing to let me take photos of the breakfast for TripAdvisor! he's in one of them too ;) Very nice central location in old Lefkosia, easily walkable to the newer part, tons of restaurants and cafés around, and dead easy to get to with suitcases from the road. Main bus station is also very near. All in all, a very pleasant stay!",Centrum Hotel
40,"Super friendly staff, super clean rooms, luxurious bathrooms. Brilliant location right in the heart of the city. Very close to bus station and cheap public health parking 2 mins away.Club nearby so quite loud at night, & bed frame sticking out which my fiancé hit his head so silly placement of 'bed decoration'.",Centrum Hotel
