r_points,r_text,place
50,We had a conference and training of tourist guides from all over the world for 2 weeks. The training center all the previous years has worked with this hotel but this year I was in charge of many things and had first hand experience. with this hotel. The manager Sophia went out of her way to accommodate every one's food preference and general requests. Rooms were clean and Paris the cook was excellent preparing lunches for us.Rooms had all the essential needed and if there was a problem Sophia handle it very profesionatelly.,Crown Inn Hotel
20,"The location is very good and it is relatively quiet (if the people next door are quiet - if not you hear them louder then a car passing by). The Stuff is very very friendly and helpful but the rooms leave a lot to be desired. I changed room because it was damp and stuffy and I saw a cochrache. The next one was a ""suite"", larger at the first sight it seemed cleaner but when a entered the bath at night there were more than one cochraches running around. Would not go there again.",Crown Inn Hotel
10,"Hotel is well located for reaching the tourist district. Otherwise dreadful.I recently booked to stay at the Crown Inn Hotel in Nicosia with my husband, adult children & grandchildren. On our arrival to the rooms we were not at all happy with the cleanliness of our rooms - beds had hair on the pillows & one bed had dirty bedsheets, the floors were not vacuumed nor mopped & the hallways were also dirty. We demanded & received a full refund & went elsewhere. No apology for the state of the rooms & no offer to clean them. We booked this hotel based on its location & the glowing reviews on all travel sites however the state of cleanliness needs to be brought to the attention of other travellers!!!",Crown Inn Hotel
40,"Reliability has been the fist impression I had since reservation; the hotel is clean and in a silent location far from traffic noise; style is a little bit old fashioned but not annoying for this. rooms are clean, staff is nice and breakfast has enough choice to satisfy different needs. Small parking is a convenient added value. Fares are quite affordable. Hotel is very near to Northern Cyprus border if you drive by car, 5 mins drive abnd you are at the custon for formalities.",Crown Inn Hotel
30,Older hotel with dated decor. The Rooms were small but clean. No charm but adequate.. the restaurant only had a very limited choice and there were no other restaurants very close. Very hard to find in the one way streets of Nicosia. Buffet breakfast was ok. Good parking. The staff were helpful and pleasant.,Crown Inn Hotel
30,This was my third time here and it’s gone down hill. Grubby around the edges even though they have painted the rooms new mattress but very thin problem getting second pillow sockets hanging off ceiling rose hanging down broken shower 2x toasters but not working food poor and not cheap any more shame as it was good and could be again,Crown Inn Hotel
50,"This hotel is located in a quiet neighbouhood, not far from the city center. There are several good restaurants withing walking distance. The staff is very friendly and helpful. The rooms are spacious, but bathrooms may be a bit too small. Breakfast could be more varied, but it was enough for me.",Crown Inn Hotel
30,"A really decent price for one night and brekkie, but that is also reflected in the experience. Our first room was a twin, which felt claustrophobic n dated. Our second room was a double which was much better. The hotel in general is dated. However, the service, managers and owner, were all lovely and really keen to be accomodating, even when there was a booking mistake on my part. We didnt eat breakfast here, so i cant comment on the quality of that aspect",Crown Inn Hotel
20,"The worst bed I have ever slept on, you could literally feel the springs. Trying to get a drink was ridiculous, no wine, no tonic, no soda. Breakfast wasn't edible. Needless to say we will not be going back there. On a positive note the staff were very friendly.",Crown Inn Hotel
50,"Staff went out of there way to help make my stay good as my wife was in the general. The room was clean bedding good and loads of hot water, hotel parking was a plus. I was surprised at the rate. Thanks for for such a good stay.",Crown Inn Hotel
50,Very clean. Price is great for what you get. Harry and Svitlana the hosts are very welcoming and make you feel like nothing you ask for is too big. The beds are comfortable. Tv working great. Breakfast ample,Crown Inn Hotel
20,A really ugly hotel. Small bathroom. Small bed. Dirty walls. Reception is falling down. Room is cheap but there are several reasons for that.. if you are for business is not recommended... the neighbour is good and great place to reach the downtown,Crown Inn Hotel
50,"I have stayed in this hotel before and was pleasantly surprised at the start of modernisation.It is close to the town centre, the horse racing and crossing the border.The price as risen a few €'s but the rooms are so much better.Flat screen TV, modern bathrooms, new mattresses. Wi-Fi in all rooms. They used to smell musky and often smoky, now they are bright and clean.The staff are superb and very helpful.A few things can still be improved though.... There is no information in the room to tell you if the TV can swing off the wall (rather than watch at an angle). If I had been drunk I may have pulled it off the wall!It could also have more channels especially English.There are NO tea making facilities in the room, but you have a fridge that you have to turn off because it hums every now and again.A bottle of complimentary water would be nice.The coffee machine in the dining area is fine, but the water for the tea does NOT get very hot and you need to ask for the fresh milk.The maids start cleaning the rooms at 7.0am and should learn to be QUIETER. Not everybody wants to get up at 7.0am..... Not happy with that.All in all.... A very decent night at a very good price.",Crown Inn Hotel
50,For a very good price the crown inn hotel offered a warm and friendly atmosphere. I was staying at the hilton but a friend was joining me and we couldn't get a room there for one night so just needed a one night low cost room. The breakfast that the crown inn offered was just as good as the hilton and the staff exceeded the hilton. thank you for a very enjoyable evening.,Crown Inn Hotel
50,"I have stayed in hotels for cheap before, and none of them where as nice as this place and these people. The room was perfect, it had a nice double bed, a desk, wifi, a bar fridge, big closet, a balcony, and air-conditioning, everything I needed.The lobby has a nice large breakfast area, there food was included in my booking. I ate there a few times, but there is also a nice taverna around the corner (large chicken kebab is about the size of my head and the Swordfish was awesome.) The area is slightly out of the downtown center but it was 5 minutes from all my meetings by cab, so as a business traveller it served its purpose well.The staff where so friendly, even when the kitchen was closed, they got up, turned on the lights and made me food. I never had such a friendly experience from people, usually they just tell you its too late, but these guys where great. I particularly liked their Cypriot coffee, they know how to make a good Cypriot coffee. Walking distance was a corner store, pharmacy, hair cutter, and a restaurant.There is a little balcony with chairs that catch the evening sun set on the mountain range and has nice wicker chairs with cushions to sit on, such a pleasant place to have coffee and a puff of a small cigar. I slept fantastic, because there is no noise in this neighbourhood, its quiet and really a lovely find for a work-traveller.I actually returned from my trip in May and decided to stay again. Found some new coffee shops and will likely post another review when I leave.",Crown Inn Hotel
40,"We decided to have an overnight stay in Nicosia, while in Cyprus for a month in Polis, the hotel was basic but of a very good standard, the staff were helpful and what ever we asked for was done with a smile , the only two minor points were the loud air con ( jumbo jet landing ) , and the small but adequate shower, parked the car and used taxis to get into city centre , to hot to walk. For the price it was a very satisfactory and clean hotel.",Crown Inn Hotel
20,"We had originally booked to stay at the Castelli in the old city of Nicosia but when we arrived there was no room for us, so the hotel sent us to The Crown Inn, for a night which was not within the city walls of the old town.That aside, the hotel was drab and dingy and the bathrooms were not up to standard. Breakfast was awful with sliced bread for toast still in the plastic supermarket wrapper, no butter just some awful margarine spread and the cooked items had long since gone although we were down for breakfast at 7.45am.The one good thing was the staff who tried their best and were very friendly, but I am afraid it is not a hotel that I would recommend.",Crown Inn Hotel
30,"A basic hotel with a small bathtub that would much appreciated if it was a shower. A fridge, desk, very small lcd tv and a balcony. Air-conditioning in the room very bad and noisy. Uncomfortable bed. Very limited tv channels.Not cheap compared to other similar star hotels.",Crown Inn Hotel
50,"Just a short stay but the staff were very friendly and understanding when help was needed, the remote/TV was not working so moved to another room wonderful !The hotel is only 2 star but it is clean had a safe to use in room and fridge if needed.we could order out to eat in the hotel there was a bar at the hotel but we did not have time to use it.One thing would be good is to have coffee/tea making in the room.Good walking distance to the center of Nicosia and the broader crossings also museums and any Gov buildings.There is buses close by and a terminal in the center also car hire.Breakfast Basic but good being winter most hotels do not put out as much because lack of guests I have notice.",Crown Inn Hotel
40,"Neat little 2 star hotel. Very convenient for what we needed. Room was clean and comfortable. Staff are very friendly and helpful. Price is very reasonable for a capital city. Hotel is just off a local bus route into the city centre. Breakfast is basic but good, plenty of choice. Have stayed here a few times now and always made to feel welcome. Road works around the hotel are now nearly completed, so dust and smells have been eliminated.",Crown Inn Hotel
20,"Smelly and dirty,not only the rooms the elevator is dirty, the carpet in the loby is dirty,for smell i put perfum on my pilow and smoked a sigerate in the room but still smellbut the staff are lovely, helpful, kind, and you feel they are your familly.",Crown Inn Hotel
30,"Had to stay in Nicosia for 1 night and we found this place as it was around the corner from our friends.It's a very basic place with standard rooms with to and air con, shower a little small, it's ideal for an overnight stay.It's looking old and could do with modernising.Sadly breakfast had seen better days with hot dried food and warm milk for your bowl of cereal.Staff were very helpful and friendly to chat to.Mostly likely will not return.",Crown Inn Hotel
30,Staff do their best to help. Quiet residential area. Rooms are ok. but felt a little old. Reasonable price for Nicosia.Location is a solid 15-20 minutes walk to the center at a good pace. Only two restaurants in the area - it is mostly residential. Nicosia is a bit overpriced compared to the rest of the island.,Crown Inn Hotel
50,"Hello everybody,I searched a cheap hotel and found the Crown Inn Hotel. I get a room with bathroom and a desk. Perfect for me because I plan to start my study here in cyprus. But the friendlyness at the hotel is the reason for maximum of points. I get the best warm welcome and it will be not the last time I was there.",Crown Inn Hotel
40,"We have just stayed here again for a couple of nights, while the hotel is in need of some TLC, you are always assured of a very warm welcome from all of the staff. The rooms are a little jaded but very clean and have air conditioning, comfortable beds and a good continental style breakfast is available every morning. The staff are so pleasant and helpful and really try to make the stay as comfortable as possible. Free wifi available in all areas. We will definitely be back.",Crown Inn Hotel
40,"My wife and I stayed in this hotel for 12 nights.Hotel staff was very kind and they were responsible!Just the negative point was that housekeeping did not make room clean well!Breakfast was well!As we were there for WFTGA Train the Trainer of tourist guides, we had coffee breaks and meal in the hotel and they were really good and tasty!We missed our moments there!",Crown Inn Hotel
30,"The proprietor is a happy go lucky man who welcomed is to the hotel.We had a corner room with a balcony which was a nice surprise.The good news really stops there, not the cleanest rooms and the breakfast was not good.However a fifteen to twenty minute stroll to the old city and a good option for travellers on a budget. Parking available too.",Crown Inn Hotel
50,"Excellent hospitality , the room a little small but very clean and quiet . The breakfast buffett is abundant . From this hotel you can reach the area of the ancient walls in the city center with a 15 minute walk , or by city bus ( about 6 minutes ) .",Crown Inn Hotel
20,"The hotel is outside the center area in a calm neighborhood and 10 minutes from the Municipal park. But the room was with old furniture, very tiny, as well as the bathroom. The refrigerator was noisy and we had to turn it off in order to manage to sleep in the night. The balcony is enough only for one person. But the staff at the reception desk is very nice, friendly and helpful.",Crown Inn Hotel
40,"The crown Inn is located about a 15-20 minute walk from the walled city. It's a nice walk into town and you pass by the Cyprus Museum and Pafos gate. I stayed 2 nights and the hotel was nice and quite. I didn't hear any other noise from other guests. The rooms are very clean and also have a small balcony, a fridge, tv and that all important Air Conn. Breakfast is a simple stripped down Buffett, the usual things like juice, tea, coffee, cereals, toast and also a couple of hot things like beans and eggs. Recommended if you don't mind the walk into town - although there are buses and they have details at the reception.",Crown Inn Hotel
40,"Hotel is situated in a quiet area, close to the walled part of the city & no problem parking. Room was great & breakfast included a good choice of hot and cold items which were replenished all the time. Free in room wi fi. Staff were so friendly, helpful & efficient, nothing was too much bother. Would definitely stay here on our next visit to Nicosia.",Crown Inn Hotel
50,"I usually don't put 5 stars on this kind of hotels because it is not luxury by definition but this time is different. Rooms are very average but clean and comfortable and cheap. Anyway, what makes it really a nice place to stay is the hospitality of the staff and manager! Although we stayed only one night there, we were welcome with big genuine smiles and got a lot of help to decide what to do in Cyprus, where to go and so on. We will definitely go again next time we visit Cyprus!",Crown Inn Hotel
40,"Myself and my wife stayed at the Crown Inn Hotel for seven nights and really enjoyed our stay.The hotel is clean and the staff are very friendly and extremely helpful,the rooms are quite small but very adequate and the sheets were changed every day.The hotel is located about 2miles outside the city centre but the local bus service is very reasonable 1:50 euro and the check point to the North side of the island (Kyrenia) is just a short walk from the bus station.We also travelled around the island by bus Paphos 13euro,Larnica 7euro return.I am sure we will visit this hotel again in the near future.",Crown Inn Hotel
40,"We stayed at this hotel for 6 nights. Upon our arrival we were greeted by Svetlana who offered us a nice welcome drink. We got a double room which as we expected was nothing fancy yet it provided all the basics - safe, towels, clean sheets, a comfortable mattress and a mini fridge. Rooms were cleaned and towels changed daily.The breakfast is pretty basic yet it offered several items such as cereals, toast, baked beans, cheese, ham, scrambled/boiled eggs and yogurts.The hotel is located in a nice residential area and its only drawback is the 20-30 minute walk to Solomos square, unless you have a car that is, in which case, I wouldn't hesitate to book here. Since we were a group of three, the walk was not an issue but if you're alone it could get a bit uneasy to walk back to the hotel after dark even though the area is very upscale and we never encountered any shady characters on our way back.Wifi connection is excellent and there is a very good connection even inside the rooms.All in all, I would recommend this hotel especially if you're not travelling with kids as it could get boring for them - there aren't any facilities which cater for young ones.All the staff but especially Svetlana were so very helpful - we would like to thank them for making our stay a very pleasant one!",Crown Inn Hotel
50,"The rooms were clean and tidy, being cleaned daily and the towels changed daily while the sheets were change day by day! The breakfast was very good! Very good service.....overall very satisfied and would be visiting again!!!",Crown Inn Hotel
