r_points,r_text,place
30,"A few notes...There is no bar in the casino to just sit have a drink, relax and have a snack which I found odd.You cannot get an iron or ironing board in the room and there is no ironing room so you have to use their service.Phone in the bedroom didn’t work.The sun went behind the hotel at about 3pm so sunbathing all day isn’t possible.Food is just okay.Not all staff speak good English.We upgraded to a larger room and stayed in 301. I would not recommend doing that for the extra price.Positives were. Hotel was clean and tidy though. The staff that did speak English were pleased rand helpful. Pool area was fresh, modern and clean.",Golden Tulip Nicosia Hotel and Casino
40,The place has been renovated into a really nice casino. Staff is very friendly and do their upmost to make you feel welcome.Only downside i would say is that it needs a bit more light at the live games. The playing cards are the casino's own brand and with the bad lighting sometimes it is hard to read your cards.,Golden Tulip Nicosia Hotel and Casino
50,"Customer service was excellent - front desk staff could help with all kinds of questions and info. Located on a busy shopping street, many walkable restaurants and cafes. Clean room with many amenities in both the room and overall hotel. However, room was supposedly non smoking but still had that smell... It could use some touch ups and repairs (cigarette burns on furniture, carpet spots) but was overall comfortable and in good condition. Breakfast provided a lot of tasty options but was not outstanding. We used the well-equipped gym and got massages in the spa - enjoyed both. Overall high quality place, one of the nicest hotels in north Nicosia, but still reasonably priced.",Golden Tulip Nicosia Hotel and Casino
10,"DO NOT visit this hotel if you look or are Chinese or Russian.I stayed at this hotel for business.I had a few hours to myself, so I decided to visit the casino.I sat down at one of the Blackjack tables and one of the employees asked for my name,so I gave him my “Pasha casino card”.He returned my card with the announcement: “You're not allowed to play at the Blackjack table”I asked him what the reason is to refuse me, he said again: “You are not allowed to play Blackjack”Another employee (maybe a floor manager?) also came to me and he confirmed that I was not allowed to play at the Blackjack table, but only on the machines or roulette table.So I asked this man again, which casino rules are refusing me to play Blackjack here.He answered: “Russians and Chinese are not allowed to play Blackjack here”So I showed him my Dutch National ID card, proving to him and his colleagues that I’m not Chinese, but a Dutch citizen!Again I asked them, why I’m not allowed to play here because I just proved to him I’m a Dutch citizen. One of his colleagues then said, because I look Chinese and the “floor manager” still refused me at the table.Then I asked him: “You are refusing me play here because I look Chinese, so this is racism and discrimination”Your so-called “manager” couldn’t properly deny my accusation.In short:- I'm not being refused on grounds of being aggressive, disrespectful, rude or disturbing to anybody- I'm being refused only based on my looks, not my nationality. This is pure racism and discrimination.",Golden Tulip Nicosia Hotel and Casino
30,"This is a lovely hotel very friendly staff I would recommend it but, there is a but, there is no iron or ironing board in the rooms, so if your in a hurry to go out your screwed,there have a person who comes to your room and take your ironing away and ofcourse there is a charge,I don't like strangers ironing my clothes for me, this ridiculous put irons in the room so people can iron there own clothes, so because I needed my clothes iron at different times and I didn't know in advance, I had to go out with clothes wrinkled.",Golden Tulip Nicosia Hotel and Casino
50,"I enjoyed the rich Mediterranean cuisine and the friendly and hospitable staff at the hotel. The room was well swept and I enjoyed my time at the pool. There was warm water. The hotel also provided transport to places I liked. The hotel is located near some great shops and is next to town, The lunch and breakfast is good and so is the supper",Golden Tulip Nicosia Hotel and Casino
30,"Furnitures are very old. Fridge is not cool enough and loud. Hot air comes out from the fridge, that we were not able to sit at the desk and work. Price is too expensive. Pool was small and the roof on top was closed even a sunny weather outside. Far away from the center.",Golden Tulip Nicosia Hotel and Casino
30,"This Hotel is always difficult to rate. This is my 4th visit to this hotel, simply because of where it is situated. My first stay was Fantastic, but I have come to realize it was fantastic not because of the facilities , but because of the staff. This trip has proven to be more disappointing. Reception is very helpful and friendly , especially the women during the day. However the waitering staff throughout the rest of the hotel leave much to be desired. Most don’t speak English, and are unapproachable, especially if you are female. You are easily passed over for any kind of service. There is one waiter, Mehmet who really went out of his way to make sure we were comfortable. Thank you. The breakfast buffet, was minimal and tasteless. While we had a fantastically spacious room, the aircon was a problem. Overall a very uneventful experience",Golden Tulip Nicosia Hotel and Casino
10,"It's 10:40 on a Saturday night. I'd prefer to be sleeping rather than writing this stupid review, but I can't sleep because—although I'm on the seventh floor, requested a quiet room, and have called the front desk twice—the driving, thumping, crappy music from ""the club"" sounds like someone is slamming the door repeatedly from the neighboring room. The hardware in my bathroom is actually rattling.Is it really necessary to play the ""music"" at 140 decibels? Could the people in the club be just as happy at, say, 120 decibels? Clearly this hotel does not care about its individual guests who have paid them for sleep.Also, drop the attitude at the front desk at check-in.",Golden Tulip Nicosia Hotel and Casino
50,"My husband and I stayed at Golden Tulip Hotel for leisure during Jan/Feb 2018 for 10 nights and was delivered with top, quality service by all the staff and tasted the most delicious and tasty meals we've ever had from the hotel's restaurant. The buffet breakfast was massive with a huge variety of different foods to try daily. Our room was cleaned daily and was always immaculate every afternoon we would return from a long day of sightseeing. The hotel is great value for money, offers a quiet; relaxing comfort zone and would not hesitate in recommending anyone stay at this hotel.",Golden Tulip Nicosia Hotel and Casino
