r_points,r_text,place
50,"Beautiful little boutique place in the backstreets of North Nicosia. Selay is a wonderful host and would do anything to make you feel welcome. Parking space outside the Guesthouse, flexible check in / check out hours and 10 mins walk to the Ledra crossing. Great communication pre-arrival. Highly recommending!",Gul Hanim House Boutique Hotel
50,"I wasn’t going to review as I only give five or the one but I think this place is worthy of the five. Only two issues which I believe see will try ti fix. The main one is wifi only work part time in the yellow rose room. Not sure why it works when she was there. But the court yard and kitchen served my needs! The other is the bathroom is small in this room. I am 110kg at 69cm and it was difficult getting into the shower. If your small this probably would be ok. I would recommend the white rose bathroom as it is bigger and she already fixed that wifi besides that there about the same. Her staff doesn’t speak english but I did not have any issue communicating with them by sign language and the occasional google translator! Even helped fix the gas issue on the stove. If you cannot find thing to do in the north she will help you with your plans. If I come back I think a week would have been needed. Coming though the boarder from the south is easy and its only a ten min walk to her place, about half that time if you need a taxi. They do speak english here but it is not common. I liked the north better I find them a lot more friendly and its not as touristy and the best part its cheaper.",Gul Hanim House Boutique Hotel
50,"My wife and I stayed here for 2 nights, the guest house is a quiet haven shut away from the hustle and bustle of the city, an easy 10 minute walk from either of the border crossings and all the major sites in the city. The owner, Selay, is a delightful lady and advised that Gul Hanim is her grandmother’s old home. Rooms have been renovated in traditional style and breakfast is served in the little courtyard. Superb fresh orange juice and a host of other products, much of which is home made. Highly recommend a stay here.",Gul Hanim House Boutique Hotel
50,"this house its just amazing,in the heart of old town, near to most touristic places like Kyrenia Gate,just on the corner,very good restaurant just in the corner,very clean place, exchange store, everything very close.Breakfast fresh and delicious,the room smell so good.the owner,its something else, she help me with my visit plan, told me about places i have no ideia, and was wonderfull to visit all them.the staff was amazing,always with big smiling in there face, thx for everything you did for me.....high recommended",Gul Hanim House Boutique Hotel
50,"I have travelled to many different places in the world, however I don't think any of them compare to Gul Hanim House. This was by far one of the best places to stay in Lefkosa, it is infused with tradition and culture and hosted by the most knowledge and friendly host (Selay). The rooms in the guesthouse were spacious and clean and had everything we needed, the garden and surroundings were lovely - as you enter the guesthouse you're greeted with the musk of a citrus tree which is phenomenal. The kitchen was open for use 24/7, this really helped it to feel like home! I would thoroughly recommend this guesthouse.",Gul Hanim House Boutique Hotel
50,"We were a party of four women, this little place was perfect for our stay. We felt completely at home, it is a beautifully preserved traditional home and has been lovingly renovated to its former glory. The rooms are spacious and beautifully decorated. The bathrooms are lovely too, it has all the necessary mod cons without compromising on tradition. The place is spotlessly clean, breakfast was lovely and the kitchen was available to use all day. We felt completely safe and comfortable during our stay. Selay (the owner) was extremely knowledgable on the local history and geography and she was able to help us plan our trip across northern Cyprus. We will definitely be visiting again",Gul Hanim House Boutique Hotel
50,"Gul Hanim House only has 3 small rooms. All, however are nicely renovated and spotlessly clean. As mentioned in other reviews, the owner, Selay is staggeringly helpful and an absolute wealth of information about sights and restaurants all over Northern Cyprus. When she is not around the house is managed by a friendly Turkish mother and her children. The location can be difficult to find the first time, as the neighborhood is in the process of being demolished, renovated or neglected, but downloading an offline map app such as maps.me has the address marked perfectly. Numerous restaurants in the area, many cater towards foreign students studying in Nicosia's universities, so no problem with the language. Most of the city's sights are within a 15 minute walk, as is the Ledra Street crossing which, for most of us is possible to go over to the Southern side and return. Most of the breakfasts (jams, bread etc) are home made and of very high quality. Very quiet, you may even have the whole house to yourself some nights. Overall a great few day's stay in a culturally and politically interesting part of the world. Would happily stay here again.",Gul Hanim House Boutique Hotel
50,"Located in one of the narrow but very safe streets in north Nicosia, about 10mn walk from the Ledra street crossing; the GHH is a comfortable, welcoming, full of character small guest house The owner / manager, Ms Selay, is a very warm and helpful person.... the only draw-back, one needs a GPS to find the place! That and some very noisy cats - but that's true for the whole of Cyprus... Highly recommended.",Gul Hanim House Boutique Hotel
50,"The shabby street on the approach to Gul Hanim might be enough to put some people off, but they would be making a huge mistake. Once through the gate into the delightful courtyard it is immediately obvious that this is a lovingly preserved property. Selay, the lively hostess, provided a street map and pointed out all the best places to visit and eat (Sabor restaurant is excellent). As with the house, with its beautiful antique furniture, we loved the character of the north side of Nicosia, but were less enamoured of the KFCs and Burger Kings in the shopping mall over the border. The city is well worth the visit just to experience the contrast.",Gul Hanim House Boutique Hotel
50,It was a perfect place to stay. The owner was very nice helpful and positive. The place was authentic and very clean. Everything in detail was original. I can't find words for it. For sure we come again.,Gul Hanim House Boutique Hotel
