r_points,r_text,place
10,Permanently closed. Did not intend to book this hotel but my hotel reception told me stop by this hotel to wait for them to pick me up. Found this place from google map and found out that it has been closed permanently. Its visible in trip advisor still too. Thanks to google map.,Holiday Inn Nicosia City Centre
50,"This hotel is well located and has a great beach, with views of the Turkish border mountain range. Would recommend the local bars and restaurants, 30 second to the beach great place nice staff easy parking set back from main drag",Holiday Inn Nicosia City Centre
30,"The Holiday Inn has a very good location, being situated close to the centre of Nicosia and it's best tourist attractions.The hotel itself has an antique air, maybe this is the reason why the wifi was free only in the lobby area and the one in the room had to be paid for.We arrived early, before check in time, but we had the possibility to store our luggage until the appropiate time of receiving the room. The rooms were clean, quite small but the bathroom was spacious enough.The restaurant had the best view, located at the top of the building, being spectacular especially during the night time: you could see most of Nicosia - greek and turkish. The food wasn't impressive. Some of the meals being either undercooked or overcooked. Vegetarian menu quite reduced.",Holiday Inn Nicosia City Centre
50,Very nice hotel.In down town close to shopping and town.The rooms were good not very big. The staff was very friendly and accommodativeCould improve a bit on amenities. Good for business as it location is superb.Nice restaurant,Holiday Inn Nicosia City Centre
30,"The hotel is located in the old town, which is the centre of the town.The rooms are equipped with old furniture and they are not the cleanest hotel rooms I have ever visited. The WiFi service is available free only in the lobby.The breakfast was very nice.",Holiday Inn Nicosia City Centre
40,"Having read the reviews of this hotel, my wife and I were a bit apprehensive about our booking. Thankfully, our doubts were soon dispelled. Yes it has seen better days but also yes, it is good value for money. Great location for the sights on both the Cyprus and the Turkish Occupied side. I had asked for a quiet room and we were provided with one on the 5/F overlooking the buffer zone and the border. In the distance was the Turkish flag in the hillside and close by the empty buildings adjacent to the border.Breakfast was not the best we have had but, to be honest, adequate. The room was kept clean and although there were one or two minor problems, we thought it to be up to what we expected.Overall, I would recommend this hotel for a peasant stay in a fantastic location. Do not expect a 5 star hotel because you will not get it. What you will get is a hotel that serves its purpose at a price you can afford.",Holiday Inn Nicosia City Centre
10,"We made one mistake. Booked it in addition to the flight without checking tripadviser. This hotel is not worth the money. It is dated and not maintained. The air conditioning is extremely loud, the hair dryer did not work, the TV lacks the remote so it was useless. Staff knocks on the door at 8am to clean up the room, even on the day of checkout.It might have been a good hotel years ago but that's long gone.",Holiday Inn Nicosia City Centre
20,"Now no longer the holiday inn, this hotel appears to be running down, although friendly staff and nice spot it appears tired, poorly cleaned and run down, food ok at breakfast but simple. Really needs modernising and a fresh start.",Holiday Inn Nicosia City Centre
20,"Location of this hotel is very good, however the hotel needs serious renovation. It's a budget hotel, so I didn't expected much.- Wi-fi access to the Internet is payable- staff in the bar and restaurant were friendly and helpful- receptionists could use a training how to be more service minded... I had a feeling they don't won't to be there...- room was not the cleanest I have seen- bads are OK- some furniture and TV is worn out and needs to be replaced, although beds and some furniture in the room were new. Also the floor was new.- bathroom is worn out and not really clean. Towels were changed regulary.- Air conditioning is not working, according to the receptionist it's not working in the entire hotel- bed was nice and comfortable- poor sound isolation on the outside and inside.- self service breakfast and variety of food to choose from, standard hotel quality.- coffee was not drinkable- I used a sauna and swimming pool once and I was really concerned about hiagenic conditions. Also inventory needs to be refurbished.It's a budget hotel. Don't expect too much. Me personally, I wouldn't stay in this hotel anymore. As a business guest I expect much more from 4* hotel.",Holiday Inn Nicosia City Centre
30,Located near the old town . The room was clean and the bed has very nice and soft mattress . I do not like you have to pay for internet 10 euros. The TV is in the wrong place and the cables hanging badly on the wall. So it is a not bad and not very good hotel.,Holiday Inn Nicosia City Centre
40,Stayed 1 night recently and was given an excutive room on the first floor which was really large and well appointed with loads of space. Walking through the door one can only be impressed with the communal area but the checking in process wasnt the moost friendly and checking out the next morning was really slow as there was only 1 member of staff on duty.Breakfast in the morning was ok with a fair choice. Unfortunately I didn't get chance to use any of the fitness and spa facilities but would imagine they would be pretty good.Had the reception process been slicker and more friendly it iyuls get a 5 star rating.,Holiday Inn Nicosia City Centre
30,"If you are looking for a luxury hotel then this is not. At best it's about 2.5 star. It is located centrally in Nicosia for easy access to many areas but convenience is all it is. The hotel has changed its name to Nicosia City Center Hotel under the new owners. However they need to train receptionists to have a smile and be more customer oriented, can put you off a bit. The rooms are not special at all and in need of a revamp. Lighting in the bathroom is terrible. Two small lights by the sink is inadequate for a bathroom. You can't see anything while showering or taking a bath. We also found ants crawling up the towels! There also lots of noise about with cars, the prayers from the minorets and pipes clicking - most pronounced at night. Also beware you are NOT told there are floors for smoking and non smoking. Guess what we were given!!Breakfast is also very basic just like the hotel. Overall if you must go minimise the stay for comfort.",Holiday Inn Nicosia City Centre
10,"I usually book in this hotel for its good location.This time I had a horrible experience. I asked the receptionist for a late checkout (paid for sure) and she told me that the hotel is fully booked. The manager, an older woman, came and also insisted that they re fully booked. Checked booking sites on the web, and saw many available rooms similar to mine .... When I showed the ""ladies"" that many similar rooms are available... They changed their versions and told me they can arrange another room free.Told them thank you and I don't appreciate gifts from liars.",Holiday Inn Nicosia City Centre
30,"In the heart of the old Nicosia in front of the old fence of the city, the former holiday inn hotel know known as the Nicosia City Center, you can stay with advantages and live with the disadvantages of you can, while eventually it's not bad compared to the prices too.Advantages:1) down town nearest point to many attractions, Famous Ledra area where all shopping brands are there, boarder line to the Turkish side of Cyprus;2) opposite to the bus stop, where you can go to many attractions as Cyprus mall, Jumpo mart (typical to Carrefour), IKEA, Marks & Spencer, Larnaca to enjoy the beach.3) near the famous shopping street (Makarus)4) many coffees around.5) prices are moderate.Disadvantages1) noise from the bus stop starts at 5 am, windows are not sound isolated.2) the building and amenities are too old and extremely exhausted, WCs, doors, towels one of the elevators was halted for a whole week.3) reception staff is not friendly at all!!? While the main dinning room staff are.4) Internet are free for two devices only!!5) room service is extremely poor, for a whole week stained sheets are not changed neither the wooden floors were cleaned.Enjoy.",Holiday Inn Nicosia City Centre
50,This place is not a Holiday Inn anymore. It has changed its name. I stayed one night and liked the place. Ledra Street is a short walk. There is a bus station in front of the hotel and one can travel to other places in Cyprus. The area around the hotel has a lot of bars and restaurants. It is constantly bus through the day. The hotel itself it not bad. My room was perfect for me. It has a balcony and nice to sit out in the morning. The front office staff were cordial and helpful. I tried the breakfast and it was standard hotel food. Did the job. I would stay in this hotel if I visit Nicosia again.,Holiday Inn Nicosia City Centre
10,"This was definately a terrible experience. For a four star hotel am very dissapointed. Only the friendly personnel kept this hotel at any reasonable standard.Where to start:- rooms of very good size and with nice floor but positives end there- bathroom needed refurbishment and cleaning- very noisy rooms not only because of the bus station but also because of really bad sound isolation. I stayed in other hotels on the same street and never had the noise problems we had here. We asked to change but apparently there were no big rooms at the back. So nothing was done.- to add to this the bathroom started getting filled with ants. Ok I know that Cyprus has a lot but it shows the bad state of the building.- swimming pool and lockers in dissarray. A great asset was the indoor swimming pool which was lukewarm but still reasonably heated. But the whole area needed serious refurbishment. When in the swimming pool I saw something on the side which I thought was a cleaning device. In fact one of the lamps inside the swimming pool had come out and it was left on the side of the pool with its wire still going into the pool. The lockers did not lock mechanisms but the locks were drilled out and replaced by hooks to which you needed to attach a lock that you would get from the health desk office. Whoever thought that this would be ok for tourists to see needs to be fired!- breakfast was reasonable,though the coffee was undrinkable- parking they had a tiny space shared with another hotel that fitted 10 cars and a big container bin. It was free but almost always full. But there was parking space in front of the hotel and a big public parking opposite the hotel for five euros a night.- position was really good for those who wanted to visit Nicosia.I have known this hotel since many years and it is a real shame to see it in such a mess.",Holiday Inn Nicosia City Centre
