r_points,r_text,place
50,"We stayed for 5 nights and I can honestly say we had a wonderful stay. The hotel has a very modern and elegant decoration while in all common spaces there is an extremely pleasant scent. The room was spacious, nicely decorated with all amenities we could wish. The bed was as we like it firm and comfortable. The breakfast was splendid too, even though due to Covid-19 policy there was no buffet, we had various options to order from , all of which delicious. Highly recommended.",Hypnos by Bed n Mix
50,"This is a lovely, well looked after hotel with a modern interior. It is slightly out of the way from other things, but nothing hiring a car or being prepared to pay for a taxi wouldn't change, and its only a short walk to some shops for snacks, drinks and food if needed. Staff were amazing, and helpful if we had any questions during our stay. The room was refreshed daily, not only with toiletries but also a litre bottle of water which was great as meant we didn't have to buy as much water as normal when we're abroad so saved us money and trips to the shops. The hotel was peaceful and relaxing. Breakfast came with lots of continental choice, although it was the same on offer everyday there was enough there not to have to have the same everyday, they even had a waffle maker and made omelettes and poached eggs to your request. Large bed, turned out to be two singles pushed together but you wouldn't know, extremely comfortable. Air conditioning available in the room, good sized wardrobe, desk, two chairs, cupboards, fridge, proper hairdryer not one of those tiny ones or ones that are like a hand dryer, iron and board and a safe everything you could possibly need during your stay. I stayed for 10 days mostly with my boyfriend but a couple of times he had to work so I stayed alone which was no issue in this hotel. It also had a good sized balcony with seating area. Couldn't fault the hotel, I would definitely stay here again and would recommend to anyone else travelling to Nicosia!",Hypnos by Bed n Mix
40,"I loved the hotel, they have a great service and clean rooms. The WiFi is great. The serve a good breakfast and free coffee and tea.They have a parking if you have a car.The staff is very friendly and polite.",Hypnos by Bed n Mix
50,Very nice clean and modern hotel. The room is spacious and the bathroon as well. Plenty of electrical outles and USB outlets. A really nice addition is a local cellphone included for free for local calls and web surfing! Breakfast buffet quite generous and hot drinks available all day long.,Hypnos by Bed n Mix
50,"We were staying in hotel for 6 days. We were very satisfied. On breakfast is good chooice of food, friendly staff, it's close to centre (cca 20minutes of walk). Rooms are very comftorable and modern, with big shower. Recommended.",Hypnos by Bed n Mix
50,"This hotel is really nice peaceful. The room is very comfortable, the breakfast was lovely, the decor was warm.It’s kind of far from anything, so a minimum of 30mins walk to the old town or around 6-7 euros by taxi. I had work to do so I didn’t mind just hanging out at the hotel for a day or two, but also, it’s so nice that staying out of the town is worth it.The staff were also very friendly and helpful, so big plus there too.",Hypnos by Bed n Mix
50,"Lovely staff, comfortable, great beds attractive design, reasonable price, what more could you want from a city hotel? Maybe location closer to downtown would be the only thing, but it’s only a 6 euro taxi ride",Hypnos by Bed n Mix
50,"Clean, spacious rooms. Lovely little balcony. Nice little hotel bar. Attentive, friendly staff! Excellent breakfast with a varied amount of different dishes, sure to suit the tastes of most. I thoroughly enjoyed ny time here. I cannot fault it!",Hypnos by Bed n Mix
50,I had a very nice experience with this hotel. The management showed an excellent service with I appreciated a lot. Choose this hotel without hesitation. I will be booking there on my trip to Nicosia for sure.,Hypnos by Bed n Mix
50,"This is a brand new 3 star boutique hotel located just under 2kms from Nicosia.As soon as we arrived at the hotel I was pleased of its location, which is off the main road. On entering our superior twin room which was automatically upgraded by the Reservation Manager I felt at home.The contemporary wooden furniture with matching door and furnishings were pleasing to the eyes. The contemporary and clean lines continued on to the bathroom. Double size shower with an optional hand held or a large size rose hanging from the ceiling with high water pressure. The complimentary toiletries ‘Zealots’ are made of natural products. A variety of coffees and herbal teas available around the clock on the top floor where breakfast is served. Your have a choice of cereals, English cooked breakfast, pastries, plain local yogurt and more. Everything cooked freshly onsite.The staff and owner who I had the pleasure of meeting were very professional and helpful throughout our 4 nights stay.On site parking and fast internet is available with your stay. I highly recommend this thoughtfully designed hotel.My congratulations to the owner.",Hypnos by Bed n Mix
