r_points,r_text,place
50,"This family owned property offers lovely decorated rooms at fantastic prices. The owners always go that extra mile to provide a great service at anytime.everything you need is at close range and it's location is ideal, for a stroll in the centre. I have stayed here many times and it gets better every time. I would highly recommend it to all,.. suited for families, solo travellers and others. Clean spacious room with a very trational design that makes the hotel even more welcoming. The decor at the reception area immediately gives you a nice warm feeling. Easy check in process and overall the best choice in the city",Kipros Accomodation
50,"This is a small family hotel, ran by a father and daughter. The two of them and the lovely housekeeper are amazing hosts and look after their guests exceptionally well. The accommodation is quirky, interesting and definitely not something we have seen before. The common areas were very clean and our room was sanitised everyday with fresh towels and bed linen provided daily. There is a beautiful terrace on the top floor, which is perfect for resting, having a drink or just enjoying the lovely weather. The location of the hotel is simply perfect, as it is situated in the centre of the old town. All the historical sights, museums and restaurants are less than ten minutes walking distance away from the hotel. Another positive side is that the main bus station is just in 3 mins…",Kipros Accomodation
30,"Good value for money for one night. A great location - very close to Ledra street. Friendly staff in the morning. Very affordable - only €40 per night. The man who checked us in after hours spoke about 3 words to us the whole time - not very friendly or welcoming. Room smelt quite bad of smoke, and someone across the hall was playing heavy metal music all night - we had to turn the AC right up to block out the noise. Very small bathroom - however for the price and location it was good value for money - just not for everyone.",Kipros Accomodation
50,"Kipros Accommodation is a truly fantastic place to stay in Nicosia. We stayed 2 nights. The whole place has very beautiful decor. It’s got all the basics, kettle, hairdryer and is clean and comfortable. The young lady on reception is delightful and very helpful. It’s minutes from the bus station and minutes from Ledra Street with its shopping, cafes, bars, restaurants and of course the border into the Turkish side. I can not recommend Kipros enough and I would strongly recommend to family and friends who might be visiting Nicosia. We loved it.",Kipros Accomodation
50,"What an absolute pleasure To have stayed here in this Family run business, the rooms are clean tidy and it’s very unique style of house. Absolutely central for everywhere two minutes to the main street and across the border. Would not give it a second thought to pick again I’m going to bring my family up here in September and recommend it to anyone who wants to stay in Nicosia. Thank you and see you soon xx",Kipros Accomodation
50,"This family owned property offers lovely decorated rooms at fantastic prices.The owners always go that extra mile to provide a great service at anytime.everything you need is at close range and it's location is ideal, for a stroll in the centre.I have stayed here many times and it gets better every time.I would highly recommend it to all,.. suited for families, solo travellers and others.Clean spacious room with a very trational design that makes the hotel even more welcoming.The decor at the reception area immediately gives you a nice warm feeling. Easy check in process and overall the best choice in the city",Kipros Accomodation
50,"This is a small family hotel, ran by a father and daughter. The two of them and the lovely housekeeper are amazing hosts and look after their guests exceptionally well.The accommodation is quirky, interesting and definitely not something we have seen before.The common areas were very clean and our room was sanitised everyday with fresh towels and bed linen provided daily.There is a beautiful terrace on the top floor, which is perfect for resting, having a drink or just enjoying the lovely weather.The location of the hotel is simply perfect, as it is situated in the centre of the old town. All the historical sights, museums and restaurants are less than ten minutes walking distance away from the hotel. Another positive side is that the main bus station is just in 3 mins walking distance.Keep in mind that the hotel is not suitable for wheelchair users.",Kipros Accomodation
30,"Good value for money for one night. A great location - very close to Ledra street. Friendly staff in the morning. Very affordable - only €40 per night.The man who checked us in after hours spoke about 3 words to us the whole time - not very friendly or welcoming. Room smelt quite bad of smoke, and someone across the hall was playing heavy metal music all night - we had to turn the AC right up to block out the noise. Very small bathroom - however for the price and location it was good value for money - just not for everyone.",Kipros Accomodation
50,"Kipros Accommodation is a truly fantastic place to stay in Nicosia. We stayed 2 nights. The whole place has very beautiful decor. It’s got all the basics, kettle, hairdryer and is clean and comfortable. The young lady on reception is delightful and very helpful. It’s minutes from the bus station and minutes from Ledra Street with its shopping, cafes, bars, restaurants and of course the border into the Turkish side. I can not recommend Kipros enough and I would strongly recommend to family and friends who might be visiting Nicosia. We loved it.",Kipros Accomodation
50,"What an absolute pleasure To have stayed here in this Family run business, the rooms are clean tidy and it’s very unique style of house. Absolutely central for everywhere two minutes to the main street and across the border. Would not give it a second thought to pick again I’m going to bring my family up here in September and recommend it to anyone who wants to stay in Nicosia.Thank you and see you soon xx",Kipros Accomodation
30,"I really enjoyed my stay at this hotel. The location I felt was superb, the room was clean and touched up on a daily basis. I feel the staff could have been more helpful as we were left hanging in the lobby a couple of times and each day there was work being done on the place and we didn't get a heads up and at times we were woken up to work being done. Overall I would use this hotel again. Enjoy it.",Kipros Accomodation
10,"Kipros never officially canceled my reservation through Agoda. When I contacted them to let them know that I would be arriving late, they asked for my phone number to call me at home and say that they canceled the reservation because ""Turkish people usually don't show"". I am flying in from Istanbul, but am not Turkish. More importantly, their guessing my nationality should not have mattered. They provided no solutions to fix the problem. 10 hours before I land late in the evening with no accommodation.",Kipros Accomodation
50,"We stayed at kipros Accomodation for 1 night. Our stay at kipros was very good from start until the check out. The lady at reception was very polite and helpful, as she let us store our luggage there for a few hours after the check out. Our room was clean, with a clean toilet/bath, toiletries, good WIFI and heating/AC. It has a terrace on the top floor for fresh air.It's located 5 minutes walk from Solomou square bus station where buses to/from other cities arrive/depart. Also, Kipros Accomodation is just 5 minutes away from Nicosia's famous ""Ledra street"" & it's pedestrian crossing to the north Cyprus (Turkish side).THANK YOU KIPROS ACCOMODATION!!",Kipros Accomodation
30,"First of all, there is no lie. Room looks just as you see online. Its good! Good wifi, super central location, super cheep, super friendly owners. I assume, it would be way more perfect in summer. In winter rooms are very damp, and cold, but just like every house in Cyprus, with no heating system (however, there is airco, and it heats, drys, your room, quickly!) Toilets are small, but, this is a budget hotel, so I totally understand. My largest issue was cleaning services :) Believe me, its totally different from many coments - little cleaning ladies are just obsessed adout changing your towels, and making beds. No matter what day of the week, they will start aroud 9 and will go till 12: smashing doors, moving furniture, rustle plastic bags, and the worst thing - shouting something to each other. But in result, its clean :), as clean as simple hotel room can be!",Kipros Accomodation
50,"This a real treasure, full of character. Close to Ledra Street and crossing to Turkish Nicosia.Breakfast is freshly cooked and plentiful. A real taste of Cypriot hospitality. Nothing was too much trouble.",Kipros Accomodation
20,This is an old building with very old furniture and windows. No lights in the bathroom. In front of a high traffic small road and for that extremely noisy. Including or especially during the night. It is ok only if you have to spend a night in the center.,Kipros Accomodation
20,"The hotel has a good location just 5 minits from ledra street and the bed sheets were clean, that all positive at this property.Negativ- the mattress was not a real one( very hard and hot to slip on), the bathroom was really dirty not sanitized at all never, everywhere in the room and bathroom full of here- not ours, noisy- we couldn’t sleep at all, the furniture old and dated, just the mirror was nice in the room, internet not working well, you could here the noise from other rooms.I have to admit it was cheap-37 euro but still i expect a clean room and clean bathroom.... and a real matress.I don’t recommend this place.",Kipros Accomodation
30,"Just 5 minutes from bus station (where you can go to Larnaca or Pahpos) and near city center and main street Ledra.Design of interior is represant the old Cypros staff. Room was clean and normal size with little bath on the second floor.To be honest, the staff isnt so friendly as i wish.Breakfast is small and cost 5 euro.Accept only cash for room and breakfast.Very good for staying, but average for staff.",Kipros Accomodation
10,The bathroom was ridiculously small so you cannot even go to toilet. The room was never cleaned and the noise coming from outside was inbearable. This is for room 4. It is conveniently situated by the coty centre,Kipros Accomodation
