r_points,r_text,place
20,"I stayed 4 nights at this Hotel and it was a mixed feeling about it let me start with the positives first.hotel is the best in northern Cyprus , it is not always what looks good means it is Good. the rooms are clean ther service is excelent the stall is very welcoming and helpful,the breakfast is good but could be be better.the location is good.the back garden is lovely.Now the negatives: The rooms stink of cigarettes very very strong.the hotel has nine floors but only level 5 is none smoking,please make sure you book this floor if you are none smoker or face the chimney ! the whole hotel stinks of Cigarettes big time.even the 5th floor. once the air con is on the smoke comes in. dont bother to eat lunch at the hotel its medicore at Best,dinner is horrible too. how ever if you go down to the Casino you might find the food is excellent. above all its suppose to be 5 * well I leave that to you.",Merit Lefkosa Hotel & Casino
10,"I must say that as far as customer service goes Merit nicosia is the worst. They have a few tables to sit for coffee and your allowed half an hour. They do not care if you visit everynight, half an hour and then you get toled to leave. So you either stand or leave. They just do not care if you lost thousands or hundreds, do not sit on their table more than 30 minutes. In any case generally customer service is crap. But wait, they love it if your losing and it shows! Highly unprofessional. Might as well have a donation box outside so we dont crowd their horrible place. Bad attitude that is what describes them.",Merit Lefkosa Hotel & Casino
50,Merit Lefkoşa is smaller than other merit hotels I think you choose girne merit hotels there is better.This hotel's casino is small and they don't enter if you are student.Merit hotel location is very easy. It is in the city center,Merit Lefkosa Hotel & Casino
40,"This hotel fits all basic needs. The hotel is clean, especially the rooms. I took a non-smoking room and it was fine. Most of the staff are friendly and helpful. Some sour faces among the ladies but not all of them.It’s a good hotel, I would recommend it to most people (excluding vegans - the menu is pretty heavy on meat or cheese).",Merit Lefkosa Hotel & Casino
40,"Very good hotel, breakfast is amazing and the restaurant staff are very professional. At the reception a very helpful receptionist called Babacan and another man at the concierge helped us where to go and he knew arabic very well.",Merit Lefkosa Hotel & Casino
50,"We need to talk about the breakfast buffet at this hotel. It is, in a word, incredible. An abundant array of delicious, beautifully-prepared dishes for all tastes and nationalities. I found myself thinking about it all day after my first morning, and couldn't wait to go to sleep to do it all again the next day.The hotel itself is very nice. I wouldn't classify it as five-stars, but it was very well-appointed, including a great, well-equipped gym. What made it more special was the staff, all of whom were very accommodating and friendly (the petite woman who runs the front desk at the spa and gym was my favourite). I had neglected to request a non-smoking room when I booked, so was placed in a smoking room for my first night. But it barely had any smell of cigarettes, so it didn't bother me. Still, they were quick to follow-up the next day and move me to a non-smoking room (which I declined). They also realized that I had accidentally booked myself in as a double, meaning two people instead, as I thought, a large bed...and they were quick to refund me 50 Euros a night to make up the difference. That's good, honest service.All in all, a great place to stay if you're staying in Northern Nicosia (Lefkosa). Easy walking distance to the old walled city, which is certainly worth seeing, and around the block from a cool street filled with bars and restaurants. I recommend it very highly.",Merit Lefkosa Hotel & Casino
40,Here for a business trip and generally very good. The outside is a little gaudy but the public areas are good and the room clean and comfortable. Breakfast is excellent and extensive and other food offerings were also good. The leisure facilities were very good with a Haman and other gym pool and spa offerings. The traditional kebab restaurant is heavily promoted and I was therefore irritated that it was allegedly fully booked all the time I was there. I think if I was not on my own this would not have been the case. There was also a private booking in the Haman one evening abs I was therefore told to leave....if I had been told before I got in I would not have been annoyed as it was I left irritated. I hope to come back one day and enjoy ALL the facilities,Merit Lefkosa Hotel & Casino
40,The hotel is excellent. Very clean and the staff very friendly and helpful. We stayed over Saturday night and the restaurant had a set hot/cold meze meal. Much more than the average person could eat.Hotel has a lovely garden at the back.The location is great for exploring Lefkosia.,Merit Lefkosa Hotel & Casino
40,"We visited this hotel for one night. Cant say a lot but generally the impression was good.I liked the interior design of hotel,specially of bathroom and the flowers in lobby.The breakfast was good also. There were ladies who makes fresh pastries.But it was little smelling cigarets in corridors",Merit Lefkosa Hotel & Casino
50,"We stayed as a family for 5 nights , every thing was just perfect , friendly and helpful staff, with special regards to Mr. Ali the driver as he told us the word in Turkish he was very helpful and available for us all the time . The rooms were spacious , clean and very comfortable , breakfast buffet was rich . Good value for money , i do recommend this hotel .",Merit Lefkosa Hotel & Casino
