r_points,r_text,place
10,"We stayed in Royatiko hotel for a weekend. It was our worst experience by far. We called them the day of check in, asking for the price per night via telephone and they charged more upon arrival, just 4 hours later.The manager was very rude when we asked the reason for the overcharging. The room had old furniture. The sheets had holes on them. The kettle was dirty. The fridge had a sandwich from the previous resident expired a week before. The balcony was very dirty with pigeons' poop. The corridors were also dirty with spiderwebs and hair hanging from the curtains.I would recommend find another place to stay when visiting Nicosia.",Royiatiko Hotel
30,"I stayed at this hotel (always for business) a few years ago ... not much time after it had opened. I was rather surprised because I found that the hotel has undergone no renovation at all. That’s a pity ... in fact the location is perfect (very close to Ledra street -the core of Nicosia) and some improvements will definitely change a lot the rating. Rooms are ok, nothing special but what you basically need when you travel for business. Clean, I appreciate the pleasantly perfumed towels but terrible mattress ... soft with the springs entering your bones ... I tried to change room but -as a matter of fact- all rooms have that type or mattresses ! My suggestion is to change them straight away ...There is a nice pool close to the lobby where you find a bar with a sort of terrace where you can have breakfast too. Unfortunately it is infested by pigeons all day long: they come from everywhere to drink the water and it’s dirty all around (... in 10 days I have never seen anybody bathing in the pool !). Breakfast is reasonable and the staff very friendly.",Royiatiko Hotel
40,"Royiatiko Hotel is in a nicely located just a block off of Ledra Street. Immediate area is quiet, but not very scenic. The bed was comfortable and the room had good aircon and wi-fi. Breafast was very good with scrambled eggs and meats every day and yogurt and honey available. Hotel staff were very helpful with any questions that we had. Pool looked very nice, but we never found the time to use it.",Royiatiko Hotel
30,"Easy to find. Clean areas, comfortable bedroom. Change of towels and cleaning of the room daily. The breakfast area by the pool is very welcome. The breakfast buffet has a variety of fresh items.Only problem is the parking.",Royiatiko Hotel
10,"We booked for two nights during our trip to Cyprus. During our stay, the service staff was quite friendly, sharing with us the history of Cyprus. However, upon entering the rooms, the experience was totally different. The furniture in the rooms were dated. When we pulled open the sheets, we noticed the blankets were all stained and they look like they haven’t been washed for months. The shower was also stuck. It made the whole experience very unpleasant.",Royiatiko Hotel
50,Excellent location 25 metres from ilforno on ledra streetGreat priceAmazing staff very accommodatingSuper breakfastSafety deposit box which was not listed as a facility on booking .comLoved the poolCould do with full length mirror in bedroom but really cannot be faulted in relation to value for money,Royiatiko Hotel
50,"I've really enjoyed my stay here the hotel is about 20 metres from Ledras Street and as a result is in an absolutely fabulous location. There's a small pool and gym, and the rooms have small balcony's, WiFi, Aircon, a kettle, a small fridge, a small safe and the sundry items you'd expect (coffee, shampoo, soap etc) the staff are friendly. The buffet breakfast is good. Some of the fittings and fixtures are a bit tired but are serviceable, e.g. the shower head would slowly drift down the pole and there was the odd scuff and scratch here and there but regardless, great value.",Royiatiko Hotel
40,"My partner and I just returned from a three night stay at the Royiatiko in Nicosia. The hotel's biggest advantage is its location. It is so centrally located. We walked to all the sights in the city center and it is also 5 minute walking distance from the checkpoint to visit the Turkish side of the island. Restaurants and shopping were literally at your doorstep. Overall, I found the hotel to be a notch just above a dorm. The room's bed was not much more than a box spring and the bed's covers looked outdated. The airconditioning unit did work perfectly and there was internet connection. I didn't like the hotel at first but it grew on me right away. It was fine. The morning breakfast was good too. It was nothing to rave about but It filled us up for the day. Overall, I would stay here again. It was a restful and peaceful stay. I would like to thank Anna, the Filipina at the front desk for being so welcoming and allaying my fears about the stressful KAPNOS shuttle ride we took from the airport.",Royiatiko Hotel
10,"So....I called directly to the hotel to reserve a room. I ve been told by the reception that the cost is 55 euros per night.. we stayed 2 nights. When we checked out they asked the amount of 160 euros from us. I asked why and they said that is because they are fully booked.And then I said that I have booked one and a half month ago and the price we been given is 55 euros per night and NOT 80...Second thing is that the rooms are very dirty, looks like they are used from bordels and escorts around the area.Smelly sheets, very dirty floor and bathroom. Outdated decoration, the bed mattress was super hard and difficult to sleep. Seems that is Never replaced. The television was in a place that there was no place to sit to watch. Brown heavy curtains that close the room even more. A plastic spoon for your coffee and in general everything in the room VERY cheap.From our experience this hotel should charge around 30euros instead of 80 euros per night.. Pure rip off. We couldnt do anything because I didnt know the name of the desk person that gave me this false information about the prices. But it seems that they confront their clients for the prices with the excuse that they are overbooked. Tripadvisor price was 70 per night and the lady said to us 80euros!Not accepted. Because I have booked 1 and a half month ago to get a good booking, price included.The Only good thing is the location and free parking but everything else suck big time.Please be carefull when booking with this hotel and ask for confirmation of price before you stay written if possible..Tip: there are a lot of Apartments, Airbnb and hotels in that area that offer much better prices than this place.Extra info, the poolside was too small, no place to lay your bed basically,and one pool 3x2 ... visitors card costs 12 euros.......!Bad vibes from our experience.Overall it gets a 3/10 from me.I dont see myself booking over there again.For that price DEFINITELY not.Good luck",Royiatiko Hotel
40,"We stayed here for two nights. The location - less than 100 meters from Ledra - is fantastic as is the friendly and personable service. Expedia had made a mistake with our confirmed reservation, and the hotel - which was completely booked - found a way for us to stay. Decent breakfast and pool are pluses.",Royiatiko Hotel
50,"We wanted to write a review for quite some time but did not manage to earlier. Last year we booked several rooms at the hotel for family and friends that came to Nicosia for our wedding. Stavrina is probably one of the most professional people we had the pleasure to cooperate so far who so patiently and politely helped us with the process. All our guests were happy from the rooms, service, cleaness, food and location since it's a few minutes walk to the old city centre full of restaurants, cafe and bars. We definitely recommend it. Thank you Stavrina for everything. M&K",Royiatiko Hotel
50,"We booked a small room for one night and the Mrs spoke to Stavrina she was very helpful telling us how to find the place and parking outside. (See my photos)Room clean, two large single beds and lovely shower.Air-conditioning, free WiFi, coffee + kettle.The staff sorted us with a iron and hair dryer.Breakfast the fried breakfast well sausages where small frankfurters, streaky bacon, baked beans, oily mushrooms, scrambled eggs?, we didn't like but who say you wouldn't or might be better the next dayBut the cold meats, salad, fresh fruit, yoghurt. Croissants, fresh rolls, sliced bread,Made up for the cooked.Lovely swimming pool walking distance to the centre and bus service which you can go to the airport's, staff are very friendly and helpful hope management pass our thanks to them all.wish we had few days stay there.",Royiatiko Hotel
