r_points,r_text,place
50,"First time visit. Surprisingly good, clean rooms, good breakfast, dinner was wonderful, polite stuff. Location is in the centre of the town makes it ideal to go anywhere. Will visit again in the future",Semeli Hotel
40,"It has all the charm and splendor of a grand old hotel but is in fact only 10 years old. The staff are friendly, helpful, the rooms are well equipped. There is everything from gowns and slippers to shoe horns and shoe polish. Breakfast is a good variety, buffet style. Almost always fully booked, so book well in advance.",Semeli Hotel
50,"Having recently stayed at Semeli Hotel during a business trip I was very pleased with the accommodation choice. The hotel was clean, the room was very comfortable and all in room extras thought of! Every member of staff was accommodating, friendly and professional. The breakfast options were fantastic, I used the restaurant 2 evenings during my stay and the food was beautiful, with such a lot of choice. All in all I am very pleased with my stay here and will definitely book again should I visit Nicosia, I highly recommend.",Semeli Hotel
50,"I stayed at Semeli for 3 nights in January for a business trip. The hotel was perfect; clean rooms, warm and very friendly staff. Breakfast was nice but there was some repetition in lunches and dinner. Highly recommended if you're in Nicosia",Semeli Hotel
50,"I was really happy with everything at the Semeli Hotel. My room (507) had a balcony facing the sun, which meant I could work there while enjoying the afternoon sun. The wifi service is extremely fast and reliable, which is something that's often lacking in many hotels today. I was able to watch online streams of live sports in HD without any glitches or stuttering. Breakfast was a nice wide selection of options with very fresh produce (I recommend the cucumber and local cheese).",Semeli Hotel
40,"There hotel is clean and tidy, there was a family with kids in my floor so it wasn't very quiet, the lunch menu is excellent, breakfast is ok.The staff are very friendly and helpful.The welcome complimentary wine was very much needed after a long travel :)",Semeli Hotel
50,Hotel is close to Landmark hotel in a quiet small road. Room facilities were good and staff was helpfull and kind. Breakfast is fine but nothing special. Its an excellent stay for Nicosia but not very close to old town or center.,Semeli Hotel
40,The hotel provides various sizes conference rooms and we usually go there for meetings.The service to the meetings is very good.After the meeting we decided to have lunch with friends there and liked it very much.The service at the restaurant was excellent and they have a menu with nice choices.,Semeli Hotel
50,We stayed for 3 nights. The room was nice and the hotel staff was friendly. We were able to park our car at the hotel easily. It was an easy 30 minute walk to the old part of the city. We'd be happy to stay here again.,Semeli Hotel
40,"Some reviews are quite incorrect and I can insist on this , being a cypriot from Nicosia myself. For example this hotel is in no way in or near the town centre but next to the ex Hilton in a strictly residential area. I was upgraded to a suite which was fantastic in every way though one of the bath towels was a real shame and was changed immediately... The room and all facilities were excellent, underground parking good for about 10 - 15 cars, and breakfast good enough, though nothing special .",Semeli Hotel
30,"Located in central Nicosia this is a local hotel and perfect for short trips.Breakfast is continental and cooked buffetRooms are simple, clean, shower is hot. Tv is local channels.Has a lounge area and a bar. Service is local speed and local prices.Great for short trips.",Semeli Hotel
50,Don't think much about where to stay when you are in Nicosia. The best place is the Semeli Hotel. An exceptional Hotel in everything. It is a 5 stars hotel. The rooms are clean. Good food from breakfast to dinner. A nice bar where you can enjoy drink with friends. Very convenient place in a nice and quiet area with very friendly staff. You will never feel alone. You must meet the GM; a real gentleman. A family-oriented successful man. He greets everyone with a smile and takes care of every single detail.,Semeli Hotel
40,"I enjoyed staying at the Semeli hotel: the room was large, the bed comfortable, the breakfast buffet better than adequate, and the staff extremely pleasant and helpful. I was not similarly satisfied, however, with the daily room maintenance, which was somewhat sloppy and below the level of the rest of the hotel services. Also on the down side was the noisy air-conditioner, as well as the fact that the air-conditioning could not be turned on if even the small bathroom window was open. Nevertheless, I would still recommend this hotel and will gladly stay here again.",Semeli Hotel
50,"I stayed here for 2 weeks whilst in the city on business. It was a nice clean hotel with very friendly staff. The food in the restaurant was pleasant and at lunchtime there was buffet option for €12. The hotel has a gym which has a decent amount of equipment albeit some of the cardio machines did not work and the sauna was out of order for the entire stay. The rooms were clean and had a balcony. Anyone wishing to cool down for a swim, the nearby Hilton has a pool which non residents can use for €15. The hotel has a very strong Wifi and was very accommodating for things like late check out, laundry, space for business meetings.",Semeli Hotel
40,I have visited the hotel in August 2018 with my wife for a 1 night stay.Hotel is very nice and the rooms are good and clean. Breakfast is very nice with pleanty of options.Lobby is very nice and well decorated. Spacious parking.,Semeli Hotel
30,The hotel is very dated and in need of modernisation. The heat/air conditioning is on a central service so either everyone has heat or everyone has air conditioning. My room was unpleasantly hot. I opened the balcony windows for a while but the noise from the nearby road made it impossible to sleep. When the windows were closed the noise still kept me awake.The breakfast was ok. They served a buffet style dinner for a set price of 12 euros when I was there. It was good value with a decent choice of hot and cold foods. The deserts were disappointing.,Semeli Hotel
40,This was second time I've stayed at this hotel and it was very pleasant again. This hotel has really good location and prices are excellent for comfort which offers. Also breakfast was really good and I would say it's really above standard 3star hotel. I will definitely stay here again.,Semeli Hotel
50,Semeli hotel is located at a privileged location in Nicosia. The quality of service is unmatched with other hotels in the area. Travelers best choice for business and not only. Quiet rooms and access to many amenities.,Semeli Hotel
50,"We had our wedding at Semeli just after Christmas, with a 500 guest reception cocktail and a 240 guest dinner.The communication and service from the hotel staff, from general manager and event manager to waiting staff, was exceptional - we truly felt that the entire hotel was working for us.The food was terrific, with great communication and inputs from the Chef regarding the menu selection.All our guests had a great time, both in the cocktail and the dinner!We would definitely recommend the hotel for a wedding of this size!",Semeli Hotel
40,"Comfortable hotel, a bit old fashion but OK. The main shortcoming is the distance from Nicosia centre or ‘centre’ as this is not a typical city. Walk to the center is possible and fine but the way back is a bit uphill. You will not meet many pedestrian though – people only move with cars even for short distances.",Semeli Hotel
50,"professional attitude, reasonable prices, very responsive service, cleanness, rich and delicious food are few of the many good things we experienced at our stay at the SEMELI hotel. highly recommended.",Semeli Hotel
30,"We stayed at Semeli Hotel for 7 nights.Hotel was OK, nothing great. No idea if there are better in Nicosia or maybe it's the best option. But I expected something better.Room was OK in size. Mattress of bed was very inconvenient and not comfortable, especially for those that suffer from back pain. I had two twin beds in the room which were close to each other, but during the night they separated from each other and in the morning they were no longer near each other. I don't think that should happen.Bathroom was very tiny and I wish there was more space there. I also wish they had a proper shower instead of a bath. Was not convenient to enter and get out from it.When we visited Cyprus it was very hot. The air conditioning in the room wasn't powerful enough to cool the room which wasn't fun at all times.We got complimentary fruits and water when we arrived to the room on first day. I enjoyed the kiwi and preferred to keep the pear for the following day. But it was not there, someone took it when they cleaned the room...For breakfast and dinner we had a buffet. Food was OK but not great and was almost the same each day, which becomes boring when you stay for so many days in same place.There are two elevators, they are too tiny and slow that I preferred to use the stairs instead. But not all guests can afford doing that so it's very important to have better elevators.WiFi in the room and the rest of the hotel was working good and allowed fast connection to the internet. This is important and appreciated.Staff were all very friendly.",Semeli Hotel
50,Perfect base for short business trips to Nicosia. Good rooms with all facilities and small balcony. Nice bar and outside eating area and good food at very reasonable prices. Staff very friendly and helpful.,Semeli Hotel
30,"We spent a full week in the hotel during a group tour. Hotel stuff were quite friendly, tried to help in any way. The food (breakfast & dinner) was basic and good, small buffet of fresh fruits and vegetables, fish, meat, rice & pasta. not too sophisticated but as I said, fresh and tasty.In room free wifi and tea/coffee.The room was clean, but the bathroom was too small and uncomfortable (when I wanted to wipe myself after the shower I had to open the bathroom door). there was a leak, that stuff saw but instead of repairing, they just put more several floor towels every day. I didn't want to change rooms because most of the rooms had slippery bathrooms and we wanted to stay with the shower. Our bed mattress was way too soft, so if you have back problems it may be an issue.If the location is important for you, I would stay elsewhere, the hotel is located in the suburbs, the nearest convenient store is about 10 minute walk away.Overall experience was OK, mostly based on the friendly stuff the good food.",Semeli Hotel
40,This was my first stay in the hotel and from the first minute at reception when I checked in the staff are very friendly and helpful it would be a hotel I would use for both business and holiday trips in the future. I had dinner @ the restaurant and the waiter was extremely friendly and entertaining and the meal was excellent. Would recommend this hotel for a stay in Nicosia,Semeli Hotel
50,"After a not-so-great first night in one of the standard rooms, hotel staff put everything right with a move to a much bigger room for the next two nights. Very comfortable, very clean and efficient, helpful staff. Decent breakfast on offer in the morning although a freshly cooked breakfast will always beat eggs and bacon stewing in a server.Location is excellent.",Semeli Hotel
50,"Stayed there for 4 nights for my sister's wedding.we were approx to 50 people and we felt like at home!The staff was ready to do anything and help in every way to make every thing works at the wedding day. Irini, Paula & Mohanad (hope I spell it right) there is no doubt that the wedding day was so perfect thanks to your help!beside this amazing staff, the rooms are very clean and well equipped.next time, definitely a longer stay!Thank you very much 😊",Semeli Hotel
40,"Stayed for a week in June and the staff without exception were friendly, kind and helpful. The result was exceptional customer service. All slightly let down by the condition of the room and the quality / variety of the food. The room certainly needed 'refreshing' and getting more than one option for vegetarians seems virtually impossible.",Semeli Hotel
50,"Already over three times there, my opinion could be no less solid regarding Semeli Hotel.Located in a perfectly convenient spot, pretty close to the center of the city and at the same time 5 minutes away from the highway and the exit of Nicosia to other destinations.With classic decoration, but still, lots of modern touch combined to total cleanliness, Semeli offers generously a sense of ""well organised"" and relaxation by the moment you step in.Spacious quite rooms, fully equipped (coffee machine, amenities), VERY comfortable anatomic mattresses, everything calculated and made with love and true respect to the customer's needs to the tiniest detail.Breakfast is a full American Buffet with nothing missing. Freshly made food, local specialties, sweet temptations and limitless coffee make the best way to start ones day.Apart from that, the all day function of the restaurant together with the excellent lobby and main bar ""surroundings"" make Semeli Hotel an ideal venue for a descent business meeting.Last but not least the excellent stuff! Highly professionals,great connoisseurs of the art of Hospitality, polite, friendly but also discreet, they all make you feel no less but home!Bravo Semeli team! Highly recommended!",Semeli Hotel
50,"What an amazing place!This is definitely a place where you pay for a 3* but get the services and quality of a 4* hotel.We have chosen this hotel for a 1 night stay but would easily stay longer.High standards in all parts of this business with excellent service.Rooms were really clean with comfortable beds and pillows, a hot tub and a JacuzziLocation is brilliant too as its really close to the town centre",Semeli Hotel
50,This is a very good hotel with excellent staff. It was a great experience to meet the staff who is so much service-minded. The hotel has a good location but still very calm. It's not too big just the right size.,Semeli Hotel
50,"No frills, good location, ideal hotel for business travelers. What makes it stand out is the very friendly and highly professional service. Also great value, with a more than adequate breakfast and good wi-fi throughout.",Semeli Hotel
30,"I stayed here for one night last week, it was absolutely fine and a decent alternative to the Hilton.The staff on reception were friendly and efficient. My room was clean but a bit dated with the WiFi signal being intermittent.The car park is situated very close to the hotel but it’s worth stopping at the hotel to drop heavy bags as the slope is quite steep.Breakfast was decent, with good choice and a nice start to the day. I’ll definitely stay again.",Semeli Hotel
30,"Booked 5th floor double room with fridge, kettle etc and balcony and breakfast -accommodation great with clean room but hard pillows and when asked for feather none available but that is a minor thing. Breakfast absolute minimum and bland fruit salad basically apples, orange and apple juice not fresh although both apples and oranges are in season on the island and therefore really cheap. Other fruit not great quality and no oranges were ever available as fresh juice or to peel. The coffee is self service from a machine and no decaf - you have to pay around 3.50 euro per cup. I asked to speak to the manager several times but he never contacted me. Reception staff otherwise very helpful. Shame no local foods are reflected in the breakfast choice and no communication available in case of a complaint as I felt I needed to make - it is a 3-4 star hotel but felt much less in what I have mentioned above. Pity.",Semeli Hotel
50,One of the best hotels in Nicosia. Located in a quiet area and close to the center. The service staff is pretty welcoming and professional. Rooms are super clean.The overall ambience is great. Rates are affordable and it is real value for money.,Semeli Hotel
40,"Semeli Hotel is located not far from the city centre. You can get there if you like walking in less than 30 mins.There is also a nice, large park close to it, ideal for shorter walks when it gets really hot.The view from the hotel is not that great but it's quiet. Kennedy avenue runs close where you can catch a but to the city center. Unfortunately buses in Cyprus stop early.The rooms are very spacious, squeaky clean, well equipped. They have a mini bar which is always full with drinks and snacks. A small bottle of wine and fruit will be waiting for you upon arrival.The beds are very comfy and the duvets very light but warm.The breakfast was nice and buffet style. The staff very friendly and polite. The lobby is very elegant and comfortable too. You can choose to sit outdoors if you want to smoke. Smoking is not allowed indoors.I do recommend Semeli.",Semeli Hotel
40,"I attended a training in this hotel and stayed for 4 nights. Really nice hotel with very friendly and helpful staff. Food is really good, tasty and fresh. Rooms are clean and comfortable, will come back for sure :)",Semeli Hotel
40,"Very clean rooms!Free wifi!Personnel is extraordinary helpful, polite and customer friendly! Well done!Rooms are vey nice with cocomat beds ensuring you enjoy a good sleep.The food for a hotel is really good, worth having dinner",Semeli Hotel
30,"Hotels in Nicosia are by far very expensive for what they offer though the city is cheap compared to other EU destinations. Hotel is not in the centre, right behind the Hilton and a few minutes drive to downtown. Executive room with jacuzzi ,spacious room and nicely furnished with heavy vintage furniture. The most slippery (and dangerous) bath tub I ever had !! Three holes on the wall, as if something had been removed, looked ugly but my request was ignored. Very professional service at Reception, normal breakfast buffet, nothing special, fantastic bar. On Sundays prepare yourselves to wake up to bells banging ever so loudly at the church a few metres away... Very unprofessional was housekeeping in that they never removed any used toiletries, once no floor towel was available, and finally no bath towel was in the room, what they brought to me was anything but a towel, torn apart, threads hanging here and there, this was disgusting, (apparently there is a language problem with housekeeping). I called Reception to see the junk that was brought to me and took some pictures as well...The hotel is very nice, well located, parking available for 15=20 cars, but small things make a hotel great, and myself as a traveler, I was rather disappointed with what I experienced. At more than a 100 euros per day I expected something more. Lastly, not the hotel's fault, but guests banging the doors like hell round the clock.",Semeli Hotel
40,I stayed at the executive room which was nice and spacious. Staff were very nice and breakfast was good.The towels were somehow old and little torn but at the overall I found it as good place and excellent value for money,Semeli Hotel
40,"The best thing this hotel offers is the Jacuzzi in the suite, although the suite is not cheap it is still at an affordable price and below the price you would pay for a Hilton regular room so it definitely worth to take a suite here.We had an issue with room 401 that had a very weird smelling (coming from bathroom) but they accepted to change it and everything was ok in the new room.close to old town and Ledras street (7 euro taxi or about 25 mn walk so really fair)The only minus was no heating system in the bathroom.Also staff at night was less friendly that the one during the day.",Semeli Hotel
30,Stayed for a night only - the rooms are kind of small if you are planning to sit on the desk - but clean and comfortable - so does the bathroom. Heating was a bit too much for my standards - couldn't adjust the control all night... On the other hand the service is excellent - very polite and helpful staff.,Semeli Hotel
40,"I very much like this small hotel and prefer it because it seemed to have a more local flavor. The breakfast is good, and the rooms were quiet and comfortable. As stated, it is a little far from the city center. However, for the price it is great. In addition the staff is extremely nice and the rooms are very comfortable. You will not make a mistake if you stay here.",Semeli Hotel
30,"I stayed for 20 nights in Semeli hotel from November 26th to December 15th, 2017, generally it is an average business hotel.Positive:Friendly staff, specially Eline at the reception.Clean room.Quick laundryNegative:Bathroom was a little rundown.The bed was very narrow.",Semeli Hotel
