r_points,r_text,place
50,"I spent just two days (one night) at The Classic Hotel and I wish I could spend more: It was a short business trip and booking was made by my local colleagues. The hotel looks really modern and must have been recently renovated althougg you can find some tiny spots here and there showing its age. Staff was more than typically kind, offering to help me navigate the hotel, the city etc. I was also offered a plug adaptor (the rooms mostly have the UK type and not the continental Europe ones) when I aasked for. The room was really spacious, with a comfortable double bed, a convenient working desk, fast WiFi (free), two cozy armchairs, safe, hairdryer etc. - all a traveler needs. Plus, there was a bottle of water, coffee capsule, tea and water boiler - all for free, too! This is…",The Classic Hotel
40,"This hotel is in an amazing position near the main Ledra Street with all its shops and restaurants. The highlight of the hotel has to be the staff for whom nothing is too much trouble, Costa and Maria in particular. The hotel is newly refurbished. The bedrooms are small but have good quality bedding and very comfortable beds and the bathroom is really well appointed, with olive oil toiletries. Breakfast is flavoursome and this is a perfect place to stay for a short break if you are exploring the area. Helpful?",The Classic Hotel
40,"Good people, quirky but comfortable rooms, our was a bit small but hey ! Convenient for the main shopping and eating areas and right by the historical places of interested. Food was excellent - they make their own bread too.",The Classic Hotel
50,"The best hotel experience so far, super pretty, the rooms are amazing, and the ac is just perfect haha Before we were in Vietnam we message them on whatsapp to get a shuttle from the airport and they were super helpful! Great location, friendly staff, alots of great breakfast options, what else could I say? The best!",The Classic Hotel
50,"I had read mixed reviews of this property and so was a little worried what to expect. The property definitely exceeded my expectations (perhaps I came with quite low expectations having read other reviews!). Reception staff were all incredibly friendly and helpful and went out of their way to help with any questions I had including explaining map of the city, assistance with airport transfer and recommendations what to see and do. My room (205 - standard single room but actually had twin beds) was on the same level as the elevator so i didn't have to negotiate the rabbit-warren of stairs which others have complained about in other reviews. The airconditioning worked perfectly well and the room was basic but clean. The bathroom was small but renovated, so had marble finish and…",The Classic Hotel
30,"There are some positives about this hotel. It is on the southwestern edge of the walled part of the city, meaning that it is about ten minutes by foot from the centre of the old town. Since a lot of the activity has moved to the modern part of Nicosia, this quiet area shares with others in the old town a paradoxical 'suburban' feeling, but it is pleasant enough. In the hotel itself, the staff is cordial, if not overly warm. It is hard to say whether the air conditioning was functioning, if it was, it was very discreet and it didn't feel like air was circulating in the room (and I am not for heavy AC and very cool rooms when the temperature outside is over 40°C). The one point that leans towards a 3 mark rather than 4 is cleanliness. While I wouldn't say that the rooms are dirty, the bathroom had some stains that could have been easily removed and that stayed during my whole stay. While I don't care about luxury or fancy equipment, I did expect rooms to be as clean as I am used to in other European cities for comparable prices, bar perhaps London. If an effort can be done in that direction, it will be easier to recommend this hotel.",The Classic Hotel
40,"We have stayed in the hotel Classic Nicosia for six nights ending june 15, 2019. temps very warm outside air conditioning works perfectly we had room 221 facing busy street and Venetian walls noise no issue; 229 same view larger; opposite side 226, 212 (quite large) 209 about same size ours, a premium Room about $140E. I have read many negative reviews and want to commentHotel very clean and excellent staff; our room good size modern nice bath with drying rack comfortable king which appears oversized so sheets hang but not fitted so they can crawl. Solution is to book twin bed rooms which is standard here and everything fits. Local Twins are side/ side large, and comfortable. Breakfast very good and also buffet lunch hotel minutes from everything. Tip: they can not give you advice on north. If desired walk through gate about six blocks to taxi and 30 e gets you Hillarion and Kyrenia incl wait at Hillarion and new taxi return via Abbey same incl wait, Dolma cheaperHotel is like best western but grade up not however four seasons or luxury boutiques like Josephine in Larnaca or sir Paul limmosol;ok however and our room great. Negative reviews I think unwarranted and most guests perfectly happyArea and Town Safe at night; many good restaurants.",The Classic Hotel
20,"A group of us have stayed at this hotel for a number of years but this year ALL our rooms had some faults - mine for example - plugs did not work (sockets were hanging off the wall) and the safe did not work (batteries hanging out) and no-one's air conditioning worked.The staff were universally very nice and loyal to their employers but they could not resolve all the problems so made us simply move rooms.We were not offered any compensation/refund for this inconvenience and my friend, who had to move rooms 3 days after me, was offered the room I had moved out of.Food is lovely - bar service very poor. They ran out of Ouzo - can you believe?The waiter could not tell the difference between red and white wineA total fiasco and the owners are very stupid - we will not return",The Classic Hotel
20,"On the positive side a good location, a friendly reception and good breakfast buffet with pleasant personnel.On the negative side a very beat-up room with claustrophobic bathroom and without working AC.",The Classic Hotel
40,"Situated just inside the walled city's wall in front of the fire-brigade station, this place is very convenient if you want to see and visit the old city and also cross over to the North side from the nearby border checkpost open 24 hours. The hotel is clean and fine with basic in room facilities (but no coffee/tea making possibility). The main irritating point is that there are too many stairs to negotiate even on this 2-storey hotel because their lift goes up one floor only, and so if you have heavy luggage or other walking problems, this is frustrating. Breakfast buffet was reasonable and fine",The Classic Hotel
20,Terrible bathroom.You can not been asked to pay for that bathrrom.So tiny that when you get up from toilet you hit your head in the towels hunger! It was late at night when i arrived so i had no energy to complain but now i regret.Going to your room is a funny story.You go down to get the stair that is beside to go up.Only the staff in the poor breakfast was polite and friendly.Price for what you are offered should be no more than 30 euro.,The Classic Hotel
40,"Great location for a conference event but it seems a bit of a maze when looking for your room that can be very noisy facing busy streets but still well worth the short stroll to the very center of town with the two main streets reserved for pedestrians and full of shops, bars, and restaurants and the border crossing. The bathroom built a step up is a trap for tall people. Asking for payment at check-in is very rude. The food is very good but you can't avoid pointing at the nightmare of small yellow ants crawling in your otherwise very comfortable bed.",The Classic Hotel
40,"I’ve stayed several times at this hotel and it’s the best value for money in Nicosia. The location can’t be better. 5m walk to shopping and restaurants. The basic rooms are awful, don’t book those. Executive rooms are modern, very spacious and worth the extra money. The architect must have suffered from severe mental illness. It’s a maze and very hard to find your room but once you’re there, it’s clean and comfortable.",The Classic Hotel
10,"The room at the first floor was subject to a constant noise emanating from a large motor working continueously next door. We requested to change the room, to which they responded immediately. Elas, the new room was above the discoteque operated by the hotel with loud and booming music.One can enot run a reasonable hotel and a discoteque at the same time. Avoid stying at The Classical!",The Classic Hotel
30,"A modern and simple facade hide behind a very complicated space with corridors, rooms and stairs. Some rooms doesn't have windows to the exterior. The window is to a covered terrace where you can not see the light from outside. There are damages in the finishing (the shower floor has cracks), the door room can not be open wide because the floor is not flat...",The Classic Hotel
30,"Great location. When we arrived it was a last minute booking for 1 night. The room we were allocated was terrible and I refused to stay in it. We were upgraded foc which was really appreciated . The 2nd room was nice but could do with a little bit of tlc. Bed was huge which was nice as it was August and at least my husband and myself could sleep well with the a/c on. The breakfast was really nice and lots of choice, very friendly staff. Late check out too which allowed us to do some more exploring and grab a quick shower once again before we headed off. Yes we would stay here again in the 2nd room for what we paid with breakfast included. We never explored the gym etc as we were not there long enough.",The Classic Hotel
