r_points,r_text,place
50,"This was a very nice hotel. The decor in my room was a little faded, but I had everything I needed. The people there were amazing. Every member of staff that I asked for help or information was helpful and friendly, without being obsequious or intrusive.",The Landmark Nicosia
50,"As ever, simply marvelous and professional staff - from the Front Desk to Housekeeping, from the Executive Lounge to the Gym, from the Restaurant to the Bars, it really makes the difference, and makes the Landmark my favourite hotel in Cyprus. Very sorry my visit in April has been postponed, and hoping this virus crisis will soon be over. Thank you again for a wonderful stay.",The Landmark Nicosia
50,"I stayed several times in the Landmark, the welcome and treatment went from very good to excellent. The whole team makes its possible to make your stay confortable and memorable. From the welcome to the room, every step is handled with care. An upgrade is generously offered when available, the rooms are spacious, the breakfast is diversified and enhanced each time. Lunch buffet is delicious and can be taken by the pool. its very central and easily accessible. Although the lobby needs some revamp, it has a story to tell, it is wide spacious and confortable. will come back anytime I am in Nicosia. Best regards to the whole team. Micheline",The Landmark Nicosia
20,"We have visited the Lobby lounge with friends. Atmospere was good and there was live piano music.Unfortunately that was all, the service was dissapointing so the cheese platter and Cappuccino. Re,eber to check the bill as we were charged with an Americano we did not order.",The Landmark Nicosia
40,"Been a regular visitor for many years. Nicosia has been poor for 5-stars hotels, in fact there had always been just one monopolist. And it has always been the same. Which is good - for the staff, friendly and devoted. Which is bad- for the everlasting gap between the quality-benchmark of the 5-star facilities in Hilton Cyprus (now Landmark) and all the rest. In particular: - wifi is constantly switching off when moving within the hotel, probably the routers are not synchronised to provide for the constant wifi coverage. - The gym - old as the world. Even the 4-star-Hilton Park happened to renovate their gym to become much more attractive to me personally (if not the location) - Pardon me, but the manual toilet cleaners are absent in the bathrooms, which - together with the…",The Landmark Nicosia
10,"Summary of our experience:It’s been unacceptable service received to all passengers hosted at the hotel from British airways as been stranded since last night with plane diversion then flying back to larnaca and kept in aircraft over three hours then told to disembark not even to a local hotel but to travel all way to Nicosia an hour away despite its off season in larnaca to end up in the hotel checking in at 8:30 am.At the hotel No breakfast offered available on arrival despite noting all night shattered up passengers , so went straight to sleep after checking in after over 24 hours up as a doctor operating all day before flying yesterday.Then got a phone disturbance call from hotel reception at 11 am ie 2 hours later to be told if u want lunch it’s served between 1-3 pm expecting no sleep all night to run down waking me up to go to eat as if it’s school run not taking on consideration we were all physically exhausted and up all night.Then of course had to sleep and woke up and came downstairs at 4:30 pm asking for any meals as per BA email that hotel should provide lunch and dinner which the hotel is expected and should be accommodating our circumstances not just financial benefiting hotel who clearly just did a two hour open buffet expecting people to wake up after a couple of hours who haven’t slept all night.The hotel now despite paid for accommodating and hosting us by BA are refusing to offer me food to us saying dinner is next still in three hours at 7 pm leaving me since arrival the night before with no food provision despite in theory hotel paid to serve two meals which must be accommodating to the passengers exceptional circumstances not the other way round!!!That’s it!!This is unacceptable that five stars hotel paid to host all the passengers checking in at 8:30 am after stranded all night expecting passengers to get up to go down to eat their financially convenient arranged buffet rather than what’s convenient for the guests taking in consideration the time arriving and sleep requirement.So minimum is to allow alacarte flexible time or food upon request when we wake up not just be told sorry you missed it while they are paid for it and can’t expect to wake us up to eat then deny serving if slept expectedly.I end up being told by a porter called George that nothing can be done and if I need food I must pay extra charge which first isn’t acceptable for a porter to handle such a decision despite asking for manager then spoke to the reception front desk lady who kept again ongoing that they need to speak to the airline which I said is unacceptable as clearly hotel is paid to accommodate passengers checking in at 8:30 am after stranded all night and been paid to provide two meals which must allow Felix itt and accommodate the passengers not the hotel to just make money by providing two hours buffet expecting us to disturb sleep after over 24 hours up and stranded and not offering food flexibly either when awake and ala carte and none also breakfast offered on arrival.Clearly such cases hotel should provide the two meals BA paid for to accommodate the guests times and allowing time for expected sleep for the guests who have been up all night.Guess what it’s 6:16 pm almost 10 hours since checking in and still receptionist despite promising to get back never did and no manager available despite requested.Indeed as a professional doctor travelling worldwide and use of 5 star hotel services this is unacceptable like school or campus care for passengers!!!Indeed would never come here again and poorly review itDr Nataly AtallaExecutive club memberConsultant gynaecologist and senior lecturerLondon UkTel 07770580493",The Landmark Nicosia
50,The staff were exceptional all throughout my stay. I had the most efficient check in and check out. The breakfast is very good and hotel is very clean. Would highly recommend. Only negative is that the spa area was crowded and noisy. They should consider offering services in rooms.,The Landmark Nicosia
50,"I stay at the hotel on the many occasions over the years that I travel to Nicosia,the hotel never ever disappoints me easy check in check out by friendly staff ,lots of facilities in the hotel , spacious ground floor lobby lounge , rooms are bright and bedding is very comfortable , sliding doors to balcony over looking the hotel grounds . breakfast starts at 7 am and its a brilliant spread !!",The Landmark Nicosia
40,"Great hotel. what you would expect from a 5* business hotel in the middle of the business district. I stayed at an Executive Suite. The staff know exactly what they are doing and everything is smooth. My only negative comments is that the airconditioning system is very old (makes a lot of noise), while the bathrooms are a bit dated (old style phone-type shower with curtains)",The Landmark Nicosia
50,"Maria, Mario, gourge and the wonderful smiley face girl in the reception.. Those names are the best in the hotel.. They took care of every details even if its a help out the hotel business.. I do thank them for making my stay comfort.i do appreciate their efforts and certainly will be there again.",The Landmark Nicosia
50,"I have been visiting the hotel every wee for the past 6 months. You get the same excellent service every time. The people are making the difference. The hotel itself needs some renovation. Nevertheless, it is of very good quality. There are quite a few amenities like the indoor and outdoor swimming pools, the executive lounge, the gym, sauna, jacuzzi, tennis courts not to mention the bars and the restaurant. I highly recommend it.",The Landmark Nicosia
50,"1. The location is great - near to the city center2. Friendly and helpful staff3. Beautiful and clean rooms.Everything was great - location, room, food and above and beyond all - service was excellent. Loved it...will definitely come back!",The Landmark Nicosia
40,"The horel is located close to the city center and business locations therefore it is ideal for the business travelers.The staff are extemelly polite and helpfull and this is what makes the difference, very accomodating in every case.ProsGreat breakfast, nice pool area, gym.ConsSome rooms need to be redecorated. Choose a room with pool view as the ones facing the street can be noisy.",The Landmark Nicosia
50,"The Landmark Hotel Nicosia is the new name of the ex-Hilton Nicosia. This fantastic award-winning 5-star is perfect for business and leisure.Its classy elegance will impress while the service is exceptional. The Paddock bar evokes a relaxing ambience, and you will be dazzled with the ostentatious lifts of the executive wing, as well as the outstanding boutiques on the ground floor promenade.AccommodationAll 294 rooms at the Landmark Nicosia Hotel are spacious and tastefully decorated. All rooms contain a convenient workspace, high-speed internet, flat-screen TVs and super King-size beds –unless you request twins. Executive suites are on the top floors of the hotel and provide a haven of hospitality.The King Executive Suite (78m²)The King Executive suite I had was fantastic with a spacious living room with a separate bedroom furnished to the highest standards, while the comfortable king-size bed with amazing pillows provided the perfect sleep.BathroomThe spacious bathroom with bathtub was well lit and provided a full set of toiletries by Crabtree & Evelyn, slippers, robes and a magnifying wall mirror, not to mention that towels were crispy and bright and were changed daily. The interior of this suite provided a homely feeling and was more or less like a studio.Wellness SpaResidents of the Landmark Nicosia Hotel have free access to the spa facilities; sauna, steam room, the Jacuzzi, gym and indoor pool. The beauty treatment menu includes relaxation Massages, Facial & Body treatments, Manicure-Pedicure and Men’s and Ladies waxing. The two treatments I had left me totally satisfied!Visiting the Hotel Hair SalonThis beautiful hair salon is located opposite the lifts of the executive wing. The people behind are qualified professionals and will do their best to deliver a complete hair and beauty experience from a hair-cut, styling to waxing and more. I totally trust the adequate skills of the team and this was my third visit to have my hair coloured, trimmed and have a coiffure hairdo. The result was extremely satisfying; thus, I highly recommend it.TeamCourteous and efficient.Fontana Landmark Nicosia Hotel (all-day Restaurant) Mediterranean dishes!Breakfast at the Fontana Landmark restaurant is an experience on its own; classy with a cosy ambience and a buffet that has it all. Great selection of everything you would expect, plus healthy options and of course you can choose from the a la cart as well. Check my review under the restaurant’s name!You cannot go wrong with this fantastic hotel. Ideal for business clientele, a relaxing getaway, corporate tours, conference meetings and events.",The Landmark Nicosia
50,"Landmark, Nicosia Hotel, Is by far the best hotel in Cyprus. The staff was very friendly and helpful everything was ready waiting for us we arrived at the Hotel around 22:30 and we had warm food waiting for us drinks and all kinds of services. We got our room keys less than a minute. The rooms were exceptional! Clean nice and warm water for shower! All of our meals were great breakfast, lunch and diner.",The Landmark Nicosia
50,"I've been there for the second time to attend a conference. The rooms are spacious, the beds are of big sizes & comfortable. The food is excellent. The halls are well equipped for conferences & meetings.The annoying things about the hotel1) anytime the cleaners could get into your room & move things or throw empty bottles (even if you want to keep them!) away even after they entered for the first time to tidy up & clean the room, they could get there at noon or after noon, where you don't feel of privacy.The reception staff are fantastic2) the connected rooms which are separated by a door are noisy! I could hear the discussion of the neighbors , but actually they were very loud!",The Landmark Nicosia
50,"The hotel is really great , situated near by the center of the town.Rooms are clean and breakfast is great but the most important thing is its people. Everyone is so kind and willing to help , everyone is smiling and they all do their best to make your staying a great experience. Really committed employees to their work and the hotel's services, this is what I mainly work when I travel for work !",The Landmark Nicosia
50,"I had a great experience during my short stay in the hotel. The staff are fantastic. Very friendly and professional. Great breakfast, nice gym and very comfortable rooms.Overall it was perfect. I will visit it again and I strongly suggest it.",The Landmark Nicosia
50,I had a full day business meeting and spent 2 nights at the hotel.Classic experience! First class service.Excellent breakfast with quality local products.The staff was always on demand and helped me even with a small issue I had with the taxi service when leaving the hotel to the airport.The room was clean and the bed relaxing.,The Landmark Nicosia
50,"Amazing facilities, rooms and services. The rooms are fully equipped, comfortable and clean. The staff of the hotel was amazing and made this experience the best. They were always happy to help us to the maximum.",The Landmark Nicosia
50,"I stayed at The LandMark Hotel Nicosia, for 7 weeks during September 2019 - November 2019, for business reasons. Firstly, I would like to thank all the Reception Team for their warm welcome and their high efforts to meet mine and my colleagues requests fromr room allocation to tips of where to go in Nicosia and the list goes on. I have to name two ladies which made our stay really comfortable by arranging immediately all of our needs , namely Mrs Maria Christodoulou and Mrs Maria Argyrou. Immediate to every request with so much positiveness. Even when one of us got sick, they have arranged special cooked soups and also provided communication details with doctors, and in general they showed how much they cared about us. I definately miss the names of the front desk, which they were all amasing. I definately have to mention other staff who were incredible to us, namely Mrs Helen Theocharous, Fotini Sanisa, Margarita Papavasiliou, Mr . Stelios Sofokleous and Mr Ilias Ilia. Nothing was a problem for them, and they were at all times ensuring that we had everything on time. Breakfast was more than great and the optimum for a good start of our day. Cant thank all of the team high enough. Fully recommended. Will be back soon, All best, Nikos & Maria Paleothodoros",The Landmark Nicosia
40,Almost the best in Nicosia but still old fashioned and heavy furnitured... Very good breakfast and facilities and friendly staff... The rooms need for sure renovation... even if I stayed at the executive floor..,The Landmark Nicosia
40,"My 2 night stay at The Landmark was quite decent. The rooms are clean and well sized, breakfast was a definite hit, location was close to my workplace and although, I did encounter a rude check-out, the overall service level was decent. The hotel does feel a little worn out, it was decorated tastefully. It was slightly far from the city center but still a 20 minute walk away. The pool and the breakfast area were nice. I also dined at their restaurant and was satisfied. Definitely, in a country which doesn't have many corporate chain hotels, it was a good business stay for its price.",The Landmark Nicosia
50,"We stayed at The Landmark, until May 2019 The Hilton Nicosia, overnight due to an early morning appointment. Apart from the name, we found no change from the excellence that we experienced during our previous stay. The room was spacious, the bed comfortable, and the bathroom of good size. The staff were very friendly and the level of service was very good. A very nice buffet was served for dinner in the restaurant",The Landmark Nicosia
50,"The Landmark indeed, one of the most pleasant hotels to find out there!The staff was extremely pleasant, helpful and professional, in every sense, the front desk Assistant Manager, Maria, and her colleagues from the Lobby Reception have been most welcoming and helped me with answering various questions, provided speedy service and accommodated each of my requests.",The Landmark Nicosia
50,"Best place to stay in Nicosia. There is nothing to criticise really as all the boxes are ticked. Staff are very friendly and helpful, spacious lobby, cosy bar, good restaurant and excellent facilities both indoor and outdoor. It also within walking distance to the old town and the shopping areas.",The Landmark Nicosia
50,I have been a regular customer of this hotel for almost twenty years and I always appreciate the quality of service and hospitality. Thanks to George and Maria for their welcome and their efficiency. The breakfast is fabulous and the food first class as always. thanks to all the staff of the landmark hotel.gsimon,The Landmark Nicosia
50,"This hotel lives up to it's old style hotel decor! The staff does an amazing job at making you feel welcome. The facilities are just as good as you would expect in such a nice place, especially the indoor swimming pool was a nice treat. The room was not recently refurbished but very clean and well maintained. Our room was spacious, fitting a double and two single beds and still not being cramped whatsoever.Breakfast buffet is really good and so is the lunch buffet and a la carte. It does not come cheap but offers quality and an outstanding service.My husband had a meeting for two days in the hotel and he had to impromptu go into the office on our check-out day. Upon request, the front desk allowed us a slightly later checkout, letting the kids and me enjoy the facilities without the rush and hassle of having to pack before noon. Thank you so much for those two extra hours that made all the difference between stress and a relaxed experience.",The Landmark Nicosia
50,"The hotel was just as expected. The bedroom was very comfortable. Yes - a little tired in places - but the service was 5 star. Had a problem with a slight leak in the bathroom, reported it to the wonderful George at reception. Had to move room and was compensated with a lovely suite. Could not have been more helpful. The main asset this hotel has are its staff. They are all polite and helpful. I asked for a mirror for the bedroom, (there is a large wall mirror and magnifying mirror in the bathroom but I prefer one in the bedroom area) Maria, the executive housekeeper was on to it straight away, a delightful lady. The dining room staff are attentive and quietly efficient. We stayed for 7nights, and loved it. The outdoor pool area was very inviting and a pleasant place to sit and relax. Would definitely return",The Landmark Nicosia
50,The Landmark is the former Hilton. While the name has changed everything else is exactly the same. You will not see any difference to the excellent service that has been key for this hotel for many years.,The Landmark Nicosia
50,"This forme HILTON is even in a better shape than ever!!Service- under the vigilant and experienced eye of Maria- is impeccable!!The location and - still- the pool are great.Besides for cigar lovers, there lies a treasure, with excellent prices, run by the very skillful Irini.Still by far the best hotel in town",The Landmark Nicosia
40,"I visit the hotel for second time, the accommodation was perfect. Very polite people, rooms with perfect view. The restaurant has quick service but the prices were too high, for example chicken kebab cost close to 30 euros. Last but not least a delicious breakfast!!!hope to visit it again soon.....",The Landmark Nicosia
40,"Stayed at this hotel for 2 nights on business. Had an exec room which gave you access to an extra lounge for complimentary basic drinks and food.Room was of a good size, bed was comfortable with good linen. Old TV system with very basic tV channels. Good size bathroom with proper bath.Only had breakfast which was a good spread.Hotel has both an indoor and outdoor pool. Indoor pool is part of a gym open to locals so only certain times you can swim without there being swimming lessons on. Outdoor pool is huge and a great temp for proper swimming. Lots of loungers around so nice and relaxing.We got a cab to town but there is a couple of places to eat and drink around the hotel. Theee is also a kiosk in the hotel for drinks and snacks to avoid the expensive hotel prices.Main thing about this hotel was the staff - everyone was so friendly and helpful with lovely little touches like the little cake the restaurant gave us on leaving to the cards fromHousekeeping",The Landmark Nicosia
