r_points,r_text,place
20,"We stayed at The Sandstone which we thoroughly enjoyed and decided to stay again. Tried booking but it said the site was closed and came up as The 3 Rooms Boutique which we then realised it is exactly the same hotel but renamed - may have new owners? Booked it and a confirmation came through - guaranteed booking!Then on the 12th September we received an email stating - unfortunately we are having to do urgent bathroom maintenance and the room would not be available, we are looking to close the hotel in order not to disturb guests. Our booking was for the 16th September therefore left us little time to find other accommodation. Thoroughly disappointed. We could not find anywhere to stay that was on comparison to this hotel as we had plans to visit the Northern side for a further two nights which we would lose our money if cancelled. We took the only accommodation we could find but disappointed as this was not of our standard. On our first night we were walking past the 3 Rooms Boutique Hotel and the room we booked had someone staying in it as the balcony doors were ajar and lights on in the room and on our way back the balcony door was closed but lights on. Thus confirming that the room was indeed occupied-absolutely fuming at this. Plus the room was in a superb condition and the bathroom was of a high standard. Just as it shows on the Sandstone site.We honestly think it was a cop out for maybe double booking.Why would they cancel our booking unless they had let it out at a higher price?Think twice before booking just in case it’s cancelled!?!",The Sandstone
50,Absolutely in the thick of things to do in the quaint old part of Nicosia. Try to visit spring or fall when things are not as loud and noisy on the paved street below the place. Book the Green or Wood rooms with the bathroom en suite. Breakfast a bit on the lean and healthy side very continental and light.,The Sandstone
30,Well located in the heart of the city this place is good for a night in townUnfortunately the toilet is not in the room and the street is quite noisy. So maybe more indicated for very young people or one night or two max.To be mention the landlord is very friendly and helpful so absolutely a plus.,The Sandstone
50,"Very nice converted city appartment above an an atmospheric bar in the old city of Nicosia. Modern and light interior design. Every point of (tourist) interest in walking distance. When booking, just be aware that there is no reception (was no problem at all for us, due to good organisation of the owners) and the breakfast consists of a filled fridge/food box.",The Sandstone
50,"We loved the B&B - our room was comfortable and stylish. Our reception was warm and welcoming. The location is convenient for visiting the town. As we left early, we did not have breakfast. Everything worked well, there is nothing that left to be desired. Unfortunately we were able to only stay one night, but will certainly return when in Nicosia!",The Sandstone
50,"We arrived to Nicosia with no expectations whatsoever. But getting off the intercity bus we found ourselves in a lively, colourful city full of friendly locals – and much less annoying tourists. Our guesthouse, The Sandstone was just a stones throw away from the station, in the middle of Nicosia’s busiest, most exciting street: a place where every single building looks like it has a story to tell, filled with fun bars, restaurants lining up international delicacies, and – lucky for us – fast fashion stores (Zara, Pull and Bear, Bershka), home accessories shops (we are addicted to Tiger), and so much more. A piece of good advice: upon your arrival get yourself a local sim card, because in this city getting around without a map is sort of a challenge.",The Sandstone
50,"Great location, great rooms, great service. This was our second time and we will for sure be back. Highly recomendable for couples, right in the old town and pedestrian street area. Lots of shops and night life right outside the door.",The Sandstone
50,"Stayed twice now with friends to show them the sights of Nicosia. Great welcome from the owner on both occasions, e mailed prior to arrival to ask if there was any special requests for our stay. Had both the en suite rooms one at the back & one overlooking the main thoroughfare.Very clean, quirky breakfast box and complimentary wine. Everything you could need for your stay. Be aware that the room on the front can be noisy but if you visit at the weekend as we did you have to expect noise which just added to the atmosphere.Would definitely stay again.",The Sandstone
50,"We planned on staying in our usual hotel and then saw this advertised. It is in a great place within the old city, it is in the pedestrianised area, running parallel with Ledra Street. Yiannis kept in touch with us to ensure we would find it easy enough and we did, loved the idea of being in the cafe/restaurant arcade behind the green door!!! Sounds very mystique and inviting. The room was very clean and the bathroom very modern, the room was carpeted which gave it a luxury feel. We had a breakfast box which had adequate things in, cheese, crackers, nuts, muesli, yoghurt, water, orange juice and all refilled for our next day. Plus a nice cold bottle of wine which we had sat on the balcony, very enjoyable stay and we will definitely stay again. This is a really lovely place to stay and met all our needs.......",The Sandstone
50,Booked the two ensuite rooms had another enjoyable visit with friends who were staying with us from the UK. The entire stay was faultless bed very comfy hot shower in a lovely bathroom. Toiletries provided including a bottle of free wine nibbles & a breakfast box. All very modern hidden away but worth the discovery. A little street noise (sat night ) from balcony room but other ensuite isn't street facing so seemed quieter. 4stars from us. Thank you,The Sandstone
