r_points,r_text,place
50,"Excellent food, great atmosphere and service.Cosy & elegant after renovation. Dine-in 5* experience!!",Akakiko
40,"Visited Akakiko Nicosia, a few weeks ago after the renovation and loved the ambiance! The passionfruit caipiroska was delicious and so were all the sushi dishes we ordered.",Akakiko
50,I have a delivery in this restaurant. Have amazing food. I enjoy so much. And also very fast delivery. Thank you so much your amazing work.,Akakiko
50,"We went there for a lunch break the other days. The restaurant is nicely decorated and the waiters are polite and presentable. The food was good, we ordered some sushi, edamame and some more starters. Overall, it’s a bit pricey but overall it offers good quality food so totally worth it.",Akakiko
30,A quick meal after a long flight. The dishes were well presented including vegetable tempura. However some of the veggie sushi lacked any real depth of flavour.Not sure if I’d return,Akakiko
20,"We ordered the oh sushi platter, eal and a crab salad. We have sushi often, so we know what to expect. The sushi they served us was not cold, it was almost frozen. Some pieces didn't even have any taste. The warm saki wine we ordered was lukewarm. The corner they sat us in had a problem: cold air was coming in from outside. We told them about it and they said they knew there was problem and just looked at us. We asked them to out the heating on (one if those bars hanging from the ceiling) and they did. What kind of hospitality is this? You know you've got a problem and instead of being proactive, to try and keep your visitors comfortable and warm, you don't bother to turn on the heating? We wanted dessert but instead We quickly ate and left. We will never visit again.",Akakiko
50,"we enjoyed the sweet potato wontons, the salmon tataki, the prawn tempura kataifi and the yasaiitame and they were all mouthwatering. service was outstanding and highly professional.",Akakiko
40,"A wide choice of dishes, reasonably priced. Quality is good but could have been better. I find there’s either too much mayo or cream cheese in the maki rolls. Nice atmosphere, friendly staff.",Akakiko
30,"I visited this place several times. However this time they Changed the menu ...! Sincerely I prefer the previous menu ... the new one is limited choice but better choices for sushi and maki. The duck with pineapple was average, the tick noodles with vegetables were tasty .. the rest was just ok as well as the service. We paid around 50 euros for 3 persons excluding alcohol.",Akakiko
50,Nice place / atmospheric. Staff friendly and helpful. And in a good area with easy access and parking place.,Akakiko
