r_points,r_text,place
40,Located in Nicosia. You can find make almost your own burger with serval options available and also they served other plates and different kind of salads. The service was good and the waitress was friendly. The burger with gruyere cheese and onion was tasty and juicy. We paid around 16 euros per person including soft drink. The side fried sweet potatoes were delicious. Nice place for burgers but not real good atmosphere. Good for lunch mainly.,Artisan's Burgerbar
20,Wrong cooking of the burger Salty salad medium service The Quality for the dishes not acceptable with the prices The burgers was ordered medium and become well done and dry It was a bad experience First and last time in this place,Artisan's Burgerbar
40,I ordered the fried chicken sandwich. The chicken was crunchy and well cooked however the ban seemed n fresh. The French fries was tasty. Overall price was 9 euro including drinks.,Artisan's Burgerbar
30,not really that good. Quite expensive for what you are eating and the service is quite poor considering that we had to ask twice for certain things,Artisan's Burgerbar
40,Nice place very good food but a bit pricy. Lovely environment. Very good service. Polite and helpful!!,Artisan's Burgerbar
40,"Being a vegetarian doesn't mean you can't enjoy juicy burgers! The veggie burger at Artisan's is yummy and I highly recommend it. Make sure you try their homemade sweet potato and parsnip crisps, too!",Artisan's Burgerbar
40,Not the first time causing this place and always they delay to serve on time. The chicken burger with garlic mushroom sauce was tasty and the sweet potatoes were delicious. I paid around 16 euros including the soft drink. The atmosphere is not so alive but the food is good.,Artisan's Burgerbar
50,"Excellent choice of burgers with a choice of bread, sauce and side dishes! Friendly staff, cosy atmosphere. Highly recommended. Good prices!",Artisan's Burgerbar
40,"I have not visited this place in over a year. We normally had burgers and they were fine, a good burger (better than most places), but also get good burgers in most sports bars now. The waiter suggested the sirloin stake - which i accepted. He was right, it is possibly the best steak i have tried in Cyprus.Cooked to perfect medium, the pepper sauce was just right and taste was fantastic.We were there with teenagers and a child, everyone found something to eat, and enjoyed it. Service was friendly and prompt, the place was good temp, and had a good ambiance to it. Drinks to cater for all, and had an extensive menu so wide variety - worth another visit!",Artisan's Burgerbar
50,By far the best burgers in Cyprus. Meat quality is excellent. Service is great. Go when its quiet. Finally a place that knows what a burger should taste like. Would pay whatever they charge because its worth it.,Artisan's Burgerbar
