r_points,r_text,place
10,I waiting 1 hour for 1 platter Expensive I order the platter from photo. This platter is for two person.. And its 100tl (18 euro),Bibliotheque
40,"Was in Nicosia for the Cyprus v Scotland football match, and having a few hours to kill in the city before the match, and trip to the Turkish side of the border was a must to garb a few beers, and in research one place that kept coming up was Bibliotheque.Nice place down a side street on the back of the border wall, done up rather pretty with a hipster vibe to it.Grabbed a table outside (though was VERY busy and only just able to get one, as I had no desire to sit inside) and eventually ordered two beers to just sit back and watch the world go by.Seems to be something of a music venue, as I was shocked with just how big the inside was, when every other bar and restaurant in the area are just tiny bars that you can hardly move about in.Staff are friendly enough, but maybe a little to relaxed, as they seem to go at their own pace, and takes a while to get their attention to order another drink or to ask for the bill.Accepts payment in Turkish Lira,but can pay by card, and prices are not bad.",Bibliotheque
20,"We had dinner at ”the Library”, 2 adults, 2 teenage girls. The only half-decent dish was chicken noodles. The steak was the stringiest I’ve had in ages, the wife’s chicken was incredibly dry and the Turkish pizza for our daughter was served rather cold. A poor performance by the kitchen. Prices had been updated, don’t trust the ones on the website. It wasn’t too expensive, but not particularly cheap either. The decor is nice and quite original though.",Bibliotheque
50,It is quite an experience to walk through the border to discover a myriad of delightful shops before reaching the Bibliotheque restaurant.The restaurant's large courtyard is shaded by dozens of umbrellas hung high above your head and quite innovative. We chose to dine inside the beautifully restored building for a relaxing and most enjoyable lunch.The menu is superb with excellent food in both quality and quantity. The staff are extremely pleasant and efficient and prices entirely reasonable.Highly recommended!,Bibliotheque
40,"It’s strange having to-take your passport to visit ‘‘this restaurant, s situated in the Turkish side of Nicosia, so you go out of Greek Cypriot side and into Turkish, and one turn the same passport control. However well worth it to this unique restaurant, outside sitting in the street under umbrellas.... inside. Quite fascinating. Had sounds strange noodles they were great, as was the mea dishes. Definitely if returned to Nicosia would return to this restaurant..",Bibliotheque
40,"Bibliotheque is a quiet respite from the constant buzz around the market area in North Nicosia. It is a beautiful place with good food and good service. We just had salads for lunch, but the menu is large and includes pasta, pizza, burgers, steak, and fish. All the diners sat outside for lunch, but with the shade and fans, it was quite comfortable in the 30+ degree Cyprus heat",Bibliotheque
50,"Nice place down a side street away from the busy and more 'commercial/tourist' restaurants/cafes. The pizzas are brilliant and looking round at other tables, all the food looked good. Very reasonably priced - as everything is in N.Cyprus.",Bibliotheque
50,"Was our first visit. Very good experience. Great place, nice and interesting view. The food quality was above expectations and the prices were great. Staff was mostly helpful.",Bibliotheque
50,Fair good class food clean good service very friendly really welcoming ncie drinks and lovely class food boi,Bibliotheque
50,One of the greatest staff here in Cyprus. They have a great customer service. The mixed kebab is really good and the prices are nicer than most of the locals in Nicosia. Go there if you can,Bibliotheque
