r_points,r_text,place
50,Best food in town for my business associates Excellent service Friendly atmosphere value for money With the most fresh and organic raw materials Convenient location in old town center,Blue Fresh Seafood
50,We visited the restaurant for the first time after a recommendation of a friend. We chose the 15 euro fish meze and we took fish and sushi!! The staff was very friendly and helpful . Everything was fresh and the variety was huge. Sure value for money. Highly recommended!!,Blue Fresh Seafood
10,The food is medium except for the fish. Service and staff do not know how to serve when the restaurant is full.,Blue Fresh Seafood
40,A place to enjoy seafood variety well cooked and served. The place is a little bit noisy and there is quite a lot of delay when the restaurant is very busy. Generally the food is good and the prices reasonable.,Blue Fresh Seafood
10,"We had already eaten in this restaurant, but the last two times the quality and even the quantity have definitely changed. A week ago, we went out with some friends. What a fool! The sardines stank and even the squid did not have the same taste as usually. Of all that we have taken, just the French fries were good, the rest was mediocre. Another thing that I honestly can't stand is that the waiters are kids. I don't see how this is possible in a European country...",Blue Fresh Seafood
40,Located in the old town of Nicosia. They served different kind of fresh fish in the pot or grilled. I tried the grilled Jambo shrimps it was tasty and the vegetables were ok too. The waitress was friendly. I paid around 22 euros including the soft drink.,Blue Fresh Seafood
50,"Excellent food. The ""Fish meze"" was one of the best seafood meals I ever had. Tasty and fresh! Good value for money. Excellent service. The staff was very helpful-the waiters were always polite and upbeat. Very friendly environment. Totally recommended!!!👌🏼",Blue Fresh Seafood
50,"Nice restaurant in a great location. Great food, very good service, spotless lounge area and toilets. We highly recommend it !!!",Blue Fresh Seafood
50,"Being nice experience, positively surprised about the food compare with the prices. Pretty nice and convenient concept so you can eat as long as you want in a sustainable way. Surprised that you can compare sushi with fish meze. Undoubtedly one of the best tachini I ve ever had and wonderful calamari. The only thing that was kinda bad was the seafood pasta, i felt are in the menu just to give another one option. The toilets were pretty clean but a bit difficult to find your way there due to the structure. Last but not least they could provide water-lemon bowl for hands as long as its fish and some more tissues on the table. Service was such friendly , in a good way and always by the right ration, although sometimes we found it difficult to find our waiter in the restaurant ( due to workflow).Overall amazing, friendly staff, polite and value for money, definitely recommended. Try the sushi and tachini ( not together ) , you ll be surprised!PS: Amazing homemade bread!",Blue Fresh Seafood
50,"The food was really great, enjoyed it a lot, the service was good, and the staff were very pleasant. Suggest this seafood restaurant.",Blue Fresh Seafood
50,"We were looking for meaty or seafood restaurant in Ledra and we found this restaurant. Buffet deal for €15 only. They have many choices, you just ask them to cook it for you then they will bring them in your table. You can order as much as you want. For dine in only. They also have sushi (taste, so so), seafoods, pizza, pasta and salad. Overall it is cheap and satisfying dinner.",Blue Fresh Seafood
20,Ok maby its because it was 2 days before Christmas and it was over crowded but its not an excuse. Visited for second time. The first I loved it and gave 5stars. The second was more than a disappointment. The waiter a 12-15 years old kid !!! told us very gently that we could not order pasta for the kids ...... because they were very busy........we order 6 plates from the meze and the large shrimps fish from the main menu. One hour and 15’ later we were still waiting for 2 of the 6 plates and the shrimps. Bread came after the first dishes and only when we asked for it. I asked for the bill and everything was charged even though was not served. I informed the staff and they removed the plates that were not served. I talked to the lady at the cashier (maybe the owner) complained and kindly advised her that they should have only as many tables they can serve. To my understanding it was not only me that had a problem but most of the custumers that were there. Its very sad that the organisation is not good because the food is quite nice. I ll give it a last chance in the future.,Blue Fresh Seafood
30,"This restaurant is new in Nicosia and located in the main shopping street of the city center.It is offering fresh fish and a menue at unbeatable prices:Salad, soup, fish and potatoes, Tahini and Tsatziki at a price of 15 € per person.Minimum: 2 people. And it is perfect that you can eat as much as you want.You can sit inside or outside.The problem is that the service staff is disorganized at it's best.But a young boy - (14 years old, Panagiotis) - belonging to the owners- has tried to help and to care.Nobody is taking orders. We were sitting and waiting 15 minutes and with the help of the little boy one of the waiters came to take our order.Of course in the meantime many other guests have arrived and were able to make their orders.For starters we got from the house bread, lemon and olives.We ordered out the extensive wine list a bottle of Amethystos blanc white wine from the domain of Costa Lazaridi, offered at a price of 24,00 €.Now we got our menue:The Tsatziki was of average taste.The fish soup was looking more like a vegetable soup with little, small and thin pieces of white fish in it.The taste was sour.The sea bream was fresh and of good taste. The greek salad was typical and nothing special.The French Fries were ok.The restaurant is very (!!) noisy and was completed.On a Sunday at lunch time only local people with plenty of young children and babies were sitting in the restaurant.None of the waiters has removed the finished meals and plates from the table.Our order for a digestif was forgotten.At the Bar you can pay your bill.Visa-Card will be accepted.My subjective rating:Service: 1 pointValue for money: 5 pointsQuality and preparation of meals: 3 pointsAmbiance: 3 points",Blue Fresh Seafood
50,"Visited with family and we tried the 15 euro fish meze all you can eat . Huge variety fresh fish and sushi. Excellent service very friendly staff Highly recommended , for sure i will visit again",Blue Fresh Seafood
10,"Very, very bad quality of food and service. After we finished our lunch we started having diarrhea. Very, very bad experience. It was our first and last visit.",Blue Fresh Seafood
50,"The foood was great. The price is reasonable we paid only 15euro per head and it was eat all you can. You can order as much as you want as long as you dont waste the food. The boy in the restaurant was very nice, friendly and smart. I definitely recommend it to everyone. Blue fresh sea food resto is",Blue Fresh Seafood
50,"Tried it after a recommendation from a friend... Just excellent.. The fish was cooked just perfectly the fried were real Cyprus potatoes, the fried shrimp and calamari were just right and so was the price. Highly recommend a visit!",Blue Fresh Seafood
50,"Delicious food at very reasonable prices. Warm, friendly environment with excellent service. Definitely recommend it for families, celebrations and business meetings.",Blue Fresh Seafood
50,"We went last night to the Blue , fresh seafood restaurant . It is a very friendly environment , excellent service with very polite staff and great menu choice with really very quality food . We are very pleased we met there the owner Mr Savvas Mouzakis who is a really professional, polite and helpful gentleman . We really enjoyed our evening . Definitely hope to go back again .",Blue Fresh Seafood
