r_points,r_text,place
50,"La brasserie has been my go-to place whenever I wanted a bit of home. And home I found: very French fare, flavours, looks, smells - a total joy.I did enjoy Cypriot snails, but I was raised with the French way, so no battle there. The frog's legs, the paté, the steaks, mussels etc: if you want to taste France without the flying, try Au bon plaisir, full stop.",Brasserie Au Bon Plaisir
50,"This is the 2nd time being there and the quality is even better than the previous time. The food was wonderful (pink soup, oysters, veal and boar).What about the service? The owner and her kids were absolutely great. Quick service and wilingful and delightful to serve you!And the music? Of course live music for that special night!Is a must for a romantic night!",Brasserie Au Bon Plaisir
50,"Wholeheartedly recommended, good pricing for the portions served as well! We ordered the sirloin steak, the beef bourguignon, the soleil red wine, as well as the lettuce, bacon and goat’s cheese salad, plus dessert and coffee. I have nothing but great things to say, and we are planning on revisiting soon.Give it a try:)",Brasserie Au Bon Plaisir
50,"After reading the reviews about this plae, i srarted reading tje bad ones , and looks like the owners really put an effort to reply, we thought lets go and try this place!I am not a big fan of anything french, but this place i will for sure visit again.It's a quiet place, that server many different food, the fact french people have a glass and a sppon and fork for everything is a bit funny, but overall ambience experience was niceThe waitor was n amazing dude who knew everything that we asked and it helps a lot to know what you are about to eat.We ordered a variety of food duck, fish, and french beef. Everything was amazing, the apetizers were really nice (althought they were a bit expensive for apetizers but very tasty, probably due to the fact that in france they lile to charge more for their products haha)wine was exceptional!portion of main dish was big(there goes my stereotype! haha)so overall i am very satisfied, congrats to the chef and the stuff!",Brasserie Au Bon Plaisir
30,Take a mini torch to view the menu. Food was nice though.Music was nice. Overall we had a nice time with our friendswhich made our evening.,Brasserie Au Bon Plaisir
30,"OK the restaurant is located at a nice location.Service is nice, music is ok and overall the atmoshpere is nice.Regarding food:Avoid pork;Tasteless and little quantity.Side dishes could be improved.Steaks are tasty but expensive (you pay for what you get)Apperetif is expensive: 3 glasses 16.50€-come on!!!They also charge 3€/pp for live music which is fine.But they told us that there is a basket for tips (!!!).Reason?Overall I would say that for these prices there are better options on same class restaurants.",Brasserie Au Bon Plaisir
20,"A business dinner in Cyprus, organized by a middle-eastern man... the choice could not be more wrong. French food is great, but not in Cyprus, and at least not in this restaurant. Most guests from my table complained about some or another aspect of their food not being really french. My mussels and fries, I had two different pots, tasted the same, too greasy (how can you make mussels greasy!?) too creamy, the french fries arrives later, separately, cold... the host is friendly, and gets most of the orders right, though a few plates, when brought out, had difficulty finding their owner. I would recommend to avoid this place, for those who know the french cuisine, and for those who want to try, don't try it here, or you will hate french food, unfairly...",Brasserie Au Bon Plaisir
50,"It was an amazing experience, a cozy little French germ in Nicosia. Very friendly, romantic and french traditional environment. Food was amazing, we have tried the snails and frog legs as starters (which are a must) then we had steaks for main and we finish it of by sharing a strawberry cheesecake which was the sweet of the day. Everything was fresh and delicious. We were very lucky because last night there was live music by the French singer Tony who he actually visits Cyprus in every couple of months and make the evenings even more delightful. It was the perfect combination to accompany food and fine red wine. It wasn’t just a typical restaurant for us but it was a full on experience of a night in France (since the owners are French themselves). A must go. We are definitely going back to try more of their delicious dishes!!",Brasserie Au Bon Plaisir
50,"lovely food, timely service, happy looking people, food cooked to perfection, steaks, like butter we go at least once a month!",Brasserie Au Bon Plaisir
50,"Quality is consistent, there is a variety of choices, and the experience urges you to re-visit! The quiche, the camembert, the salads, the auglette or the fillet mignon, accompanied by very good wine (even if requested by the glass), combined with a relaxing environment, all make it a worthwhile experience and one will definitely want to go back again!",Brasserie Au Bon Plaisir
