r_points,r_text,place
50,"Amazing food and excellent service!! The pricing is good, especially on Tuesdays which is all-you-can-eat buffet with 20 euro per person.",China Spice
40,Very good food. Nice dishes. Tasty. Some aren’t available for delivery or take away. Nice atmosphere. The service is really helpful. At a nice area of Nicosia.,China Spice
50,"Excellent service! Excellent food! We visited this place last night,we ordered 5 different dishes.... and all of them were excellent!",China Spice
20,Paid 20 euros for each person to have unlimited food buffet. Food not that great. Dry duck and the rest of the buffet wasnt that great.More like a 12-15 euro buffet.Would prefer to pay 30 euros but eat a better plate of food.Not recommended.,China Spice
20,Service was good but food was very average. Paid 43€ for two people at the buffet (it was unlimited to be fair) but the food was not worth it. Duck was dry and everything else was average. Do not recommend. Perhaps a la carte might be a better choice if you want to try the restaurant.,China Spice
40,We visited the place at around 2h pm and we were the only customers ... the waitress was friendly and the service was very good. The chicken with cashew nuts was ok but the ling shrimps was tasty... the shrimp dumpling was good. The prices are considered as average comparing to other places on average should be around 20 eur per person. We got also at the end 20% discount on our bill. Nice gesture.,China Spice
50,Hi. Visited for dinner a few times always on Tuesdays where they have there all u can eat buffet. Excellent food with a variety of dishes for everyone. Loved the sweet and sour chicken and sweet chilly beef. Nice surpise is the ice cream with fried banana and apple for dessert if u have any room left. Reasonable price of 20 euro pp considering what u are getting.,China Spice
40,Perhaps the best Chinese food in town but not for cheap-eats. My personal favorite is the Cantonese chicken and noodles with vegetables and bamboo shoots. Very elegant and nice ambience but I would say the crowd is quite old people. Other than that perfect,China Spice
50,Very very good food and excellent service. Such a nice atmosphere both for couples and families. I would recommend it to everyone especially to those who love Chinese cuisine.,China Spice
50,The best Chinese food! Super friendly and great service! Quality of food is really nice! For sure come back again,China Spice
50,"Excellent quality , perfect service. The people the re are really friendly and happy to serve you ! The best choice",China Spice
50,"Great restaurant, food was amazing we went on a Tuesday and it was a buffet. I would like to thank Mr Leonithas for his hospitality as we didn’t pre book and found space for us 👍thanks",China Spice
50,"First time I’ve been to this Chinese restaurant for lunch today and I liked it. Unpretentious decor, simple and light. Food was excellent. Service was fast and polite. Noise from other tables was limited. I didn’t pay the bill because my sister invited us for lunch but from the menu the prices looked ok - we are in cyprus after all that is extremely difficult to find cheap food. But what really impressed me was that the waiters were putting each plate on the table using a napkin so that bare fingers wouldn’t touch the plate! I have never seen this before in any Cypriot restaurant and that made me immensely happy. This spells respect for the clients so unreservedly I give it a 5 stars",China Spice
50,My Favorite Chinese restaurant in Nicosia. A little bit expensive side but ideal for more formal outings. perfect for couples and families!!,China Spice
50,My All-Time-Favority chinese restaurant in Nicosia. A little on the expensive side but ideal for more formal outings.,China Spice
50,"Amazing Chinese Buffet, every Tuesday night. Incredible variety of Chinese dishes AND the best duck roll i ever ate. Recommended!",China Spice
10,"Very bad tasting food. We ordered corn soup, noodle soup and duck dumplings. The taste was horrible. The delivery was 40 minutes late.",China Spice
30,"I went there for dinner .. the duck it was tasty but dry , the beef with black beans sos it was so nice and tasty we ordered also spring rolls , rice with egg, sweet chili and one water. The quantity it was so small and I was disappointed because we paid 65 euro for 2 persons and i think it's too much for the quantity of the food . The quality of the food it was okay . The staff it was friendly and always there to help us.",China Spice
40,"As the restaurant is well known to me as a local, we decided with my collegues to have a dinner and specifically on Tuesday which is an all you can eat day. We reserver the table few days before. That day the restaurant was very busy. I can admit that i was suprised to see so many people. We waited for a while until we had our dinner but it worth it. The only thing i didnt like were vegetable noodles that were a bit over cooked.I have a suggestions to management to change the buffet location next to the main door as the current location creates a confusion and might distirb some tables as its too close to them.Thank you we had a lovely dinner and we will visit you again",China Spice
40,"Nice place, clean and modern furnished, stuff helpful and polite. Food was very good,tasty and fresh. I found is overprised as we paid 133 euros for 6 persons and a child,we had one quarter of duck for 21 euro, sreams for 18 euros, a bottle of wine at the price of 16 euros and steam rice for two at the price of 8 euros and some other dishes that were expensive. Anyway we enjoy food and feel satisfied, so we will go again.",China Spice
50,Staff are very friendly and frequently ask for customers’ advice on the new dishes they plan to add. Excellent quality,China Spice
30,"We ordered a home delivery from this restaurant which arrived on time. The chicken and sweetcorn soup was fine.The two pre-wrapped crispy duck rolls, a little soggy and no hoisin sauce supplied. The 4 little chicken satays dry and overcooked, satay sauce a bit of a skinny portion but okay. Cantonese Chicken and Beef with Black Sauce were fine.Egg fried rice and noodles pretty average.At 68 euros im not sure I wood order another one.",China Spice
50,Always fresh and perfectly cooked dishes.new dishes added very delicious.try the new duck salad.only negative the place should be renovated.,China Spice
10,Service was good. Food was dry with an intense smell of the flying oil. The glass of wine was also horrible,China Spice
40,I visited this restaurant on a Friday night. The waiters/waitresses were all very polite. The food is decent but a little overpriced in my opinion.,China Spice
20,"I must say that it is a shame to have a big restaurant which serves decent food but there is no atmosphere. Again, we wanted a romantic dinner just the two of us, but we were surrounded by families with children, screaming, throwing things on the floor etc. I realize that families are entitled to eat chinese too, but the restaurant should reserve some quiet corners for those who want to have an adult evening. Also, the restaurant lacks atmosphere, meaning, it was cold inside, there was no music, so everyone could hear everyone in the restaurant. It was not very pleasant.",China Spice
40,"A very nice place to visit. Tasty food, friendly staff and very good atmosphere. Drink prices are OK but food prices are a bit high. Recommended, especially for special occasions.",China Spice
40,Visited China Spice on the recommendation of a friend and wasn’t disappointed. The food and service were both pretty good. Loved the thin noodles with Shrimps.,China Spice
50,Been coming to this restaurant regularly for more than a decade. When a place which is consistently good keeps improving then it deserves all the praise it receives.Great atmosphere and outstanding & professional service. True that the prices are not cheap but if you want to eat the best then you pay what it’s worthThe menu is extensive and enriched all the time. If you need any recommendations then don’t hesitate to ask because you will be pleasantly surprised.I just love their hot & spice soup as a starter with crispy fresh spring rolls.I never eat duck anywhere but their crispy aromatic duck simply melts in your mouth and you will not find it in any other restaurant.Their sizzling dishes compete with each other and it’s difficult to say which is the best.It’s always a pleasure to come to China Spice and if you have not done so then you do not know what you are missingEnjoy,China Spice
40,Friendly staf and owner. Made sure we ordered satisfactory and not over the top. Food was what you would expect from a western Chinese restaurant of good quality. Would gladly go again.,China Spice
50,Back home in Cyprus out with good friends. Amazing friendly welcoming staff. Food was Devine. Will for sure visit again,China Spice
50,I’ve been going to this place for years! It is really worth visiting! The same polite staff for 12 years running! New dishes all the time but exquisite quality and taste! Superb service and also delivery! I am a fan and a frequent visitor for the past 12 years! Definitely a Chinese food lovers haven!,China Spice
20,"The food is mediocre. We had the sweet and sour chicken and the beef in black bean sauce. Also got fired rice and vegetable noodles.Portions were small and the chicken was stale, not crunchy. Beef was OK, certainly though, not a 13 Euro dish. Overall, it's like eating Uncle Ben's sauce, leftover from the night before.I had much better Chinese, from street carts in Camden town for much less.",China Spice
50,Amazing food. Amazing decoration. Amazing sevice. Good prices. Variety of chibese food. THANK YOU!!!!!!😍😍😍😍,China Spice
40,"Nice restaurant, nice environment, friendly staff. Personally I enjoy the duck it's tasty and aromatic.",China Spice
50,This is one of the best chinese restaurants in Nicosia. the food is great and the prices for the quality and service is reasonable. very friendly staff!,China Spice
50,"one of the best Chinese restaurants in town! Clean, fresh and tasty food. For dine in and also delivery!",China Spice
50,went with a group of friends. very satisfied from both the tastes and the quantity of the food :) selection of dishes was done by the staff and we shared. will return for sure!,China Spice
50,Exellent food.. :) good prices.. very friendly staff.. fast service :) i love it ♡ try it is the best restaurant,China Spice
