r_points,r_text,place
50,"If you want romance, pleasant atmosphere ... Good view .. great and delicious cuisine ... Visit domus. The dishes are unadulterated, they are cooked willingly, the service will be good, candles, hearts and good music for a better mood. Your special occasion or day can be even more unique if you are welcomed at domus.Everyone will be sure your holiday is unforgettable. One of my favorite specialties is steak Diane.. prepared according to a special recipe..It is a must try",Domus Lounge Bar
40,"DomusArrived in the dark and being a first time visitor I initially thought the restaurant was still completely empty at 2115 when I arrived. Almost considering to leave untill I noticed a couple taking an entrance which I hadnt noticed and they took the stairs up. Only then I found out that the restaurant is 1st floor and the lounge which was empty located on the ground floor.So just in time I also took the stairs up and found the cozy resto upstairs. With quite a number of people eating already. Being alone (I was on business trip) I still love to dine out and a full restaurant I prefer being on my own (although I get the once in while akward looks). But who cares, I dont at least.Then to the description of the evening.The sitting on the high tables with the rather small but high stools is a bit uncomfortable I must say. I noticed more people had issues with the seating. Would definity advise to change the setting for normal standard height tables and chairs. It will add to the comfort. The resto is very nice, dimmed light, good background music, different corners and chambers. Love the glass drops like a chandelier above some if the tables. Complement for the tasteful decorations.The food.The white bread served with olive oil and tapenade was old while the brown bread was crips much better and seemed fresh. Being alone at the table I took house wine by the glass, which was strangely enough not mentioned in the extensive wine list. But it was pointed out nicely by the waitress that they had also wines by the glass. Took a nice local Cypriotic white wine.I started with the Provincale Mussels which was simple and good. Mussels slightly overcooked but the sauce nice and creamy.Main course was served quickly after starter (could have take a bit longer).The Morrocan styled Salmon was cooked perfect exactly how salmon should be to my opinion. I understand the choice of rise (why not couscous) when you call it Morrocan Salom, but it didnt fit me. I ordered it because I was curious about the Morrocan Salmon idea. Killed the curiousity, but I wont order it again.Finished with a After-Eight icecream. Tasteful abd good to finish the meal with (like after-eights). The ice cream could have done with some more (and warm) chocolate poured over it.Bill adding up to €60 including tipp.All-in-all I liked it. Will I go back? Will I recommend. Yes I will 2x.",Domus Lounge Bar
50,"Great place for friends and couples. Delicious menu, stunning design, beautiful music, friendly stuff and nice location. Highly recommended.",Domus Lounge Bar
50,Superb restaurant in the old town with very good food- highly recommend the duck and the steak Diane. The staff were very friendly and atmosphere was good however was very quiet... Would definitely recommend and will be returning soon !!,Domus Lounge Bar
50,"Positioned in the Old Town of Nicosia, this restaurant offers a great selection of delicious food. The atmosphere is amazing!",Domus Lounge Bar
50,Domus is the restaurant you have to visit at least once. Romantic with nice music for all tastes. Service and food is just perfect. I definitely recommend Steak with Diana sauce.,Domus Lounge Bar
50,"The food here is very good. One of the best spots in Nicosia. Would highly recommend the sea bass. Staff very attentive and friendly, and a lovely ambient setting sat outside to enjoy the delicious flavours served up.",Domus Lounge Bar
50,It is the prefect place for a perfect steak! The atmosphere is great for a romantic dinner or a business dinner.,Domus Lounge Bar
50,"This was the second time we visited DOMUS with a small corporate planned dinner. The experience is amazing, in a beautiful decorated place, excellent service and delicious food. Huge portions of mouth watering plates..",Domus Lounge Bar
10,"I went on date there last Saturday. First of all they sat us on a TOP uncomfortable table (you can not eat like this) next to the bar. It was 20.00 o'clock when we arrived and there was another couple next to us, so we asked nicely to move to a more compfartable table, the nice waitress came back and she said that they are fully booked (two tables) by the way, we made reservation two day in advanced. We ordered our food (very disent but nothing special) and there was No wine by class, only bottles....... We had our cocktails, eat our food, and we left at 22.10....still No parties arrived for the regular tables only 3 tables left and we all were sitting on a high tables with the uncomfortable high chairs......and paid for an overpriced meal.....",Domus Lounge Bar
