r_points,r_text,place
50,"Very pleasant! Delicious food, good servis! Very nice atmosphere. We always enjoy our lunch there. Hopefully we will be going back soon.",El Sabor Latino
50,"Excellent service, delicious food and very reasonably priced. Lots of options for a vegetarian :-) The mushrooms in garlic sauce were so absolutely delicious, you must order them. Simply perfect. Pleased we ordered two lots of potatoes with the spicy sauce (a nice tomato sauce, not very spicy but very tasty), they were too good to share! Grilled vegetables were ok. Garlic bread yum and hubby had the salmon steak (with potatoes, veges and salad) which he really enjoyed too. We had three pommegranate juices- they were so good, and then two nice desserts to top it all off (banoffi pie & affogato). Total for all that = 32 euro. Lovely location right by the mosque, really nice inside or outside. So pleased we ate here!!",El Sabor Latino
10,"I’ve been here with family over the years many times and it was always a brilliant experience, last two visits specially today was a shock we sat down to order we had to ask for menu then we ordered and our drink came after we finished our meals and even then it was wrong service was absolutely rubbish very rude staff and a big disappointment of a family meal. I would NOT recommend this restaurant to anyone.",El Sabor Latino
20,"Went to El Sabor as it was recommended by my cousin but left very disappointed.I ordered a T bone steak and my cousin ordered a pasta dish. I was asked how would I like my steak ? I replied medium rare.They were bought very quickly and the pasta did look good however my T bone was 1) so thin you’d think it was transparent but worst of all it was so under cooked it was raw, to the point twice I had to change my knife. Now you may say why didn’t you just send it back ? Getting the waiters attention was impossible. I asked one who said give me a moment I’ll send someone over. After about 5/6 minutes I just thought why bother. I’ll eat what I can and leave the rest. We then asked 3 times for the bill. Every time being told someone will come over.In the end I walked over to a waiter & said was this meal free because it was so bad ?He immediately got the Bill & came back too me.First time on a recommendation but last time. If you want a decent meal avoid the Tbone, I can’t comment on rest of the menu as I won’t be going there again.",El Sabor Latino
30,Visited this week as we usually eat here when we visit the Occupied side of Nicosia. Always been good. This visit my husband's chilli chicken was dry and the chilli sauce seemed to be sweet chilli sauce from a bottle. My steak was OK but so thin! The Dianne sauce was delicious though. I didn't feel we'd had a treat as in other visits.....not sure if anything has changed...new owners/chef?,El Sabor Latino
40,"Sabor has a great setting beside Selimiye Camii Mosque with both open air and inside dining. Friendly and efficient staff. Menu offers a good Tapas selection as well as pasta, chicken, steak, fish and salads.Four of us had tapas with a jug of sanghria, beer, bottle of water and desserts all for 360tl about £12 a head, great value.",El Sabor Latino
50,This has been a absolute favourite of ours since it’s open! After 2019 being a year of pure disappointment with the quality of restaurants in girne (where we are staying) my husband remembered here!All I can say is YES!!!! Hats off to the owners who ever they are for maintaining the quality for all these year. To all the tourist who still haven’t discovered this place... your truly missing out extremely fantastic value for money,El Sabor Latino
40,Very well priced restaurant serving good food at very reasonable prices - nice setting in open air - two main courses and two drinks c£14 - couldn’t beat it !,El Sabor Latino
50,"This restaurant in Nicosia (Turkish side) is one of my favourites when working in northern Cyprus, and a great place to meet friends and colleagues. The location is great in the old walled city. Great for lunch and evening meals.The restaurant is extremely popular and can be very busy in the evenings. Staff are really friendly and helpful.The menu is varied and features Spanish and Italian cuisines (as well as local). I particularly love the Patatas Bravas with Italian meatballs for starters. Good lasagne. Homemade lemonade really refreshing at lunchtime.",El Sabor Latino
50,Excellent food and wonderful staff! Would recommend a must visit when travelling to Nicosia. Enjoy !,El Sabor Latino
50,"We have been here before. Lovely friendly staff. The food is consistently good. Lots of choices, well presented and delicious. The prices are very reasonable. Our usual place to eat in Northern Cyprus. Highly recommended.",El Sabor Latino
