r_points,r_text,place
50,"Very cute and quiet place in old Nicosia townWhatever you order is just ExcellentIf you go during lunch time, you can enjoy delicious, like homemade Cypriot dishes.Besides, they have one of the best sieftalia and souvlaki in townI definitely recommend this placeI have been there many times the last 10 years and of course I will keep going",Estiatorio Euroullas
50,very nice passage to eat in old nicosia.It is located in a tourist area.Very good food.Beer is cheap but barrel wine is very expensive,Estiatorio Euroullas
50,"The best restaurant in Nicosia, amazing food, amazing value. Second visit to this restaurant, after discovering it on the last night of my vacation in October, I made sure it was the first restaurant I visited on my return to Nicosia especially for valentines day.",Estiatorio Euroullas
50,"is a very cute place, genuine cypriot hospitality and the food excellent, you can taste delicius souvlaki and seftalia, stuff vegetables",Estiatorio Euroullas
50,Woaaah! It’s amazing place to have a lunch: atmosphere really amazing among the locals that are having lunch and you are filling your stomach after long walk in Nicosia and occupied part. It’s always busy but worth to wait and have a great meal! Deffinetely recommend!,Estiatorio Euroullas
20,The food is very good and serve fast but last time we had an argument with the owner. There were kids and infants and the allow smoking with the excuse that is an open space.. We complained but the owner prefer to let down children infants and mothers that customers who smoke.. Ok its General in Cyprus not to follow rules and regulations but this is cruel.,Estiatorio Euroullas
50,"Trying to visit every time I am in Nicosia.. Best place for lunch.. packed with locals.. amazing homemade food, huge portions, friendly staff..",Estiatorio Euroullas
50,You can come here everyday and there will be something different for you to try each time. Cheap food and very large portions. Perfect for lunch!,Estiatorio Euroullas
50,"Eurollas was packed with locals enjoying souvlaki and grilled meats. We were stuffed from a large lunch and just had a Cretan salad and a Chicken Caesar salad, but these were delicious. The place is almost impossible to find, but the easiest way is probably to find Pieto cafe on Ledras Street and just walk through. Find the place and go!",Estiatorio Euroullas
50,The best place to visit for lunch with friends or alone! Whenever you visit it’s always high quality standards food for eating! See you soon!,Estiatorio Euroullas
50,OMG a must visit to this tiny place in downtown Nicosia do not leave without visiting for home cooked meals,Estiatorio Euroullas
50,"Even though Nicosia is not a touristy place, the cluster of restaurants in Lidras street and its immediate vicinity comes closest to a tourist hub and seems to have variable quality and authenticity. I visited this one on a late summer evening and it was only filled with local guests, which to me is a very good sign. The food itself was great, tasty, tender, juicy, simple but of really good quality. Do not expert talkative waiters or fancy desserts, this is a place to enjoy souvlaki and other traditional fare with no fuss, no rush, in the light breeze coming from the lively pedestrian street (as pointed out by other contributors, the entrance is on Onasagorou, a few paces south of the Avo restaurant). Count about 10 euros for a copious dish and a drink.",Estiatorio Euroullas
50,Great food and very friendly service. Hidden away in an alley an adventure all by itself. A very nice secluded location.,Estiatorio Euroullas
50,"Excellent food, very nice people, good atmosphere in a nice passage, highly recommended to all visitors",Estiatorio Euroullas
50,"This little downtown restaurant, set up in a relaxed and quiet atmosphere in the centre of Nicosia, offers a good variety of high quality traditional food at very low cost.",Estiatorio Euroullas
50,One of the best place to visit and enjoy lunch! Don’t forget to salute the boss and choose from a big variety of Cy plates!,Estiatorio Euroullas
