r_points,r_text,place
50,"First of all the staff are extremely friendly. The food was excellent. The Shish Taouk was extremely good and the houmous was great, 10/10 would recommend.",Fanous Lebanese Restaurant
10,"Food has nothing to do with lebanese food. First of all wrong order, tabboule is hard, maghmour is sour, the shawarma is chicken tenders, the sauce that is supposed to be garlic sauce is tasteless. The bread of the sandwiches and the accompanying bread is very old. The lettuce in the sandwiches was brownish. Very disappointing!",Fanous Lebanese Restaurant
50,"Beautiful place in a cosy street, kind and helpful waiters. Prices doesn't change for years. Quality of food and service 10/10.We ordered fanous meze, it's 16€ per person. Better be empty stomach becouse it's abundant, the best was tabullach - parsley salad.Meat was well seasoned and tasty.I tried also fresh lemon and mint lemonade-their speciality it was absolutely awesome. Refreshing and tasty, you can add a shot of your favorite alkohol to it.",Fanous Lebanese Restaurant
50,Very nice place with really nice and tasty food! the service was excellent and the host was very friendly! nice place to relax with friends and family! actual Lebanese food and we also had the chance to try shisha! totally recommend this restaurant!!,Fanous Lebanese Restaurant
50,"At Fanous you have the opportunity to enjoy the mouth watering lebanese couisine at max .In my point of view as a local Fanous Lebanese is the best in the whole country,GIVE IT A TRY",Fanous Lebanese Restaurant
30,"Restaurant in the main Old Nicosia, serving Lebanese food. I had baba ganoush and chicken. The baba ganoush wasn’t tasty at all, made basically with pepper!? Chicken was tasty though There are cheaper, tastier and better places around",Fanous Lebanese Restaurant
40,"this restaurant is criticized by others, but i think it's pretty good. i'd recommend the mixed grill and the muhammara and humus, and not to get the sweets or coffee",Fanous Lebanese Restaurant
50,"Fabulous food in an excellent setting. The food, staff and Atmosphere are second to non. For a really special treat - they have a top class Belly Dancer on Friday and Saturday nights. Looking forward to our next visit",Fanous Lebanese Restaurant
50,"really nice and cozy place! the food was really tasty, its a different kind if cuisine to try ! i was there 2 times in just one week!",Fanous Lebanese Restaurant
30,"Set in a torist side street in down town old Nicosia. Picture on web site looked impressive, but the place is average. Most people were outside smoking with a Hookah/Hubble bubble in very relaxing looking chairs.Service was good although had to go to the bar to pay as no one was around.The food was average and prices reflected this. I would not recommend this location for an evening business meal with clients due to the food, and standard of service.",Fanous Lebanese Restaurant
50,"Was in Nicosia for a few hours for the Cyprus v Scotland football match, and after spending a few hours in the Turkish Quarter, I decided to go grab something to eat before my bus to the stadium.The bus I was getting was parked right on the edge of the old town center, and from research I had seen the name Fanous Lebanese Restaurant coming up now and again.Having visited Beirut in October 2018 and loving it, I have since grown a desire to get a chance to try Lebanese cuisine at every possibility, and could not turn down the chance to try out Fanous.Located down a small side street, it is pretty well sign posted and easy to find.Lovely quiet little restaurant with a pretty extensive menu.I did not have as much time as I wished to have had, so just ordered Hummus Beirut and a beer, which was freshly prepared in no time, and was delicious.I hope to visit Nicosia again in future, and a trip to Fanous for a proper meal will most certainly be top of my list.",Fanous Lebanese Restaurant
50,All the foods are so delicious ...just love it....hopefully i will arrive soon to eat these foods in near future.,Fanous Lebanese Restaurant
50,If you are not Lebanese but like their food these is the place to come and eat. Great food for meat lovers as well as for those who don't eat meat. The will find something to eat and it's good. And of most Fridays nights there is a belly dancing.,Fanous Lebanese Restaurant
50,"What a lovely little find. Took us a little while to find it, but once you are there the service is great and the food is even better!The Mezze was brilliant (we had veg version as had been eating too much meat the previous few days) and it was great. Well worth choosing if you want to try something a little different.Thanks for looking after us and the children well. Will hopefully visit again.",Fanous Lebanese Restaurant
50,Nice cosy restaurant with traditional sofas and dishes. Nargile and lebanese coffee. Friendly service. Good prices. Extensive menu for food and drinks!,Fanous Lebanese Restaurant
50,"Decided to try this restaurant, a little difficult to find, someone has opened an Italian Lebanese restaurant round the corner so don't get caught out. We went early as our exploring left us ravenous and although it was quiet it had a lovely atmosphere. We ordered shawarma and grilled chicken in garlic sauce. They came with chips, salad and freshly cooked bread/pita. All was amazing, the flavours were delicious and the meat cooked to perfection. Honestly the best meal I have had in a long time. I definitely recommend, especially the grilled chicken with garlic sauce. I wish I was in nicosia longer so I could go back for seconds!!",Fanous Lebanese Restaurant
50,"Excellent food. Amazing service from friendly stuff. Highly Recommended !Professional people serve great Lebanese food. There are great interior and exterior seating, which is great.It is located in the heart of Nicosia old town. Fantastic food, people and service makes it one of the best choices in town. Must try !!!",Fanous Lebanese Restaurant
40,A small cafe/eatery we decided to stop at for some refreshments Very nice and welcoming staff to our surprise we discovered that they also provided shisha. We tried that as well. The decor was fantastic the music was good. Overall a pleasant experience.,Fanous Lebanese Restaurant
50,"We had a awesome dinner in center Nicosia, tasting authentic Lebanese food. The meze menu was amazing and we pay just 18€ each!",Fanous Lebanese Restaurant
50,Situated in the city center. Serve excellent Libanise food in a traditional warm and friendly place.,Fanous Lebanese Restaurant
50,Fanous restaurant is the old city of Nicosia. Restaurant is nice and staff is very nice. You can have a shisha and enjoy the atmosphere. The food is also very nice.,Fanous Lebanese Restaurant
40,"I decided to go after reading the reviews. It is really good, if you like spiced food (which I love). Totally different and tasty. The portions are big also. I recommend it!",Fanous Lebanese Restaurant
50,Whenever we are in Nicosia we eat at Fanous. The food is authentic the mezze is great. Tucked away in a narrow street and worth the search. You will not be disappointed by their friendly service and great Lebanese cooking.,Fanous Lebanese Restaurant
