r_points,r_text,place
50,One of the best italian restaurants you will find with the best service and staff you could probably get and the food is always better than expected,Il Forno
50,"Excellent traditional Italian pizza and delicious pasta. We sat outside, the exterior siting place is nicely decorated and the staff were friendly and helpful. Must try the pizza Margarita.",Il Forno
50,"We had lunch here in early February. Service and food were excellent, despite the restaurant being very busy.",Il Forno
50,"We went for Sunday lunch to Il Forno, with no reservations. The only requirement was, that we wanted to sit indoors. That was due to the 3 children we had with us. More like babies, all under 3. We were 4 adults, 3 children and 3 strollers to accommodate. The staff there were very helpful. They arranged the tables, and stored the strollers to make space.The food was also amazing. The pasta for the kids came promptly, so the hungry kids could start eating. Our pizzas, lasagna and calzone all came a bit later. All great, in taste and size. Their stove oven gives their food an extra flavour and quality. Highly recommended!",Il Forno
40,"This place is always packed so try to make a reservation or just before strolling in ledras street pass by and ensure that a table will be reserved for you . Excellent Italian type pizzas, oven - baked. Pasta comes in huge hefty portions. Salad freshly cut . The tables are outside in the street and this makes it easy eating but sooo tasty. Wine reasonably priced, served chilled. Prices are really good for an excellent quality good. No wonder this restaurant is always packed",Il Forno
40,Lovely setting on Ledra street. We returned having been here in 2009.We went there for a pizza after a long day walking the green line UN buffer zone and exploring the delights of Nicosia.Great for people watching. Good pizza selection. I would only suggest they put the pizza in the roof of the oven for a few seconds prior to serving to brown off the top slightly. Otherwise it was lovely.Would go back again,Il Forno
50,Superb - extremely tasty pasta dishes with a good choice of pasta to create your own dish. My vegetarian option was lovely and my husband really enjoyed his salmon and he's not a big pasta fan,Il Forno
50,Best Italian food in Cyprus. Reasonable prices. Friendly service. Great quality. Cosy atmosphere. Great location.,Il Forno
40,"Decent menus with pizza, pasta, and others. Good service and attentive. We loved the food and wine. Not a big restaurant though.",Il Forno
50,Located at Lidra street old town of Nicosia. The pasta is fresh and tasty and the service perfect. Well located too. The average price of a dish is around 12 euros. I recommend.,Il Forno
50,"nice food!! the portions are great, on good prices! Friendly and attentive stuff!! nice place for a chill night out!",Il Forno
50,"We came to Nicosia for a two night stay and ate at il Forno twice for lunch. The staff were so friendly and attentive. Our food was prompt, hot and delicious! Harris ( maybe spelt wrong ) & the waiters were all very welcoming........ we will be back next summer .... Thanks from Emma, Mandy & Claire from Paralimni",Il Forno
40,"We had dinner here and were very pleased. Even though I love Greek food, after 4 days, we were both getting tired of it. So, always a good standby is Italian. Il Forno didn’t disappoint us. Food was huge, hot and enjoyable. Service was great and the price, spot on.The next day, Il Forno, supplied us with a free lunch. Okay, we paid for it the night before but even leftover, their food was good.",Il Forno
40,"Il Forno is one of those restaurants that has maintained its quality of food and service throughout the years.Typically packed (and for good reason), it offers great dishes at reasonable prices.Service is usually fast, courteous and professional at the same time as being friendly.Always a great choice for a nice evening out in Ledras!",Il Forno
50,"The pizzas are very good!!! And the staff is so kind!!! I love this place, I recommend it ! For sure, we will go back!!",Il Forno
50,"Great location to sit outside and see folks walking by. Great Italian food, excellent wait staff and good wine by the glass. I had a spaghetti, with white sauce and pine nuts. I recommend this dish.",Il Forno
50,We visited with my family the Il Forno restaurant in Nicosia in April 2019 as we love Italian food. The restaurant is very cosy and serves nice pasta and pizza in a great location (Ledra street) in Nicosia. I highly recommend it especially for families with kids who love Italian food (pasta and pizza),Il Forno
40,"Pizza, Pasta, salads, whatever we tried was excellent. The margarita, ilforno special, prosciutto, 4-cheese are very good. For pasta nioggi & zucchini & shrimp pasta is excellent.",Il Forno
50,Visited today for sunday lunch. Left with the best of impressions. Would highly recommend to anyone. Pasta was delicious. Ordered quattro formaggi with extra bacon and it was sooooooo good and well sized portion. Price was reasonable also at 13 euro. Wife had her favorite dish with shrimps and loved it. Kids dishes was very large could have ordered 2 instead of 3 as a lot was left and they ate very well 2/3 portion for the kids. Big respect to the owner. Saw him waiting tables and cleaning them also. Moving chairs and tables around to fit customers. Bravo. Brought me a keo without ordering one and did not charge. Asked us at the end if we wanted coffee or sweet and as we said no my 5 year old said yes. We insisted and told him no but brought him a delicioys profiterole anyway at no charge and didnt charge the espesso at the end also. Congrats to him. Would definitely come again,Il Forno
40,Visited this place several times with family and friends. Good Italian food and good pizzas. Good service and good atmosphere.,Il Forno
50,I visited several times this place in the middle of the old town of Nicosia. The service is perfect and the waiters were helpful and polite. I tried several kind of pizzas but my preferred one is with aubergine ... the pizza dough is crispy and so delicious ... must visit . Tip: the place is almost fully pack mainly during the week end try to book before,Il Forno
50,"Enjoyed the vegetarian pasta and pizza. Good food, quick service and well located. Will definitely come back on my visit.",Il Forno
50,"Great food, very accommodating, very busy . Visited twice during 7 night stay in Nocosia . Really fun time,all the staff werel incredibley friendly, amazing free profiteroles at the end of both meals. Great pizzas and lovely salad, bottle of local wine very tasty and well priced cannot fault this venue.",Il Forno
50,"I just love the wonderful atmosphere at Il Forno, with the tables right on Ledra Street. Perfect place to enjoy wonderful pizza and pasta, with exceptional service and personal attention.",Il Forno
40,We have been going to il forno for years now. Service is very quick and food is always fresh and delicious. The only con is the place which is tiny and always packed so making a reservation ahead is a good idea.,Il Forno
30,I very much enjoyed the atmosphere but I ordered falafel and immediately knew I made a mistake. I see many reviews showing the pasta to be wonderful so I know what I will get if I come again.,Il Forno
50,"I visited Il Forno on December. Amazing place for a date.I had the Four seasons pizza. It had an amazing thing crust and fresh ingredients. It was one of the best italian pizzas I had. The service was just a bit slow but it wasn’t that big of a deal, considering it was packed.You absolutely need a reservation to go for dinner there.",Il Forno
50,Very nice place to try Italian spaghetti and pizzas. It’s a cute small cafe which is almost always full. The portions are big and the food is tasty!,Il Forno
40,"Every time I visit Nicosia with my family, this is listed as a ‘must stop’ restaurant for us! I have eaten here about 5 times, each being exceptional. When you are first seated a small plate of snacks are brought to you with olive oil, a nice touch. Usually we order a pizza and pasta, and possibly a salad, which is definitely enough for 4-5 people. Both are cooked perfectly, and all dishes are delicious!My only con is that they do take advantage of tourist prices, around €2.50 for a drink, and about €14 for a pizza!However, as long as the prices don’t get too high, I will happily return!! Highly recommended for dinner!",Il Forno
50,I am very happy with it every single time I am visiting this restaurant and the food is delicious and cheap and it is a good place to choose to eat while in Nicosia,Il Forno
30,"we were in this restaurant to eat with friends, honestly we didn't eat badly but we are really far from the concept of Italian food to be reviewed",Il Forno
20,Nice atmosphere in the old town but poor food. Pasta was over cooked and sauce not tasty (I had the fish pasta),Il Forno
40,"Excellent food, large portions, excellent beers and very good service. Pavement location the only disadvantage.",Il Forno
50,"Always excellent quality whenever we go there. Salads, pizzas or pasta is always the same high standard over the years. Very good and highly recommended. The Ledra Street is always buzzing and the food and service is always great.",Il Forno
