r_points,r_text,place
40,I ordered through the app. They delivered on time. The veggie lazania was still warm and tasty. The salad was just ok nothing special .. I did it like so much the sauce at the side. In general it's good.,Ingas Veggie Heaven
30,"Our first impression was the warm atmosphere as we walked into the courtyard. Nicely decorated and inside was homely and we were greeted with a smile.We ordered the beetroot falafel and a glass of water each and sat down waiting for our meal to be prepared. In the meantime we were served 2 fresh homemade bread rolls and a small bowl of houmous which was a nice touch.It didn't take long at all for our dishes to come and it was served with a side salad, very tasty and filling.We wanted to finish with a coffee each and a chocolate cake to share. The coffee was nice, however the cake was ok and needed to be richer in flavour.The only and major let down was that we were quite shocked that we paid so much to be honest as for a cafe it was unfortunately overpriced. I would have given an extra point for this review if it had been cheaper. We believe that €30.80 for 2 people is very expensive and has put us off returning because of this.",Ingas Veggie Heaven
50,"We stayed by on the way to a family wedding in a nearby church. Such a friendly, lovely welcome with great drinks!",Ingas Veggie Heaven
50,"Cosy Atmosphere, we felt like having dinner at our aunt's large home :PThe food was so great and there were alternative options for vegetarians and vegans instead of burgers and salads that most places have. The only thing that I didn't like was the fact that they have plastic bottles for water.",Ingas Veggie Heaven
30,"We had the quiche and nut roast. I Found the nut roast a bit bland and unfortunately would not choose again. The curry mushroom sauce didnt pair well with it ether. The quiche on the other hand was tasty and surprisingly light! U get free bread and hummus which is a bonus point! They could do with reducing their prices only slightly, as i would visit again if only the prices were slightly lower. Service was also a little bit cold unfortunately.",Ingas Veggie Heaven
50,"One need to look for it a little, but it is really worth it. Very quiet spot, terrace in summer time, warm any season, and Inga is a perfect hostess with her daughters. Her food is simply excellent and well cared for, creative and tasty. She is originally Icelandic and has obviously adapted well in Mediterranean Cyprus. Try it at least once! We were a family og 4 and nobody left a crunch in the dishes.",Ingas Veggie Heaven
50,"The best Vegan and Vegiteryan food Í ever tasted. Very friendly staff, nice palace and exellent food.",Ingas Veggie Heaven
10,"I was expecting a bubbly veggie moussaka, crackling with energy and smacking of flavour - there was none of this with the meh offering served up by the uninterested staff. It was the last wedge of the tray that had lasted days probably (given the lack of customers) and the microwaving only made it hot. The salad was tired and had little in the way of dressing (and no extra was offered). For 11.90 euros I expected a lot more. The women on duty were only bothered with gossiping together in the kitchen. It was long way to walk and to fork out a small fortune for such a miserable lunch.",Ingas Veggie Heaven
50,"The loveliest people and the whole place is bright, open and a great place to stop for a rest (which is what we did). Only had a coffee and a cake but everything we had was really good and alkl the food we saw everyone else eating looked delicious.",Ingas Veggie Heaven
50,"The cafe almost ran out of food when we arrived quarter past 4pm (they close at 5 pm). We got Shepard s pie, chocolate cake, home made lemonade and some cyprus coffee afterwards. Everything was tasty even for a non-vegetarian. Friendly staff, cozy small terrace - very refreshing place definitely standing out of other restaurants in Cyprus by its style and taste.А вегетарианцам сюда и вовсе прямая дорога. Не так много мест на Кипре, где они могут найти больше чем греческий салат и халуми :)",Ingas Veggie Heaven
50,A little gem in the beautiful old town of Nicosia. A lovely cafe with a nice backyard to sit in too. Very good vegan moussaka and vegan lasagna. Super-friendly and great service. A must visit in Nicosia...or even if you’re somewhere else in Cyprus -It’s worth a trip to this part of the city and for green food,Ingas Veggie Heaven
50,Best food I had in Cyprus! I wish I’d lived next to the place;) I would eat there every day:) try the vegan frittata!,Ingas Veggie Heaven
50,A true gem in the heart of Nicosia. Delicious food and the best owners! Feels like a masterchef just cooked for you in your back yard! Must visit!!,Ingas Veggie Heaven
