r_points,r_text,place
30,I must say food was excellent made to perfection. One problem server waitress was not the best we had children she didn’t tell us about the free refills with children meals and I thought she was rude no customer service at all. But the manager I spoke with was outstanding very apologetic to us. Carolina I think her name was. Manager brilliant staff not to good. Apart from that good will visit again because of Carolina xx,Jamies Italian
30,"The food and drinks were great, you do get what you pay for.However, the service was horrible. One of the servers kept putting his hands in front of one of our guests, completely disregarding of her presence at the table.We asked the same server if there were whiskey options (as there are no whiskey options on the menu) and when asked about a specific whiskey option he said he would go and check and he never did.Both servers wanted to get our order from the stairs behind the table, rather than coming close to our table.They offer food that is not on their menu. For example, the Brownie states that it comes with caramelised popcorn, however, it comes with a vanilla ball of ice cream. (It needs to be specified for allergen purposes)The drink service was incredibly slow.",Jamies Italian
50,I eat the best bolognese in my life. The meat was so nicely cooked and the sauce incredible. The pasta was so fresh and the service very friendly and professional.,Jamies Italian
50,"We went here for my birthday meal, and as it was midweek we got their set menu, which was a great deal, 3 course for 18.50 euros if I remember correctly or something along those lines! Each course had a great portion size, garlic bread for starter was 4 bread rolls, amazing carbonara for main with good ham to pasta ratio, and then this delicious caramel brownie which melted in your mouth with popcorn, sauce and ice cream for dessert again very good size brownie compared to other restaurants. As it was my birthday they even wrote happy birthday on my plate and gave me a candle. Really sweet and caring staff! Drinks were good prices too. As this was one of our best meals in Nicosia we decided to return, this was on the weekend which was a lot busier we decided to try something different off the menu which were very nice but couldn't beat the carbonara! Very Yummy and would definitely go again... as I did!",Jamies Italian
40,Jamie’s Italian gone from U.K. but still in Cyprus. It was good to try some old classics including the tempura style mushrooms and veggie burger. The drinks service was exceptionally slow here.,Jamies Italian
40,A previous reviewer implied that this is a Michelin star restaurant! Believe me It’s NOT. Far from it. And definitely not the best restaurant in Nicosia. Again far from it. Nevertheless it’s a good everyday restaurant and expensive for what it is (as far as Cyprus prices go). The service is good and so is the ambiance. Good for lunch or a casual dinner.,Jamies Italian
50,"This is the best restaurant in Nicosia since I'm interested in cooking, the food is expensive but cheap for Michelin star level food and they have an extensive selection of charcuterie. I'd go there often if I were rich",Jamies Italian
50,"We 've been at Jamie's Italian quite a few times as a family of four and every time was better than the last! Seating is very comfortable (especially the booths!) and the decoration and atmosphere is very pleasant. We tried many different items on the menu and everything was fantastic! All plates have an inventive twist of taste so you have to be open minded! Burgers have their own unique additions and taste, no ketchup or mayo needed! Pasta is great, chicken comes in various forms, all very well presented especially the chicken al mattone and cacciatore. Side dishes are also very interesting and great tasting, starting from the fluffy garlic bread up to the fantastic mildly spiced raviolli fritti! We also tried the home delivery and the food reached us in about 35 minutes, warm and as good as in the restaurant. We will definitely go back and order delivery again. Highly recommended!",Jamies Italian
50,"The opening hours are great - many places are closed with Jamie's is always open. Can always guarantee excellent food quality. Music, furniture, the feel and cleanliness are brilliant as well. Staff are fantastic and never make you feel rushed - quite the opposite! Make you feel right at home, I often come to have lunch and study.But they're also very efficient when you need to be quick.Very reasonable prices and menu is diverse which often changes with the seasons and festivities.Cannot recommend high enough for any event; business, family, friends, study/solo, anything...Very accommodating. I hope it stays here forever.",Jamies Italian
30,Drinks and starters are awesome. The mains leave a lot to be desired.Good for a quick business dinner or casual couples night.,Jamies Italian
30,"The menu is quite impressive. The portions however are tiny (especially the pasta) and the food is nothing special. Everything on the menu is quite pricey, from starters till desserts, drinks etc Friendly staff.",Jamies Italian
50,I ate pasta.It was very very delicious! At the end I ate chocolate cake with ice cream! Fantastic! Jamie's Italian is my favourite italian restaurant.,Jamies Italian
50,"The food was lovely, service was exceptional waiters polite and friendly restaurant clean and felt like home",Jamies Italian
