r_points,r_text,place
50,Traditional Greek tavern. Reminds the taverns in Plaka with the many small different plates. All freshly made. I was really happy since my last visit as it seems that the cats disappeared. I like animals but i have a fear with cats. I dont like sitting next to them or sitting on a chair that a cat was sitting before. I am more a dogs person. So i have the chance now to enjoy all that great food without worrying that a cat will sit on my legs. Definitely will visit again,Kathodon
50,"Kathodon is a tradition Greek restaurant that is very close to the Turkish border. It is on Ledras street but away from the tourists. In fact, you can see the border from the restaurant. The food was delicious. The Grilled Octopus is highly recommended.",Kathodon
50,"The restaurant is in a busy location, right next to the crossing point. It looked lovely and inviting so after travelling from Paphos we decided to have our lunch there. Warm welcome, got seated comfortably. Once we looked at the menu, I was a bit worried, the presentation of it all looked very touristy. I can not comment on other dishes but we decided to go for fish meze and it did present a good value and a lot of food for 2 people. Everything we tried, was fresh and nicely prepared. The service was very attentive and all in all, the place surpassed our expectations. I assume it would be lovely for a dinner too. Thank you all the team, would not hesitate to come back.",Kathodon
50,"Generous, Tasty local food. The restaurant will first attract you with its decor and its location on the borders. Then when you enter and meet the kindest staff you will feel at home. The wine though is WOW.",Kathodon
40,"Next to the border, and in the main Old Nicosia. Greek restaurant with tasty dishes, I loved the grilled meat.",Kathodon
40,"Nice, vivid atmosphere, most of the staff was attentive and friendly. The day we visited there were two musicians playing music and that gave an extra touch to the place. The food was good and plenty.",Kathodon
50,"We visited the restaurant twice, on Wednesday night and on Friday night. The owner managed to find a solution a friend that eats Kosher food. Besides this creative solution, the food was very good and the music and atmosphere were great.So we reserved a table for Friday night, payed in advance and returned to enjoy (good that we reserved as the restaurant was full).All in all, a very nice experience",Kathodon
10,"On arrival no smiles from waiters, could not sit where wanted and had to find alternative table. Got settled. a waiter refused to help me with menu explanation signalling the other guy was my waiter. He did and we ordered. My lamb souvlaki was 3 very small lamb kebabs, not souvlaki at all. Good but small. The salad was an overload of cous cous, no leaves, tomato, cucumber or actual salad? But husband's shrimp pasta was the pits! A bowl of pasta in tomato sauce with 3 half filled shrimps on top, even the tails were empty. The waiter was lovely and explained the pasta only came with 3 shrimps and he was unable to do anything.looking around it seems if you order lots of mezze you get a good deal but we went cheap and it was! Lesson learned!",Kathodon
30,Helpful personnel but food was terrible. At least my plate. I have tried others and it was ok. Mine was junk. I ordered ofto kleftiko.,Kathodon
50,"The house serviettes say “to spiti sas” (“your second home”) - and this was certainly true for us. During our 8 day holiday based in Nicosia we visited 3 times, twice in the evening and once at lunchtime, and each time enjoyed excellent food and friendly, helpful service. The kleftiko (slow roasted lamb) was excellent, as were the aubergine pies and the house special salad, to mention a few things we particularly liked. Little touches like the Mastika liqueur and mini bitter orange cream desert (to complement a full meal) added to our enjoyment. This restaurant is in an unusual location, 20 metres or so from the “Green Line” border with the northern Turkish-controlled part of the city, projecting out into the pedestrian Ledra street. However the tall glass screens separate diners from the streams of passers-by. We received a strong recommendation, and have no hesitation in repeating it ourselves. We shall be back!",Kathodon
40,"On our first trip to the old part of the city, just before you reach the Turkish side is this restaurant, we were lucky on a Saturday to get a table at lunchtime as fully booked. Managed to get table outside. Sipping a bottle of Rose followed by the Meze, that’s the hot one, cost around £27 each, but what a treat we were in for. The food came out gradually, course after course, each platter as tasty as the first, until after what seemed like hours, we could eat no more, how we wanted to finish as so tasty, however had to leave food.",Kathodon
50,"In the heart of the old town, it offers a remarkable taste experience compined with good service! And in the evenings you can have all that with live greek music in the background.",Kathodon
40,Really nice in whit and blue decor. Dishes are quite tasty and lots of variety. Prices are good. Nicely cooked.,Kathodon
50,Deliciousss food. Best scampi saganaki and best Ofton I have ever eaten! Big portions and modest price. I can only recommend it!,Kathodon
50,"It is in front of the check point. Very friendly staff, I ate a wonderful pork cooked with honey and spices, the best in my life. Very nice athmosphere, typical cypriot one. You can find there many local people.",Kathodon
50,"I visited Kathodon (based on my hotel receptionist's recommendation when I inquired for a place with live Greek music) on a Saturday night, so it very busy. But a small table was nevertheless found and moved inside and placed next to the two performing musicians, for which I was very grateful. The food was excellent, the atmosphere relaxed, the prices very reasonable, and the music fantastic. The clients appeared to be a mixture of locals (many families) with a few tourists such as me. I will happily return next time I am in Nicosia.",Kathodon
50,The food is always good and the music excellent! The owner is very friendly and greets all visitors. We go there every year when we visit Nicosia.,Kathodon
