r_points,r_text,place
50,"We went to Louis tavern for our Tsiknopempti dinner, we were greeted with a warm welcome and a lovingly decorated hall with a fireplace. We were seated comfortably and ordered the meze for three. The portions were, in my opinion, just perfect, since we enjoyed the starters along with a very surprising artichoke dish, the meat dishes were very well prepared, the food was brought to us at a good pace and given the fact that it Tsiknopempti is one of the busiest nights of the year we had a great experience. Thank you Mr Louis and staff for your great service!",Louis Tavern & Restaurant
50,I have not ate this good in a long time. Wide variety of vegetarian options and great service. All together a succesfull evening. I will definately visit again.,Louis Tavern & Restaurant
50,"Went last night for the first time after it was recommended a couple of times. The location might not be the best, but the food certainly is! We ordered Mezze, it was just amazing. All dishes were spiced well and cooked to perfection, it was a good selection and also different from the usual standard you get anywhere else. Meats were soft and juicy (which is not often the case with mezze dishes) and the portions just right for the two of us so we could actually try everything and didn’t walk out feeling sick of overeating (also no waste, which I personally like). Owners are really friendly and make you feel very welcome! I will definitely be back and can highly recommend!!!!",Louis Tavern & Restaurant
40,"We went to Louis with a group a friends. The food is really nice and has a good variety of meat based / meze dishes. Good atmosphere and good service.Not the mainstream cyprus tavern with the endless amount of dishes but our experience both foodwise and in terms of service and hospitality was very goodPricing is ok, not expensive.",Louis Tavern & Restaurant
50,"My husband and I visited this restaurant after reading excellent reviews on trip advisor. On arrival we were escorted to the outdoor garden. We were given complimentary meze and had the most amazing pork chop. Louis was always ensuring that we had everything we needed and even gave us a complimentary kio beer, strawberries and pastry desert. We had an amazing experience and felt shocked at how reasonable the price was after having a HUGE meal. We will definitely return to this place again. An absolute must for everyone.",Louis Tavern & Restaurant
50,"We had a business lunch at Louis tavern, Mr. Louis is a great professional and mostly he loves what he does !!! Highly Recommended.",Louis Tavern & Restaurant
50,This restaurant might not meet the eye I the beginning but as soon as the meze plates start come you are glad you have chosen to spend your sat evening there. That's what j felt. Logical prices and all tasty food. Strongly recommended,Louis Tavern & Restaurant
20,"We had the meze and while the food itself was quite tasty, the portions were tiny! This is highly unusual for a Cypriot tavern..we left the place feeling hungry.",Louis Tavern & Restaurant
50,"We found the tavern online and after reading some reviews we decided to visit it for a Sunday family lunch. A small tavern, located on a main street of Pallouriotissa. We were greeted at the door by the owner with a smile. Really small place, 7-8 tables. We chose to have the meze so we tasted everything. The food was amazing. Fresh ingredients, homemade traditional dishes nicely combined in the meze menu. We both enjoyed it and the kids loved it. The owner is a great man, served us with joy and had everything in good order. We are definitely going back soon and I would recommend it to anyone who wants to have a ""private"" lunch or dinner outing. It's a great place to have a friends night out with a good eating experience, without the annoying disturbances from other tables or service delays etc",Louis Tavern & Restaurant
50,"I was craving meze so went with my auntie and uncle. We had the meat meze (18 euros per head) and it was fantastic. We had a few veggie dishes and then pork and chicken souvlaki, lamb chops, pork fillet, sheftalia, keftedes, loukanika, halloumi, chips, Greek salad and much more. It was the right amount for us and we left stuffed and very happy. They also gave us a couple of warm pastries and fresh fruit to end our meal which was a lovely touch. There was only one other table in there on Saturday night which I can’t understand as the quality of the food was fantastic and all cooked beautifully. They are also English Cypriots so speak perfect English. Highly recommended.",Louis Tavern & Restaurant
50,"It’s our favorite for family gatherings. The food is great! Every dish is very tasty and the serving pace just right. The host / waiter, Mr Louis is very polite and helpful.Recommended!",Louis Tavern & Restaurant
50,"We went to Louis tavern last night for family dinner before I head back to the UK and we loved it. Is not the cheapest meze in Nicosia but it certainly is one of the best. Freshly made, tasty food, cute decpr and exceptional service. They accommodated for all our needs including two different salads and non-salty food for my mum.The owner and his son love what they do and that comes across. Worth a visit!",Louis Tavern & Restaurant
50,"Food can be good in various forms, served in delicate plates, but the best food is made from LOVE.Louis tavern services Love for the art of cooking and love for it's customers.I had an amazing time a the restaurant Louis.A veraity of foods very well prepared with the original local touch. Very generous and excellent service!I recommend the experience to everyone",Louis Tavern & Restaurant
50,"Today we visited Louis' for a family lunch. Everything was fresh, well-cooked and served with care! I have 3 kids with excentricities. All 3 loved the food there! Says it all the rest of the family rated it as top meze they have tried and good value. Highly recommended!!!",Louis Tavern & Restaurant
50,Amazing food and excellent hospitality! This place is for people who love food - delicious quality food. Louis the owner and his son will provide you with the best service you will get to experience. Don't forget to try the keftedes!,Louis Tavern & Restaurant
50,"Excellent food and very welcoming atmosphere! The owners are very kind and are willing to help you. Also, the prices are very affordable.",Louis Tavern & Restaurant
50,"Amazing food, great service, GENEROUS portions.Seems like a family run restaurant, the food is cooked with care, very fresh and diversifiedThe menu is limited which is a great thing as it gives a guarantee that none of what we have eaten was frozenThe meze for two would have fed an army so do arrive starving as you will not finish the meal.Well recommended :)",Louis Tavern & Restaurant
50,"We had heard many great things about Louis tavern, thus we decided to call him on Sunday to see if they were open. We told them that we were 5 people and they literally opened the tavern just for us. And I cannot describe how good the food was. Won't make any spoilers here as to what the mezes include, but you will enjoy every moment of it",Louis Tavern & Restaurant
50,"One of the best meze we've tried. The staff is really nice and funny, everything is freshly made in-house, including the pita. Would recommend it to everyone who visits Nicosia.",Louis Tavern & Restaurant
50,"Very high quality Cypriot meze in a warm (literally because we sat next to the fireplace!), cozy atmosphere where it is possible to have a conversation without shouting, and also possible to have a rocking good time without disturbing other diners. You will be waited on by the owners and treated like a member of the family. Don't miss it!",Louis Tavern & Restaurant
50,"Great atmosphere, cozy place with fireplace.The owner is very polite and welcomes everyone with a big smile. The food is delicious.Everything served has great taste.!!",Louis Tavern & Restaurant
50,"Louis and his family have the best meze in Nicosia. It is definitely a find in the city. All the food is home made and beautifully prepared, and there is such a great variety of dishes! Besides that, Louis and his family are great people. Me and my boyfriend always come to Louis’ Tavern for great food and recommend it to everyone, it is definitely our favorite place in Nicosia.",Louis Tavern & Restaurant
50,the best taste i've ever had. every month i am visiting louis tavern. he makes the best food of the cyprus kitchen.,Louis Tavern & Restaurant
50,Louis and Linda give you tastes that are unbelievable.Every dish is cooked to perfection.I have never tasted food where every mouthful is a delight.6 of us were there this evening and all of us felt the same.This restaurant is well worth going out of the way for.If you enjoy the greasy spoon this is not for you.We highly recommend this restaurant and thank you LInda and Louis.,Louis Tavern & Restaurant
50,"For those who appreciate Fresh real home made food cooked as soon as you arrive there which is something you cannot find somewhere else!!really tasty home made food in a restaurant and not something artificial!The owner Mr Louis and his wife are well experienced and friendly hosts!the food is fresh amd tasty!The decoration of the place and the music is perfect for the concept!Ideal place for meat,fish and vegetarian lovers!!Will definitely visit again!!",Louis Tavern & Restaurant
