r_points,r_text,place
40,Lovely and airy and great air conditioning. Busy Sunday lunch with families mainly. Huge menu lovely starters and salads and pastas too. Great service too.,Marzano
10,The most dry pesto and cheese as a stone. Called to fibrin and response is that’s how we do it always. (Been a guest for over 8 years.Incredible customer service. Ridiculous,Marzano
50,"we went there with my husband and i had salad with quinoa, mango, avocado and smoked salmon and it was very tasty! fresh and very big portion (i ate it all)also i had slow cooked lamb with asparagus, bell peppers, broccoli and baby potatoes (in menu was smashed potatoes but because i am not eating dairy products they offered boiled backed potatoes and it was excellent! lamb was tender and tasty.VERY FRIENDLY AND PROFESSIONAL TEAM!i do recommend it!!!!!",Marzano
50,Delicious Italian Food and excellent service. Highly recommended!! Keep up the god job! We gonna go again for sure!,Marzano
50,The was amazing. The services was excellent and the waiters very polite. The atmosphere was very good,Marzano
30,Good for pasta and salads. A bit disappointed because they just serve you a plate of pasta. It's not like the US where pasta comes with a bread basket or bread sticks etc.,Marzano
30,"i remember it was ok when i went there. i shoud go again to see what all the hype is about because i don't remember it being anything special or fancy, looked like a middle class pizza place to me, not in beverly hills",Marzano
40,"We had lunch here while visiting the capital on a one day trip. We enjoyed taking a vegetable soup, served along with small pieces of toasted bread, and a superb dish of lasagne. Highly recommended other typical italian dishes, like risotti and tiramisù. The only bad part of it is that we paid more than four euros for a bottle of sparkling water.",Marzano
50,Sunday lunch with kids and friends. Quite overcrowded but service was quick enough for not complaining. New menu and interesting dishes after my last visit some time ago. Place to be..,Marzano
10,"Quadro formaggi ravioli consists of edam, cheddar and emmental which are the cheapest cheeses you can find in market and definitely not ITALIAN cheeses. The ambience of the place is like a cheap restaurant of a cheap hotel. Noise and tasteless food. Never had worse italian. Since we had a voucher for pasta dishes we ordered lasagne. The manager came and said that lasagne is not a pasta dish!!!!!",Marzano
40,The food and the wine were fine. The service was perfect. But what a noise ! Very unpleasant while trying to have a conversation. Accoustics were completely forgotten during the design of the restaurant.,Marzano
50,"We always like coming back to Marzano. Great food, lovely environment, good service are some of the pros.We had tasty salads this time and matched them up with fresh white wine.",Marzano
50,Gentle staff quick service and quite tasty dishes. Will certainly go again soon to taste some more dishes from the very interesting menu,Marzano
40,We ordered bruschetta and salad with goat cheese which were tasty. The salmon with veggies was ok nothing really special. The Panacota desert with fruits was tasty however the chocolate cake was not. The creme brule was ok. The service was correct. The prices were reasonable ie the main plates were between 16 to 22 euros in general and the desert around 5 euros.,Marzano
50,Sunday lunch with family and friends. Not crowded but busy enough. ThE staff is very frieNdly and the food is very tasty. I will certainly go again,Marzano
20,"Visited on Saturday night. The welcome was rather hostile by a waiter grabbing his pad & suggesting we should have booked a table as they were busy. I put this down to inexperience as being a restaurateur, I’m aware of the logistics & how quickly tables can be turned around. We were directed upstairs into the far corner by the toilets. (Despite there only being 1 other occupied table up there).The waitress suggested we move as we were directly in front of the air conditioning unit. I think she got into trouble for this.We proceeded to order our drinks, starters & mains & a bottle of wine to come with the main course.The upper space soon filled up with non bookings, each receiving the hostile reception on arrival. I could see pretty much everything going on from the balcony above. In the meantime, more & more tables were vacated down below.Our starters arrived quite promptly so we proceeded to eat. Within 5 minutes, our mains arrived. Did I miss something? Having been in the trade for over 30 years, I hadn’t realised that this had become acceptable. We finished our food & asked for the bill.The bill arrived with the non materialised bottle of wine on that we had asked to come with the mains. Yet another system failure which costs the company revenue.I may be old school but I believe we bend over backwards to accommodate the customer & give a good all round experience. Substandard food & especially service on this occasion is inexcusable. Most things can be made much more tolerable if the staff were to care & actually talk to you!!!!Food was ok to be fair!!!",Marzano
40,We had a really great meal at Marzano's. We come back regularly specifically for the rump steak. So far it has been the best we have experienced in Nicosia.We really enjoy their salads too and always choose a different one as a starter to share each time. We have never been disappointed.,Marzano
40,Really enjoyed several visits to Marzano's and we'll certainly return for more. The menu is amazing and the service fantastic. Really enjoy the pasta and the pizza!,Marzano
50,"Nice, quiet place with excellent service and cuisine. And definitely the best Tiramisou in whole Nicosia!:) Worth to go with friends or family.",Marzano
40,The food there comes in big portions and is tasty. Their pizza does taste Italian thin crust. I would recommend to go. It is just an average restaurant there is nothing too amazing about neither something bad.,Marzano
30,I had the tuna dish with puree potato and wild asparagus. The fish and asparagus were overcooked. The puree was great! The sauce accompanying the dish for dipping in the dried out tuna was mediocre. We had two waiters: One was real nice the other had some attitude.It's probably a good idea for an Italian restaurant to stick to Italian food.,Marzano
10,"Very disappointed with our most recent visit. I went a few years ago for my birthday and the food and service was fantastic. Made a reservation for two for Valentine’s Day. When we arrived we were handed a set menu, about €30 each for a starter, main, dessert and a bottle of wine. We didn’t like any of the options and didn’t think they were worth the price tag and asked for the regular menu but were told that it was set menu only that night. I would have preferred to be told this when I made the booking or at least before we were seated. The staff weren’t really helpful and just left us, so we got up and left without anyone saying anything to us and had to go to ledras to have a quick meal there instead. Not what I was hoping for Valentine’s at all. The night was ruined in all honesty. I think people making reservations should be notified about the set menu only in advance (which I wasn’t), staff could have been more helpful and not ignored us and the choices in the menu could have been nicer. Me and my partner aren’t the most picky eaters but we could not see anything we liked on the menu and for almost €60 for the two of us, I think we should enjoy our meal. Really don’t think the price tag is worth it for bruschetta, American pizza and mousse. Why was mousse the only dessert option!? I’ve not had mousse since I was a child. Very disappointed, to say the least.",Marzano
30,"New menu is a bit pretentious with jacked up prices. All food categories though, do include some basic options Carbonara is done with milk cream. Everything else is perfectly acceptable.",Marzano
40,"Ate lunch here on our way to the Cyprus Museum. The main course, chicken breast with mushroom sauce, was very good, and the dessert, cappuccino milky chocolate cake with lemon sorbet, was even better! What a nice surprise!",Marzano
40,"Visited the restaurant last night with another couple. The food was good, prices were ok and the service was good. There are two things I didn’t like. One, pretty noisy as it was a Friday night and full of people. Second one the decor, found it quite boring and bland. Will I visit the place again? Most probably not.",Marzano
40,"the food is very good, on time, the personnel polite and helpful, good location, normal prices, nice environment",Marzano
50,"clean, fast service, employees staff positive nice delicious food, would like to come again, price little bit high",Marzano
40,We often go there as its close to our offices. Food is nice and the lunch offer they have is worth (lunch + dessert or coffee).,Marzano
50,Excellent food! Excellent service! Nice atmosphere! The price was great! The best Italian restaurant in Nicosia,Marzano
40,"Just around Leventis art gallery.. Pleasant , smart / casual place. We had a special lunch menu. Pasta + desert. As it turned out the main course was too big and we passed on desert. Food was tasty, well presented, service was good. Not bad at all.",Marzano
30,"Although Marzano has a beautiful design and decoration and the atmosphere is warm and cosy, the food is not as good as expected. There are many original and imaginative dishes in the menu but the final result (taste) is moderate. The service was nice and the waiter was kind but he made mistakes (wrong dish -we were not charged-, couldn't provide much information about the wine) and the overall experience was average.The Ceasar's salad was good but ""pork filettini alla marcala e porcini"" and ""spaghetti polo marsala"" did not meet our expectations.",Marzano
20,"Visited this restaurant for lunch with my husband and two toddlers. Staff were quite friendly and brought the kid's pencils and paper to draw. We ordered salads for main course, which was delicious as always. My daughter had ordered the chicken from the kid's menu which was served with oven chips, cucumber and tomato. She ate the cucumber in the plate and wanted more so we asked the waiter for a few more slices. Imagine our disappointment when we saw that the extra few slices had been added to the bill. It's not the extra one euro but it doesn't really sit well with the customers...",Marzano
30,"If I could make a 2.5 rating then it would be perfect. The food was not good, but i was not bad either. The prices should be lower according to the quality of the food. The drink was small and the price to high.Sure that Nicosia has better restaurants.The staff were a little invisible and they did not give a bad or super good impression.",Marzano
40,"A very nice place modern furnished, clean with a warm atmosphere. Ideal for pasta, pizza, burgers and excellent salads as well. Waitors are polite, offers a quick service, food is tasty and in reasonable prices. We will go again.",Marzano
50,"Nice atmosphere, good food, polite and quick service, good wine. Visited the place twice this month and I would really recommend it",Marzano
40,"Found this place by chance and decided to give it a try. The place was packed with locals, the food was served quickly though. The pasta was good and staff pretty friendly.",Marzano
