r_points,r_text,place
50,One of the best live-music taverns in the city. the food is great and the price is okay considering that you are staying there for about 4 hours,Mezostrati tavern
30,"This is a place to party. Endless plates of mezedes (portions of various foods) are served as a standard. The mezedes are the usual palette of most tavernas but there are some specials (such as shitake mushrooms and fired courgette juliennes), What makes this place special is the ambience. Adorned with memorabilia of the distant past, black and white posters of former stars, old machines like typewriters, and the like, the live music it offers, naturally, is also from the past, famous Greek songs from the forties and fifties. This is a place to party while filling the hunger gap. It is great fun but I would say there are places that offer tastier mezedes. That is not to say they were not good. The grilled meats were succulent and the servings very generous, so generous that I could not manage my dessert but my companions said it was excellent. At about €22 per head plus drinks, it is good value for money if you want to party. Get there after 8 pm when service and entertainment start for real.",Mezostrati tavern
20,"The food is nothing special, service is OK, and live music is average.Points for accommodating allergies and alternatives.Although they have signs - some are entertaining- for smoking not being allowed, even employees can be seen putting off cigarettes in a glass. Breathing can be... Suffocating.",Mezostrati tavern
40,The tavern are nice the food fresh and the quality best value for money Quantity is excellent Helpful people there and testy plates Recommend the meze plates.,Mezostrati tavern
50,It's a hidden gem. Not visible from the road or when passing by in the car. I had a visitor from out of town and me being also out of town did a search for the closest taverna type restaurant. I did not have time to check reviews. I took a gamble and crossed my fingers. Result. Totally satisfied with everything. From the retro styling to the service. Excellent cooking. I highly recommend and to look forward to the next time.,Mezostrati tavern
40,"The restaurant is not ready to find....and we arrived early at 12.....place empty & first thoughts were to miss out. But we were lucky to have stayed cause the food & the place were fantastic. Greek food galore at its best,,,pork, fish, meat....dozens of plates with veg, chips, sausages ,......prices were reasonable. As a family of 5 with a 3 year old, we really had a great time seeing so many retro items in the place. Pity we missed the music & dancing.....!!!!",Mezostrati tavern
50,"Really nice place, large, but cozy. Located in the city center. Old photographs on the walls, retro devices. Great food, mostly local, pleasant atmosphere. Large dishes. English menu. Very hostile and friendly.",Mezostrati tavern
50,"Googled restaurants in the area.. it had good menu and wine list so I tried it. When I arrived at 8 it was totally empty and they said, well, not sure where we can seat you .. we are totally booked.. i was like really? There is no one here. Well, i guess i wasn’t late to the party. It got packed. Not a table left unoccupied.. the food was spectacular. .and Christos served me.. he brought me halloumi on the house.. delicious and hot and fresh. A salty cheese. Then i got my main meal. Omg!! SO MUCH FOOD!! They said it was the Cypriot way.. i felt bad because i could not eat the whole meal. Pork kebabs and a specialty of Cyprus... some minced pork wrapped in lamb fat.. was delicious. The pork was super tender and delicious. The salad was your typical Greek amazing feta, cucumbers, tomatoes. Etc. and fries cooked so well they were amazing and i dont’ usually eat fries. He brought me on the house cherries, bergamot and eggplant.. sweet. I tried the bergamot. I said we only have that in massage oil. He laughed.. really? It was just like the taste you would think. Very delicious. I thoroughly enjoyed my time here. It got packed. The band started playing. I would recommend booking a table and enjoy this great Greek night!!",Mezostrati tavern
20,"Had a good time last night visiting this restaurant. Very friendly staff, food and price. They had Greek music too, so it was nice. We were really enjoying the moment.... until they were letting people smoke INSIDE and while we were still eating. It's against the law to smoke inside. The manager didn't seems to bother about that or do anything. It looks like he lets anyone smoke inside every time. I went home smelling like an ashtray. I will think twice to visit this place again. And I know some of my friends who will do the same. It was shame to spoil our evening for 5-6 people.",Mezostrati tavern
50,"We chose the place for our first meze experience in Cyprus and was very happy. I cant compare meze with other places, but all they brought was freshly cooked, tasty, lots of different grilled meat, cheese and snails on top. We took 2 person meze for 3 of us and was barely able to eat all. Tonns of food!On Sunday there was live music which created a good wibe. To hear it good, you must get table in the outside circle. In a high season may be need to book a place, seemed it can get super busy though the place is big",Mezostrati tavern
