r_points,r_text,place
50,"Nice food, nice beer, nice environment, nice music. No need to say more, but here it is: nice service.",Moondog's Bar & Grill
40,I think that every person that visited this place has to admit that they serve one of the best pork chops in town. Big portions and tasty. Also a very big variety of beers.,Moondog's Bar & Grill
20,"Not friendly staff, they were ironical towards us. The food was good. We won’t go there again. We came to have fun but left disappointed.",Moondog's Bar & Grill
50,"Insane beer collection, best burgers in town and a huge screen for sports!!!! I highly recommend it!",Moondog's Bar & Grill
20,"Good sized burger served with poor salt and pepper and rather dry, asked for HP sauce to boost taste and the waiter came back to announce “no HP sauce” without any hint of suggesting something. The table did not have salt and pepper or any other sauce (ketchup/mayonnaise/mustard)..Most likely “chef” thinks his burgers are fine as is.",Moondog's Bar & Grill
30,Been here a few times and burgers usually fresh and tasty and they offer a huge variety of n nicely chilled beers.,Moondog's Bar & Grill
50,Probably the best pub-restaurant in the city of Nicosia. Absolute quality in terms of burgers and the service always the best,Moondog's Bar & Grill
30,"Nothing more than just a typical burger, it took 40 minutes for our food to come to the table and I was not happy with the overall experience",Moondog's Bar & Grill
50,Very good food. Very good music. Excellent decoration. Very good staff. There are many parking areas around,Moondog's Bar & Grill
50,We have visited this bar twice but only in the afternoon. This weekend we visited in the evening. Even though the place was busy we were able to sit at the bar. Loved the music and watching old photos on the screen. We did nt eat but the food and portions looked amazing. All the staff were really chatted and attentive. This is definitely going to be our go to bar when we visit from Limassol.,Moondog's Bar & Grill
50,"What better way to end a rainy day in an American diner stylish environment, enjoying quality service with a wide smile, a vast variety of beers from all over the world and generous plates of excellent taste from mouthful burgers to vast pork-chops and pasta to kebab, even vegan dishes, all with the chef's magical and expert twist.,",Moondog's Bar & Grill
40,Bar with nice food and pub atmosphere. Food is nice and offers a full service bar as well. Can get hectic at times.,Moondog's Bar & Grill
50,"Moondogs is for you. This is my favourite of pubs in Nicosia. Really nicely done up inside, fantastic selection of beers. And the burgers although they are not low fat, they are super tasty, especially the moondogs burger with cheese and bacon.It does get very packed in there so I would advise if you are going the later part of the week to book a table in the evening as it gets very busy.You will have a great time there. Just make sure to take the right company.",Moondog's Bar & Grill
20,"We had been there before, mainly in the summer because they have a great variety of beers. The food is so so. Yesterday we were looking for a warm place for a drink with the current cold weather. We asked to sit in the non smoking area inside. It was probably colder then their outside, smoking area where they have heaters. All the doors were wide open as staff were doing their evening preparations. When we commented our comments were laughed away. what a way to run a business!",Moondog's Bar & Grill
40,"It had a wide selection of gourmet burgers, beers and a decent snack selection, but it's pricey, you can get better food for half the price in other places if you're on a budget",Moondog's Bar & Grill
30,I think the place made a good brand especially for the variety of the beers. The service is getting worst every time. Waiters just pass through to order and do not give the appropriate importance on the order. My beer last night came with the cap imagining that i have the strength of 2 persons or a bottle opener with me.,Moondog's Bar & Grill
50,"Probably one of the best places in Nicosia. The dishes are amazing, including a combination of gorgeous burgers and a variety of beers from all around the world. I highly recommend it, especially during football events...",Moondog's Bar & Grill
40,"Visited restaurant for first time during Christmas period.For our good luck we arrived without reservation but we manage to have a table in non-smoking area.Menu is big with many ""American"" style dishes. We had the Big Jack burger the chicken enchiladas and the pulled pork tacos.All were tasty in large portions. We Combine our lunch with appropriate beer and we enjoy a lot. For desert we share the Nutella oreo burger!!Only negative for the place is the service that is too slow. Whenever we ask for a waiter the answer was to give him two minutes!! Also the food served with a big delay (more than 35 minutes).",Moondog's Bar & Grill
30,"Some friends we decided to have a get toogether before christmas. The first impresion was a other american cheap restaurant. Threafter, the seats were unconfortable, and the movements were very dificult. The food wss good but not special, it was so bowring that I do not remember it. The plus of the restaurant was the staff, very friendly and quick , excellent service.",Moondog's Bar & Grill
40,"Yesterday after work around 6 we went to Moondog's with some gests from Spain for an early dinner and drinks.I called before and asked for a table and they told me it was ok but we should leave before 9 which I accepted.The table they gave us at first was in a corner next to the kitchen and a an open door.It was freezing.We asked for another table..they gave us one next to the front door but there was a heater so we said ok.But no they moved the heater closed to another table...Again we complained and finally we got a better spot.I want to pointout that many tables with better location were empty until we left.The food was as expected, the portions more than enough the service very good(apart from the sitting arrangements) until we asked for a final shot...We asked for zivania for our gests....they did not have any(really???)We asked for Jack Daniels the same responce without any effort to give us an alternative...As I said if we were regulars we would have been treated in a better way given a better table(we left and many were still empty).Unfortunately for them we had decided to have a big company party in February there, but now we are searchinh for another place!",Moondog's Bar & Grill
50,"I had the Bison Burger, love it!!!! Owners and staff very friendly and they know how to make you love the place and can't wait go back!!!😍😍😍🥰🥰🥰",Moondog's Bar & Grill
10,We are waiting the food more than 40 minutes and when the food is came some of the foods was wrong. Its was from others order next table.,Moondog's Bar & Grill
50,Huge list of beers and good atmosphere to come and chill with you favourite drink. Burgers are amazingly tasty too served by friendly staff!,Moondog's Bar & Grill
