r_points,r_text,place
30,The quality was not bad but was expecting more: the mussles were simply floaded by mayonnaise (the picture on the menu was without mayo). The staff was very kind and quite fast!,Ocean Basket Mall of Cyprus
40,"This restaurant has a good location just of Ledra Street at the very end at the Greek side. Great food and attentive service, food is made from fresh.",Ocean Basket Mall of Cyprus
20,"This place seems to have gone down hill. The staff do not seem that in the ball and we were left a long time trying to get their attention. The food was also not as well presentwd as the old OB in Nicosia city.I only came back here once and it was enough to put me off making the same mistake twice. The prices are really steep as well, which never used to factor beforw. That's a shame as I used to really enjoy a good OB.",Ocean Basket Mall of Cyprus
10,Very poor portion and very expensive. Not value for money. Is just a franchise name and nothing else,Ocean Basket Mall of Cyprus
40,"Quite good restaurant. Service is amazing. The food is not exceptional, but it's better than average. Sushi is very good I would say.",Ocean Basket Mall of Cyprus
40,This is one of the best food choices in the mall of Cyprus in terms of quality. Local and foreign seafood plates are available. However the views are not too great and a meal in downtown Nicosia (same brand is also available in Ledras Str) would be preferable for this matter...,Ocean Basket Mall of Cyprus
40,Just this mall has many criteria on this own form . which i love the most.not only the facilities but also all the people in this area is just humble and loyal i love their serving with there best criteria ....,Ocean Basket Mall of Cyprus
40,New addition in the mall and love the outside area....the food is delicious as in all ocean basket restaurants in cyprus. Recommend to try their platters. Prices are good also,Ocean Basket Mall of Cyprus
40,"The food was good and I was treated very well. At first, I ate inside where everything was perfect... The view was gorgeous and the music was pleasant.However, when I moved out, most of the tables were not clean. I found one that was acceptable, but it was not stable. Since I didn't notice, my beer spilled on the table but the waitress noticed and came to clean the mess.",Ocean Basket Mall of Cyprus
50,"Lovely fresh fish, prawns and mussels. Staff very friendly and helpful. Plenty of choice. Too hot to sit out so stayed inside which was very pleasant.",Ocean Basket Mall of Cyprus
50,I am a huge fan of prawns and its platters. The way that the waiters treat the customers is very pleasant and made me to come back there for sure.,Ocean Basket Mall of Cyprus
10,"The food quality was very poor. We asked for a small bottle of KEO beer and the waitress said that they don’t carry any beer bottles even though it was printed in their menu. We said that clearly it has to be removed from the menu and her response was that the manager is aware of it and that she is just the waitress, there is nothing she can do about it. The food arrived late, and the quality of it was terrible.",Ocean Basket Mall of Cyprus
40,Not bad at all especially for a casual meal after shopping. Very good value for money and tasty meals. Worth trying,Ocean Basket Mall of Cyprus
50,"Great salads and seafood choices, friendly and attentive service, house wine by glass is fine accompaniment to the seafood! What more can one want?! A good company to enjoy together!I was solo/business :( but the outside table with local and tourist traffic kept my thought occupied :)",Ocean Basket Mall of Cyprus
50,"We were not sure to eat here, it is in the main street of the center (too much turists).But from the first step, the waiter was very kind and positive and the food was very tasty! We got calamari, prawns, soup and everything was fantastic.A particular thanks to the waiter Athanasios that gave us a great dinner and service!",Ocean Basket Mall of Cyprus
40,"It's nice place for food, almost fast food, fish specialty. Kids usually love it and they spent happy time there.",Ocean Basket Mall of Cyprus
40,"Speaking of truth, it is obvious that most of their offerings are NOT fresh fish, but this is what it is. Service is v.good.",Ocean Basket Mall of Cyprus
20,"Good menu, but really fast food. If you like everything coming out of the chip pan, well , then it's your place.The dishes are designed for mass production, taste is just average.Staff can be friendly or not, depending on who looks after you. Staff is often stressed because of the crowds, prices are low.",Ocean Basket Mall of Cyprus
30,We have visited the restaurant in the tiwn and we where very pleased. When we visitd it at the Nicosia Mall we had a bad experience. The restaurant was very crowded and there was no place for us. We decided to order take away and sit at the public tables outside the restaurant. The food was late and the quality very poor. The most annoing thing was that we paid the price of the catalogue for the take away which it was ery expensive.,Ocean Basket Mall of Cyprus
40,Nice and quick fish and other sea foods restaurant. Nice alternative to other fast foods. Easy going atmosphere and for a good lunch or dinner.,Ocean Basket Mall of Cyprus
40,I went there by myself for a lunch break. They have quite good starters options like shrimps with cheese and garlic. The food was good overall. The atmosphere was good as well.,Ocean Basket Mall of Cyprus
40,it was good food worth the money.If you enjoy seafood I would recomend it.service was not great but they were quite busy,Ocean Basket Mall of Cyprus
40,"We had lunch on a Sunday noon at this restaurant. It was full of customers and the waiters were very busy taking orders and serving food. Despite the delay of order, the food was nicely cooked. Kids love the menu. Prices are reasonable.",Ocean Basket Mall of Cyprus
50,excellent food in a very friendly environment having fair prizes. The location of Nicosia Mall is really beneficial for any restaurant.,Ocean Basket Mall of Cyprus
20,"I took my family here who were visiting from out of town. The staff are friendly and welcoming. I ordered a massive dish to feed four however when we tasted the shrimp there was an awful smell, the kind you get when the shrimp isn't fresh. I've been here before but this time was bad. My family also commented on the quality. The sushi was good and the village salad was a delight as usual, however the shrimp was a deal breaker.",Ocean Basket Mall of Cyprus
50,Great place To eat with awesome view. Our guid took us there for lunch and we couldn’t be more pleased.,Ocean Basket Mall of Cyprus
40,"Staff were very welcoming in this clean, modern restaurant and it was very encouraging to find Ocean Basket had a full allergens list available on request unlike many other restaurants in Cyprus. We enjoyed a relaxed lunch and the queen prawn and avocado salad was particularly enjoyable as a gluten free choice. Staff were friendly, helpful and chatty. Although much more expensive than the north of the island we would happily call in again.",Ocean Basket Mall of Cyprus
20,"The best thing about this restaurant is the friendly helpful Staff. I had Calamari whichwas tasteless and dry. My friend had the Cod and didnt enjoy it at all, as it was dry.Our food came up very quickly. But while waiting to eat, I noticed someone cleaning a tiledwall at the end of the restaurant with a squeezy mop! Couldn't this be done before customers arrive. I enjoyed the Tall Horse Chardonnay served by the glass.",Ocean Basket Mall of Cyprus
50,"We preferred the grilled versions. With the two of us, one has chips and the other the stir-fried vegetable which we then share.",Ocean Basket Mall of Cyprus
