r_points,r_text,place
40,"I recomend the place, is a restaurante with Good service and quality Food; with a Good environment inside the restaurant.",Pantopoleio Kali Orexi
40,"Saturday lunch with family. Arrived early before it got too crowded. Very nice and helpful staff. 5-6 choices for the dish if the day and a quite enriched menu.All dishes were tasty, portions quite satisfactory. I didn’t like the beetroot puree that is served with the sea bass. Maybe its because of my taste-like range. I dont know.....",Pantopoleio Kali Orexi
50,"A very contemporary feel to this restaurant , where the decor is modern and the dishes often have a fusion feel to them. My tuna steak was exemplary - and our mix of starters were all of the highest standard. It's not a rom antic restaurant, but it is great for eating and for discussion. I will return",Pantopoleio Kali Orexi
40,"The restaurant is big, not fussy, plenty of space, feel comfortable. The food is delicious and tasty. the people there are very helpful, pleasant and no delay on service.",Pantopoleio Kali Orexi
40,We have been many times to Pantopolio and standard never varies. A bit expensive though but their food is appreciated. Keep it this way.,Pantopoleio Kali Orexi
30,"We ordered glasses of Petrites white and Vassilikon red plus a bottle of water. Then we had a Rokka salad which was extremely good. Then we had Lavraki, Sifias and a Pork Chop cooked in a delightful sauce. Service was rather slow and the Sifias was not so good. To finish with we had a Couple of Mastiha - very nice and thanks. Cost was €67.94",Pantopoleio Kali Orexi
50,"I always visit Pantopoleio when I am in Nicosia. Friendly staff/service and solidly good Greek/Meditteranean food. They recently moved from the city center to a suburb, but nothing is really far away in Nicosia. It is a much larger place now with a contemporary design and always packed with people, so better make a reservation. Their menu is concise which I like because it means that their ingredients are fresh, and there are always dishes of the day. I am not much into pork but their pork chop is fantastic. Many years ago I got hooked on their orange creme (portokalokrema) desert. No visit is complete without it.",Pantopoleio Kali Orexi
50,Second visit for lunch within the last few weeks. Food and service were perfect both times. Highly recommended!,Pantopoleio Kali Orexi
50,Delicious food cooked with fresh ingredients and attentive service. Greek and cypriot dishes but not as predictable as at some places. Keen to go back.,Pantopoleio Kali Orexi
40,"I ate here for dinner in September 2019. The restaurant has outdoor seating and I took advantage of that. I walked to the restaurant from the hotel across the street. The staff was attentive and informative.The food is Mediterranean, European, Greek, and vegetarian friendly. I ordered the penne pasta with village sausage and that was excellent and filling. I had a couple of glasses of wine with my meal and the waiter also let me taste what he thought was an excellent white wine. In short, the staff treated me very well and the food was excellent.",Pantopoleio Kali Orexi
40,"We arrived early for Cypriot eating out, namely 7:30 pm so had no trouble getting a table, The place, though capacious, was filling up by 9 pm, mid week so very popular. The salads were superb, I had the fish which for me, was little underdone, but my friends had meat and found the beef and the pork superb. Their chips looked good but my roast vegetables were perfect. The quality was, overall good, but I thought not up to the price we paid. Its strongest points are being able to sit out and the very attentive staff.",Pantopoleio Kali Orexi
50,Very nice and pleasant restaurant!!!The waitress was very polite... Brizolakia Tou Kambou witch is pork chops with jacket potato was the dish I select. I did not regret it!! It was wonderful.. The menu had a lot of choices and you wanted to try them all. We taste nearly all the day specialities witch reminded me of my mother’s cooking. All the dishes were specially made!! Congratulations!,Pantopoleio Kali Orexi
50,"I loved this place, not only because of the very nice environment, but also because of the food. The food is really delicious. We ordered from the specialities of the day and tastes were really very good (especially Brizolakia tou kampou). 100% recommended!",Pantopoleio Kali Orexi
50,"The Pantopoleio team, is a one of a kind team. The chef with his creations and the well mannered and trained staff transfer the restaurant to a mast have eating experience. Highly recommended",Pantopoleio Kali Orexi
50,"Agreed chef makes this food slightly different. However, it is superb meat served on a wonderful terrace. Great fun with good service.",Pantopoleio Kali Orexi
30,"Great terrace, good service. The menu is not very adventurous or exciting (minimal fish selection, mostly pork or chicken as main courses. Cypriot and Greek cuisine has more to offer. Many friends rate the restaurant highly; we were less impressed with the food choice though what we had was good if unimaginative.",Pantopoleio Kali Orexi
50,Wonderfull pleace delıcıous food frıendly welcomeıng People work there we wıll defınetly Come back in our cyprus trip,Pantopoleio Kali Orexi
50,I liked the atmosphere from the first minute I walked inside the restaurant. It's modern and airy. Better location than before. Staff are very polite and attentive and food was really good! I loved the veggie 'keftedes'!,Pantopoleio Kali Orexi
50,"Good atmosphere, always busy , {lots of business lunches}, a bit overpriced. Menu has a good variety plus 'plats de jour'. Good quality, well presented, friendly staff.",Pantopoleio Kali Orexi
40,Simple decoration: you feel like you are in a modern cafeteria...! The food was tasty however the presentation needs some improvement. The pork was really tender and tasty but little on the sweet side due to the sauce. I liked the desert cheese cake with Kadayif... the service was excellent and very polite waiters. The prices were average: plates around 10 eur. I recommend the place. To visit.,Pantopoleio Kali Orexi
20,"Went to this new opening with the remembrance of the previous set up which was by the way good. Very disappointed. Food below average and most of the dishes came cold, the place was lacking warmth. The guys who own the place should look to what originally made the place popular and revisit their new venture.",Pantopoleio Kali Orexi
40,"The lease ran out in the old location so they moved close to the American Embassy. It’s a larger space, with large frontage to the road which makes it feel spacious and minimal but slightly impersonal and empty. It’s the same chef, so the food was still very good. Definitely worth coming to but perhaps not on a romantic date",Pantopoleio Kali Orexi
40,"This place is a modern Greek tavern with nice food, based mainly on meat dishes. Not much variety but tasty choices available. The big hall makes the place little noisy. Good choice for dinner with friends.",Pantopoleio Kali Orexi
40,The place is a nice place to enjoy lunch or dinner with family and friends.The menu does not have a lot of options to choose from but they have special dishes everyday.The food actually was interesting and delicious from the start until the end.It was a wonderful experience :),Pantopoleio Kali Orexi
50,"A wonderful experience from beginning to end. Super high quality of the products, perfect cooking and a flawless and friendly service. One of my favourite places to eat at in Nicosia. As a frequent patron I was glad to see that the noise issue was resolved. Overall, an excellent place for any food lover. I will be back!",Pantopoleio Kali Orexi
