r_points,r_text,place
50,"Great find as we walked around Nicosia. We ordered a very tasty Meat platter which was accompanied by salad, fries, pitta and dips and they gave us a portion of tasty cous cous, and we drank wine, beer, water and a few shots of Mastiha on the house. We didn’t manage to eat everything, although we did try!Staff were excellent, friendly and gave great service and we couldn’t believe the bill only came to €28! Highly recommended.",Piatsa Gourounaki
50,"We ate here for lunch when visiting Nicosia for the day. It was recommended in our guidebook and I can definitely see why.We ordered a portion (a full plate with two/three skewers, a bit of salad and chips) of pork souvlaki and a portion of the lamb souvlaki. This was comfortably the best grilled meat we have eaten in Cyprus - moist and juicy, accompanied by a dipping sauce matched to the type of meat ordered. We also ordered a side dish of mushrooms, which came with the chimichurri sauce - not a match I would have thought of but it actually worked really well.Aside from the delicious and filling food, what really stood out was the level of service provided. We had our five month old daughter with us and thus is the first place in Cyprus where we have found a changing table in the bathroom. The waiter also helped us get the pram into and out of the restaurant, and the table service was attentive without being over-bearing.A worthwhile place to stop for lunch or dinner when in Nicosia",Piatsa Gourounaki
50,"We visited for lunch during a day sightseeing in the city. Of course places are no 1 for a reason but this one exceeded all expectations. The food we had was amazing the slouvaki both I and my husband had was delicious and up there with the best we have eaten in Cyprus. The service was lovely, friendly and helpful as they offered some suggestions to us for starters etc that we really enjoyed. Make a visit if you are in the city you won't be disappointed!",Piatsa Gourounaki
50,"The vegetarian platter was delicious, even my non-vegetarian friend said so. This Place is nr 1 for a reason 👌🏼😋",Piatsa Gourounaki
50,"Excellent, fresh food with beautiful local red wine. Fast and efficient service with a smile. Value for money as the standard is very high. Would definitely come back",Piatsa Gourounaki
50,"Myself and my partner - visiting the capital on a day trip from Ayia Napa - stopped by here for a late lunch after finishing at the nearby Cyprus Museum. We both shared a couple of Cokes and the vegetarian platter. I don’t think either of us fully anticipated how generously portioned or out-of-this-world tasty it would be! But oh my goodness was it delicious. Every single ingredient tastes as fresh as you could possibly imagine - the mint has to be freshly picked. Your whole mouth is so happy eating here, and it’ll do wonders for your body, too. The complimentary dessert and shot of ouzo was the icing on the cake - divine. Number 1 on TripAdvisor, and for reasons that are instantly obvious, Piatsa Gourounaki is a must.",Piatsa Gourounaki
50,Eaten here many times and it’s consistently good. Portions are big and always fresh and well prepared. Service good.,Piatsa Gourounaki
50,"Love the food, love the efficient, quick and attentive service, Love the location - atmospheric in the old quarter (although opposite the shops are all closed and run down). The food is excellent and generous and easy to top up with extras. The hygiene arrangements and spacing are top notch.You can't reserve so turn up early as we say many people unable to be sat or had to wait. It's really good value and highly highly recommended. We visit Cyprus regularly and always always visit this lovely place.",Piatsa Gourounaki
50,"I loved this place. Many things on the menu. You order when you enter and recieve a little buzzer when you pay for your order, the buzzer vibrates when your order is ready. Gets busy sometimes, I will go back on my next visit.",Piatsa Gourounaki
50,"We have visited the restaurant for lunch. The staff was very friendly, the place was very clean and very cool on a very hot day. Every time we visit we get that wow feeling as if it is the first time. The food was very fresh, the meat was very tender and most of all very soft and very tasty.. I can honestly say it is the best restaurant of its kind for value for money...",Piatsa Gourounaki
50,"Food was possibly best we've had so far in Cyprus. Big portions, sorted us for lunch and dinner! Good value. Definitely recommend!",Piatsa Gourounaki
40,"This is a basic, traditional Greek Restaurant serving tasty, good value food. Don’t order too much, the servings are very large . Just order a platter for every 3 persons it's more than enough. If you are still hungry just order some more.This is a like a fast food style restaurant but the food is great.",Piatsa Gourounaki
50,We choose this restaurant because it is best rated on trip advisor from restaurants in Nicosia and we were not dissapointed. We orderes chicken and lamb souvlaki and it was absolutely the best. If i ever come back to nicosia this is surely the place we will go again. The staff is also very nice. We also got some desert and local spirit on the house. Great experience!,Piatsa Gourounaki
50,"Best Greek food in town, Delicious meals and great service , they offer platters for two and have also vegetarian options!Highly recommended",Piatsa Gourounaki
50,"Really delicious food and big portions. The chicken platter for two was amazing. Chicken in three different styles, tender and delicious. Definitely not for two but for three persons. They bring a sweet for free in the end. Polite staff.",Piatsa Gourounaki
50,Arguably the best kebab/fast food restaurant in town. Very good service and the quality is always top,Piatsa Gourounaki
50,"Friendly service, cool owner, top food. Classic 5/5 stars! Recommend for lunch and dinner with friends or family",Piatsa Gourounaki
