r_points,r_text,place
40,Recommended for its fish soup! Must try! The service is always great and if you get to go in the summer it’s also lovely to sit in their back yard! slightly pricey but quality is worth it ! Steady quality and service all year round over the years!,Pyxida
30,"We arrived without a reservation, early on in the week and very early in the evening when the restaurant was empty and we were easily accommodated though almost grudgingly. There was no menu but a QR code to scan - luckily we could work it out ourselves as there was no help or offer of help from a member of staff.We were offered the drinks but never asked again if we wanted more drinks. The food arrived quickly and it was fantastic, delicious and plentiful - we were very impressed.However we felt the service was surly and unfriendly and geared towards regulars who knew what to order. As much as we loved the food I would think it would be very unlikely we return and not accommodating for children, as with no childs menu or smaller size option, the portion size is too large for a young person.",Pyxida
40,"Even though it is always a busy place, especially for lunch, I much enjoy their food either take away or sit in. Their fish soup is the best in Cyprus, their service is just impeccable and their food fresh and tasty every time I go! Lasting value in business and non- business places to eat!",Pyxida
10,Very disappointed with the service of Pyxida in Limassol. Very rude personnel to the point that we had to leave the restaurant and they did not even care. The waiter was very abrupt and he was not in the mood to take our order despite the fact that the place was empty. Pyxida used to be one of the good see food places. I am not sure why Limassol marina branch was so bad. Worse experience I had in Cyprus so far.. Very sorry..,Pyxida
50,Very good variety of fish and very skilfully coked. I recommend the fishsoup. At times it feels like a place for business meals but families visit the place too.,Pyxida
10,"Our 2nd visit and unfortunately it will be our last. At our 1st visit the food was amazing but staff not very friendly. It was a busy night but still the staff did not speak to us once after our meze order was taken. As it was a fish meze it would have been nice if we were told what exact type of fish was. We thought we would give it another try this weekend but the service was absolutely terrible. We were made to feel as though we were a hindrance even though we had booked a table. Apart from taking the order not one member of staff spoke to us until we asked for the bill. Even then it was a nod of the head, not even a good bye or thank you as we left.",Pyxida
40,Good ( not the best) quality. Also overpriced since many dishes are just fried ones. Great service though,Pyxida
50,"The place is clean, the staff is very kind and helpful, the food is good, especially the soup, which is perfect. The service and the overall atmosphere is perfect. When you order a fish meze, is not so expensive and with meze you can have different kind of fish and also a very nice sweet at the end.",Pyxida
40,"there was a good fish menu different from a traditional fish meze menu(eg croquet) but not much better than other fish meze restaurants, so kind of a rip off for the price, however it's in Nicosia. The food was good.",Pyxida
40,A Very good fish restaurant in the heart of the city. Very good quality and service. On the expensive side thought.,Pyxida
50,"Very nice atmospher, delicious fresh fish and very attentive waiters! We went in the summer time and we were on the veranda which was cool enough!",Pyxida
40,"Excellent foot, staff was very professional but the price are a bit high. Is one if the best restaurant in Nicosia",Pyxida
40,It is not the first that I visited this place. this time the food was good but not as tasty as usual. The grilled fish was tasty and fresh but some of the small dishes of fish meze was not so good. The price of the fish meze was around 26 euro per person. The service was good but not excellent as usual...!,Pyxida
40,"Excellent food as always, very good service. Classic perfection. Consistency in food quality. A restaurant for special occasions and business.",Pyxida
50,"Excellent to everything! We are visiting Pyxida, Nicosia, once a week for lunch. Congratulations to then. Very high standards!",Pyxida
