r_points,r_text,place
50,"THIS PLACE IS AMAZING!! Tables are very spaced out for social distancing. The food is delicious!!! Sooo good! The prices are very good, and the staff is very kind and friendly! We definitely recommend it!",Sawa Syrian Restaurant
40,"The place has both a Lebanese and a Syrian menu on the main dishes although most dishes are common.Inside seating is very Arab decorated, the outdoor could have done without the plastic stone-looking walls. Equipped with TV screens for major events I believe.The place is huge, could host big events.I liked the Baba Ghanouj, not so much the hummos, and very much the sausage (Makanek). Avoid the salads, not to my liking anyway.Main dish grills I opted for the kafta and liked a lot. Very tasty and fresh meat, well cooked.Staff was friendly, and service generally good. They were a bit busy cleaning and preparing for the evening shift as we went there on a late Sunday lunch and were the only ones remaining.I cannot say much about the Syrian dishes since we did not try any.Should be tried once, but found better Lebanese restaurant in Cyprus.",Sawa Syrian Restaurant
50,Nicely and delicately favoured food. Good natured waiters. Very pleasant and comfortable envirnment.,Sawa Syrian Restaurant
40,"Beautifully decorated restaurant with typical oriental atmosphere. The large choice of dishes includes Syrian and Lebanese specialties, all very tasty and fresh.Wine list is OK although it should include higher quality wines given the very good quality of the food served.Service was professional, quick and friendly and the place is extremely clean, which is rare in Nicosia.I'd definitely go back.",Sawa Syrian Restaurant
50,"Spoilt for choice. Go for meze to taste most options. Select a few for a lighter, but just as tasty meal! Like the chicken livers in pomegranate sauce...",Sawa Syrian Restaurant
40,"Good service, average meze food but cheaper than other meze places, I highly recommend the muhammara and humus, and grilled chicken kebab and maybe the baba ghanoush, salads were atrocious though",Sawa Syrian Restaurant
30,"Too expensive for the meze option. The main dish was actually one, the rest ones were salads and appetizers. 18 euros per person was too much. The atmosphere was quite good and the service very polite.",Sawa Syrian Restaurant
40,We had the Christmas Eve diner that ... the menu was quiet good composed of Lebanese Syrian meze (different kind of small dishes) and also you can chose your main course barbecue or rice with chicken or meat and at the end desert etc the menu was 30 euros per person excluding the alcoholic drinks. The service was ok but we had all our dishes almost at once. The food was tasty. The atmosphere outside was much better than inside I suggest to reserve outside during events. We had a belly dancer too.,Sawa Syrian Restaurant
30,"with minor knowledge of the local greek language by imported waiters, , our order was wrong - in any case meze syrian type at 18 euros per person mostly bits and pieces with a small plate of meat at the end, was not worth in comparison with the full mezes offered all over Cyprus. No comparison at all. Likewise house wine was not on offer thus forcing you to go for bottled wine at a cost of anything above 20 euros in a wine producing country. All in all for the quality and quantity, this is on the expensive side though nothing special. My previous visit was great, this time , it was a disappointment.",Sawa Syrian Restaurant
50,"We had a meze for 4, 2 bottles of wine and 2 bottles of water for only €99. The food was amazing and plentiful; we couldn’t finish it all and we were all hungry when we arrived. The service had the right balance of being attentive but without being overbearing.We didn’t manage to work our timings correctly but on certain days and at certain times there are belly dancers.",Sawa Syrian Restaurant
40,"Not the first time of visiting! The food remains very good and the staff is really attentive. The place gets really crowded on Friday/Saturday nights and if you are seated in the middle row of the yard, you get the sense that all tables are a big company. The tables are very close, almost touching each other. The huge screen showing football games all the time, on the wall in the center of the outside yard really destroys the atmosphere. A really bad touch. Really.",Sawa Syrian Restaurant
40,Syrian food has always been a favourite. I would recommend to try different variety from the menu. Service was fast and professional,Sawa Syrian Restaurant
