r_points,r_text,place
30,"The restaurant is set in a lovely courtyard and on a fine day it is a lovely setting to take a lunch. However, the food does not appeal to all tastes. Turkish Cypriot food is a bit like Marmite - you either like or you don't. I do and really enjoyed the stuffed grape leaves. I shared the dish with my wife and she did not like them. She did order other items which she, sort of, enjoyed.",Sedirhan Restaurant
10,"Bad food,I mean bad! A spot to just have beer and fries. Its a very turistic spot. Its worth a visit to hang out a bit but shouldnt be the place to have lunch!",Sedirhan Restaurant
50,"The food was amazing and the location pretty good as well... I would recommend to be more kind with the costumers, like almost in every place in the island (both sides)!",Sedirhan Restaurant
30,"The location of Sedirhan is truly evocative, in a lovely courtyard of an ancient building, but the food is mixed. The mixed grill of souvlaki, kofte, and sausage was very tasty, but the grilled lamb chops were overdone and not very meaty. The Efes beer was cold and refreshing and you can pay in Turkish Lira, Euros, or USD. May be worth a stop just for the setting",Sedirhan Restaurant
40,"Restaurant is set in an amazing location which is a bit of a tourist trap so can get busy. Food is good and reasonably priced, wouldn’t hurt the staff to smile and be more friendly to the customers, they after all very much needed!! Defiantly worth a trip if you venture this side of the border.",Sedirhan Restaurant
20,"This restaurant occupies one of the most beautiful spots in Lefkoşa (the northern part of the divided city of the former Nicosia which is located in the Turkish Republic of Cyprus); it's within the walls of the historic Büyük Han, considered to be one of the finest buildings in Cyprus. It occupies a good portion of the internal courtyard, with tables under large shade umbrellas as well as under the colonnades of this 'Great Inn', built in 1572 as lodgings for traders and merchants. As you dine, you will be overwhelmed by the beautiful setting of the restaurant.Unfortunately, waiting staff at the restaurant seemed to be overwhelmed with the huge volumes of lunchtime diners who had the same idea as I did: a leisurely lunch in a beautiful setting. I'd visited the restaurant for morning coffee earlier in the day. I had a fine freshly-brewed coffee, with attentive and cheerful service. That prompted the decision to return for lunch. Sadly, my lunch-time experience wasn't quite as pleasant. The restaurant was really busy (a bus-load of tourists had been seated just before me). I was seated, then waited for 20 minutes for a menu to be provided, then a further 20 minutes without any attention or indication that my order was going to be taken, or the water that I had ordered to be provided. My time in Lefkoşa was precious, so I left, to seek another restaurant for lunch. And if you're in the same situation, head to Krubera Restaurant on Arasta Sokak.Yes. it's a bit of a tourist trap, and yes, it's highly likely that many of the tourist diners may not return, but attentive and expedient service wasn't there on this occasion. Perhaps the restaurant was understaffed, but I would think that this pattern of dining volume is a daily occurrence.And yes, I was disappointed. The menu is comprehensive, with some great Turkish and Cypriot items I wanted to try. So my suggestion is to go earlier that I did for lunch (I was there about 13:00), and if it looks crowded, go elsewhere .",Sedirhan Restaurant
50,I want to move to cyprus this place is one of the reasons the friendliness the kindness and the amazing quality of food prepared in house is amazing its nice to sit and just watch the world go by.,Sedirhan Restaurant
40,"I was here twice some years ago, the quality is always very good. The context of Buyukhan centre is very nice and impressive. Very good food and drinks. I suggest to taste the Turkish pasta and a spicy meat with the excellent Efes beer. Friendly staff and moderate prices.",Sedirhan Restaurant
30,"This is a typical tourist place, but it is still ok. The food is ok and also the value for money is good.",Sedirhan Restaurant
30,"Our group ordered everything for the middle. We ordered all the 4 different types of “börek” (fried pastry with different ingredients) and bulgur meatballs. The service before ordering was slow. We waited 15 minutes before they came to our table to take our orders. After they did, the food arrived quite fast. The böreks were delicious so was the meatball. The restaurant’s setting makes it worthwhile to wait for a bit.",Sedirhan Restaurant
