r_points,r_text,place
50,Funky hippy lunch. Amazingly tasty food and smiley happy service! What more could we ask on a Sunday lunchtime in Nicosia!,Silver Pot
50,"Yummy breakfast. Big portions. Cool kind staff. Nice ambiance. The interior is nice. The location is easy. It’s good for gathering, work and brunch.",Silver Pot
20,"Granted that the two front tables were reserved, I decided to sit at a table at the back with high bar stools and wait for my friend to come. Before even greeting me, an evidently untrained waitress comes and asks me how many people I am expecting. The moment I tell her one person, she rudely suggests I move to the 'bar' facing the kitchen and throws the menus on the bar. At this point, she doesn't even acknowledge how rude she's being granted this was NOT a reserved table. Just because it was four people that evidently frequent the place and she knows them from what I understood, does not give a carte blanche to treat other customers having a quick casual business lunch like that. I will not be recommending the place, although the food was alright, nothing spectacular. Won't miss it.",Silver Pot
50,"We had 2 x 18.75cl bottles of wine. One white and one red for €4.00 each - good value. I had the silver pot French toast with Brie, bacon and Canadian maple syrup - cost was €9.00 and excellent value. The other was smoked salmon, avocado and green salad with other - this was €12.00. Total was €29.00. The restaurant was packed solid and service was quick.",Silver Pot
20,"Poorly prepared food, rude staff and uncomfortable seating. We had brunch at this place but we were very disappointed by the whole experience.",Silver Pot
50,"Initially, I didn't think it would be hard to find a place serving at least an English breakfast in a place like Cyprus but it wasn't exactly easy in Lefkosia/Nicosia until I found Silver Pot where I could get a couple of eggs fried along with some bacon. It was so good and the price was right that I went back the following day despite being 800m away from my hotel.",Silver Pot
50,It is really beautiful place and nicely decorated. You feel the good vibes and nice atmosphere. The menu is simple but the food delicious. The omlette with halloumi was well cooked and the mixed juice was fresh. The desert called flan was tasty. The service excellent and the waitresses super kind and helpful. I highly recommend this place for breakfast and brunch or lunch as well. Prices are acceptable too the omlettte plate is around 8 euros for example.,Silver Pot
50,"Pleasant layback environment, nice decoration, good service, an interesting menu with good prices. Smart and novel recipes, freshly prepared and delicious. A great place for brunch or light lunch.",Silver Pot
40,Loved the omelette with spinach! Eggs were excellent in general. Coffee was also very good. Service was good. Stuff very friendly,Silver Pot
50,"By walking Nicosia quite early in the morning, I found this place in the middle of some street, close to some office buildings. I waited till they had open the kitchen and I asked for advice on what to order. The person who attended me was extremely nice and very helpful, also giving me tips about the city and very open to help me. The pictures are not misleading - you will get very good and appealing meals, you would want to take pics of it.",Silver Pot
40,"Pleasant experience for breakfast in Nicosia. Nice atmosphere, Service was very nice, pancake was delicious and a good coffee.",Silver Pot
50,"I adore this place, I’ve been here many times and the food is always amazing. The staff are so welcoming and the place has a really chilled out vibe. My favourite place for brunch. The blueberry pancakes r to die for 🤗",Silver Pot
50,"Lazy Sunday menu was pretty awesome, excellent service and great size portions. Three happy eaters, will be back.",Silver Pot
50,"Food is delicious. Try American pancakes whit Emmentaler cheese and roasted bakon, it s very tastfull 🐬💖♀️",Silver Pot
20,"One of the most fashionable places according to Nicosians for brunch. Went here on the weekend with my girlfriend. She ordered a salad. I am very cautious of the brunch craze seen lately in Cyprus, since I find in most cases that it is driven purely by fashion and not quality. So I decided to go simple, ordering scrambled eggs and pancakes with maple syrup. The eggs were served in a bowl where the liquid bottom was clearly visible. I tasted them and it turned out that the whole mass was liquid and undercooked. So I didn't touch it further. The pancakes were huge, and when I saw them I thought at least I will be able to satisfy my hunger! But alas, they were undercooked and liquid/floury. Sorry guys, but when I order scrambled eggs and pancakes at a place that is supposed to be awesome for brunch, I expect quality cause the dishes are too simple and they are a mainstay for all brunch places. The fact that the place was full cannot be used as an excuse. To their credit when they saw that I left the scrambled eggs untouched, they asked me what was the problem. I told them they are too watery and that I have never seen scrambled eggs like that before, to which they replied that that is how they do them always and that next time I should ask for ""dry scrambled eggs"". I found that pretty funny so i didn't engage in discussion with them. Anyway, in the final bill, they did not charge the scrambled eggs.",Silver Pot
50,Really enjoyed going for breakfast with my family. They were very accommodating with slight changes to our order and were very cheerful. I would definitely go again.,Silver Pot
50,Visiting this place for about 4-5 years. Excellent food quality. Probably the best bruch in town. Nice relaxed atmosphere. Highly recommended,Silver Pot
40,"Really tasty dishes, one of the best brunch places in Nicosia. They have a good variety of brunch options. The place is very cozy, really cute with friendly staff. The only disadvantage is that you will most probably have to wait until you find a table but this shows that the place is popular!",Silver Pot
50,"Lovely cute place, even though it is always packed, the staff are very friendly and find us a table with minimum wait time. I tried several dishes, they were all lovely with fresh ingredients and suburb taste. Make sure to try the pizza and the blueberry pancakes, amazing! I keep coming back and always love it!",Silver Pot
50,"Was the first time that we visited and I had hot sandwich with avocado, humus, tomatoes etc and my bf had pancake with cheese ,curred meats and syrup. The food was DELICIOUS! It was the best brunch , so tasty ! We also had fresh fruit salad which was also nice! Our waitress Olymbia was the sweetest and the kindest from the minute that we got into that place until we left! She was very helpful! We had the best first impression at silver Pot! Will definitely visit again and recommend it.",Silver Pot
30,Would have thought by the buzz and the waiting that this was something special. Nothing really - I'd dare say overpriced eggs and pancakes,Silver Pot
30,"I've been to Silver Pot a few times and I also regularly recommend it to people that have yet to try it. Food is generally great, some interesting dishes as well, and atmosphere is good. But during the last visit, I had asked to be seated inside and waited for my turn..Only to then watch another 3 separate groups of people, who had arrived after us, be seated first.Meanwhile, not a word to us i.e. sorry this is how we prioritize or whatever, some excuse at least. It was perfectly clear that this had happened and was not hard to see. It is not a big place after all. To be honest i'll probably come again, but I must say it is not nice to be treated in this way. I suggest you work on how you seat and prioritize people on busy days like Saturday. Customers do not like being treated as resources.Thank you.",Silver Pot
50,Its a pity that this place is small. Everything served is so delicious especially the maple syrup crepes. Was there with a friend and by newborn. Friendly staff.,Silver Pot
