r_points,r_text,place
10,"We ate there three weeks ago .Nice environment but unfortunately the waiter was not properly trained .He couldn’t open the bottle of water with his hands so he helped himself with his T-shirt.He was also not aware of the wine they had .Getting to our plates ... the duck buns had a bone in them which unfortunately we discovered it in a awkward way.The royal crab had a very intense fishy smell, like tuna or as if it was spoiled ...this made the head waitress(not our waiter ) wonder I guess and she came to ask about it because we didn’t eat the dish .The rest of the dishes where quite indifferent.Value for money below zero.",Skinny Fox
40,An all-time favourite right in the heart of Nicosia that combines exquisite flavours with an elegant ambiance. The new outdoor seating area is absolutely charming and in line with Skinny Fox’s beautiful decor! I highly recommend the raw salad.,Skinny Fox
50,"The service was great, the location excellent, the food amazing. Will definitely visit again. (I could have the beef carpaccio every day)",Skinny Fox
50,"It was a nice experience with business partners from abroad who enjoyed it. Nice dishes, tasty and unique Good wine and helpful staff",Skinny Fox
50,"Amazing food, beautiful atmosphere, excellent service. The risotto with the truffle was superb! I totally recommend it.",Skinny Fox
10,no special menu or theme. just overpriced and overrated food for any business meeting expensed by the company,Skinny Fox
20,"I visited for dinner with a friend as we had heard great things. We booked last minute and were offered either a table in the smoking area, or place at the bar. As we are non smokers we opted for the bar. Upon arriving we were very kindly told that we could have a normal table which we accepted. However, what I didn't realise at the time was that there is no real divide between the smoking and non smoking sections of this restaurant. In fact, there is a distinct smell of smoke as soon as you walk in because of this.The next table from us (barely half a meter away) was in the smoking area and so rest assured once the people dining at that table arrived and began to smoke, it pretty much ruined our dinner. Fortunately we were almost finished and so we promptly ordered the bill and left.It's a real shame as the food was great, but if you are a non smoker be warned, you may well be sat next to somebody smoking all over your dinner, which to be honest, is just horrible.",Skinny Fox
40,"Very good food, high price but worth it. There is not a big variety in the menu but satisfies all tastes.",Skinny Fox
50,Great quality food but prices are high. You taste what you pay. Worth the money. (Ordered the Asian Pork Loin - highly recommended!),Skinny Fox
40,"Whoever did the interior design for this restaurant did a great job - I fell in love with it's ""Asia meets jazz club"" vibe. And the same Asian cuisine references in the modern Western menu. Great variety of salads and starters. Totally loved their crab-avocado starter. Plenty of gluten free choices. Friendly staff.A nice break for your taste buds when tired from traditional tavern foods.",Skinny Fox
40,"Very nice ambiance, good food, one of the few places in nicosia with good food so far, the drings need a little something still, but everything else is just right.",Skinny Fox
50,"I be been visiting this restaurant regularly over the last year. It's a very nice place to be as a couple, with friends on the bar, and also with family for lunch over weekends. One of the best food in Nicosia, excellent steak, duck buns, crispy tuna, foie grass. Excellent service and ambience. It is an expensive restaurant but is it worth it. It is excellent in its class.",Skinny Fox
40,It is not the first time I’m visiting this place. The atmosphere was good and the service as well. The carpaccio was delicious as well as the beef fillet which was cooked well. Nice place to be if you are in Nicosia. The prices are higher than other places on average it will cost you around 30 eur per person (average plate price is around 25 euro),Skinny Fox
30,"Trendy place but menu was very limited and slightly overpriced, only small bottled beers than can be sold at a premium. Disappointed that the outside and inside area are basically one with the big French windows open so the outside smoking basically all came inside as well...",Skinny Fox
30,We went for after work drinks around 1830 we were the first in the place. Didn't mind that it was empty but the kitchen didn't open till 1930 so we couldn't order something to nibble on with our drinks. The waiter was polite and brought us some peanuts. Ill go again as the cocktails are great but later to have something to eat with the cocktails,Skinny Fox
10,"The ambiance is very agressive : loud music with obsessive beat, dark red on the wall with an incohérente decoration. The food is OK but not brillant considering the very high prices of the menu. Total lack of courtesy : I have found a fly in my wine and the didn't even offer a glass. First and last time we come here.",Skinny Fox
30,"went once, food service ambiance is one of the busy places in Nicosia need to reserve in advance Visited the place with my wife. variety of food (Okiiiish), nicely decorated place. Overrated",Skinny Fox
40,"Visited the place with special guest. Delicious food, nicely decorated place. I strongly recommend it. Definitely I would revisit the place.",Skinny Fox
50,"have been there a few times everything was perfect, food service ambiance is one of the busy places in Nicosia need to reserve in advance",Skinny Fox
50,I was there for a business dinner and really enjoyed both the food and the wine.Excellent food quality and great environment for a business dinner.,Skinny Fox
10,It's so poor. From the service to the food to the lack of attention to any details. It's as though they tried to imagine what good food might taste like and went with that regardless of the end result. This is a classic Nicosia establishment in the sense that it is well below average in every department but is always fully booked because the locals want to be seen there. Never going back and neither would anyone who actually has any appreciation of what a good dining experience is.,Skinny Fox
10,"Really disappointed. Risotto was overcooked , reminded me a soup instead. Pasta seafood also overcooked and tasteless. Duck buns ok , salad overpriced and didn’t not even had a dressing. Overall a pricey restaurant, doesn’t worth going there.",Skinny Fox
30,"If you are a regular you will get the full attention, otherwise you struggle a bit, plus the waiters can be arrogant. Nice atmosphere, always busy, reservation is a must. Food is good but not consistent.",Skinny Fox
