r_points,r_text,place
50,"We didn't have a reservation but managed to get a table. The meal was just wonderful; it's very big restaurant and you need to be good with that; the service was really attentive and helpful though. There was some dreadful football dross on the TVs while we were there (and there are a lot of TVs) but it strangely seemed quite good and the food was the reason we were there.And the food... oh, the food! I've got shish tawook marinating in the fridge right now because of this place!We loved it. Great food, great service and great atmosphere.",Syrian Arab Friendship Club
40,"It's not the first time that I have been to the Syrian Arab Friendship Club and every time, the food has been excellent. Very good quality and very good taste. However, the waiters are a catastrophy. Unfriendly, you see that they don't feel like working, and when you try to order a glass of wine, you have to ask at least three times until they finally bring you what you ordered. An exception is the waiter with the blue shirt, but the young ones with the white shirt are completely useless. A pity, because otherwise, the restaurant is really very good, for both the atmosphere and the food.",Syrian Arab Friendship Club
50,"Our Segway guide, Andros, recommended that we go to this restaurant for dinner. We were not disappointed. There was a wide choice of tasty dishes, from dips and salads to grilled dishes. There was plenty of choice for both meat eaters and vegetarians. They also serve alcohol. Oh and there is both a car park and on street parking.",Syrian Arab Friendship Club
50,This place has the best Syrian/Lebanese dishes to share. Fullstop. Highly recommended. A great place for vegetarians as it has vegetarian meze too.,Syrian Arab Friendship Club
50,"My husband and I celebrated my birthday here last night and it was delicious. We regularly make the rounds of Arab restaurants in Nicosia, and this one is still the all around best. (There is one other that has better Fatoush, but everything else in the full meze is better here.",Syrian Arab Friendship Club
40,Good food and fast service. Busy on the weekends and especially Sunday lunch time. Portions are generous.,Syrian Arab Friendship Club
40,"decent value syrian restaurant with excellent service, mediocre food and affordable prices. apparently they have oriental dance on some occassions",Syrian Arab Friendship Club
20,"After 20 years of visiting this restaurant I must admit its gone to ****. Prices have gone up by 30% in the last year. Portions have gotten smaller and in essence you end up paying Fish/oriental restaurant prices for a few dips and a kebab. Being a regular, there was always a complimentary tea or coffee and some sweets after food. Prices for coffee and a sweet rivalled a five star hotel.. On the plus the food is fresh (apart from the fried pastry which was frozen inside and the dip which was sitting in the fridge) and if you have never eaten this type of food before you would be pleasantly surprised.",Syrian Arab Friendship Club
20,"Having eaten Middle Eastern including Syrian food for years I looked forward going to this highly reviewed restaurant. Lunch was a disappointment: items seemed not fresh and left over but I thought it because i was eating after normal hours. As music and a belly dancer was scheduled for the week end, I decided to go again. My hotel made reservations for me and said that I was primarily interested in the performance. Therefore I was shocked when I arrived to find that I was being seated where my view would be almost entirely blocked by one of their very large TVs. The waiter initially claimed that the performance takes place through the entire restaurant- but on questioning he confirmed that was not true. I insisted and finally was moved.The food was good but not exceptional- I have had much better elsewhere. The worse was the noise was excessive( large groups shouting to be heard over the loud recorded music)— several times I thought of leaving but I stayed to see the live performance. Finally more than 1 hour after the “scheduled time” I asked. Turns out the dancer had cancelled hours before!! Guess no dancer, no live music.Were others told? Was I not told because I went alone or because I am a woman or just incompetence?",Syrian Arab Friendship Club
50,"From the time you step in, there is a warm welcome. Everybody is helpful and friendly. The menu is authentic with a selection of the most popular dishes.The meal was excellent and delicious. Just one friendly note. The wine list could be better with some more choices",Syrian Arab Friendship Club
40,"Simple and ample. The food is plentiful and comes with a bunch of regional bread and the selection of appetizers is delicious. Suggest trying the chicken liver, if ordering out adding some onions to the side compliments the dish well.I’d avoid the salads, they are often soggy and a little plain.",Syrian Arab Friendship Club
50,"Quality and very delicious Syrian Food, Friendly People, Excellent Service, nice atmosphere. Nice Experience.",Syrian Arab Friendship Club
40,Food was good and prices even better. Casual and cozy. One of the best places for family to dine in without ripping you off.,Syrian Arab Friendship Club
40,"This restaurant serves the most spectacular food, so flavoursome and varied. Order the meze and main course selection. The parsley salad is divine and the meats so tender. Finish with a cardamom coffee. I have only awarded four stars as I feel it could be made to feel more authentic, rather mundane with the ordinary tables and table cloths.",Syrian Arab Friendship Club
50,"Delicious authentic Arabic food ,nice place amazing garden .We visited for dinner and it was really good",Syrian Arab Friendship Club
40,"I went recently to the Syrian Friendship Club and was dismayed to see the decor had been totally changed. Modern tables and chairs, bland table cloths No Bedouin tent area, and ghastly VERY LOUD music. What a shame. The food as always was excellent and the staff quick to serve and help but in future we will look for a restaurant with a more authentic atmosphere. A pity.",Syrian Arab Friendship Club
40,"Clean.Can get overcrowded.Can get too hot, both in the summer and in the winter!Pleasant environment.Based on the mixed/meze menu:Appetisers and spreads are authentic, fresh, expertly prepared and they taste amazing.The two salads are cumulative summaries of more; lettuce salad works, parsley salad is simply out of this world.Grilled meats are uncomplicated but greatly done; skewered marinared chicken and lamb and koftaOverpriced to expensive",Syrian Arab Friendship Club
40,"Visited this restaurant last month with family for a lunch over a weekend - Sunday. Nice place, with a big garden. Good tasty Syrian food and very good service.",Syrian Arab Friendship Club
50,"I have visited this restaurant several times with family and friends, and also have used it’s takeaway services. It offers very tasty Syrian dishes (big variety of entries, delicious mains based on marinated chicken, kebab, etc) at an affordable price permitting frequent visiting with family and friends. The environment also has improved. Stable value for dining in Nicosia.",Syrian Arab Friendship Club
50,Great food and atmosphere! The entetainment is different than the usual! Prices very reasonable and portions are big,Syrian Arab Friendship Club
50,"I’ve been going ever since i was little (for about 8 years now) and the food never fails to disappoint. Such polite, kind and helpful staff! The food is amazing especially the mixed grill and the cheese pies.",Syrian Arab Friendship Club
