r_points,r_text,place
50,Very friendly and efficient service. Huge spacing out between tables inside the restaurant and the food is on the whole pretty nice and we like it here. It is reasonably priced and popular with the locals. The menu seems currently somewhat reduced from last year but still a good option for a night out. Ultimately the service stands out.,TGI Fridays - Nicosia City Centre
50,"Tasty food and amazing cocktails. My favorite dish it is chicken Jack Daniels. The service is good, the quality of food good as well. The cocktails- amazing!",TGI Fridays - Nicosia City Centre
50,"Good food, particularly if you are hungry. Accomodating staff if you have a preference. Very professional and sincere. I particularly liked the song the staff sung when bringing the birthday cake.",TGI Fridays - Nicosia City Centre
50,"Sitting in a booth which was a great place to sit for a group/family, we had a tasty meal. The service was friendly and quick and for children, the stack is fun and entertaining. Easy and free to park next door in the evening - we thought this was a really good place to eat in the evening.",TGI Fridays - Nicosia City Centre
30,"TGIF is an international mid range family style american cuisine franchise well known and caters to middle class diners, this TGIF is good and had a wide selection of food, but could be better and you can eat better food for much cheaper than at TGIF",TGI Fridays - Nicosia City Centre
40,"I visit this restaurant quite and the last years with the kids even more.The food is amazing, tasty and the portions big enough. Also their service is the bid advantage they have. Prices are very good, kids love all plates from kids menu. I really recommend it.",TGI Fridays - Nicosia City Centre
30,"Typical American restaurant with Cypriot taste. Food guru-waiter is super polite as other stuff. Portions are very big, food is not really healthy, as all American food.However I would recommend to try spinach on a side. Shrimps were deep fried, and unfortunately I was sick after...rest is ok.",TGI Fridays - Nicosia City Centre
50,"Me and my family really enjoy this restaurant. Whenever we go there the food is amazing, very tasty, the service is very good as well. Prices are very good having in mind that the portions are gigantic and the food is so so tasty. I really recommend it.",TGI Fridays - Nicosia City Centre
50,"Sitting in a booth which was a great place to sit for a group/family, we had a tasty meal. The service was friendly and quick and for children, the stack is fun and entertaining. Easy and free to park next door in the evening - we thought this was a really good place to eat in the evening.",TGI Fridays - Nicosia City Centre
50,Went there for a meeting with another person. He had duck and I had the sesame chicken salad. Both were great. The salad was amazing and I felt full after finishing the plate. Did not expect that from a salad.Would highly recommend. I have been visiting fridays for 6 years now and it is always the same quality.5/5 would recommend.Also the prices were very reasonable and not high at all.,TGI Fridays - Nicosia City Centre
40,"Good food, friendly staff but food rather expensive for what you eat. I’ve just come to terms that I have to visit this place once in a while just to satisfy my son. No other reason really.",TGI Fridays - Nicosia City Centre
10,"freak show. Our waiter was a lady with a mustache )Steak was disgusting, nachos were filled with mayo, salad was never washed. Payed 100 Eur for 3 person, no one was satisfied with the food. There should be something special about people working in this place to spoil the franchise and brand as much as they did.",TGI Fridays - Nicosia City Centre
40,The food is amazing but its a bit expensive . The staff and the environment is truly amazing. Recommended !,TGI Fridays - Nicosia City Centre
