r_points,r_text,place
50,Highly recommended. Very elegant environment with nice music. The service was very good too. There is a quite interesting dining menu and whatever we ordered was delicious indeed.,The Gym
50,"Went down on a whim, had the bao buns which wound up being some of the best I've ever tasted - the Emerald tini was a great accompaniment as well; service was polite and attentive - I'll be back!",The Gym
10,"I paid 13 euros for 3 miserable bao buns that were made probably 2 days ago...I wish I was exaggerating but I am not. even the mayo was dried and had this ""lovely ""yellowish color. The chicken burger was even worse. Please don't waste your money",The Gym
50,"Very professional, respectful and kind staff. Made us feel very at home and added to the overall experience. Absolutely phenomenal food! Very interesting concepts for dishes and incredible plating. Nice sized portions to keep you full but not too much. Professional mixologists and delicious looking and tasting drinks. Gorgeous interior design and very welcoming for dinner. Would love to revisit it and would recommend it to anyone visiting Nicosia who is a foodie!",The Gym
50,"Definitely suggested, amazing cocktails and food, friendly staff and atmosphere. Will visit again ❤️",The Gym
50,"Very friendly staff! Good service, nice atmosphere.. the cocktails and food was delicious! Will definitely visit again",The Gym
50,I Find quality in artistic place with people who love what the do and they have vibes who give you a good night out,The Gym
50,"While there are plenty of restaurants that offer great Cypriot dishes in Nicosia, finer meals are difficult to find. I love The Gym's small menu which means fresh ingredients. Over the years I have visited this restaurant, the quality of the dishes has constantly been high. I have tried almost everything on their menu and there is nothing I would not eat again. Here is a suggestion: take the roasted beet salad with crispy goat cheese and the tuna tataki as a starter, pork cheeks for main, and banoffee for desert. Add a bottle of white Melissopetra wine and you have an out of the ordinary meal. The Gym is always a highlight when I visit Cyprus.",The Gym
50,So tasty and well presented dishes. I loved the langoustine risotto dish. The deserts was ok and the portions important . I recommend this place. Good atmosphere and service . The average plate price is between 17 to 24 euros and desert is 8 euros.,The Gym
40,Popped in here for lunch when in Nicosia recently. The decor is cool and looks smart. Service was polite and attentive. The menu is not that extensive but that's fine at lunchtime. I chose the Caesar Salad - I felt it was a little too salty but my friend thought it was the best he's ever had so there you go. All the meals we had were good and the price was reasonable. Would certainly recommend for a lunch visit.,The Gym
40,"I'd searched around for a coffee that would appeal to my hipster sensibilities, and The Gym has it. They also serve coffee with a side biscuit or two, in fact, I think all drinks come with something. The red wine selection is fantastic.",The Gym
30,"We dropped in for a light lunch after a long walk. What more appropriate then a joint called The Gym?In Nicosia, people smoke, a lot. I thought that at a place called The Gym, it might be different. It was. If you like a woman sticking her fag in your ear, this is the place for you.Otherwise the food was okay. Stella was good. The servers couldn’t care less. Maybe it was because we weren’t Smoking.",The Gym
40,The place is located in the old city of Nicosia at Onasagorou street. Its an old restored building made of stone and wood and the owners gave it a modern look with the addition of steel and canvas decoration. You can call it cozy with nice music matching the time that you are visiting. The stuff are nice and polite and they gladly propose drinks to match your taste. Their drinks are nice and inspired. The place offers also food which is good and tasty. The portions are a bit small but by no means poor. Overall is a nice place to visit if you want a tasty snack or a drink to chill out.,The Gym
50,Regular visitor for past 2 years.. love especially their gin tonic cocktails.. tried also few dishes and always very tasty.. very stylish place.. it’s a restaurant/bar/gallery all in one.. worth visiting..,The Gym
10,"This is the second time we're ""accidentally"" overcharged. Last time, we noticed it on time, this time, we missed it. Four persons, five meals.On another note, food is really good albeit a bit expensive and service is otherwise very good. Still, this is the last time we visit.",The Gym
50,"Excellent cocktails - try anything with Gin, it’s amazing! The food was lovely too. We had great fish and seafood pasta for main course. And Excellent shrimpGyoza and Succulent tuna tataki as starters. Last but not least, the decoration and atmosphere was great too. Old tiles decorate the floors, comfortable seating everywhere, on a cool night it’s nice to eat at their veranda. This place is worth the visit and its great value for money.",The Gym
50,Not one to write reviews on this occasion I have to say this place does some of the best cocktails ever.,The Gym
50,"Hello, I’m a Hilton Diamond member and frequent traveler to Bogota. Michele in the Gym is definitely one of the best resources in the hotel. Friendly and always willing to help. Very professional. The staff in the hotel is excellent.",The Gym
50,"There is nothing negative to say about this place since it’s amazing! Excellent service, high quality food (the menu changes with each season) and unique atmosphere! By far my favorite bar/restaurant in Nicosia!",The Gym
50,They recommend the gym from our hotel so we booked a table for dinner. We have been surprised from the ambience of this place. Very nice food excellent choices of wine by the glass. We had few days in Nicosia and we didn’t missed the gym not even for one day.I totally recommend it.,The Gym
40,"Very friendly staff, nice ambiance and good collection of cocktails and wine. Only no food for vegetarians only salads they have 😊for vegetarians",The Gym
50,"We were in Nicosia for 3 days and unexpectetly we found this great place. Its not just a bar or restaurant its something very unique.We had many coctails but try their velvet whisper and zombi. For food we had ceviche, shrimps gyoza and fresh tuna, amazing dishes!Dont miss their beautifull country yard if you want to relax but avoid it if its really hot.I wish i could post some photos.",The Gym
50,The old town of Nicosia is the part worth visiting. The gym is the best place in Nicosia with the highest standards in food drinks service and shopping. Don’t miss the gallery and the courtyard!,The Gym
50,We pop in while walking in Onasagorou str Actually we just wanted to wonder the place since it was looking beautiful and take some photographs too. however we end up drinking their amazing cocktails from 7pm until all night long!! Their signature margarita was superb.I am sure they have great food for dinner as I saw the plates passing next to me. A must try for the next time.,The Gym
50,"Great bar superb cocktails. Nice atmosphere, don't miss to check out their gallery. There is also a small but beautiful back yard if you want privacy. Their food and bites are amazing too.",The Gym
50,"We found this by mistake last Thursday & went back Friday & Sunday , love the place .Good staff & good selection of gins !!!Had pork cheeks there on the Friday & very very good all tho as I read on other comments about the size being small portions , yes they was , my wife had Banofee & that was a big portion for a desert .All in all we all really liked it .",The Gym
50,As we were wandering the old town we happened on the Gym. Wandered in and loved the attention to the cocktails being made. We checked out the menu and booked for the next nightFantastic menu. Wonderful flavours. Great service and perhaps the best tuna dish everService was excellent. This is very accomplished cooking in a very funky spaceYou will love it,The Gym
50,"A quirky bar restaurant in the old town , fantastic cocktails and great food but the best thing was the great staff there is also a very quirky little shop out the back which is worth a look",The Gym
30,"Located in the old town, The Gym has a nice ambiance and background music. The food is lovely BUT the portions are tiny!! They are the size of a gourmet restaurant in London rather than Cyprus. Just getting a main dish with no starter(s) is not enough to fill you up and you’ll leave the restaurant feeing hungry wondering whether you should get a take away kebab on your way home.",The Gym
50,"The gym has been my favorite place the last couple of years.Even though i have a great time in other places in Nicosia, at the gym we experience something unique. I don't know, it is a mixture of several things. It is the vibe, the ambience but not only.There you can feel the energy of a proper bar and at the same time having a fine dining experience. The music is great, food very creative and cocktails are super. You can also find more than 50 choices of wine by the glass.I couldn't recommend it more!!",The Gym
50,The cocktails at the gym is super especially the presentation. Cool music and cool vibes in general. The decor and ambience of the place is fantastic. Last time went at the gym on Sunday for brunch and we end up having cocktails until late afternoon!!,The Gym
50,"Nice atmoshire / music, people 30-45 of age, very goog service,you need reservation. you have to walk a little to find it.",The Gym
50,We first visited the gym a year ago and since then it's my favorite place in Nicosia.At my last visit we started having cocktails at the bar listening to very nice music. We proceeded with our dinner which for another one time everything was excellent. The dishes were very creative taking our culinary experience to the next level.,The Gym
50,"Excellent food. The place is simple and beautiful. Theres a harmony to it and its great for friends, couples...at the bar. Great cockteils and hosts",The Gym
50,"The package is great. Staff, food, decoration, seating - just great. Friendly service, great food and cocktail.",The Gym
30,"Called without a reservation. We’re given a high table with stools, which was fine. However, it was so dark we couldn’t read the menu. We asked for a candle but were told we couldn’t have one. Staff just seemed a bit disinterested and preoccupied. Had to read the menu with my iPhone torch. Food arrived and risotto was very good. My wife’s chicken was not hot so we asked for it to be heated up. Took 10 minutes to do this as I think they prepare another dish. Whilst the new dish was hot (and tasty), it did mean I had almost finished the risotto when it arrived. Shiraz was most acceptable. All in all, food was good but service lacking.",The Gym
50,"The Gym is a welcome respite from the hundreds of touristy restaurants throughout Cyprus (though there are many great local places). The food was very tasty and well prepared; small menu but for lunch still something for everyone. The restaurant itself is very comfortable; smoking outside only, with some amazing items in their gift shop and a very interesting and eclectic decor. The wait staff and bartender were great; very accommodating. Next time through Nicosia, we will definitely try it out for dinner.",The Gym
