r_points,r_text,place
50,"A real hidden gem of a lush, green courtyard behind Ledra Street. The kleftiko ovens are right there in the courtyard with you! Beautifully atmospheric and traditional, and you can tell the food is prepared with love.I eat grilled chicken almost everywhere I go, and this marinated, grilled chicken just had to be the best ever - so tasty and succulent.And my hard-to-please husband must have eaten kleftiko in almost every restaurant in Cyprus, and he said that this was seriously the best ever. He is actually still raving about it, and he never raves.The wine was reasonably priced (we had a very nice carafe of red), and the service was wonderfully friendly. You can tell that they really care about their customers and their food.We can't wait to go again.",To Anamma
50,Excellent food and excellent staff! The people work there were so kind and helpful. Highly recommended!,To Anamma
50,Disappointed that we couldn't cross over into Turkey due to Covid 19.Decided to get something to eat..... How fortunate were we to discover this Gem! Drawn in by the Souvlaki!Sat down then noticed a sign advertising the courtyard. Peaceful and very pretty.I ordered the sampler for one and my girlfriend ordered the Pork cooked in a clay oven. Kotsi Xoirino. Six hour slow cooked with potatoes.The Food was simply wonderful!Enjoy!,To Anamma
50,I strongly recommend this restaurant! Comfortable place with nice decorations. Meal was amazing especially their marinated chicken😍,To Anamma
50,"We put in the address to Apple maps but it showed a different location, so it was hard to find, but I’m glad that we didn’t give up. We had lunch here and sit in the garden, they have ventilators so it’s a nice weather there. Our waiter was AMAZING (usually I don’t write with capital, but he was truly amazing). He was an older guy, he probably did it in his whole life, you could feel that he really want to make you a special experience. The food was also very tasty, we ordered plate for two (version A), it was more than enough for two persons, and it was the best kebab we had in Cyprus (maybe the best in our life). Unfortunately Nicosia was a bit dead because of Covid, hope this place will survive it. If you’re there, don’t forget to visit this place, we’ll be back for sure on our next holiday.",To Anamma
50,This was a fabulous place to eat. We spent a lovely Sunday afternoon jere sat outside in the courtyard. Wonderful kebabs all reasonably priced and you get a free local dessert at the end. The lemon juice and soda is absolutely delicious.,To Anamma
50,"I almost never give a 5 star review, but this place deserves it!First of all, don't be fooled by the plain looking outside on the main street, but go to the beautiful terrace in the back.We had a warm welcome and were served with a smile.My husband had the fish and I took the moussaka, wich was fingerlicking good! It was the best ever and it was a big portion.A pitty my stomac wasn't big enoughto try more of their food.A must try!",To Anamma
50,"The frontage is deceiving, as it looks a small eating area, but out the back it is large and very atmospheric. The food is freshly cooked and delicious. All the staff are very friendly and helpful. Would certainly recommend this place.",To Anamma
50,Really nice restaurant on the main street lovely garden setting in the back Great food and good service plus very reasonable meal for 2 was £19 including a beer and soft drink Loads to eat and well cookef,To Anamma
50,"We visited in winter, and the inner yard was very atmostheric and warm, after we've eaten our dinner the staff surprised us with small desert delights. Needless to say our whole family had no complaints.",To Anamma
